"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","20.0","-10.0","0.0","1.0","101","150.0","1743.0","l","1.0","5.0"
"0.0","20.0","-6.0","1.0","0.0","101","150.0","1423.0","a","1.0","7.0"
"0.0","15.0","-2.0","1.0","1.0","101","144.0","1037.0","a","1.0","6.5"
"4.0","16.0","0.0","1.0","0.0","102","159.0","1080.0","l","0.0","4.0"
"0.0","13.0","-6.0","1.0","1.0","101","159.0","1450.0","l","0.0","3.5"
"0.0","15.0","-3.0","1.0","0.0","101","172.0","1097.0","a","1.0","6.0"
"7.0","16.0","0.0","0.0","0.0","102","169.0","1482.0","l","1.0","1.0"
"0.0","13.0","-3.0","1.0","1.0","101","176.0","1244.0","a","1.0","5.0"
"5.0","12.0","0.0","1.0","1.0","102","189.0","1530.0","l","0.0","1.0"
"0.0","18.0","-5.0","1.0","0.0","101","201.0","1366.0","l","0.0","6.5"
"0.0","12.0","-5.0","1.0","1.0","101","196.0","1323.0","a","1.0","3.5"
"7.0","10.0","0.0","0.0","0.0","102","208.0","965.0","l","1.0","-2.0"
"0.0","18.0","-3.0","1.0","1.0","101","215.0","937.0","l","0.0","7.5"
"0.0","16.0","-10.0","0.0","0.0","101","233.0","1444.0","a","0.0","3.0"
"5.0","16.0","0.0","1.0","0.0","102","233.0","1636.0","a","1.0","3.0"
"3.0","16.0","0.0","1.0","0.0","102","233.0","1768.0","l","0.0","5.0"
"3.0","14.0","0.0","1.0","0.0","102","233.0","1421.0","l","0.0","4.0"
"0.0","15.0","-3.0","1.0","1.0","101","233.0","1200.0","l","0.0","6.0"
"3.0","12.0","0.0","1.0","1.0","102","248.0","1420.0","l","0.0","3.0"
"0.0","15.0","-10.0","0.0","1.0","101","260.0","1297.0","l","1.0","2.5"
"0.0","16.0","-3.0","1.0","1.0","101","260.0","1050.0","l","0.0","6.5"
"7.0","14.0","0.0","1.0","0.0","102","276.0","1179.0","l","0.0","0.0"
"6.0","16.0","0.0","0.0","0.0","102","276.0","1657.0","l","1.0","2.0"
"0.0","13.0","-8.0","0.0","1.0","101","282.0","1203.0","a","0.0","2.5"
"7.0","10.0","0.0","0.0","1.0","102","282.0","1655.0","a","0.0","-2.0"
"0.0","16.0","-5.0","1.0","1.0","101","289.0","1641.0","l","0.0","5.5"
"0.0","12.0","-10.0","0.0","1.0","101","305.0","1365.0","a","0.0","1.0"
"0.0","13.0","-10.0","0.0","1.0","101","305.0","1320.0","l","1.0","1.5"
"6.0","10.0","0.0","0.0","1.0","102","305.0","1922.0","l","1.0","-1.0"
"0.0","12.0","-8.0","0.0","1.0","101","311.0","1151.0","a","0.0","2.0"
"0.0","14.0","-10.0","0.0","0.0","101","311.0","1071.0","l","1.0","2.0"
"4.0","14.0","0.0","1.0","1.0","102","311.0","1263.0","l","0.0","3.0"
"0.0","16.0","-8.0","0.0","1.0","101","325.0","1018.0","a","0.0","4.0"
"0.0","12.0","-8.0","0.0","0.0","101","325.0","1008.0","a","0.0","2.0"
"6.0","12.0","0.0","1.0","1.0","102","325.0","1059.0","l","0.0","0.0"
"3.0","10.0","0.0","1.0","0.0","102","337.0","1269.0","l","0.0","2.0"
"5.0","14.0","0.0","1.0","1.0","102","337.0","1279.0","a","1.0","2.0"
"0.0","13.0","-5.0","0.0","0.0","101","351.0","1878.0","a","0.0","4.0"
"0.0","12.0","-6.0","0.0","0.0","101","351.0","1065.0","l","1.0","3.0"
"3.0","14.0","0.0","1.0","1.0","102","351.0","920.0","a","1.0","4.0"
"0.0","16.0","-5.0","1.0","1.0","101","365.0","1650.0","l","0.0","5.5"
"0.0","16.0","-8.0","0.0","0.0","101","381.0","940.0","a","0.0","4.0"
"0.0","12.0","-3.0","1.0","1.0","101","381.0","978.0","l","0.0","4.5"
"5.0","14.0","0.0","1.0","0.0","102","393.0","1240.0","a","1.0","2.0"
"0.0","14.0","-2.0","1.0","0.0","101","393.0","1014.0","a","1.0","6.0"
"6.0","14.0","0.0","1.0","0.0","102","391.0","1287.0","l","0.0","1.0"
"0.0","14.0","-10.0","0.0","0.0","101","391.0","1041.0","a","0.0","2.0"
"4.0","12.0","0.0","1.0","0.0","102","391.0","1420.0","a","1.0","2.0"
"0.0","14.0","-5.0","1.0","1.0","101","391.0","1384.0","a","1.0","4.5"
"0.0","18.0","-2.0","1.0","0.0","101","405.0","908.0","l","0.0","8.0"
"0.0","20.0","-2.0","1.0","0.0","101","403.0","1592.0","a","1.0","9.0"
"3.0","16.0","0.0","1.0","0.0","102","401.0","1199.0","l","0.0","5.0"
"0.0","12.0","-5.0","0.0","1.0","101","401.0","1195.0","a","0.0","3.5"
"4.0","18.0","0.0","1.0","1.0","102","401.0","923.0","l","0.0","5.0"
"7.0","16.0","0.0","1.0","0.0","102","419.0","1026.0","l","0.0","1.0"
"0.0","13.0","-4.0","1.0","1.0","101","419.0","1224.0","a","1.0","4.5"
"0.0","18.0","-5.0","1.0","0.0","101","432.0","1443.0","l","0.0","6.5"
"0.0","15.0","-8.0","0.0","1.0","101","427.0","1190.0","a","0.0","3.5"
"0.0","18.0","-8.0","0.0","1.0","101","427.0","1267.0","a","0.0","5.0"
