"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","18.0","-8.0","0.0","1.0","101","150.0","1820.0","a","0.0","5.0"
"0.0","22.0","-5.0","1.0","1.0","101","150.0","637.0","l","0.0","8.5"
"5.0","10.0","0.0","1.0","1.0","102","172.0","674.0","l","0.0","0.0"
"4.0","10.0","0.0","1.0","1.0","102","182.0","818.0","a","1.0","1.0"
"0.0","14.0","-5.0","1.0","1.0","101","192.0","827.0","l","0.0","4.5"
"0.0","18.0","-10.0","0.0","1.0","101","206.0","790.0","a","0.0","4.0"
"0.0","15.0","-4.0","1.0","1.0","101","206.0","876.0","a","1.0","5.5"
"0.0","16.0","-3.0","1.0","0.0","101","221.0","757.0","a","1.0","6.5"
"0.0","20.0","-5.0","1.0","0.0","101","218.0","575.0","l","0.0","7.5"
"4.0","12.0","0.0","1.0","1.0","102","213.0","556.0","a","1.0","2.0"
"6.0","8.0","0.0","0.0","0.0","102","225.0","1054.0","l","1.0","-2.0"
"0.0","18.0","-8.0","0.0","0.0","101","231.0","897.0","a","0.0","5.0"
"6.0","10.0","0.0","0.0","0.0","102","231.0","1077.0","a","0.0","-1.0"
"5.0","6.0","0.0","0.0","1.0","102","237.0","1099.0","a","0.0","-2.0"
"3.0","6.0","0.0","0.0","0.0","102","242.0","1511.0","a","0.0","0.0"
"6.0","14.0","0.0","1.0","0.0","102","245.0","1053.0","a","1.0","1.0"
"0.0","17.0","-8.0","0.0","1.0","101","245.0","937.0","a","0.0","4.5"
"4.0","6.0","0.0","0.0","0.0","102","245.0","945.0","l","1.0","-1.0"
"5.0","10.0","0.0","1.0","1.0","102","249.0","786.0","a","1.0","0.0"
"0.0","20.0","-10.0","0.0","0.0","101","259.0","869.0","a","0.0","5.0"
"3.0","12.0","0.0","1.0","1.0","102","259.0","816.0","a","1.0","3.0"
"6.0","6.0","0.0","0.0","0.0","102","271.0","742.0","l","1.0","-3.0"
"0.0","20.0","-8.0","1.0","1.0","101","277.0","1363.0","l","0.0","6.0"
"0.0","14.0","-3.0","1.0","1.0","101","297.0","710.0","a","1.0","5.5"
"0.0","22.0","-2.0","1.0","1.0","101","311.0","656.0","l","0.0","10.0"
"0.0","14.0","-6.0","1.0","0.0","101","333.0","787.0","a","1.0","4.0"
"0.0","15.0","-10.0","0.0","1.0","101","327.0","749.0","l","1.0","2.5"
"6.0","10.0","0.0","1.0","1.0","102","327.0","1319.0","a","1.0","-1.0"
"0.0","14.0","-6.0","1.0","1.0","101","337.0","865.0","a","1.0","4.0"
"4.0","6.0","0.0","0.0","0.0","102","351.0","903.0","a","0.0","-1.0"
"4.0","8.0","0.0","0.0","0.0","102","355.0","1001.0","a","0.0","0.0"
"5.0","8.0","0.0","0.0","0.0","102","359.0","1061.0","l","1.0","-1.0"
"3.0","8.0","0.0","1.0","1.0","102","364.0","894.0","l","0.0","1.0"
"6.0","6.0","0.0","0.0","0.0","102","372.0","743.0","a","0.0","-3.0"
"0.0","22.0","-10.0","1.0","0.0","101","378.0","1031.0","a","1.0","6.0"
"0.0","22.0","-6.0","1.0","1.0","101","368.0","704.0","l","0.0","8.0"
"4.0","12.0","0.0","1.0","1.0","102","390.0","881.0","a","1.0","2.0"
"0.0","15.0","-10.0","0.0","0.0","101","402.0","798.0","l","1.0","2.5"
"0.0","16.0","-10.0","0.0","1.0","101","402.0","894.0","a","0.0","3.0"
"0.0","14.0","-2.0","1.0","1.0","101","402.0","650.0","a","1.0","6.0"
"0.0","16.0","-6.0","1.0","1.0","101","416.0","811.0","l","0.0","5.0"
"0.0","16.0","-6.0","1.0","1.0","101","432.0","877.0","a","1.0","5.0"
