"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","12.0","-10.0","1.0","0.0","101","150.0","2603.0","l","0.0","1.0"
"0.0","14.0","-8.0","0.0","1.0","101","140.0","2203.0","a","0.0","3.0"
"0.0","14.0","-3.0","1.0","1.0","101","140.0","1040.0","l","0.0","5.5"
"3.0","8.0","0.0","1.0","0.0","102","154.0","1777.0","a","1.0","1.0"
"7.0","14.0","0.0","0.0","1.0","102","154.0","2124.0","a","0.0","0.0"
"6.0","6.0","0.0","0.0","0.0","102","161.0","1842.0","a","0.0","-3.0"
"6.0","12.0","0.0","0.0","1.0","102","167.0","1541.0","l","1.0","0.0"
"0.0","20.0","-6.0","1.0","1.0","101","173.0","1520.0","a","1.0","7.0"
"7.0","14.0","0.0","0.0","0.0","102","193.0","1822.0","l","1.0","0.0"
"0.0","14.0","-6.0","1.0","1.0","101","200.0","2290.0","a","1.0","4.0"
"0.0","18.0","-2.0","1.0","0.0","101","214.0","1118.0","a","1.0","8.0"
"0.0","15.0","-8.0","0.0","0.0","101","212.0","1133.0","l","1.0","3.5"
"0.0","18.0","-6.0","1.0","0.0","101","212.0","1702.0","a","1.0","6.0"
"0.0","15.0","-3.0","1.0","0.0","101","206.0","1091.0","a","1.0","6.0"
"7.0","6.0","0.0","0.0","0.0","102","203.0","1477.0","a","0.0","-4.0"
"7.0","10.0","0.0","0.0","1.0","102","210.0","1338.0","l","1.0","-2.0"
"0.0","14.0","-10.0","0.0","1.0","101","217.0","1358.0","a","0.0","2.0"
"0.0","13.0","-10.0","0.0","0.0","101","217.0","1281.0","a","0.0","1.5"
"0.0","12.0","-5.0","1.0","0.0","101","217.0","2403.0","a","1.0","3.5"
"3.0","10.0","0.0","1.0","0.0","102","212.0","1431.0","l","0.0","2.0"
"0.0","16.0","-5.0","1.0","1.0","101","212.0","2038.0","l","0.0","5.5"
"0.0","12.0","-2.0","1.0","0.0","101","228.0","1168.0","l","0.0","5.0"
