"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","15.0","-10.0","0.0","0.0","101","150.0","1300.0","a","0.0","2.5"
"0.0","10.0","-5.0","1.0","0.0","101","150.0","1169.0","l","0.0","2.5"
"0.0","13.0","-8.0","0.0","1.0","101","145.0","1472.0","l","1.0","2.5"
"0.0","11.0","-4.0","1.0","1.0","101","145.0","658.0","l","0.0","3.5"
"4.0","20.0","0.0","0.0","0.0","102","156.0","839.0","a","0.0","6.0"
"6.0","20.0","0.0","0.0","0.0","102","160.0","697.0","l","1.0","4.0"
"0.0","9.0","-6.0","1.0","0.0","101","166.0","1520.0","a","1.0","1.5"
"0.0","11.0","-3.0","1.0","0.0","101","160.0","1082.0","a","1.0","4.0"
"0.0","9.0","-4.0","1.0","0.0","101","157.0","1277.0","a","1.0","2.5"
"0.0","15.0","-2.0","1.0","0.0","101","153.0","918.0","l","0.0","6.5"
"0.0","10.0","-4.0","1.0","0.0","101","151.0","1229.0","a","1.0","3.0"
"0.0","15.0","-8.0","0.0","1.0","101","147.0","1455.0","l","1.0","3.5"
"0.0","15.0","-10.0","0.0","1.0","101","147.0","1317.0","a","0.0","2.5"
"0.0","17.0","-4.0","1.0","1.0","101","147.0","1218.0","a","1.0","6.5"
"0.0","11.0","-2.0","1.0","1.0","101","164.0","1027.0","a","1.0","4.5"
"5.0","18.0","0.0","1.0","0.0","102","175.0","1324.0","l","0.0","4.0"
"3.0","16.0","0.0","0.0","0.0","102","175.0","577.0","a","0.0","5.0"
"0.0","12.0","-6.0","1.0","0.0","101","178.0","1446.0","l","0.0","3.0"
"6.0","18.0","0.0","0.0","1.0","102","172.0","1466.0","a","0.0","3.0"
"0.0","10.0","-4.0","1.0","0.0","101","178.0","1539.0","l","0.0","3.0"
"0.0","17.0","-5.0","1.0","0.0","101","174.0","1132.0","a","1.0","6.0"
"0.0","11.0","-10.0","0.0","1.0","101","169.0","1206.0","l","1.0","0.5"
"6.0","24.0","0.0","0.0","1.0","102","169.0","564.0","l","1.0","6.0"
"0.0","11.0","-3.0","1.0","1.0","101","175.0","1179.0","l","0.0","4.0"
"5.0","20.0","0.0","0.0","0.0","102","186.0","790.0","a","0.0","5.0"
"0.0","15.0","-3.0","1.0","0.0","101","191.0","1076.0","a","1.0","6.0"
"0.0","15.0","-4.0","1.0","1.0","101","188.0","1103.0","a","1.0","5.5"
"4.0","22.0","0.0","0.0","0.0","102","203.0","663.0","l","1.0","7.0"
"0.0","13.0","-4.0","1.0","0.0","101","207.0","1146.0","a","1.0","4.5"
"0.0","12.0","-2.0","1.0","0.0","101","203.0","1076.0","a","1.0","5.0"
"6.0","24.0","0.0","1.0","0.0","102","201.0","1442.0","l","0.0","6.0"
"0.0","13.0","-2.0","1.0","0.0","101","201.0","977.0","l","0.0","5.5"
"0.0","12.0","-4.0","1.0","1.0","101","199.0","1232.0","l","0.0","4.0"
"5.0","22.0","0.0","0.0","1.0","102","211.0","700.0","a","0.0","6.0"
"0.0","11.0","-8.0","0.0","0.0","101","216.0","1282.0","l","1.0","1.5"
"0.0","17.0","-8.0","1.0","0.0","101","216.0","777.0","l","0.0","4.5"
"6.0","22.0","0.0","0.0","1.0","102","208.0","691.0","l","1.0","5.0"
"3.0","18.0","0.0","0.0","0.0","102","214.0","709.0","a","0.0","6.0"
"3.0","24.0","0.0","0.0","1.0","102","217.0","537.0","l","1.0","9.0"
"7.0","22.0","0.0","0.0","1.0","102","220.0","710.0","a","0.0","4.0"
"0.0","9.0","-10.0","0.0","1.0","101","227.0","1365.0","l","1.0","-0.5"
"3.0","16.0","0.0","0.0","1.0","102","227.0","985.0","a","0.0","5.0"
"3.0","20.0","0.0","1.0","0.0","102","230.0","965.0","l","0.0","7.0"
"0.0","9.0","-3.0","1.0","1.0","101","230.0","885.0","l","0.0","3.0"
"0.0","10.0","-3.0","1.0","0.0","101","239.0","1299.0","a","1.0","3.5"
"6.0","16.0","0.0","0.0","0.0","102","236.0","578.0","l","1.0","2.0"
"0.0","10.0","-5.0","1.0","0.0","101","242.0","1489.0","l","0.0","2.5"
"0.0","13.0","-10.0","0.0","0.0","101","237.0","1244.0","a","0.0","1.5"
"5.0","24.0","0.0","0.0","0.0","102","237.0","663.0","l","1.0","7.0"
"0.0","10.0","-6.0","1.0","0.0","101","242.0","1492.0","l","0.0","2.0"
"0.0","12.0","-10.0","0.0","1.0","101","236.0","1301.0","l","1.0","1.0"
"4.0","16.0","0.0","0.0","0.0","102","236.0","1223.0","a","0.0","4.0"
"0.0","13.0","-3.0","1.0","1.0","101","240.0","974.0","a","1.0","5.0"
"0.0","17.0","-10.0","1.0","0.0","101","253.0","1624.0","a","1.0","3.5"
"7.0","22.0","0.0","0.0","1.0","102","243.0","617.0","l","1.0","4.0"
"0.0","15.0","-6.0","1.0","1.0","101","250.0","1237.0","l","0.0","4.5"
"4.0","24.0","0.0","0.0","0.0","102","265.0","622.0","l","1.0","8.0"
"0.0","11.0","-5.0","1.0","1.0","101","269.0","1528.0","a","1.0","3.0"
"0.0","11.0","-10.0","0.0","1.0","101","280.0","1867.0","l","1.0","0.5"
"0.0","17.0","-3.0","1.0","1.0","101","280.0","1319.0","a","1.0","7.0"
"0.0","11.0","-6.0","0.0","1.0","101","297.0","1220.0","l","1.0","2.5"
"0.0","12.0","-4.0","1.0","0.0","101","297.0","944.0","a","1.0","4.0"
"0.0","10.0","-3.0","1.0","0.0","101","293.0","873.0","l","0.0","3.5"
"7.0","18.0","0.0","0.0","1.0","102","290.0","762.0","a","0.0","2.0"
"0.0","12.0","-3.0","1.0","0.0","101","297.0","987.0","l","0.0","4.5"
"0.0","17.0","-3.0","1.0","0.0","101","294.0","987.0","l","0.0","7.0"
"4.0","18.0","0.0","1.0","0.0","102","291.0","1136.0","a","1.0","5.0"
"0.0","17.0","-2.0","1.0","0.0","101","291.0","741.0","l","0.0","7.5"
"0.0","15.0","-6.0","1.0","0.0","101","289.0","1133.0","l","0.0","4.5"
"0.0","15.0","-3.0","1.0","0.0","101","283.0","721.0","l","0.0","6.0"
"0.0","9.0","-2.0","1.0","0.0","101","280.0","933.0","a","1.0","3.5"
"5.0","24.0","0.0","0.0","1.0","102","278.0","665.0","l","1.0","7.0"
"0.0","9.0","-8.0","0.0","0.0","101","283.0","1566.0","l","1.0","0.5"
"4.0","20.0","0.0","1.0","1.0","102","283.0","1173.0","l","0.0","6.0"
"0.0","10.0","-8.0","0.0","0.0","101","303.0","1023.0","l","1.0","1.0"
"0.0","17.0","-6.0","1.0","0.0","101","303.0","1309.0","l","0.0","5.5"
"3.0","20.0","0.0","1.0","0.0","102","297.0","1233.0","a","1.0","7.0"
"0.0","15.0","-5.0","1.0","1.0","101","297.0","1408.0","l","0.0","5.0"
"0.0","9.0","-4.0","0.0","1.0","101","312.0","1520.0","a","0.0","2.5"
"0.0","13.0","-6.0","1.0","0.0","101","312.0","1585.0","a","1.0","3.5"
"0.0","17.0","-6.0","1.0","0.0","101","306.0","781.0","l","0.0","5.5"
"0.0","12.0","-8.0","0.0","1.0","101","300.0","1055.0","l","1.0","2.0"
"0.0","9.0","-2.0","1.0","1.0","101","300.0","1892.0","a","1.0","3.5"
"5.0","18.0","0.0","0.0","1.0","102","309.0","1373.0","a","0.0","4.0"
"3.0","22.0","0.0","1.0","1.0","102","314.0","1042.0","l","0.0","8.0"
"0.0","10.0","-10.0","0.0","0.0","101","336.0","1159.0","l","1.0","0.0"
"0.0","10.0","-10.0","0.0","0.0","101","336.0","1006.0","l","1.0","0.0"
"7.0","24.0","0.0","1.0","1.0","102","336.0","955.0","l","0.0","5.0"
"0.0","17.0","-2.0","1.0","1.0","101","360.0","1140.0","l","0.0","7.5"
"3.0","22.0","0.0","1.0","1.0","102","377.0","1375.0","l","0.0","8.0"
"0.0","9.0","-8.0","0.0","0.0","101","399.0","1119.0","l","1.0","0.5"
"0.0","11.0","-4.0","0.0","1.0","101","399.0","1158.0","a","0.0","3.5"
"0.0","12.0","-5.0","1.0","1.0","101","399.0","1834.0","a","1.0","3.5"
"5.0","20.0","0.0","1.0","0.0","102","411.0","1151.0","l","0.0","5.0"
"5.0","16.0","0.0","1.0","1.0","102","411.0","1164.0","l","0.0","3.0"
"0.0","17.0","-8.0","1.0","1.0","101","427.0","1835.0","l","0.0","4.5"
"6.0","18.0","0.0","1.0","1.0","102","444.0","1330.0","l","0.0","3.0"
"0.0","13.0","-2.0","1.0","1.0","101","462.0","1155.0","a","1.0","5.5"
"0.0","13.0","-5.0","1.0","1.0","101","475.0","1402.0","l","0.0","4.0"
"0.0","13.0","-4.0","1.0","1.0","101","488.0","1572.0","l","0.0","4.5"
"0.0","9.0","-6.0","0.0","1.0","101","501.0","1272.0","l","1.0","1.5"
"7.0","18.0","0.0","0.0","1.0","102","501.0","1484.0","l","1.0","2.0"
"4.0","16.0","0.0","1.0","1.0","102","508.0","1101.0","a","1.0","4.0"
"6.0","16.0","0.0","0.0","0.0","102","524.0","1891.0","a","0.0","2.0"
"0.0","9.0","-5.0","0.0","1.0","101","530.0","1494.0","a","0.0","2.0"
"0.0","9.0","-5.0","1.0","1.0","101","530.0","1364.0","l","0.0","2.0"
"7.0","24.0","0.0","0.0","0.0","102","539.0","1320.0","l","1.0","5.0"
"0.0","11.0","-6.0","0.0","0.0","101","546.0","1208.0","a","0.0","2.5"
"0.0","15.0","-8.0","0.0","0.0","101","546.0","1254.0","a","0.0","3.5"
"0.0","15.0","-5.0","1.0","1.0","101","546.0","1577.0","l","0.0","5.0"
"0.0","12.0","-6.0","1.0","0.0","101","561.0","1738.0","l","0.0","3.0"
"0.0","13.0","-5.0","0.0","0.0","101","555.0","1435.0","a","0.0","4.0"
"0.0","17.0","-5.0","1.0","0.0","101","555.0","1186.0","a","1.0","6.0"
"6.0","20.0","0.0","1.0","1.0","102","550.0","1710.0","l","0.0","4.0"
"7.0","20.0","0.0","0.0","1.0","102","570.0","1562.0","l","1.0","3.0"
"4.0","24.0","0.0","1.0","0.0","102","577.0","1234.0","l","0.0","8.0"
"0.0","12.0","-10.0","0.0","0.0","101","577.0","1189.0","a","0.0","1.0"
"0.0","13.0","-6.0","1.0","0.0","101","577.0","1453.0","l","0.0","3.5"
"0.0","10.0","-6.0","0.0","0.0","101","571.0","916.0","a","0.0","2.0"
"7.0","20.0","0.0","0.0","1.0","102","571.0","1580.0","a","0.0","3.0"
"0.0","15.0","-4.0","1.0","1.0","101","578.0","2204.0","a","1.0","5.5"
"5.0","22.0","0.0","1.0","1.0","102","593.0","1007.0","a","1.0","6.0"
"4.0","22.0","0.0","1.0","1.0","102","615.0","1249.0","l","0.0","7.0"
"0.0","17.0","-10.0","0.0","1.0","101","637.0","1167.0","l","1.0","3.5"
"0.0","15.0","-2.0","1.0","0.0","101","637.0","992.0","l","0.0","6.5"
"6.0","22.0","0.0","1.0","1.0","102","635.0","1109.0","a","1.0","5.0"
"7.0","16.0","0.0","0.0","1.0","102","657.0","960.0","a","0.0","1.0"
"0.0","13.0","-3.0","1.0","0.0","101","664.0","1266.0","l","0.0","5.0"
"3.0","24.0","0.0","1.0","1.0","102","661.0","1366.0","l","0.0","9.0"
"0.0","12.0","-5.0","0.0","1.0","101","685.0","2610.0","l","1.0","3.5"
"0.0","10.0","-2.0","1.0","0.0","101","685.0","1698.0","a","1.0","4.0"
"0.0","9.0","-3.0","1.0","1.0","101","683.0","1286.0","l","0.0","3.0"
"0.0","13.0","-8.0","0.0","0.0","101","692.0","1057.0","a","0.0","2.5"
"0.0","10.0","-8.0","0.0","1.0","101","692.0","1369.0","a","0.0","1.0"
"0.0","11.0","-8.0","0.0","0.0","101","692.0","914.0","a","0.0","1.5"
"3.0","18.0","0.0","1.0","0.0","102","692.0","873.0","l","0.0","6.0"
"0.0","12.0","-2.0","1.0","0.0","101","692.0","1314.0","l","0.0","5.0"
"0.0","9.0","-10.0","0.0","0.0","101","690.0","1385.0","a","0.0","-0.5"
"0.0","17.0","-4.0","1.0","0.0","101","690.0","1084.0","a","1.0","6.5"
"0.0","11.0","-5.0","0.0","1.0","101","686.0","1944.0","l","1.0","3.0"
"7.0","16.0","0.0","1.0","0.0","102","686.0","771.0","l","0.0","1.0"
"0.0","12.0","-8.0","0.0","1.0","101","686.0","1292.0","l","1.0","2.0"
"0.0","12.0","-3.0","1.0","1.0","101","686.0","1045.0","l","0.0","4.5"
