"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"7.0","10.0","0.0","1.0","0.0","102","150.0","1417.0","l","0.0","-2.0"
"0.0","17.0","-4.0","0.0","1.0","101","150.0","2150.0","a","0.0","6.5"
"0.0","14.0","-4.0","1.0","0.0","101","150.0","1303.0","a","1.0","5.0"
"0.0","14.0","-3.0","1.0","1.0","101","146.0","1400.0","a","1.0","5.5"
"0.0","17.0","-5.0","0.0","1.0","101","160.0","1144.0","a","0.0","6.0"
"0.0","15.0","-5.0","0.0","1.0","101","160.0","1029.0","a","0.0","5.0"
"0.0","16.0","-5.0","0.0","1.0","101","160.0","1097.0","a","0.0","5.5"
"0.0","15.0","-3.0","0.0","1.0","101","160.0","926.0","a","0.0","6.0"
"0.0","20.0","-3.0","1.0","1.0","101","160.0","1192.0","a","1.0","8.5"
"6.0","14.0","0.0","0.0","1.0","102","180.0","1988.0","l","1.0","1.0"
"0.0","17.0","-6.0","0.0","0.0","101","186.0","974.0","a","0.0","5.5"
"5.0","14.0","0.0","1.0","0.0","102","186.0","1291.0","a","1.0","2.0"
"0.0","17.0","-2.0","1.0","0.0","101","186.0","1040.0","l","0.0","7.5"
"0.0","18.0","-10.0","0.0","1.0","101","184.0","1148.0","a","0.0","4.0"
"0.0","14.0","-3.0","1.0","1.0","101","184.0","2105.0","a","1.0","5.5"
"0.0","20.0","-6.0","0.0","0.0","101","198.0","1568.0","a","0.0","7.0"
"4.0","10.0","0.0","1.0","1.0","102","198.0","1906.0","l","0.0","1.0"
"0.0","17.0","-5.0","0.0","1.0","101","208.0","1237.0","l","1.0","6.0"
"0.0","20.0","-4.0","1.0","0.0","101","208.0","1132.0","l","0.0","8.0"
"0.0","15.0","-4.0","1.0","0.0","101","204.0","2582.0","l","0.0","5.5"
"0.0","17.0","-3.0","1.0","1.0","101","200.0","1470.0","l","0.0","7.0"
"3.0","12.0","0.0","1.0","0.0","102","217.0","1571.0","l","0.0","3.0"
"0.0","16.0","-4.0","1.0","0.0","101","217.0","1271.0","l","0.0","6.0"
"0.0","20.0","-4.0","1.0","1.0","101","213.0","785.0","l","0.0","8.0"
"0.0","16.0","-10.0","0.0","1.0","101","233.0","1066.0","a","0.0","3.0"
"0.0","18.0","-3.0","1.0","1.0","101","233.0","1366.0","l","0.0","7.5"
"5.0","10.0","0.0","1.0","1.0","102","251.0","1453.0","a","1.0","0.0"
"0.0","17.0","-10.0","0.0","1.0","101","261.0","1188.0","a","0.0","3.5"
"0.0","20.0","-6.0","0.0","0.0","101","261.0","1203.0","l","1.0","7.0"
"0.0","17.0","-4.0","1.0","0.0","101","261.0","1241.0","l","0.0","6.5"
"0.0","18.0","-5.0","1.0","0.0","101","257.0","1057.0","l","0.0","6.5"
"7.0","8.0","0.0","0.0","1.0","102","252.0","2713.0","l","1.0","-3.0"
"0.0","20.0","-8.0","0.0","1.0","101","259.0","1078.0","l","1.0","6.0"
"4.0","10.0","0.0","1.0","0.0","102","259.0","1234.0","a","1.0","1.0"
"5.0","8.0","0.0","0.0","0.0","102","259.0","1382.0","l","1.0","-1.0"
"0.0","17.0","-3.0","1.0","0.0","101","264.0","1182.0","l","0.0","7.0"
