"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","12.0","-5.0","0.0","1.0","101","150.0","1925.0","l","1.0","3.5"
"7.0","14.0","0.0","0.0","1.0","102","150.0","1330.0","a","0.0","0.0"
"0.0","13.0","-3.0","1.0","1.0","101","157.0","1590.0","l","0.0","5.0"
"0.0","9.0","-8.0","0.0","1.0","101","170.0","1252.0","a","0.0","0.5"
"0.0","9.0","-4.0","1.0","1.0","101","170.0","1668.0","a","1.0","2.5"
"5.0","20.0","0.0","1.0","0.0","102","179.0","1472.0","l","0.0","5.0"
"0.0","12.0","-10.0","0.0","0.0","101","179.0","1963.0","l","1.0","1.0"
"7.0","14.0","0.0","1.0","1.0","102","179.0","1987.0","l","0.0","0.0"
"0.0","13.0","-10.0","0.0","0.0","101","193.0","1417.0","a","0.0","1.5"
"0.0","11.0","-2.0","0.0","1.0","101","193.0","1654.0","a","0.0","4.5"
"0.0","10.0","-8.0","0.0","0.0","101","193.0","1649.0","a","0.0","1.0"
"4.0","14.0","0.0","1.0","0.0","102","193.0","1888.0","a","1.0","3.0"
"3.0","16.0","0.0","1.0","1.0","102","193.0","791.0","a","1.0","5.0"
"0.0","13.0","-4.0","1.0","1.0","101","209.0","1494.0","a","1.0","4.5"
"0.0","15.0","-8.0","0.0","1.0","101","222.0","2005.0","l","1.0","3.5"
"3.0","18.0","0.0","1.0","1.0","102","222.0","1071.0","l","0.0","6.0"
"0.0","13.0","-3.0","1.0","1.0","101","240.0","1433.0","l","0.0","5.0"
"0.0","17.0","-2.0","1.0","1.0","101","253.0","1077.0","l","0.0","7.5"
"3.0","18.0","0.0","1.0","0.0","102","270.0","960.0","a","1.0","6.0"
"4.0","18.0","0.0","1.0","1.0","102","270.0","1200.0","l","0.0","5.0"
"0.0","9.0","-3.0","1.0","1.0","101","288.0","1197.0","l","0.0","3.0"
"0.0","12.0","-10.0","0.0","0.0","101","297.0","1164.0","l","1.0","1.0"
"0.0","12.0","-8.0","0.0","1.0","101","297.0","1255.0","a","0.0","2.0"
"0.0","9.0","-4.0","1.0","0.0","101","297.0","1155.0","a","1.0","2.5"
"7.0","20.0","0.0","1.0","0.0","102","293.0","925.0","l","0.0","3.0"
"0.0","17.0","-8.0","0.0","0.0","101","293.0","1632.0","a","0.0","4.5"
