"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","18.0","-4.0","0.0","0.0","101","150.0","1912.0","a","0.0","7.0"
"5.0","20.0","0.0","1.0","1.0","102","150.0","1979.0","l","0.0","5.0"
"6.0","16.0","0.0","0.0","0.0","102","170.0","1869.0","a","0.0","2.0"
"0.0","12.0","-3.0","1.0","0.0","101","176.0","1821.0","a","1.0","4.5"
"0.0","14.0","-6.0","1.0","1.0","101","173.0","2248.0","a","1.0","4.0"
"0.0","16.0","-3.0","1.0","0.0","101","187.0","1592.0","l","0.0","6.5"
"0.0","20.0","-3.0","1.0","1.0","101","184.0","1123.0","l","0.0","8.5"
"7.0","16.0","0.0","0.0","0.0","102","204.0","2631.0","a","0.0","1.0"
"0.0","16.0","-3.0","1.0","1.0","101","211.0","1191.0","a","1.0","6.5"
"0.0","20.0","-5.0","1.0","1.0","101","227.0","1405.0","l","0.0","7.5"
"0.0","12.0","-2.0","1.0","0.0","101","247.0","1814.0","l","0.0","5.0"
"0.0","14.0","-2.0","1.0","1.0","101","245.0","1391.0","a","1.0","6.0"
"0.0","12.0","-2.0","1.0","0.0","101","259.0","2017.0","a","1.0","5.0"
"0.0","12.0","-10.0","0.0","1.0","101","257.0","1890.0","l","1.0","1.0"
"4.0","12.0","0.0","1.0","0.0","102","257.0","2390.0","l","0.0","2.0"
"5.0","14.0","0.0","0.0","0.0","102","257.0","1340.0","a","0.0","2.0"
"4.0","18.0","0.0","0.0","0.0","102","262.0","2034.0","a","0.0","5.0"
"5.0","16.0","0.0","0.0","0.0","102","266.0","1457.0","a","0.0","3.0"
"4.0","12.0","0.0","0.0","0.0","102","271.0","1229.0","a","0.0","2.0"
"0.0","18.0","-3.0","1.0","1.0","101","275.0","3014.0","a","1.0","7.5"
"6.0","16.0","0.0","0.0","0.0","102","293.0","2345.0","l","1.0","2.0"
"0.0","18.0","-10.0","0.0","0.0","101","299.0","1231.0","l","1.0","4.0"
"0.0","20.0","-10.0","0.0","1.0","101","299.0","1181.0","a","0.0","5.0"
"0.0","16.0","-6.0","1.0","0.0","101","299.0","2455.0","a","1.0","5.0"
"5.0","16.0","0.0","0.0","1.0","102","293.0","1651.0","l","1.0","3.0"
"0.0","18.0","-8.0","0.0","1.0","101","298.0","1496.0","a","0.0","5.0"
"0.0","12.0","-5.0","0.0","0.0","101","298.0","2155.0","a","0.0","3.5"
"6.0","18.0","0.0","1.0","1.0","102","298.0","1710.0","l","0.0","3.0"
"0.0","15.0","-10.0","0.0","1.0","101","316.0","1193.0","a","0.0","2.5"
"6.0","20.0","0.0","1.0","0.0","102","316.0","1785.0","l","0.0","4.0"
"5.0","18.0","0.0","0.0","0.0","102","316.0","1762.0","l","1.0","4.0"
"4.0","18.0","0.0","0.0","1.0","102","321.0","1245.0","l","1.0","5.0"
"4.0","20.0","0.0","1.0","0.0","102","325.0","1858.0","a","1.0","6.0"
"0.0","15.0","-3.0","1.0","0.0","101","325.0","1470.0","l","0.0","6.0"
"0.0","18.0","-5.0","0.0","0.0","101","322.0","1230.0","a","0.0","6.5"
"3.0","18.0","0.0","1.0","1.0","102","322.0","1522.0","l","0.0","6.0"
"0.0","16.0","-10.0","0.0","1.0","101","340.0","1137.0","l","1.0","3.0"
"0.0","13.0","-6.0","0.0","0.0","101","340.0","1338.0","l","1.0","3.5"
"0.0","15.0","-4.0","1.0","1.0","101","340.0","1546.0","a","1.0","5.5"
"3.0","18.0","0.0","1.0","0.0","102","355.0","1626.0","a","1.0","6.0"
"0.0","13.0","-4.0","0.0","1.0","101","355.0","2688.0","a","0.0","4.5"
"0.0","14.0","-5.0","0.0","0.0","101","355.0","1842.0","l","1.0","4.5"
"3.0","16.0","0.0","1.0","0.0","102","355.0","1111.0","a","1.0","5.0"
"0.0","18.0","-4.0","0.0","1.0","101","355.0","1671.0","a","0.0","7.0"
"3.0","14.0","0.0","1.0","1.0","102","355.0","1254.0","l","0.0","4.0"
"0.0","15.0","-2.0","1.0","1.0","101","369.0","1206.0","l","0.0","6.5"
"5.0","12.0","0.0","1.0","0.0","102","384.0","2230.0","a","1.0","1.0"
"0.0","14.0","-10.0","0.0","1.0","101","384.0","1005.0","l","1.0","2.0"
"0.0","20.0","-2.0","1.0","1.0","101","384.0","1083.0","l","0.0","9.0"
"6.0","12.0","0.0","0.0","1.0","102","404.0","1444.0","l","1.0","0.0"
"0.0","15.0","-2.0","1.0","0.0","101","410.0","1380.0","l","0.0","6.5"
"0.0","16.0","-2.0","1.0","1.0","101","408.0","1431.0","a","1.0","7.0"
"0.0","12.0","-8.0","0.0","0.0","101","424.0","1285.0","l","1.0","2.0"
"0.0","16.0","-5.0","0.0","0.0","101","424.0","1368.0","a","0.0","5.5"
"0.0","15.0","-4.0","0.0","0.0","101","424.0","1093.0","l","1.0","5.5"
"7.0","20.0","0.0","1.0","1.0","102","424.0","1354.0","a","1.0","3.0"
"0.0","13.0","-2.0","1.0","1.0","101","444.0","1061.0","l","0.0","5.5"
"0.0","15.0","-6.0","0.0","0.0","101","457.0","1752.0","a","0.0","4.5"
"0.0","13.0","-5.0","0.0","1.0","101","457.0","1620.0","l","1.0","4.0"
"6.0","14.0","0.0","1.0","1.0","102","457.0","1365.0","l","0.0","1.0"
"0.0","18.0","-6.0","0.0","1.0","101","471.0","1601.0","a","0.0","6.0"
"0.0","13.0","-3.0","1.0","1.0","101","471.0","988.0","l","0.0","5.0"
"0.0","12.0","-3.0","1.0","0.0","101","484.0","1285.0","a","1.0","4.5"
"7.0","14.0","0.0","0.0","1.0","102","481.0","1689.0","l","1.0","0.0"
"0.0","13.0","-10.0","0.0","1.0","101","488.0","1674.0","l","1.0","1.5"
"7.0","20.0","0.0","0.0","0.0","102","488.0","1991.0","a","0.0","3.0"
"0.0","13.0","-6.0","0.0","1.0","101","495.0","1254.0","a","0.0","3.5"
"0.0","14.0","-2.0","1.0","0.0","101","495.0","1077.0","a","1.0","6.0"
"4.0","14.0","0.0","1.0","1.0","102","493.0","2268.0","a","1.0","3.0"
"0.0","20.0","-6.0","0.0","0.0","101","507.0","1103.0","a","0.0","7.0"
"3.0","16.0","0.0","1.0","0.0","102","507.0","2002.0","l","0.0","5.0"
"0.0","14.0","-4.0","1.0","0.0","101","507.0","1706.0","l","0.0","5.0"
"3.0","14.0","0.0","1.0","1.0","102","503.0","1490.0","l","0.0","4.0"
"0.0","14.0","-8.0","0.0","1.0","101","517.0","1000.0","l","1.0","3.0"
"0.0","14.0","-10.0","0.0","1.0","101","517.0","1194.0","a","0.0","2.0"
"0.0","20.0","-6.0","0.0","1.0","101","517.0","1248.0","a","0.0","7.0"
"6.0","12.0","0.0","1.0","1.0","102","517.0","1437.0","a","1.0","0.0"
"0.0","20.0","-4.0","1.0","1.0","101","529.0","2749.0","l","0.0","8.0"
"7.0","18.0","0.0","0.0","0.0","102","549.0","1961.0","a","0.0","2.0"
"3.0","20.0","0.0","1.0","1.0","102","556.0","1001.0","a","1.0","7.0"
"0.0","20.0","-4.0","1.0","1.0","101","576.0","1626.0","l","0.0","8.0"
"0.0","13.0","-3.0","1.0","0.0","101","596.0","1316.0","l","0.0","5.0"
"0.0","20.0","-8.0","0.0","1.0","101","593.0","1182.0","l","1.0","6.0"
"0.0","12.0","-5.0","0.0","1.0","101","593.0","1697.0","l","1.0","3.5"
"0.0","14.0","-3.0","1.0","1.0","101","593.0","808.0","a","1.0","5.5"
"0.0","18.0","-6.0","0.0","0.0","101","607.0","1608.0","l","1.0","6.0"
"0.0","13.0","-8.0","0.0","0.0","101","607.0","923.0","l","1.0","2.5"
"0.0","13.0","-4.0","1.0","1.0","101","607.0","1118.0","l","0.0","4.5"
"0.0","14.0","-6.0","0.0","0.0","101","620.0","1357.0","a","0.0","4.0"
"0.0","16.0","-8.0","0.0","0.0","101","620.0","941.0","a","0.0","4.0"
"0.0","18.0","-10.0","0.0","0.0","101","620.0","994.0","l","1.0","4.0"
"0.0","18.0","-3.0","1.0","0.0","101","620.0","1003.0","l","0.0","7.5"
"0.0","20.0","-5.0","0.0","1.0","101","617.0","1280.0","l","1.0","7.5"
"0.0","14.0","-4.0","1.0","1.0","101","617.0","1066.0","a","1.0","5.0"
"0.0","20.0","-8.0","0.0","1.0","101","631.0","1035.0","a","0.0","6.0"
"7.0","18.0","0.0","1.0","0.0","102","631.0","1637.0","a","1.0","2.0"
