"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","22.0","-2.0","1.0","1.0","101","150.0","1032.0","a","1.0","10.0"
"3.0","16.0","0.0","1.0","1.0","102","172.0","1029.0","l","0.0","5.0"
"0.0","16.0","-5.0","0.0","0.0","101","188.0","1193.0","l","1.0","5.5"
"0.0","14.0","-5.0","0.0","0.0","101","188.0","1021.0","a","0.0","4.5"
"0.0","18.0","-8.0","0.0","1.0","101","188.0","1139.0","l","1.0","5.0"
"0.0","14.0","-2.0","1.0","0.0","101","188.0","901.0","l","0.0","6.0"
"4.0","16.0","0.0","1.0","0.0","102","186.0","1245.0","l","0.0","4.0"
"7.0","12.0","0.0","0.0","1.0","102","186.0","1619.0","l","1.0","-1.0"
"0.0","16.0","-8.0","0.0","1.0","101","193.0","1036.0","a","0.0","4.0"
"0.0","17.0","-4.0","1.0","0.0","101","193.0","1072.0","l","0.0","6.5"
"0.0","22.0","-2.0","1.0","0.0","101","189.0","954.0","a","1.0","10.0"
"0.0","20.0","-4.0","1.0","0.0","101","187.0","691.0","l","0.0","8.0"
"0.0","16.0","-8.0","0.0","0.0","101","183.0","1028.0","a","0.0","4.0"
"7.0","8.0","0.0","1.0","0.0","102","183.0","1024.0","a","1.0","-3.0"
"0.0","22.0","-10.0","0.0","0.0","101","183.0","1739.0","l","1.0","6.0"
"0.0","18.0","-10.0","0.0","1.0","101","183.0","1225.0","a","0.0","4.0"
"0.0","14.0","-4.0","1.0","1.0","101","183.0","1307.0","a","1.0","5.0"
"0.0","15.0","-2.0","1.0","1.0","101","197.0","1173.0","a","1.0","6.5"
"3.0","8.0","0.0","1.0","1.0","102","212.0","1742.0","a","1.0","1.0"
"0.0","14.0","-8.0","0.0","1.0","101","220.0","1236.0","a","0.0","3.0"
"0.0","22.0","-5.0","1.0","1.0","101","220.0","928.0","l","0.0","8.5"
"0.0","20.0","-5.0","1.0","0.0","101","242.0","1801.0","a","1.0","7.5"
"7.0","14.0","0.0","1.0","1.0","102","237.0","1582.0","a","1.0","0.0"
"6.0","12.0","0.0","0.0","0.0","102","251.0","1816.0","l","1.0","0.0"
"0.0","15.0","-5.0","0.0","0.0","101","257.0","1570.0","a","0.0","5.0"
"0.0","15.0","-5.0","0.0","0.0","101","257.0","1179.0","a","0.0","5.0"
"0.0","14.0","-3.0","1.0","1.0","101","257.0","1571.0","l","0.0","5.5"
"3.0","12.0","0.0","1.0","1.0","102","271.0","1239.0","l","0.0","3.0"
"0.0","16.0","-5.0","1.0","1.0","101","283.0","1848.0","a","1.0","5.5"
"0.0","20.0","-3.0","1.0","1.0","101","299.0","1419.0","l","0.0","8.5"
"0.0","20.0","-6.0","1.0","0.0","101","319.0","1308.0","l","0.0","7.0"
"0.0","20.0","-4.0","1.0","1.0","101","313.0","1081.0","l","0.0","8.0"
"6.0","16.0","0.0","1.0","0.0","102","333.0","1505.0","a","1.0","2.0"
"0.0","15.0","-6.0","0.0","0.0","101","333.0","1672.0","a","0.0","4.5"
"0.0","17.0","-4.0","1.0","1.0","101","333.0","1475.0","l","0.0","6.5"
"0.0","14.0","-8.0","0.0","0.0","101","350.0","1406.0","l","1.0","3.0"
"3.0","14.0","0.0","1.0","0.0","102","350.0","1174.0","l","0.0","4.0"
"0.0","22.0","-10.0","1.0","1.0","101","350.0","1481.0","l","0.0","6.0"
"0.0","18.0","-6.0","1.0","0.0","101","372.0","2067.0","a","1.0","6.0"
"0.0","16.0","-10.0","0.0","1.0","101","366.0","1247.0","l","1.0","3.0"
"0.0","22.0","-6.0","1.0","1.0","101","366.0","864.0","l","0.0","8.0"
"0.0","22.0","-4.0","1.0","0.0","101","388.0","1023.0","l","0.0","9.0"
"0.0","14.0","-3.0","1.0","1.0","101","384.0","1011.0","a","1.0","5.5"
"7.0","16.0","0.0","1.0","0.0","102","398.0","1208.0","a","1.0","1.0"
"0.0","18.0","-3.0","1.0","1.0","101","398.0","911.0","l","0.0","7.5"
"0.0","15.0","-10.0","0.0","0.0","101","416.0","1075.0","a","0.0","2.5"
"5.0","14.0","0.0","1.0","1.0","102","416.0","930.0","a","1.0","2.0"
"0.0","15.0","-4.0","1.0","0.0","101","430.0","1016.0","l","0.0","5.5"
"0.0","16.0","-2.0","1.0","0.0","101","426.0","997.0","a","1.0","7.0"
"0.0","15.0","-8.0","0.0","1.0","101","424.0","1489.0","l","1.0","3.5"
"0.0","18.0","-4.0","1.0","0.0","101","424.0","797.0","l","0.0","7.0"
"4.0","8.0","0.0","1.0","1.0","102","420.0","1587.0","l","0.0","0.0"
"4.0","14.0","0.0","1.0","0.0","102","428.0","664.0","l","0.0","3.0"
"0.0","22.0","-6.0","1.0","1.0","101","428.0","1214.0","a","1.0","8.0"
"7.0","12.0","0.0","0.0","0.0","102","450.0","1499.0","l","1.0","-1.0"
