"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"4.0","10.0","0.0","0.0","1.0","102","150.0","1239.0","l","1.0","1.0"
"0.0","22.0","-2.0","1.0","1.0","101","154.0","1136.0","a","1.0","10.0"
"0.0","21.0","-6.0","0.0","0.0","101","176.0","924.0","l","1.0","7.5"
"0.0","19.0","-3.0","1.0","1.0","101","176.0","812.0","l","0.0","8.0"
"6.0","12.0","0.0","0.0","0.0","102","195.0","783.0","l","1.0","0.0"
"0.0","26.0","-6.0","1.0","0.0","101","201.0","1158.0","l","0.0","10.0"
"6.0","18.0","0.0","1.0","1.0","102","195.0","785.0","l","0.0","3.0"
"4.0","12.0","0.0","0.0","0.0","102","213.0","689.0","a","0.0","2.0"
"4.0","16.0","0.0","0.0","0.0","102","217.0","828.0","a","0.0","4.0"
"7.0","14.0","0.0","0.0","0.0","102","221.0","908.0","l","1.0","0.0"
"0.0","18.0","-2.0","1.0","0.0","101","228.0","684.0","l","0.0","8.0"
"0.0","20.0","-2.0","1.0","1.0","101","226.0","671.0","l","0.0","9.0"
"0.0","20.0","-10.0","0.0","1.0","101","246.0","782.0","a","0.0","5.0"
"0.0","21.0","-5.0","0.0","0.0","101","246.0","962.0","a","0.0","8.0"
"4.0","18.0","0.0","1.0","0.0","102","246.0","1109.0","a","1.0","5.0"
"0.0","19.0","-5.0","0.0","0.0","101","246.0","932.0","a","0.0","7.0"
"0.0","22.0","-3.0","1.0","1.0","101","246.0","794.0","l","0.0","9.5"
"0.0","21.0","-5.0","0.0","1.0","101","268.0","897.0","l","1.0","8.0"
"0.0","26.0","-4.0","0.0","0.0","101","268.0","1104.0","l","1.0","11.0"
"0.0","19.0","-8.0","0.0","0.0","101","268.0","872.0","a","0.0","5.5"
"5.0","10.0","0.0","0.0","1.0","102","268.0","999.0","l","1.0","0.0"
"0.0","22.0","-10.0","0.0","1.0","101","273.0","967.0","a","0.0","6.0"
"0.0","21.0","-2.0","1.0","0.0","101","273.0","649.0","l","0.0","9.5"
"0.0","22.0","-3.0","1.0","0.0","101","271.0","805.0","a","1.0","9.5"
"0.0","26.0","-5.0","1.0","1.0","101","268.0","808.0","l","0.0","10.5"
"7.0","12.0","0.0","0.0","0.0","102","294.0","986.0","l","1.0","-1.0"
"0.0","22.0","-4.0","1.0","1.0","101","301.0","1162.0","a","1.0","9.0"
"0.0","18.0","-5.0","0.0","0.0","101","323.0","719.0","a","0.0","6.5"
"7.0","18.0","0.0","0.0","0.0","102","323.0","905.0","a","0.0","2.0"
"0.0","18.0","-4.0","0.0","1.0","101","330.0","999.0","l","1.0","7.0"
"5.0","16.0","0.0","1.0","0.0","102","330.0","725.0","l","0.0","3.0"
"0.0","19.0","-10.0","0.0","1.0","101","330.0","834.0","l","1.0","4.5"
"0.0","24.0","-5.0","0.0","1.0","101","330.0","1016.0","l","1.0","9.5"
"0.0","20.0","-6.0","0.0","0.0","101","330.0","1169.0","l","1.0","7.0"
"0.0","26.0","-5.0","0.0","1.0","101","330.0","808.0","l","1.0","10.5"
"0.0","20.0","-3.0","1.0","1.0","101","330.0","813.0","l","0.0","8.5"
"0.0","21.0","-10.0","0.0","0.0","101","350.0","796.0","l","1.0","5.5"
"4.0","10.0","0.0","0.0","0.0","102","350.0","866.0","l","1.0","1.0"
"0.0","20.0","-8.0","0.0","1.0","101","354.0","1136.0","a","0.0","6.0"
"0.0","19.0","-8.0","0.0","1.0","101","354.0","850.0","l","1.0","5.5"
"0.0","19.0","-6.0","0.0","1.0","101","354.0","730.0","a","0.0","6.5"
"5.0","10.0","0.0","1.0","0.0","102","354.0","1521.0","a","1.0","0.0"
"0.0","26.0","-8.0","0.0","0.0","101","354.0","820.0","l","1.0","9.0"
"0.0","19.0","-4.0","0.0","1.0","101","354.0","603.0","l","1.0","7.5"
"0.0","18.0","-2.0","0.0","1.0","101","354.0","609.0","l","1.0","8.0"
"4.0","14.0","0.0","1.0","1.0","102","354.0","916.0","l","0.0","3.0"
"6.0","18.0","0.0","1.0","0.0","102","368.0","965.0","l","0.0","3.0"
"0.0","24.0","-4.0","0.0","0.0","101","368.0","623.0","a","0.0","10.0"
"3.0","16.0","0.0","1.0","0.0","102","368.0","964.0","l","0.0","5.0"
"0.0","19.0","-2.0","0.0","0.0","101","368.0","1431.0","l","1.0","8.5"
"0.0","19.0","-3.0","1.0","1.0","101","368.0","996.0","l","0.0","8.0"
"3.0","14.0","0.0","1.0","1.0","102","387.0","1149.0","l","0.0","4.0"
"5.0","18.0","0.0","1.0","1.0","102","401.0","1078.0","l","0.0","4.0"
"0.0","18.0","-4.0","0.0","0.0","101","419.0","808.0","a","0.0","7.0"
"6.0","14.0","0.0","0.0","1.0","102","419.0","668.0","l","1.0","1.0"
"0.0","20.0","-2.0","0.0","0.0","101","425.0","599.0","a","0.0","9.0"
"0.0","19.0","-5.0","0.0","0.0","101","425.0","754.0","a","0.0","7.0"
"0.0","20.0","-5.0","0.0","0.0","101","425.0","1063.0","l","1.0","7.5"
"5.0","14.0","0.0","1.0","0.0","102","425.0","557.0","l","0.0","2.0"
"0.0","20.0","-10.0","0.0","0.0","101","425.0","990.0","a","0.0","5.0"
"0.0","26.0","-4.0","0.0","0.0","101","425.0","719.0","l","1.0","11.0"
"7.0","16.0","0.0","1.0","0.0","102","425.0","735.0","l","0.0","1.0"
"7.0","10.0","0.0","0.0","0.0","102","425.0","652.0","l","1.0","-2.0"
"0.0","22.0","-5.0","1.0","0.0","101","432.0","811.0","a","1.0","8.5"
"7.0","12.0","0.0","0.0","1.0","102","427.0","921.0","l","1.0","-1.0"
"0.0","20.0","-8.0","0.0","1.0","101","434.0","842.0","l","1.0","6.0"
"0.0","24.0","-5.0","1.0","0.0","101","434.0","823.0","l","0.0","9.5"
"0.0","21.0","-3.0","1.0","0.0","101","429.0","524.0","l","0.0","9.0"
"0.0","19.0","-6.0","0.0","0.0","101","426.0","760.0","l","1.0","6.5"
"0.0","24.0","-3.0","1.0","1.0","101","426.0","713.0","l","0.0","10.5"
"0.0","21.0","-4.0","0.0","0.0","101","450.0","889.0","l","1.0","8.5"
"0.0","21.0","-4.0","0.0","1.0","101","450.0","923.0","l","1.0","8.5"
"0.0","24.0","-2.0","0.0","0.0","101","450.0","626.0","l","1.0","11.0"
"0.0","22.0","-6.0","1.0","1.0","101","450.0","637.0","l","0.0","8.0"
"3.0","12.0","0.0","1.0","0.0","102","472.0","594.0","l","0.0","3.0"
"0.0","20.0","-5.0","1.0","0.0","101","472.0","693.0","l","0.0","7.5"
"0.0","24.0","-10.0","1.0","1.0","101","467.0","705.0","a","1.0","7.0"
"5.0","14.0","0.0","1.0","0.0","102","491.0","698.0","l","0.0","2.0"
"0.0","22.0","-8.0","0.0","1.0","101","491.0","589.0","l","1.0","7.0"
"7.0","14.0","0.0","0.0","1.0","102","491.0","1002.0","a","0.0","0.0"
"0.0","26.0","-6.0","0.0","1.0","101","498.0","707.0","l","1.0","10.0"
"0.0","24.0","-6.0","0.0","0.0","101","498.0","728.0","a","0.0","9.0"
"0.0","21.0","-8.0","0.0","1.0","101","498.0","644.0","l","1.0","6.5"
"0.0","26.0","-3.0","1.0","0.0","101","498.0","899.0","l","0.0","11.5"
"0.0","22.0","-5.0","1.0","0.0","101","495.0","850.0","a","1.0","8.5"
"0.0","21.0","-10.0","0.0","0.0","101","490.0","882.0","l","1.0","5.5"
"0.0","18.0","-6.0","0.0","1.0","101","490.0","799.0","l","1.0","6.0"
"0.0","24.0","-4.0","1.0","1.0","101","490.0","785.0","l","0.0","10.0"
"0.0","24.0","-2.0","0.0","1.0","101","514.0","1000.0","a","0.0","11.0"
"0.0","26.0","-2.0","1.0","1.0","101","514.0","789.0","l","0.0","12.0"
"3.0","10.0","0.0","1.0","0.0","102","540.0","597.0","l","0.0","2.0"
"3.0","10.0","0.0","1.0","0.0","102","540.0","600.0","l","0.0","2.0"
"0.0","22.0","-8.0","0.0","1.0","101","540.0","865.0","a","0.0","7.0"
"4.0","16.0","0.0","0.0","1.0","102","540.0","993.0","l","1.0","4.0"
"5.0","16.0","0.0","1.0","1.0","102","544.0","834.0","l","0.0","3.0"
"6.0","10.0","0.0","0.0","1.0","102","560.0","725.0","l","1.0","-1.0"
"0.0","20.0","-6.0","0.0","1.0","101","566.0","885.0","a","0.0","7.0"
"0.0","20.0","-4.0","1.0","0.0","101","566.0","2196.0","l","0.0","8.0"
"3.0","14.0","0.0","0.0","1.0","102","562.0","1263.0","l","1.0","4.0"
"7.0","16.0","0.0","1.0","1.0","102","565.0","585.0","l","0.0","1.0"
"0.0","19.0","-4.0","1.0","1.0","101","581.0","1156.0","a","1.0","7.5"
"0.0","24.0","-3.0","0.0","1.0","101","600.0","646.0","a","0.0","10.5"
"5.0","12.0","0.0","1.0","1.0","102","600.0","551.0","l","0.0","1.0"
"0.0","21.0","-8.0","0.0","1.0","101","612.0","986.0","a","0.0","6.5"
"0.0","20.0","-3.0","1.0","0.0","101","612.0","1060.0","a","1.0","8.5"
"5.0","12.0","0.0","0.0","1.0","102","609.0","659.0","l","1.0","1.0"
"0.0","26.0","-10.0","0.0","0.0","101","614.0","844.0","l","1.0","8.0"
"0.0","21.0","-2.0","1.0","0.0","101","614.0","949.0","l","0.0","9.5"
"0.0","18.0","-10.0","0.0","0.0","101","612.0","710.0","a","0.0","4.0"
"4.0","18.0","0.0","1.0","1.0","102","612.0","701.0","l","0.0","5.0"
"0.0","18.0","-3.0","1.0","1.0","101","630.0","824.0","l","0.0","7.5"
"0.0","22.0","-6.0","0.0","1.0","101","648.0","680.0","l","1.0","8.0"
"0.0","18.0","-8.0","0.0","0.0","101","648.0","830.0","a","0.0","5.0"
"0.0","19.0","-2.0","1.0","1.0","101","648.0","728.0","l","0.0","8.5"
"6.0","16.0","0.0","1.0","0.0","102","667.0","606.0","l","0.0","2.0"
"5.0","18.0","0.0","0.0","1.0","102","667.0","762.0","l","1.0","4.0"
"0.0","24.0","-8.0","0.0","0.0","101","672.0","754.0","l","1.0","8.0"
"0.0","18.0","-5.0","0.0","0.0","101","672.0","698.0","a","0.0","6.5"
"4.0","12.0","0.0","1.0","0.0","102","672.0","964.0","l","0.0","2.0"
"0.0","22.0","-10.0","0.0","0.0","101","672.0","737.0","l","1.0","6.0"
"6.0","14.0","0.0","0.0","1.0","102","672.0","732.0","l","1.0","1.0"
"0.0","21.0","-3.0","1.0","0.0","101","678.0","769.0","l","0.0","9.0"
"0.0","19.0","-10.0","0.0","1.0","101","675.0","641.0","l","1.0","4.5"
"0.0","26.0","-3.0","1.0","0.0","101","675.0","962.0","a","1.0","11.5"
"0.0","24.0","-6.0","0.0","0.0","101","672.0","1251.0","a","0.0","9.0"
"7.0","10.0","0.0","1.0","1.0","102","672.0","645.0","l","0.0","-2.0"
"4.0","14.0","0.0","0.0","1.0","102","682.0","640.0","l","1.0","3.0"
"0.0","26.0","-8.0","0.0","0.0","101","686.0","1308.0","a","0.0","9.0"
"0.0","21.0","-6.0","0.0","1.0","101","686.0","883.0","a","0.0","7.5"
"0.0","18.0","-3.0","1.0","1.0","101","686.0","716.0","l","0.0","7.5"
"6.0","12.0","0.0","0.0","1.0","102","704.0","836.0","l","1.0","0.0"
"3.0","18.0","0.0","1.0","0.0","102","710.0","836.0","l","0.0","6.0"
"0.0","22.0","-2.0","0.0","0.0","101","710.0","612.0","a","0.0","10.0"
"0.0","24.0","-10.0","0.0","0.0","101","710.0","847.0","a","0.0","7.0"
"0.0","24.0","-8.0","0.0","0.0","101","710.0","1059.0","l","1.0","8.0"
"0.0","26.0","-10.0","0.0","1.0","101","710.0","839.0","l","1.0","8.0"
"0.0","18.0","-6.0","0.0","0.0","101","710.0","897.0","a","0.0","6.0"
"0.0","26.0","-2.0","1.0","1.0","101","710.0","602.0","a","1.0","12.0"
"3.0","16.0","0.0","1.0","1.0","102","736.0","850.0","a","1.0","5.0"
"0.0","18.0","-10.0","0.0","1.0","101","752.0","658.0","l","1.0","4.0"
"0.0","18.0","-8.0","0.0","0.0","101","752.0","714.0","a","0.0","5.0"
"0.0","22.0","-4.0","1.0","1.0","101","752.0","707.0","l","0.0","9.0"
"3.0","12.0","0.0","1.0","1.0","102","774.0","804.0","l","0.0","3.0"
"3.0","18.0","0.0","0.0","0.0","102","786.0","1138.0","l","1.0","6.0"
"0.0","20.0","-4.0","1.0","1.0","101","789.0","895.0","a","1.0","8.0"
"6.0","16.0","0.0","1.0","0.0","102","809.0","924.0","l","0.0","2.0"
"7.0","18.0","0.0","1.0","1.0","102","809.0","543.0","l","0.0","2.0"
"6.0","10.0","0.0","1.0","1.0","102","827.0","547.0","l","0.0","-1.0"
