"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"6.0","14.0","0.0","1.0","1.0","102","150.0","2238.0","a","1.0","1.0"
"0.0","15.0","-5.0","1.0","1.0","101","164.0","1924.0","l","0.0","5.0"
"0.0","13.0","-3.0","1.0","0.0","101","179.0","1415.0","l","0.0","5.0"
"3.0","8.0","0.0","1.0","1.0","102","176.0","2014.0","a","1.0","1.0"
"6.0","12.0","0.0","1.0","1.0","102","184.0","1082.0","a","1.0","0.0"
"0.0","12.0","-3.0","1.0","1.0","101","196.0","1223.0","l","0.0","4.5"
"4.0","14.0","0.0","1.0","0.0","102","208.0","1115.0","l","0.0","3.0"
"3.0","12.0","0.0","1.0","0.0","102","208.0","1124.0","a","1.0","3.0"
"0.0","20.0","-8.0","1.0","0.0","101","208.0","1712.0","l","0.0","6.0"
"4.0","12.0","0.0","1.0","0.0","102","200.0","1345.0","a","1.0","2.0"
"0.0","14.0","-2.0","1.0","1.0","101","200.0","1475.0","a","1.0","6.0"
"0.0","13.0","-6.0","0.0","0.0","101","214.0","1723.0","a","0.0","3.5"
"0.0","18.0","-3.0","1.0","0.0","101","214.0","1195.0","a","1.0","7.5"
"0.0","20.0","-3.0","1.0","0.0","101","211.0","1370.0","l","0.0","8.5"
"0.0","18.0","-10.0","0.0","0.0","101","208.0","3251.0","a","0.0","4.0"
"0.0","20.0","-10.0","1.0","1.0","101","208.0","1689.0","l","0.0","5.0"
"0.0","14.0","-3.0","1.0","0.0","101","228.0","1298.0","l","0.0","5.5"
"0.0","20.0","-3.0","1.0","0.0","101","225.0","1219.0","l","0.0","8.5"
"0.0","13.0","-4.0","0.0","0.0","101","222.0","1131.0","a","0.0","4.5"
"0.0","14.0","-10.0","0.0","1.0","101","222.0","1624.0","l","1.0","2.0"
"0.0","18.0","-2.0","1.0","0.0","101","222.0","1172.0","l","0.0","8.0"
"0.0","14.0","-2.0","1.0","1.0","101","220.0","1032.0","l","0.0","6.0"
"0.0","20.0","-6.0","0.0","0.0","101","234.0","1452.0","a","0.0","7.0"
"5.0","6.0","0.0","1.0","1.0","102","234.0","1423.0","a","1.0","-2.0"
"0.0","15.0","-3.0","1.0","0.0","101","240.0","1186.0","l","0.0","6.0"
"0.0","16.0","-5.0","0.0","1.0","101","237.0","1293.0","l","1.0","5.5"
"0.0","15.0","-8.0","0.0","1.0","101","237.0","1535.0","a","0.0","3.5"
"0.0","20.0","-2.0","1.0","0.0","101","237.0","898.0","a","1.0","9.0"
"0.0","15.0","-5.0","0.0","0.0","101","235.0","1394.0","l","1.0","5.0"
"0.0","15.0","-2.0","1.0","0.0","101","235.0","1149.0","l","0.0","6.5"
"0.0","13.0","-10.0","0.0","0.0","101","233.0","1360.0","l","1.0","1.5"
"3.0","8.0","0.0","0.0","1.0","102","233.0","1525.0","l","1.0","1.0"
"3.0","6.0","0.0","0.0","0.0","102","236.0","1227.0","l","1.0","0.0"
"0.0","18.0","-6.0","0.0","1.0","101","239.0","1317.0","a","0.0","6.0"
"0.0","20.0","-6.0","1.0","1.0","101","239.0","1834.0","a","1.0","7.0"
"7.0","12.0","0.0","0.0","1.0","102","259.0","1364.0","a","0.0","-1.0"
"0.0","18.0","-2.0","1.0","0.0","101","266.0","1175.0","a","1.0","8.0"
"0.0","18.0","-5.0","0.0","0.0","101","264.0","1370.0","l","1.0","6.5"
"0.0","13.0","-4.0","0.0","0.0","101","264.0","1377.0","a","0.0","4.5"
"4.0","8.0","0.0","1.0","1.0","102","264.0","1861.0","a","1.0","0.0"
"7.0","6.0","0.0","0.0","0.0","102","272.0","1358.0","a","0.0","-4.0"
"0.0","12.0","-8.0","0.0","0.0","101","279.0","1299.0","a","0.0","2.0"
"0.0","16.0","-5.0","0.0","0.0","101","279.0","1275.0","l","1.0","5.5"
"0.0","13.0","-8.0","0.0","1.0","101","279.0","1263.0","l","1.0","2.5"
"0.0","18.0","-10.0","0.0","0.0","101","279.0","1176.0","l","1.0","4.0"
"0.0","14.0","-4.0","1.0","1.0","101","279.0","1350.0","a","1.0","5.0"
"0.0","15.0","-10.0","0.0","1.0","101","293.0","1512.0","a","0.0","2.5"
"0.0","12.0","-6.0","0.0","1.0","101","293.0","1130.0","l","1.0","3.0"
"5.0","12.0","0.0","1.0","1.0","102","293.0","1443.0","l","0.0","1.0"
"0.0","12.0","-6.0","0.0","1.0","101","305.0","1397.0","a","0.0","3.0"
"0.0","18.0","-4.0","1.0","0.0","101","305.0","1356.0","l","0.0","7.0"
"0.0","15.0","-6.0","0.0","0.0","101","301.0","1175.0","l","1.0","4.5"
"6.0","10.0","0.0","1.0","1.0","102","301.0","1741.0","l","0.0","-1.0"
"4.0","6.0","0.0","1.0","0.0","102","311.0","1303.0","a","1.0","-1.0"
"5.0","8.0","0.0","0.0","1.0","102","311.0","1360.0","l","1.0","-1.0"
"0.0","20.0","-2.0","1.0","0.0","101","316.0","1667.0","l","0.0","9.0"
"0.0","20.0","-4.0","1.0","1.0","101","314.0","1461.0","l","0.0","8.0"
"0.0","14.0","-10.0","0.0","1.0","101","334.0","1274.0","a","0.0","2.0"
"7.0","8.0","0.0","0.0","1.0","102","334.0","984.0","a","0.0","-3.0"
"0.0","12.0","-10.0","0.0","0.0","101","341.0","1511.0","a","0.0","1.0"
"0.0","15.0","-4.0","1.0","0.0","101","341.0","1267.0","a","1.0","5.5"
"0.0","20.0","-8.0","0.0","1.0","101","337.0","1358.0","a","0.0","6.0"
"0.0","16.0","-10.0","0.0","0.0","101","337.0","1172.0","l","1.0","3.0"
"4.0","10.0","0.0","1.0","1.0","102","337.0","1512.0","a","1.0","1.0"
"0.0","15.0","-8.0","0.0","0.0","101","347.0","1120.0","l","1.0","3.5"
"4.0","14.0","0.0","1.0","0.0","102","347.0","902.0","a","1.0","3.0"
"0.0","15.0","-10.0","0.0","0.0","101","347.0","1603.0","a","0.0","2.5"
"7.0","12.0","0.0","1.0","1.0","102","347.0","961.0","a","1.0","-1.0"
"0.0","14.0","-3.0","1.0","1.0","101","359.0","1306.0","l","0.0","5.5"
"0.0","18.0","-5.0","0.0","0.0","101","373.0","1366.0","a","0.0","6.5"
"6.0","14.0","0.0","1.0","0.0","102","373.0","1301.0","a","1.0","1.0"
"0.0","14.0","-5.0","0.0","1.0","101","373.0","1608.0","l","1.0","4.5"
"5.0","6.0","0.0","0.0","0.0","102","373.0","1563.0","l","1.0","-2.0"
"7.0","10.0","0.0","0.0","0.0","102","378.0","1591.0","l","1.0","-2.0"
"0.0","20.0","-5.0","1.0","0.0","101","385.0","1408.0","a","1.0","7.5"
"6.0","6.0","0.0","0.0","1.0","102","380.0","1577.0","l","1.0","-3.0"
"0.0","18.0","-4.0","1.0","1.0","101","386.0","1457.0","a","1.0","7.0"
"7.0","8.0","0.0","0.0","0.0","102","404.0","1376.0","l","1.0","-3.0"
"6.0","8.0","0.0","0.0","0.0","102","411.0","1395.0","l","1.0","-2.0"
"0.0","13.0","-5.0","0.0","0.0","101","417.0","1816.0","l","1.0","4.0"
"0.0","18.0","-8.0","0.0","0.0","101","417.0","1454.0","a","0.0","5.0"
"0.0","12.0","-2.0","1.0","1.0","101","417.0","920.0","a","1.0","5.0"
"4.0","6.0","0.0","0.0","0.0","102","429.0","1363.0","l","1.0","-1.0"
"0.0","12.0","-5.0","0.0","1.0","101","433.0","1390.0","l","1.0","3.5"
"6.0","10.0","0.0","1.0","1.0","102","433.0","1266.0","a","1.0","-1.0"
"5.0","12.0","0.0","1.0","1.0","102","443.0","1538.0","l","0.0","1.0"
"0.0","14.0","-6.0","0.0","0.0","101","455.0","1166.0","l","1.0","4.0"
"6.0","12.0","0.0","1.0","1.0","102","455.0","1811.0","l","0.0","0.0"
"0.0","15.0","-3.0","1.0","1.0","101","467.0","1210.0","l","0.0","6.0"
"3.0","14.0","0.0","1.0","1.0","102","482.0","1297.0","l","0.0","4.0"
"0.0","12.0","-4.0","1.0","1.0","101","496.0","1427.0","l","0.0","4.0"
"0.0","16.0","-6.0","0.0","1.0","101","508.0","1798.0","l","1.0","5.0"
"4.0","8.0","0.0","1.0","1.0","102","508.0","1465.0","l","0.0","0.0"
"7.0","14.0","0.0","1.0","1.0","102","516.0","1337.0","l","0.0","0.0"
"6.0","6.0","0.0","0.0","1.0","102","530.0","1188.0","a","0.0","-3.0"
"0.0","12.0","-3.0","1.0","0.0","101","536.0","1245.0","l","0.0","4.5"
"0.0","12.0","-10.0","0.0","0.0","101","533.0","1477.0","a","0.0","1.0"
"0.0","13.0","-6.0","0.0","1.0","101","533.0","1812.0","l","1.0","3.5"
"3.0","10.0","0.0","1.0","0.0","102","533.0","894.0","a","1.0","2.0"
"4.0","12.0","0.0","1.0","1.0","102","533.0","1325.0","l","0.0","2.0"
"0.0","16.0","-4.0","1.0","1.0","101","545.0","1180.0","l","0.0","6.0"
"3.0","6.0","0.0","1.0","1.0","102","561.0","1560.0","l","0.0","0.0"
"0.0","14.0","-8.0","0.0","0.0","101","567.0","1487.0","l","1.0","3.0"
"3.0","12.0","0.0","1.0","1.0","102","567.0","1189.0","l","0.0","3.0"
"0.0","18.0","-8.0","0.0","1.0","101","579.0","1216.0","l","1.0","5.0"
"0.0","20.0","-10.0","0.0","0.0","101","579.0","1373.0","a","0.0","5.0"
"0.0","13.0","-2.0","1.0","1.0","101","579.0","1236.0","l","0.0","5.5"
"0.0","15.0","-6.0","0.0","1.0","101","592.0","1392.0","a","0.0","4.5"
"7.0","6.0","0.0","0.0","0.0","102","592.0","1456.0","a","0.0","-4.0"
"0.0","13.0","-8.0","0.0","1.0","101","599.0","1263.0","a","0.0","2.5"
"6.0","8.0","0.0","0.0","0.0","102","599.0","1362.0","a","0.0","-2.0"
"0.0","16.0","-8.0","0.0","0.0","101","605.0","1950.0","l","1.0","4.0"
"4.0","10.0","0.0","1.0","1.0","102","605.0","1148.0","a","1.0","1.0"
"5.0","10.0","0.0","1.0","1.0","102","615.0","1508.0","a","1.0","0.0"
"0.0","12.0","-2.0","1.0","1.0","101","625.0","987.0","a","1.0","5.0"
"0.0","15.0","-4.0","1.0","1.0","101","637.0","1467.0","l","0.0","5.5"
"0.0","13.0","-3.0","1.0","1.0","101","652.0","1365.0","a","1.0","5.0"
"0.0","16.0","-3.0","1.0","0.0","101","665.0","1472.0","l","0.0","6.5"
"0.0","13.0","-10.0","0.0","0.0","101","662.0","1337.0","l","1.0","1.5"
"0.0","16.0","-4.0","1.0","1.0","101","662.0","1540.0","l","0.0","6.0"
"0.0","16.0","-8.0","0.0","0.0","101","678.0","1330.0","l","1.0","4.0"
"0.0","12.0","-5.0","0.0","0.0","101","678.0","1308.0","a","0.0","3.5"
"7.0","14.0","0.0","1.0","0.0","102","678.0","1129.0","l","0.0","0.0"
"5.0","14.0","0.0","1.0","0.0","102","678.0","1715.0","l","0.0","2.0"
"0.0","18.0","-6.0","0.0","1.0","101","678.0","1320.0","a","0.0","6.0"
"0.0","14.0","-4.0","0.0","0.0","101","678.0","2245.0","l","1.0","5.0"
"0.0","20.0","-5.0","1.0","1.0","101","678.0","2223.0","a","1.0","7.5"
"0.0","15.0","-2.0","1.0","1.0","101","698.0","1254.0","l","0.0","6.5"
"3.0","14.0","0.0","1.0","1.0","102","713.0","1616.0","l","0.0","4.0"
"5.0","10.0","0.0","1.0","0.0","102","727.0","1658.0","l","0.0","0.0"
"0.0","16.0","-2.0","1.0","0.0","101","727.0","1038.0","a","1.0","7.0"
"0.0","12.0","-4.0","1.0","0.0","101","725.0","1594.0","l","0.0","4.0"
"0.0","14.0","-5.0","0.0","1.0","101","721.0","1583.0","a","0.0","4.5"
"0.0","13.0","-2.0","1.0","1.0","101","721.0","904.0","a","1.0","5.5"
"7.0","10.0","0.0","0.0","1.0","102","734.0","1411.0","a","0.0","-2.0"
"0.0","12.0","-8.0","0.0","0.0","101","741.0","1306.0","a","0.0","2.0"
"0.0","16.0","-6.0","0.0","1.0","101","741.0","1132.0","l","1.0","5.0"
"0.0","14.0","-6.0","0.0","0.0","101","741.0","1270.0","a","0.0","4.0"
"0.0","16.0","-10.0","0.0","0.0","101","741.0","1342.0","l","1.0","3.0"
"0.0","16.0","-2.0","1.0","1.0","101","741.0","957.0","a","1.0","7.0"
"0.0","13.0","-5.0","0.0","0.0","101","757.0","1346.0","l","1.0","4.0"
"0.0","20.0","-4.0","1.0","0.0","101","757.0","861.0","a","1.0","8.0"
"0.0","18.0","-3.0","1.0","0.0","101","753.0","1333.0","l","0.0","7.5"
"5.0","14.0","0.0","1.0","0.0","102","750.0","1715.0","a","1.0","2.0"
"3.0","10.0","0.0","1.0","1.0","102","750.0","1478.0","l","0.0","2.0"
"0.0","16.0","-3.0","1.0","0.0","101","760.0","1131.0","a","1.0","6.5"
"0.0","14.0","-8.0","0.0","0.0","101","757.0","1124.0","l","1.0","3.0"
"5.0","8.0","0.0","0.0","1.0","102","757.0","1187.0","a","0.0","-1.0"
