"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","14.0","-4.0","1.0","0.0","101","150.0","2087.0","l","0.0","5.0"
"0.0","15.0","-2.0","1.0","0.0","101","146.0","1696.0","l","0.0","6.5"
"3.0","22.0","0.0","0.0","1.0","102","144.0","1513.0","a","0.0","8.0"
"6.0","24.0","0.0","0.0","0.0","102","147.0","1248.0","a","0.0","6.0"
"0.0","12.0","-2.0","1.0","0.0","101","153.0","2094.0","a","1.0","5.0"
"0.0","19.0","-2.0","0.0","0.0","101","151.0","1975.0","a","0.0","8.5"
"0.0","14.0","-5.0","0.0","0.0","101","151.0","1961.0","a","0.0","4.5"
"7.0","16.0","0.0","1.0","0.0","102","151.0","1726.0","a","1.0","1.0"
"4.0","24.0","0.0","0.0","0.0","102","151.0","1628.0","l","1.0","8.0"
"5.0","18.0","0.0","0.0","1.0","102","155.0","1635.0","l","1.0","4.0"
"0.0","19.0","-2.0","1.0","1.0","101","160.0","2140.0","a","1.0","8.5"
"0.0","19.0","-10.0","1.0","1.0","101","179.0","1933.0","l","0.0","4.5"
"0.0","12.0","-5.0","1.0","0.0","101","198.0","1240.0","a","1.0","3.5"
"0.0","15.0","-8.0","1.0","0.0","101","193.0","2045.0","a","1.0","3.5"
"0.0","17.0","-6.0","1.0","0.0","101","185.0","1727.0","l","0.0","5.5"
"0.0","13.0","-10.0","0.0","1.0","101","179.0","2649.0","l","1.0","1.5"
"0.0","13.0","-3.0","1.0","0.0","101","179.0","1997.0","a","1.0","5.0"
"0.0","17.0","-4.0","1.0","0.0","101","176.0","1782.0","a","1.0","6.5"
"0.0","11.0","-10.0","1.0","1.0","101","172.0","1513.0","l","0.0","0.5"
"0.0","15.0","-2.0","1.0","1.0","101","183.0","2569.0","l","0.0","6.5"
"0.0","17.0","-5.0","1.0","0.0","101","198.0","1378.0","l","0.0","6.0"
"0.0","19.0","-4.0","0.0","0.0","101","193.0","1188.0","a","0.0","7.5"
"3.0","20.0","0.0","0.0","1.0","102","193.0","1300.0","l","1.0","7.0"
"0.0","15.0","-4.0","0.0","0.0","101","196.0","2124.0","a","0.0","5.5"
"0.0","11.0","-3.0","1.0","0.0","101","196.0","1874.0","l","0.0","4.0"
"5.0","20.0","0.0","1.0","0.0","102","193.0","2538.0","l","0.0","5.0"
"0.0","15.0","-3.0","1.0","1.0","101","193.0","2263.0","a","1.0","6.0"
"0.0","14.0","-2.0","1.0","1.0","101","208.0","1848.0","a","1.0","6.0"
"7.0","16.0","0.0","0.0","1.0","102","222.0","1412.0","a","0.0","1.0"
"0.0","14.0","-10.0","0.0","1.0","101","229.0","2602.0","a","0.0","2.0"
"0.0","12.0","-3.0","1.0","0.0","101","229.0","2038.0","l","0.0","4.5"
"0.0","17.0","-2.0","1.0","0.0","101","226.0","2003.0","a","1.0","7.5"
"0.0","15.0","-3.0","0.0","1.0","101","224.0","2103.0","l","1.0","6.0"
"0.0","11.0","-6.0","0.0","1.0","101","224.0","1954.0","l","1.0","2.5"
"0.0","11.0","-6.0","0.0","1.0","101","224.0","2184.0","a","0.0","2.5"
"5.0","24.0","0.0","1.0","0.0","102","224.0","1720.0","l","0.0","7.0"
"0.0","11.0","-5.0","1.0","1.0","101","224.0","1899.0","a","1.0","3.0"
"0.0","13.0","-6.0","0.0","0.0","101","235.0","2145.0","a","0.0","3.5"
"0.0","17.0","-10.0","0.0","0.0","101","235.0","1788.0","a","0.0","3.5"
"6.0","20.0","0.0","1.0","1.0","102","235.0","2120.0","l","0.0","4.0"
"0.0","12.0","-4.0","1.0","1.0","101","255.0","1860.0","a","1.0","4.0"
"5.0","20.0","0.0","1.0","1.0","102","267.0","2464.0","l","0.0","5.0"
"0.0","13.0","-5.0","0.0","1.0","101","287.0","2317.0","l","1.0","4.0"
"0.0","14.0","-6.0","1.0","0.0","101","287.0","2096.0","l","0.0","4.0"
"0.0","15.0","-8.0","0.0","1.0","101","281.0","1895.0","l","1.0","3.5"
"0.0","19.0","-10.0","0.0","0.0","101","281.0","1861.0","a","0.0","4.5"
"0.0","14.0","-8.0","0.0","1.0","101","281.0","1927.0","a","0.0","3.0"
"0.0","12.0","-4.0","1.0","0.0","101","281.0","2156.0","a","1.0","4.0"
"4.0","16.0","0.0","0.0","1.0","102","277.0","3426.0","l","1.0","4.0"
"0.0","15.0","-5.0","1.0","0.0","101","281.0","2543.0","a","1.0","5.0"
"3.0","16.0","0.0","1.0","1.0","102","266.0","2573.0","l","0.0","5.0"
"0.0","17.0","-10.0","0.0","1.0","101","282.0","2333.0","a","0.0","3.5"
"5.0","16.0","0.0","0.0","1.0","102","282.0","1363.0","a","0.0","3.0"
"7.0","20.0","0.0","1.0","0.0","102","287.0","1800.0","a","1.0","3.0"
"0.0","12.0","-6.0","0.0","1.0","101","287.0","1928.0","a","0.0","3.0"
"3.0","16.0","0.0","1.0","1.0","102","287.0","1896.0","a","1.0","5.0"
"7.0","24.0","0.0","0.0","1.0","102","303.0","2219.0","l","1.0","5.0"
"0.0","13.0","-3.0","0.0","0.0","101","310.0","2071.0","a","0.0","5.0"
"5.0","16.0","0.0","0.0","1.0","102","310.0","2661.0","l","1.0","3.0"
"0.0","13.0","-2.0","0.0","0.0","101","315.0","2002.0","l","1.0","5.5"
"7.0","22.0","0.0","1.0","0.0","102","315.0","1851.0","l","0.0","4.0"
"5.0","22.0","0.0","1.0","0.0","102","315.0","1757.0","a","1.0","6.0"
"0.0","12.0","-10.0","0.0","1.0","101","315.0","2473.0","l","1.0","1.0"
"0.0","12.0","-5.0","0.0","1.0","101","315.0","2049.0","l","1.0","3.5"
"4.0","24.0","0.0","1.0","0.0","102","315.0","2104.0","l","0.0","8.0"
"6.0","24.0","0.0","0.0","1.0","102","315.0","2072.0","l","1.0","6.0"
"0.0","14.0","-3.0","1.0","1.0","101","321.0","2620.0","l","0.0","5.5"
"3.0","18.0","0.0","0.0","0.0","102","335.0","2179.0","l","1.0","6.0"
"0.0","11.0","-2.0","0.0","1.0","101","338.0","2230.0","l","1.0","4.5"
"0.0","11.0","-4.0","1.0","0.0","101","338.0","2029.0","l","0.0","3.5"
"0.0","15.0","-6.0","0.0","0.0","101","334.0","1844.0","a","0.0","4.5"
"6.0","22.0","0.0","0.0","0.0","102","334.0","2125.0","a","0.0","5.0"
"4.0","18.0","0.0","0.0","1.0","102","340.0","1916.0","a","0.0","5.0"
"0.0","13.0","-4.0","1.0","0.0","101","344.0","2251.0","l","0.0","4.5"
"7.0","18.0","0.0","0.0","0.0","102","340.0","1950.0","l","1.0","2.0"
"0.0","19.0","-6.0","1.0","0.0","101","347.0","2730.0","a","1.0","6.5"
"0.0","19.0","-8.0","0.0","1.0","101","341.0","1990.0","l","1.0","5.5"
"0.0","11.0","-4.0","0.0","1.0","101","341.0","2486.0","l","1.0","3.5"
"0.0","14.0","-8.0","0.0","0.0","101","341.0","1847.0","l","1.0","3.0"
"4.0","20.0","0.0","0.0","0.0","102","341.0","2165.0","a","0.0","6.0"
"0.0","11.0","-8.0","0.0","1.0","101","345.0","2003.0","a","0.0","1.5"
"6.0","16.0","0.0","0.0","0.0","102","345.0","1546.0","a","0.0","2.0"
"0.0","17.0","-8.0","0.0","1.0","101","351.0","2774.0","a","0.0","4.5"
"7.0","24.0","0.0","0.0","1.0","102","351.0","1539.0","a","0.0","5.0"
"0.0","14.0","-4.0","1.0","0.0","101","358.0","2065.0","a","1.0","5.0"
"5.0","18.0","0.0","0.0","1.0","102","354.0","2189.0","l","1.0","4.0"
"0.0","17.0","-4.0","0.0","1.0","101","359.0","1942.0","l","1.0","6.5"
"0.0","11.0","-3.0","0.0","0.0","101","359.0","2041.0","a","0.0","4.0"
"0.0","19.0","-5.0","1.0","0.0","101","359.0","2173.0","a","1.0","7.0"
"0.0","12.0","-6.0","0.0","0.0","101","354.0","2086.0","a","0.0","3.0"
"0.0","17.0","-5.0","0.0","1.0","101","354.0","2252.0","l","1.0","6.0"
"3.0","24.0","0.0","0.0","1.0","102","354.0","1411.0","a","0.0","9.0"
"3.0","18.0","0.0","1.0","1.0","102","357.0","1514.0","l","0.0","6.0"
"0.0","19.0","-3.0","1.0","0.0","101","375.0","2500.0","a","1.0","8.0"
"0.0","14.0","-10.0","0.0","1.0","101","372.0","2268.0","l","1.0","2.0"
"0.0","19.0","-4.0","1.0","0.0","101","372.0","2025.0","l","0.0","7.5"
"0.0","12.0","-2.0","1.0","1.0","101","368.0","2075.0","l","0.0","5.0"
"0.0","13.0","-5.0","0.0","1.0","101","380.0","2166.0","l","1.0","4.0"
"3.0","20.0","0.0","0.0","0.0","102","380.0","1350.0","a","0.0","7.0"
"0.0","17.0","-8.0","0.0","0.0","101","383.0","1777.0","l","1.0","4.5"
"4.0","22.0","0.0","0.0","0.0","102","383.0","2664.0","a","0.0","7.0"
"0.0","13.0","-8.0","0.0","0.0","101","387.0","1935.0","l","1.0","2.5"
"0.0","14.0","-3.0","1.0","1.0","101","387.0","1948.0","l","0.0","5.5"
"0.0","17.0","-6.0","0.0","0.0","101","401.0","2217.0","a","0.0","5.5"
"0.0","19.0","-5.0","1.0","0.0","101","401.0","1836.0","l","0.0","7.0"
"0.0","14.0","-6.0","0.0","1.0","101","396.0","2365.0","l","1.0","4.0"
"5.0","22.0","0.0","1.0","1.0","102","396.0","1571.0","a","1.0","6.0"
"0.0","13.0","-2.0","1.0","1.0","101","418.0","2113.0","a","1.0","5.5"
"0.0","19.0","-6.0","0.0","0.0","101","431.0","2344.0","a","0.0","6.5"
"4.0","22.0","0.0","1.0","1.0","102","431.0","2346.0","l","0.0","7.0"
"0.0","17.0","-3.0","1.0","1.0","101","453.0","2027.0","l","0.0","7.0"
"0.0","19.0","-3.0","1.0","1.0","101","470.0","1903.0","a","1.0","8.0"
"7.0","18.0","0.0","0.0","1.0","102","489.0","2407.0","l","1.0","2.0"
"0.0","15.0","-10.0","0.0","0.0","101","496.0","2029.0","l","1.0","2.5"
"0.0","15.0","-10.0","0.0","0.0","101","496.0","2086.0","a","0.0","2.5"
"3.0","22.0","0.0","1.0","1.0","102","496.0","2020.0","l","0.0","8.0"
