"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"7.0","12.0","0.0","1.0","1.0","102","150.0","633.0","a","1.0","-1.0"
"3.0","12.0","0.0","1.0","0.0","102","162.0","772.0","a","1.0","3.0"
"0.0","16.0","-2.0","0.0","1.0","101","162.0","1168.0","a","0.0","7.0"
"5.0","18.0","0.0","1.0","0.0","102","162.0","643.0","l","0.0","4.0"
"0.0","21.0","-5.0","1.0","1.0","101","162.0","587.0","a","1.0","8.0"
"3.0","18.0","0.0","1.0","0.0","102","183.0","707.0","l","0.0","6.0"
"0.0","15.0","-10.0","0.0","0.0","101","183.0","706.0","a","0.0","2.5"
"0.0","16.0","-10.0","1.0","0.0","101","183.0","767.0","a","1.0","3.0"
"0.0","15.0","-8.0","1.0","1.0","101","173.0","1152.0","a","1.0","3.5"
"0.0","16.0","-4.0","1.0","1.0","101","188.0","919.0","a","1.0","6.0"
"0.0","14.0","-10.0","0.0","0.0","101","204.0","903.0","a","0.0","2.0"
"7.0","12.0","0.0","1.0","1.0","102","204.0","836.0","a","1.0","-1.0"
"6.0","14.0","0.0","0.0","1.0","102","216.0","791.0","l","1.0","1.0"
"0.0","13.0","-10.0","0.0","1.0","101","222.0","802.0","a","0.0","1.5"
"0.0","15.0","-5.0","0.0","1.0","101","222.0","1018.0","a","0.0","5.0"
"0.0","21.0","-2.0","1.0","0.0","101","222.0","776.0","a","1.0","9.5"
"0.0","14.0","-4.0","1.0","1.0","101","220.0","1116.0","l","0.0","5.0"
"0.0","14.0","-10.0","1.0","1.0","101","234.0","759.0","l","0.0","2.0"
"4.0","12.0","0.0","1.0","0.0","102","248.0","802.0","l","0.0","2.0"
"0.0","13.0","-8.0","1.0","0.0","101","248.0","774.0","a","1.0","2.5"
"0.0","16.0","-5.0","0.0","0.0","101","240.0","1106.0","a","0.0","5.5"
"0.0","19.0","-2.0","1.0","1.0","101","240.0","739.0","a","1.0","8.5"
"0.0","21.0","-8.0","1.0","1.0","101","259.0","872.0","a","1.0","6.5"
"0.0","21.0","-10.0","0.0","1.0","101","280.0","861.0","a","0.0","5.5"
"4.0","16.0","0.0","1.0","0.0","102","280.0","781.0","a","1.0","4.0"
"0.0","17.0","-4.0","1.0","0.0","101","280.0","928.0","l","0.0","6.5"
"5.0","14.0","0.0","1.0","0.0","102","276.0","837.0","l","0.0","2.0"
"0.0","19.0","-3.0","1.0","1.0","101","276.0","848.0","l","0.0","8.0"
"0.0","17.0","-4.0","1.0","1.0","101","295.0","904.0","a","1.0","6.5"
"0.0","14.0","-5.0","1.0","0.0","101","312.0","793.0","a","1.0","4.5"
"0.0","14.0","-8.0","0.0","1.0","101","307.0","917.0","a","0.0","3.0"
"0.0","16.0","-3.0","1.0","1.0","101","307.0","806.0","a","1.0","6.5"
"0.0","17.0","-5.0","0.0","1.0","101","323.0","1112.0","a","0.0","6.0"
"0.0","13.0","-2.0","1.0","1.0","101","323.0","595.0","a","1.0","5.5"
"6.0","18.0","0.0","1.0","0.0","102","336.0","994.0","a","1.0","3.0"
"6.0","12.0","0.0","0.0","1.0","102","336.0","894.0","l","1.0","0.0"
"0.0","15.0","-6.0","1.0","0.0","101","342.0","865.0","l","0.0","4.5"
"0.0","17.0","-6.0","1.0","1.0","101","336.0","969.0","a","1.0","5.5"
"5.0","14.0","0.0","0.0","0.0","102","353.0","755.0","l","1.0","2.0"
"0.0","16.0","-2.0","1.0","0.0","101","358.0","831.0","a","1.0","7.0"
"0.0","19.0","-2.0","1.0","1.0","101","356.0","605.0","a","1.0","8.5"
"0.0","16.0","-8.0","1.0","1.0","101","375.0","659.0","a","1.0","4.0"
"4.0","14.0","0.0","1.0","1.0","102","391.0","1089.0","a","1.0","3.0"
"0.0","21.0","-4.0","1.0","0.0","101","405.0","866.0","l","0.0","8.5"
"0.0","17.0","-2.0","1.0","1.0","101","401.0","778.0","l","0.0","7.5"
"0.0","21.0","-5.0","1.0","0.0","101","418.0","768.0","a","1.0","8.0"
"4.0","10.0","0.0","0.0","1.0","102","413.0","911.0","l","1.0","1.0"
"0.0","17.0","-3.0","1.0","1.0","101","417.0","741.0","l","0.0","7.0"
"6.0","16.0","0.0","0.0","0.0","102","434.0","957.0","a","0.0","2.0"
