"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","16.0","-2.0","1.0","1.0","101","150.0","3500.0","a","1.0","7.0"
"7.0","8.0","0.0","1.0","1.0","102","166.0","921.0","l","0.0","-3.0"
"7.0","6.0","0.0","0.0","1.0","102","174.0","858.0","l","1.0","-4.0"
"7.0","14.0","0.0","1.0","0.0","102","181.0","1522.0","l","0.0","0.0"
"6.0","8.0","0.0","0.0","0.0","102","181.0","1382.0","a","0.0","-2.0"
"6.0","12.0","0.0","1.0","1.0","102","187.0","1419.0","l","0.0","0.0"
"0.0","17.0","-8.0","1.0","0.0","101","199.0","1303.0","l","0.0","4.5"
"0.0","16.0","-6.0","1.0","0.0","101","191.0","1692.0","l","0.0","5.0"
"0.0","16.0","-6.0","0.0","0.0","101","185.0","1173.0","a","0.0","5.0"
"0.0","17.0","-10.0","0.0","0.0","101","185.0","1472.0","a","0.0","3.5"
"0.0","18.0","-4.0","1.0","0.0","101","185.0","2250.0","l","0.0","7.0"
"0.0","17.0","-3.0","1.0","1.0","101","181.0","1118.0","a","1.0","7.0"
"0.0","17.0","-6.0","0.0","0.0","101","198.0","1103.0","a","0.0","5.5"
"0.0","15.0","-6.0","0.0","1.0","101","198.0","1176.0","l","1.0","4.5"
"3.0","12.0","0.0","1.0","0.0","102","198.0","823.0","l","0.0","3.0"
"0.0","22.0","-6.0","1.0","1.0","101","198.0","1299.0","a","1.0","8.0"
"0.0","16.0","-5.0","0.0","0.0","101","220.0","1256.0","a","0.0","5.5"
"4.0","6.0","0.0","0.0","1.0","102","220.0","1676.0","a","0.0","-1.0"
"0.0","20.0","-3.0","-999.0","1.0","101","224.0","","-999","1.0","8.5"
"0.0","14.0","-3.0","-999.0","1.0","101","224.0","","-999","1.0","5.5"
"0.0","20.0","-6.0","1.0","0.0","101","224.0","3616.0","l","0.0","7.0"
"3.0","6.0","0.0","1.0","1.0","102","218.0","1318.0","l","0.0","0.0"
"0.0","15.0","-4.0","1.0","0.0","101","224.0","1569.0","l","0.0","5.5"
"0.0","18.0","-5.0","-999.0","0.0","101","220.0","","-999","1.0","6.5"
"3.0","10.0","0.0","-999.0","0.0","102","220.0","","-999","1.0","2.0"
"7.0","12.0","0.0","-999.0","1.0","102","220.0","","-999","1.0","-1.0"
"0.0","18.0","-4.0","-999.0","1.0","101","220.0","","-999","0.0","7.0"
"0.0","22.0","-4.0","-999.0","1.0","101","220.0","","-999","1.0","9.0"
"0.0","14.0","-4.0","-999.0","1.0","101","220.0","","-999","0.0","5.0"
"6.0","6.0","0.0","-999.0","0.0","102","220.0","","-999","0.0","-3.0"
"0.0","18.0","-2.0","1.0","0.0","101","220.0","1196.0","a","1.0","8.0"
"0.0","16.0","-5.0","1.0","0.0","101","218.0","1367.0","a","1.0","5.5"
"6.0","10.0","0.0","0.0","1.0","102","213.0","769.0","l","1.0","-1.0"
"5.0","6.0","0.0","0.0","0.0","102","219.0","1181.0","l","1.0","-2.0"
"0.0","15.0","-2.0","1.0","1.0","101","224.0","851.0","l","0.0","6.5"
"0.0","20.0","-3.0","1.0","0.0","101","239.0","1629.0","a","1.0","8.5"
"0.0","16.0","-8.0","0.0","0.0","101","236.0","931.0","l","1.0","4.0"
"0.0","14.0","-10.0","0.0","0.0","101","236.0","1048.0","a","0.0","2.0"
"0.0","14.0","-8.0","0.0","0.0","101","236.0","1054.0","l","1.0","3.0"
"0.0","22.0","-10.0","0.0","0.0","101","236.0","1001.0","a","0.0","6.0"
"0.0","18.0","-3.0","1.0","1.0","101","236.0","856.0","l","0.0","7.5"
"0.0","16.0","-10.0","0.0","1.0","101","254.0","866.0","l","1.0","3.0"
"0.0","15.0","-8.0","0.0","1.0","101","254.0","737.0","a","0.0","3.5"
"5.0","10.0","0.0","1.0","0.0","102","254.0","958.0","l","0.0","0.0"
"0.0","20.0","-5.0","1.0","0.0","101","254.0","917.0","l","0.0","7.5"
"6.0","10.0","0.0","1.0","0.0","102","249.0","828.0","a","1.0","-1.0"
"0.0","15.0","-2.0","1.0","1.0","101","249.0","757.0","a","1.0","6.5"
"5.0","12.0","0.0","1.0","0.0","102","264.0","1111.0","a","1.0","1.0"
"0.0","22.0","-3.0","1.0","1.0","101","264.0","776.0","l","0.0","9.5"
"0.0","22.0","-2.0","1.0","0.0","101","286.0","684.0","a","1.0","10.0"
"3.0","8.0","0.0","0.0","1.0","102","284.0","1123.0","l","1.0","1.0"
"5.0","14.0","0.0","1.0","1.0","102","287.0","1242.0","a","1.0","2.0"
"7.0","10.0","0.0","1.0","0.0","102","301.0","1227.0","l","0.0","-2.0"
"0.0","16.0","-3.0","1.0","0.0","101","301.0","781.0","a","1.0","6.5"
"4.0","12.0","0.0","1.0","0.0","102","298.0","717.0","l","0.0","2.0"
"0.0","16.0","-3.0","1.0","0.0","101","298.0","701.0","l","0.0","6.5"
"0.0","17.0","-8.0","1.0","0.0","101","295.0","558.0","l","0.0","4.5"
"0.0","17.0","-4.0","1.0","0.0","101","287.0","957.0","l","0.0","6.5"
"4.0","10.0","0.0","1.0","0.0","102","283.0","743.0","l","0.0","1.0"
"0.0","20.0","-4.0","1.0","0.0","101","283.0","600.0","l","0.0","8.0"
"0.0","22.0","-4.0","0.0","0.0","101","279.0","557.0","a","0.0","9.0"
"0.0","22.0","-5.0","1.0","0.0","101","279.0","1289.0","a","1.0","8.5"
"0.0","14.0","-5.0","1.0","1.0","101","274.0","655.0","l","0.0","4.5"
"0.0","14.0","-8.0","0.0","0.0","101","288.0","736.0","l","1.0","3.0"
"0.0","17.0","-5.0","0.0","1.0","101","288.0","876.0","a","0.0","6.0"
"7.0","14.0","0.0","0.0","1.0","102","288.0","952.0","a","0.0","0.0"
"0.0","16.0","-4.0","0.0","0.0","101","295.0","1154.0","l","1.0","6.0"
"0.0","15.0","-5.0","0.0","0.0","101","295.0","727.0","l","1.0","5.0"
"0.0","20.0","-4.0","1.0","1.0","101","295.0","666.0","a","1.0","8.0"
"0.0","17.0","-6.0","0.0","0.0","101","315.0","1612.0","l","1.0","5.5"
"0.0","14.0","-10.0","0.0","0.0","101","315.0","1712.0","a","0.0","2.0"
"0.0","17.0","-4.0","1.0","1.0","101","315.0","1294.0","a","1.0","6.5"
"0.0","17.0","-2.0","1.0","0.0","101","332.0","895.0","l","0.0","7.5"
"5.0","10.0","0.0","0.0","0.0","102","330.0","1087.0","l","1.0","0.0"
"6.0","14.0","0.0","1.0","0.0","102","335.0","915.0","l","0.0","1.0"
"0.0","22.0","-3.0","1.0","0.0","101","335.0","873.0","l","0.0","9.5"
"0.0","22.0","-2.0","1.0","1.0","101","332.0","470.0","l","0.0","10.0"
"0.0","17.0","-10.0","0.0","0.0","101","354.0","752.0","l","1.0","3.5"
"0.0","14.0","-2.0","0.0","0.0","101","354.0","791.0","l","1.0","6.0"
"0.0","20.0","-5.0","0.0","0.0","101","354.0","1120.0","a","0.0","7.5"
"4.0","14.0","0.0","0.0","1.0","102","354.0","1073.0","l","1.0","3.0"
"0.0","14.0","-6.0","0.0","0.0","101","358.0","846.0","a","0.0","4.0"
"6.0","12.0","0.0","1.0","0.0","102","358.0","868.0","a","1.0","0.0"
"0.0","16.0","-10.0","0.0","0.0","101","358.0","772.0","l","1.0","3.0"
"0.0","15.0","-3.0","1.0","0.0","101","358.0","730.0","a","1.0","6.0"
"0.0","16.0","-4.0","0.0","0.0","101","355.0","1023.0","a","0.0","6.0"
"0.0","20.0","-10.0","0.0","0.0","101","355.0","1439.0","l","1.0","5.0"
"4.0","10.0","0.0","1.0","0.0","102","355.0","849.0","l","0.0","1.0"
"0.0","15.0","-10.0","0.0","0.0","101","355.0","863.0","l","1.0","2.5"
"0.0","22.0","-5.0","1.0","0.0","101","355.0","783.0","l","0.0","8.5"
"0.0","15.0","-5.0","0.0","0.0","101","350.0","659.0","a","0.0","5.0"
"0.0","18.0","-6.0","0.0","1.0","101","350.0","1390.0","l","1.0","6.0"
"0.0","22.0","-10.0","0.0","1.0","101","350.0","1287.0","a","0.0","6.0"
"4.0","8.0","0.0","0.0","1.0","102","350.0","1352.0","l","1.0","0.0"
"3.0","8.0","0.0","1.0","1.0","102","354.0","1565.0","l","0.0","1.0"
"0.0","18.0","-10.0","0.0","1.0","101","362.0","904.0","l","1.0","4.0"
"0.0","14.0","-4.0","0.0","0.0","101","362.0","760.0","l","1.0","5.0"
"0.0","16.0","-2.0","1.0","0.0","101","362.0","1377.0","a","1.0","7.0"
"0.0","20.0","-10.0","0.0","0.0","101","360.0","778.0","a","0.0","5.0"
"4.0","14.0","0.0","1.0","0.0","102","360.0","1186.0","l","0.0","3.0"
"0.0","20.0","-8.0","0.0","1.0","101","360.0","1038.0","a","0.0","6.0"
"3.0","14.0","0.0","1.0","0.0","102","360.0","740.0","a","1.0","4.0"
"4.0","6.0","0.0","1.0","1.0","102","360.0","798.0","l","0.0","-1.0"
"6.0","8.0","0.0","1.0","1.0","102","366.0","733.0","a","1.0","-2.0"
"0.0","17.0","-5.0","0.0","1.0","101","374.0","937.0","l","1.0","6.0"
"0.0","14.0","-5.0","0.0","0.0","101","374.0","1217.0","a","0.0","4.5"
"0.0","18.0","-10.0","0.0","0.0","101","374.0","837.0","a","0.0","4.0"
"5.0","14.0","0.0","0.0","1.0","102","374.0","1097.0","l","1.0","2.0"
"0.0","18.0","-8.0","0.0","0.0","101","379.0","729.0","l","1.0","5.0"
"0.0","22.0","-8.0","0.0","1.0","101","379.0","1280.0","l","1.0","7.0"
"3.0","10.0","0.0","1.0","0.0","102","379.0","1129.0","l","0.0","2.0"
"0.0","18.0","-8.0","0.0","0.0","101","379.0","731.0","l","1.0","5.0"
"5.0","12.0","0.0","1.0","1.0","102","379.0","1754.0","a","1.0","1.0"
"7.0","12.0","0.0","0.0","0.0","102","391.0","977.0","l","1.0","-1.0"
"5.0","6.0","0.0","0.0","1.0","102","398.0","777.0","a","0.0","-2.0"
"6.0","14.0","0.0","1.0","0.0","102","403.0","1562.0","l","0.0","1.0"
"0.0","22.0","-6.0","0.0","0.0","101","403.0","752.0","a","0.0","8.0"
"0.0","20.0","-6.0","0.0","1.0","101","403.0","763.0","a","0.0","7.0"
"7.0","6.0","0.0","0.0","1.0","102","403.0","642.0","a","0.0","-4.0"
"0.0","20.0","-2.0","1.0","1.0","101","410.0","1579.0","l","0.0","9.0"
"0.0","18.0","-2.0","1.0","1.0","101","430.0","1250.0","l","0.0","8.0"
"5.0","8.0","0.0","0.0","1.0","102","448.0","965.0","a","0.0","-1.0"
"6.0","6.0","0.0","0.0","0.0","102","453.0","1065.0","l","1.0","-3.0"
"0.0","15.0","-10.0","0.0","1.0","101","459.0","1164.0","a","0.0","2.5"
"0.0","15.0","-8.0","0.0","1.0","101","459.0","1004.0","a","0.0","3.5"
"0.0","15.0","-6.0","0.0","0.0","101","459.0","792.0","a","0.0","4.5"
"7.0","10.0","0.0","0.0","0.0","102","459.0","1151.0","l","1.0","-2.0"
"3.0","12.0","0.0","1.0","1.0","102","466.0","1332.0","a","1.0","3.0"
"0.0","14.0","-2.0","1.0","1.0","101","478.0","1043.0","a","1.0","6.0"
"0.0","20.0","-2.0","1.0","0.0","101","492.0","923.0","a","1.0","9.0"
"3.0","14.0","0.0","1.0","1.0","102","490.0","811.0","l","0.0","4.0"
"0.0","15.0","-3.0","0.0","0.0","101","504.0","790.0","l","1.0","6.0"
"0.0","14.0","-3.0","0.0","0.0","101","504.0","1435.0","a","0.0","5.5"
"4.0","12.0","0.0","1.0","0.0","102","504.0","815.0","a","1.0","2.0"
"0.0","17.0","-3.0","1.0","1.0","101","504.0","1046.0","l","0.0","7.0"
"7.0","8.0","0.0","0.0","1.0","102","521.0","1897.0","l","1.0","-3.0"
"0.0","15.0","-4.0","0.0","0.0","101","528.0","963.0","a","0.0","5.5"
"0.0","17.0","-2.0","1.0","0.0","101","528.0","977.0","l","0.0","7.5"
"0.0","20.0","-8.0","0.0","1.0","101","526.0","2469.0","l","1.0","6.0"
"0.0","18.0","-5.0","0.0","1.0","101","526.0","997.0","l","1.0","6.5"
"5.0","8.0","0.0","0.0","1.0","102","526.0","665.0","l","1.0","-1.0"
"0.0","22.0","-8.0","0.0","1.0","101","531.0","1615.0","a","0.0","7.0"
"0.0","14.0","-6.0","0.0","0.0","101","531.0","679.0","l","1.0","4.0"
"3.0","6.0","0.0","0.0","1.0","102","531.0","1178.0","l","1.0","0.0"
"0.0","18.0","-6.0","0.0","0.0","101","534.0","1046.0","l","1.0","6.0"
"0.0","16.0","-8.0","0.0","0.0","101","534.0","675.0","a","0.0","4.0"
"4.0","8.0","0.0","1.0","0.0","102","534.0","1035.0","l","0.0","0.0"
"0.0","18.0","-3.0","0.0","0.0","101","534.0","700.0","l","1.0","7.5"
