"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","11.0","-5.0","0.0","0.0","101","150.0","1795.0","a","0.0","3.0"
"5.0","22.0","0.0","0.0","1.0","102","150.0","765.0","a","0.0","6.0"
"0.0","11.0","-8.0","0.0","1.0","101","155.0","1560.0","l","1.0","1.5"
"5.0","18.0","0.0","0.0","0.0","102","155.0","928.0","l","1.0","4.0"
"0.0","11.0","-4.0","0.0","1.0","101","160.0","1867.0","a","0.0","3.5"
"0.0","13.0","-2.0","1.0","1.0","101","160.0","1140.0","l","0.0","5.5"
"0.0","14.0","-3.0","1.0","0.0","101","173.0","1152.0","l","0.0","5.5"
"0.0","13.0","-5.0","0.0","1.0","101","170.0","1138.0","a","0.0","4.0"
"0.0","15.0","-3.0","1.0","1.0","101","170.0","1441.0","a","1.0","6.0"
"7.0","20.0","0.0","0.0","1.0","102","185.0","1058.0","a","0.0","3.0"
"0.0","11.0","-6.0","0.0","0.0","101","192.0","1215.0","a","0.0","2.5"
"0.0","19.0","-8.0","1.0","1.0","101","192.0","1907.0","a","1.0","5.5"
"6.0","24.0","0.0","0.0","0.0","102","211.0","929.0","a","0.0","6.0"
"0.0","15.0","-4.0","1.0","0.0","101","217.0","1246.0","l","0.0","5.5"
"0.0","15.0","-6.0","1.0","0.0","101","213.0","1140.0","l","0.0","4.5"
"0.0","13.0","-6.0","1.0","0.0","101","207.0","813.0","a","1.0","3.5"
"0.0","12.0","-2.0","1.0","1.0","101","201.0","1326.0","l","0.0","5.0"
"7.0","18.0","0.0","0.0","0.0","102","213.0","1152.0","l","1.0","2.0"
"0.0","11.0","-2.0","1.0","1.0","101","220.0","1391.0","a","1.0","4.5"
"0.0","14.0","-3.0","0.0","0.0","101","231.0","1532.0","a","0.0","5.5"
"6.0","20.0","0.0","1.0","0.0","102","231.0","1210.0","l","0.0","4.0"
"0.0","19.0","-4.0","1.0","1.0","101","231.0","1964.0","a","1.0","7.5"
"0.0","12.0","-6.0","0.0","0.0","101","250.0","1125.0","a","0.0","3.0"
"0.0","17.0","-3.0","1.0","1.0","101","250.0","1485.0","l","0.0","7.0"
"0.0","12.0","-5.0","0.0","1.0","101","267.0","1475.0","l","1.0","3.5"
"0.0","19.0","-5.0","1.0","0.0","101","267.0","1531.0","l","0.0","7.0"
"0.0","12.0","-3.0","1.0","1.0","101","262.0","1378.0","a","1.0","4.5"
"5.0","20.0","0.0","1.0","1.0","102","274.0","1168.0","a","1.0","5.0"
"7.0","22.0","0.0","1.0","1.0","102","294.0","1189.0","a","1.0","4.0"
"4.0","18.0","0.0","1.0","1.0","102","316.0","1437.0","a","1.0","5.0"
"0.0","17.0","-6.0","0.0","1.0","101","334.0","1595.0","a","0.0","5.5"
"5.0","18.0","0.0","1.0","0.0","102","334.0","1263.0","a","1.0","4.0"
"6.0","26.0","0.0","1.0","0.0","102","334.0","805.0","a","1.0","7.0"
"6.0","18.0","0.0","1.0","1.0","102","334.0","827.0","l","0.0","3.0"
"4.0","22.0","0.0","1.0","0.0","102","352.0","828.0","l","0.0","7.0"
"0.0","15.0","-10.0","0.0","1.0","101","352.0","1637.0","a","0.0","2.5"
"0.0","13.0","-2.0","1.0","0.0","101","352.0","1150.0","l","0.0","5.5"
"0.0","13.0","-6.0","0.0","1.0","101","350.0","1889.0","a","0.0","3.5"
"0.0","17.0","-6.0","0.0","0.0","101","350.0","1203.0","a","0.0","5.5"
"0.0","11.0","-8.0","0.0","1.0","101","350.0","865.0","l","1.0","1.5"
"0.0","15.0","-8.0","0.0","1.0","101","350.0","1065.0","a","0.0","3.5"
"0.0","12.0","-3.0","1.0","1.0","101","350.0","1087.0","l","0.0","4.5"
"0.0","14.0","-8.0","0.0","0.0","101","362.0","977.0","a","0.0","3.0"
