"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","20.0","-3.0","1.0","1.0","101","150.0","1171.0","l","0.0","8.5"
"7.0","16.0","0.0","1.0","1.0","102","170.0","1227.0","a","1.0","1.0"
"0.0","15.0","-10.0","0.0","0.0","101","186.0","1012.0","a","0.0","2.5"
"5.0","16.0","0.0","0.0","1.0","102","186.0","1220.0","l","1.0","3.0"
"6.0","12.0","0.0","0.0","0.0","102","191.0","852.0","a","0.0","0.0"
"6.0","10.0","0.0","1.0","1.0","102","197.0","1502.0","l","0.0","-1.0"
"0.0","15.0","-6.0","0.0","0.0","101","207.0","1224.0","l","1.0","4.5"
"0.0","13.0","-8.0","0.0","1.0","101","207.0","1264.0","l","1.0","2.5"
"0.0","12.0","-10.0","0.0","1.0","101","207.0","1082.0","a","0.0","1.0"
"0.0","14.0","-6.0","0.0","0.0","101","207.0","1122.0","l","1.0","4.0"
"7.0","10.0","0.0","0.0","0.0","102","207.0","1247.0","l","1.0","-2.0"
"4.0","18.0","0.0","1.0","1.0","102","214.0","1031.0","a","1.0","5.0"
"3.0","16.0","0.0","1.0","0.0","102","232.0","857.0","l","0.0","5.0"
"0.0","13.0","-10.0","0.0","0.0","101","232.0","930.0","l","1.0","1.5"
"0.0","12.0","-2.0","1.0","0.0","101","232.0","921.0","a","1.0","5.0"
"0.0","18.0","-2.0","1.0","1.0","101","230.0","1111.0","a","1.0","8.0"
"0.0","15.0","-4.0","0.0","0.0","101","248.0","1532.0","a","0.0","5.5"
"6.0","18.0","0.0","1.0","0.0","102","248.0","980.0","a","1.0","3.0"
"6.0","10.0","0.0","1.0","0.0","102","248.0","1135.0","a","1.0","-1.0"
"0.0","18.0","-5.0","0.0","1.0","101","248.0","1066.0","a","0.0","6.5"
"0.0","13.0","-6.0","0.0","0.0","101","248.0","1430.0","l","1.0","3.5"
"0.0","18.0","-6.0","0.0","1.0","101","248.0","1023.0","l","1.0","6.0"
"0.0","14.0","-5.0","0.0","1.0","101","248.0","1011.0","l","1.0","4.5"
"0.0","18.0","-10.0","0.0","0.0","101","248.0","976.0","a","0.0","4.0"
"0.0","18.0","-3.0","0.0","0.0","101","248.0","858.0","a","0.0","7.5"
"0.0","15.0","-5.0","0.0","0.0","101","248.0","1156.0","a","0.0","5.0"
"4.0","12.0","0.0","1.0","0.0","102","248.0","1270.0","l","0.0","2.0"
"0.0","14.0","-3.0","0.0","1.0","101","248.0","893.0","l","1.0","5.5"
"0.0","15.0","-3.0","0.0","1.0","101","248.0","1051.0","a","0.0","6.0"
"0.0","16.0","-3.0","0.0","1.0","101","248.0","1024.0","a","0.0","6.5"
"3.0","14.0","0.0","1.0","1.0","102","248.0","999.0","l","0.0","4.0"
"6.0","16.0","0.0","1.0","0.0","102","262.0","846.0","l","0.0","2.0"
