"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","9.0","-2.0","1.0","0.0","101","150.0","1061.0","a","1.0","3.5"
"0.0","11.0","-5.0","1.0","0.0","101","148.0","685.0","l","0.0","3.0"
"0.0","12.0","-4.0","1.0","1.0","101","143.0","575.0","l","0.0","4.0"
"7.0","8.0","0.0","1.0","1.0","102","155.0","1218.0","l","0.0","-3.0"
"0.0","9.0","-3.0","1.0","1.0","101","163.0","803.0","l","0.0","3.0"
"0.0","11.0","-6.0","1.0","0.0","101","172.0","682.0","l","0.0","2.5"
"0.0","10.0","-4.0","1.0","1.0","101","166.0","597.0","l","0.0","3.0"
"3.0","6.0","0.0","1.0","0.0","102","176.0","1188.0","l","0.0","0.0"
"0.0","9.0","-4.0","1.0","0.0","101","176.0","893.0","a","1.0","2.5"
"0.0","10.0","-10.0","0.0","1.0","101","172.0","1203.0","l","1.0","0.0"
"0.0","10.0","-5.0","1.0","1.0","101","172.0","925.0","a","1.0","2.5"
"6.0","12.0","0.0","0.0","1.0","102","182.0","661.0","l","1.0","0.0"
"0.0","12.0","-8.0","1.0","0.0","101","188.0","862.0","l","0.0","2.0"
"0.0","15.0","-6.0","1.0","1.0","101","180.0","1000.0","l","0.0","4.5"
"0.0","10.0","-6.0","0.0","1.0","101","195.0","1019.0","l","1.0","2.0"
"0.0","12.0","-5.0","1.0","0.0","101","195.0","828.0","l","0.0","3.5"
"4.0","14.0","0.0","1.0","0.0","102","190.0","832.0","l","0.0","3.0"
"6.0","8.0","0.0","1.0","1.0","102","190.0","555.0","l","0.0","-2.0"
"5.0","10.0","0.0","1.0","1.0","102","198.0","1029.0","a","1.0","0.0"
"3.0","14.0","0.0","1.0","1.0","102","208.0","515.0","a","1.0","4.0"
"4.0","8.0","0.0","1.0","0.0","102","222.0","677.0","l","0.0","0.0"
"3.0","8.0","0.0","1.0","0.0","102","222.0","494.0","a","1.0","1.0"
"0.0","12.0","-3.0","1.0","0.0","101","222.0","610.0","a","1.0","4.5"
"0.0","13.0","-10.0","1.0","0.0","101","219.0","680.0","l","0.0","1.5"
"0.0","10.0","-6.0","1.0","0.0","101","209.0","544.0","a","1.0","2.0"
"3.0","10.0","0.0","1.0","1.0","102","203.0","638.0","l","0.0","2.0"
"0.0","11.0","-4.0","1.0","1.0","101","213.0","909.0","a","1.0","3.5"
