"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","15.0","-5.0","1.0","1.0","101","150.0","3363.0","l","0.0","5.0"
"0.0","15.0","-4.0","1.0","0.0","101","165.0","1316.0","l","0.0","5.5"
"0.0","16.0","-6.0","1.0","0.0","101","161.0","1498.0","l","0.0","5.0"
"0.0","14.0","-2.0","1.0","1.0","101","155.0","1283.0","a","1.0","6.0"
"7.0","18.0","0.0","0.0","0.0","102","169.0","2295.0","l","1.0","2.0"
"0.0","20.0","-4.0","1.0","0.0","101","176.0","1472.0","a","1.0","8.0"
"0.0","18.0","-6.0","1.0","1.0","101","172.0","3002.0","a","1.0","6.0"
"0.0","12.0","-4.0","1.0","0.0","101","190.0","1471.0","a","1.0","4.0"
"4.0","14.0","0.0","1.0","1.0","102","186.0","1909.0","l","0.0","3.0"
"0.0","13.0","-6.0","0.0","1.0","101","200.0","1673.0","l","1.0","3.5"
"0.0","20.0","-3.0","1.0","1.0","101","200.0","1284.0","a","1.0","8.5"
"0.0","14.0","-10.0","0.0","0.0","101","220.0","1416.0","a","0.0","2.0"
"0.0","12.0","-6.0","0.0","0.0","101","220.0","1417.0","l","1.0","3.0"
"3.0","10.0","0.0","1.0","0.0","102","220.0","2327.0","a","1.0","2.0"
"0.0","13.0","-8.0","0.0","0.0","101","220.0","1647.0","l","1.0","2.5"
"4.0","18.0","0.0","0.0","1.0","102","220.0","2027.0","l","1.0","5.0"
"5.0","12.0","0.0","0.0","0.0","102","224.0","1501.0","l","1.0","1.0"
"0.0","13.0","-5.0","1.0","0.0","101","229.0","2872.0","l","0.0","4.0"
"6.0","10.0","0.0","0.0","1.0","102","224.0","1420.0","l","1.0","-1.0"
"3.0","18.0","0.0","1.0","0.0","102","230.0","2419.0","a","1.0","6.0"
"6.0","14.0","0.0","1.0","0.0","102","230.0","2015.0","a","1.0","1.0"
"5.0","16.0","0.0","1.0","0.0","102","230.0","1665.0","a","1.0","3.0"
"4.0","10.0","0.0","0.0","0.0","102","230.0","2781.0","a","0.0","1.0"
"0.0","20.0","-5.0","1.0","0.0","101","234.0","1746.0","l","0.0","7.5"
"0.0","18.0","-10.0","0.0","0.0","101","229.0","1865.0","a","0.0","4.0"
"5.0","16.0","0.0","1.0","0.0","102","229.0","2818.0","a","1.0","3.0"
"0.0","12.0","-5.0","1.0","1.0","101","229.0","2611.0","l","0.0","3.5"
"0.0","15.0","-6.0","1.0","1.0","101","241.0","1924.0","l","0.0","4.5"
"0.0","13.0","-2.0","1.0","0.0","101","256.0","1955.0","a","1.0","5.5"
"0.0","16.0","-5.0","1.0","0.0","101","254.0","1868.0","l","0.0","5.5"
"0.0","12.0","-10.0","0.0","1.0","101","249.0","2229.0","l","1.0","1.0"
"0.0","15.0","-5.0","1.0","0.0","101","249.0","2302.0","a","1.0","5.0"
"0.0","14.0","-4.0","1.0","1.0","101","244.0","1793.0","l","0.0","5.0"
"0.0","15.0","-6.0","1.0","0.0","101","258.0","2017.0","a","1.0","4.5"
"0.0","12.0","-10.0","0.0","0.0","101","252.0","1734.0","a","0.0","1.0"
"6.0","12.0","0.0","1.0","0.0","102","252.0","2272.0","l","0.0","0.0"
"0.0","20.0","-6.0","1.0","1.0","101","252.0","2633.0","a","1.0","7.0"
"3.0","12.0","0.0","1.0","0.0","102","272.0","2329.0","a","1.0","3.0"
"0.0","15.0","-8.0","1.0","0.0","101","272.0","2386.0","a","1.0","3.5"
"0.0","16.0","-6.0","1.0","1.0","101","264.0","1518.0","l","0.0","5.0"
"0.0","16.0","-4.0","1.0","1.0","101","280.0","1670.0","l","0.0","6.0"
"0.0","14.0","-8.0","0.0","1.0","101","296.0","2035.0","a","0.0","3.0"
"3.0","12.0","0.0","1.0","1.0","102","296.0","2439.0","a","1.0","3.0"
"0.0","12.0","-8.0","0.0","0.0","101","308.0","1394.0","l","1.0","2.0"
"0.0","15.0","-10.0","0.0","1.0","101","308.0","2073.0","l","1.0","2.5"
"4.0","16.0","0.0","1.0","0.0","102","308.0","1805.0","l","0.0","4.0"
"0.0","15.0","-3.0","1.0","0.0","101","308.0","1449.0","a","1.0","6.0"
"6.0","18.0","0.0","1.0","0.0","102","305.0","2565.0","l","0.0","3.0"
"0.0","18.0","-4.0","1.0","1.0","101","305.0","1806.0","l","0.0","7.0"
"0.0","14.0","-5.0","1.0","0.0","101","323.0","2573.0","l","0.0","4.5"
"4.0","12.0","0.0","1.0","0.0","102","318.0","1197.0","l","0.0","2.0"
"0.0","16.0","-3.0","1.0","0.0","101","318.0","1393.0","a","1.0","6.5"
"0.0","12.0","-8.0","0.0","0.0","101","315.0","1975.0","l","1.0","2.0"
"0.0","13.0","-10.0","0.0","1.0","101","315.0","1464.0","l","1.0","1.5"
"0.0","15.0","-10.0","0.0","1.0","101","315.0","1569.0","a","0.0","2.5"
"0.0","18.0","-10.0","0.0","1.0","101","315.0","1616.0","l","1.0","4.0"
"0.0","18.0","-4.0","1.0","0.0","101","315.0","1834.0","l","0.0","7.0"
"0.0","13.0","-3.0","1.0","1.0","101","311.0","1547.0","l","0.0","5.0"
"0.0","16.0","-2.0","1.0","1.0","101","324.0","1362.0","l","0.0","7.0"
"0.0","20.0","-10.0","0.0","0.0","101","340.0","1300.0","a","0.0","5.0"
"0.0","20.0","-2.0","1.0","1.0","101","340.0","1385.0","l","0.0","9.0"
"0.0","15.0","-2.0","1.0","1.0","101","360.0","1504.0","l","0.0","6.5"
"7.0","10.0","0.0","0.0","0.0","102","375.0","2585.0","l","1.0","-2.0"
"5.0","18.0","0.0","0.0","0.0","102","382.0","2584.0","l","1.0","4.0"
"7.0","10.0","0.0","0.0","1.0","102","387.0","1575.0","l","1.0","-2.0"
"3.0","14.0","0.0","0.0","0.0","102","394.0","1488.0","l","1.0","4.0"
"0.0","18.0","-6.0","1.0","1.0","101","397.0","1880.0","l","0.0","6.0"
"0.0","16.0","-3.0","1.0","1.0","101","415.0","1708.0","l","0.0","6.5"
"0.0","13.0","-5.0","1.0","1.0","101","431.0","2199.0","a","1.0","4.0"
"0.0","20.0","-2.0","1.0","0.0","101","444.0","1454.0","l","0.0","9.0"
"0.0","12.0","-5.0","0.0","0.0","101","442.0","1720.0","l","1.0","3.5"
"0.0","20.0","-4.0","1.0","1.0","101","442.0","1737.0","l","0.0","8.0"
"5.0","10.0","0.0","0.0","0.0","102","462.0","2224.0","l","1.0","0.0"
"0.0","20.0","-6.0","1.0","1.0","101","467.0","1880.0","a","1.0","7.0"
"0.0","15.0","-2.0","1.0","0.0","101","487.0","1430.0","l","0.0","6.5"
"0.0","12.0","-4.0","1.0","1.0","101","485.0","1418.0","l","0.0","4.0"
"4.0","16.0","0.0","1.0","1.0","102","497.0","2342.0","l","0.0","4.0"
"0.0","20.0","-8.0","0.0","0.0","101","513.0","1744.0","l","1.0","6.0"
"4.0","12.0","0.0","1.0","0.0","102","513.0","2095.0","l","0.0","2.0"
"0.0","13.0","-3.0","1.0","1.0","101","513.0","1812.0","a","1.0","5.0"
"6.0","10.0","0.0","0.0","1.0","102","526.0","2101.0","a","0.0","-1.0"
"6.0","18.0","0.0","0.0","1.0","102","532.0","2072.0","l","1.0","3.0"
"0.0","14.0","-10.0","0.0","0.0","101","538.0","1948.0","l","1.0","2.0"
"0.0","16.0","-10.0","0.0","1.0","101","538.0","1615.0","a","0.0","3.0"
"3.0","14.0","0.0","1.0","1.0","102","538.0","1958.0","l","0.0","4.0"
"7.0","14.0","0.0","0.0","0.0","102","552.0","2142.0","l","1.0","0.0"
