"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","22.0","-3.0","0.0","1.0","101","150.0","1533.0","l","1.0","9.5"
"0.0","23.0","-4.0","0.0","1.0","101","150.0","1000.0","a","0.0","9.5"
"0.0","21.0","-4.0","0.0","0.0","101","150.0","1018.0","a","0.0","8.5"
"7.0","12.0","0.0","1.0","0.0","102","150.0","740.0","l","0.0","-1.0"
"0.0","21.0","-2.0","1.0","0.0","101","150.0","1557.0","l","0.0","9.5"
"0.0","20.0","-3.0","0.0","0.0","101","148.0","1026.0","l","1.0","8.5"
"0.0","23.0","-3.0","0.0","1.0","101","148.0","1149.0","a","0.0","10.0"
"0.0","27.0","-10.0","0.0","1.0","101","148.0","877.0","l","1.0","8.5"
"6.0","8.0","0.0","1.0","0.0","102","148.0","1225.0","l","0.0","-2.0"
"5.0","12.0","0.0","1.0","1.0","102","148.0","1230.0","a","1.0","1.0"
"0.0","23.0","-5.0","0.0","0.0","101","160.0","1293.0","l","1.0","9.0"
"0.0","20.0","-8.0","0.0","1.0","101","160.0","1176.0","l","1.0","6.0"
"0.0","22.0","-5.0","0.0","0.0","101","160.0","1383.0","l","1.0","8.5"
"3.0","6.0","0.0","1.0","0.0","102","160.0","1207.0","a","1.0","0.0"
"4.0","12.0","0.0","1.0","1.0","102","160.0","768.0","l","0.0","2.0"
"4.0","10.0","0.0","1.0","1.0","102","172.0","1108.0","l","0.0","1.0"
"3.0","8.0","0.0","1.0","0.0","102","182.0","1016.0","l","0.0","1.0"
"7.0","12.0","0.0","1.0","0.0","102","182.0","904.0","l","0.0","-1.0"
"0.0","25.0","-6.0","0.0","0.0","101","182.0","1094.0","a","0.0","9.5"
"3.0","14.0","0.0","1.0","0.0","102","182.0","1082.0","l","0.0","4.0"
"0.0","19.0","-2.0","1.0","0.0","101","182.0","963.0","l","0.0","8.5"
"0.0","23.0","-6.0","0.0","1.0","101","180.0","1087.0","a","0.0","8.5"
"0.0","27.0","-8.0","0.0","1.0","101","180.0","811.0","l","1.0","9.5"
"7.0","14.0","0.0","1.0","0.0","102","180.0","1016.0","l","0.0","0.0"
"0.0","21.0","-4.0","0.0","0.0","101","180.0","1169.0","a","0.0","8.5"
"0.0","19.0","-5.0","0.0","1.0","101","180.0","827.0","l","1.0","7.0"
"7.0","6.0","0.0","1.0","1.0","102","180.0","1018.0","a","1.0","-4.0"
"0.0","27.0","-8.0","0.0","0.0","101","186.0","1129.0","a","0.0","9.5"
"0.0","21.0","-5.0","0.0","1.0","101","186.0","735.0","l","1.0","8.0"
"0.0","19.0","-10.0","0.0","0.0","101","186.0","1008.0","a","0.0","4.5"
"0.0","23.0","-3.0","0.0","0.0","101","186.0","724.0","l","1.0","10.0"
"0.0","22.0","-2.0","0.0","0.0","101","186.0","929.0","l","1.0","10.0"
"0.0","22.0","-4.0","0.0","0.0","101","186.0","1735.0","a","0.0","9.0"
"4.0","12.0","0.0","1.0","0.0","102","186.0","973.0","l","0.0","2.0"
"4.0","14.0","0.0","1.0","0.0","102","186.0","704.0","l","0.0","3.0"
"0.0","20.0","-4.0","0.0","1.0","101","186.0","752.0","l","1.0","8.0"
"0.0","23.0","-10.0","0.0","1.0","101","186.0","791.0","a","0.0","6.5"
"6.0","12.0","0.0","1.0","1.0","102","186.0","989.0","a","1.0","0.0"
"7.0","6.0","0.0","0.0","1.0","102","198.0","1224.0","l","1.0","-4.0"
"3.0","6.0","0.0","1.0","0.0","102","205.0","1172.0","l","0.0","0.0"
"0.0","25.0","-4.0","0.0","0.0","101","205.0","781.0","a","0.0","10.5"
"0.0","22.0","-4.0","0.0","0.0","101","205.0","1199.0","l","1.0","9.0"
"0.0","19.0","-4.0","0.0","0.0","101","205.0","946.0","a","0.0","7.5"
"0.0","19.0","-3.0","0.0","1.0","101","205.0","938.0","l","1.0","8.0"
"0.0","20.0","-10.0","0.0","0.0","101","205.0","830.0","l","1.0","5.0"
"4.0","10.0","0.0","1.0","0.0","102","205.0","944.0","l","0.0","1.0"
"3.0","12.0","0.0","1.0","1.0","102","205.0","1224.0","a","1.0","3.0"
"3.0","10.0","0.0","1.0","1.0","102","217.0","1083.0","l","0.0","2.0"
"0.0","22.0","-6.0","0.0","0.0","101","227.0","967.0","a","0.0","8.0"
"0.0","25.0","-10.0","0.0","0.0","101","227.0","772.0","l","1.0","7.5"
"0.0","27.0","-6.0","0.0","0.0","101","227.0","1081.0","a","0.0","10.5"
"7.0","8.0","0.0","1.0","0.0","102","227.0","815.0","l","0.0","-3.0"
"0.0","25.0","-2.0","1.0","1.0","101","227.0","1128.0","a","1.0","11.5"
"0.0","27.0","-5.0","0.0","1.0","101","252.0","937.0","a","0.0","11.0"
"5.0","8.0","0.0","1.0","1.0","102","252.0","873.0","l","0.0","-1.0"
"0.0","20.0","-5.0","0.0","0.0","101","260.0","884.0","l","1.0","7.5"
"0.0","27.0","-4.0","0.0","1.0","101","260.0","1127.0","a","0.0","11.5"
"3.0","12.0","0.0","1.0","0.0","102","260.0","732.0","l","0.0","3.0"
"0.0","21.0","-3.0","0.0","1.0","101","260.0","944.0","l","1.0","9.0"
"0.0","20.0","-2.0","0.0","0.0","101","260.0","1018.0","l","1.0","9.0"
"3.0","10.0","0.0","1.0","1.0","102","260.0","1010.0","a","1.0","2.0"
"6.0","6.0","0.0","0.0","0.0","102","270.0","1622.0","l","1.0","-3.0"
"0.0","23.0","-8.0","0.0","1.0","101","276.0","1025.0","a","0.0","7.5"
"0.0","25.0","-8.0","0.0","0.0","101","276.0","902.0","a","0.0","8.5"
"6.0","10.0","0.0","1.0","0.0","102","276.0","1172.0","a","1.0","-1.0"
