"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","9.0","-5.0","1.0","0.0","101","150.0","2118.0","a","1.0","2.0"
"5.0","24.0","0.0","1.0","1.0","102","145.0","1673.0","a","1.0","7.0"
"6.0","24.0","0.0","0.0","1.0","102","169.0","1055.0","l","1.0","6.0"
"3.0","24.0","0.0","1.0","0.0","102","175.0","1292.0","l","0.0","9.0"
"0.0","10.0","-8.0","1.0","1.0","101","175.0","1689.0","a","1.0","1.0"
"0.0","8.0","-10.0","1.0","0.0","101","185.0","1200.0","a","1.0","-1.0"
"0.0","14.0","-8.0","1.0","1.0","101","175.0","895.0","l","0.0","3.0"
"0.0","8.0","-10.0","1.0","0.0","101","189.0","1132.0","l","0.0","-1.0"
"0.0","10.0","-4.0","1.0","1.0","101","179.0","583.0","l","0.0","3.0"
"7.0","18.0","0.0","0.0","1.0","102","189.0","1799.0","l","1.0","2.0"
"3.0","18.0","0.0","0.0","0.0","102","196.0","1078.0","l","1.0","6.0"
"0.0","9.0","-10.0","1.0","1.0","101","199.0","674.0","l","0.0","-0.5"
"0.0","16.0","-6.0","1.0","0.0","101","208.0","944.0","a","1.0","5.0"
"5.0","20.0","0.0","1.0","1.0","102","202.0","1798.0","l","0.0","5.0"
"5.0","18.0","0.0","0.0","1.0","102","222.0","993.0","a","0.0","4.0"
"0.0","9.0","-3.0","1.0","1.0","101","227.0","1025.0","a","1.0","3.0"
"0.0","11.0","-5.0","1.0","0.0","101","236.0","2385.0","l","0.0","3.0"
"0.0","11.0","-5.0","1.0","0.0","101","231.0","1156.0","l","0.0","3.0"
"0.0","12.0","-8.0","1.0","0.0","101","226.0","757.0","l","0.0","2.0"
"6.0","24.0","0.0","1.0","1.0","102","218.0","1657.0","a","1.0","6.0"
"0.0","16.0","-8.0","1.0","0.0","101","242.0","1512.0","a","1.0","4.0"
"0.0","11.0","-10.0","1.0","0.0","101","234.0","736.0","a","1.0","0.5"
"6.0","18.0","0.0","0.0","0.0","102","224.0","892.0","l","1.0","3.0"
"0.0","12.0","-2.0","0.0","0.0","101","230.0","1559.0","l","1.0","5.0"
"0.0","14.0","-4.0","1.0","0.0","101","230.0","1480.0","a","1.0","5.0"
"0.0","8.0","-5.0","1.0","0.0","101","226.0","1428.0","a","1.0","1.5"
"0.0","16.0","-6.0","1.0","0.0","101","221.0","625.0","a","1.0","5.0"
"4.0","24.0","0.0","1.0","0.0","102","215.0","844.0","a","1.0","8.0"
