"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"6.0","12.0","0.0","1.0","0.0","102","150.0","3242.0","a","1.0","0.0"
"6.0","14.0","0.0","1.0","1.0","102","150.0","1225.0","a","1.0","1.0"
"0.0","11.0","-8.0","0.0","0.0","101","164.0","1225.0","a","0.0","1.5"
"0.0","12.0","-3.0","1.0","0.0","101","164.0","1045.0","a","1.0","4.5"
"4.0","14.0","0.0","1.0","0.0","102","161.0","934.0","a","1.0","3.0"
"5.0","12.0","0.0","1.0","1.0","102","161.0","1271.0","l","0.0","1.0"
"5.0","8.0","0.0","0.0","0.0","102","173.0","1708.0","l","1.0","-1.0"
"0.0","13.0","-10.0","0.0","0.0","101","178.0","1092.0","l","1.0","1.5"
"0.0","15.0","-8.0","0.0","1.0","101","178.0","1021.0","a","0.0","3.5"
"0.0","13.0","-3.0","1.0","1.0","101","178.0","1136.0","l","0.0","5.0"
"0.0","11.0","-6.0","0.0","1.0","101","191.0","1083.0","l","1.0","2.5"
"3.0","14.0","0.0","1.0","0.0","102","191.0","976.0","l","0.0","4.0"
"0.0","17.0","-3.0","1.0","0.0","101","191.0","1011.0","l","0.0","7.0"
"7.0","12.0","0.0","1.0","1.0","102","188.0","1775.0","l","0.0","-1.0"
"6.0","8.0","0.0","0.0","0.0","102","200.0","1113.0","a","0.0","-2.0"
"0.0","17.0","-8.0","0.0","0.0","101","206.0","1551.0","l","1.0","4.5"
"4.0","8.0","0.0","1.0","1.0","102","206.0","2574.0","l","0.0","0.0"
"0.0","17.0","-10.0","0.0","0.0","101","214.0","1461.0","l","1.0","3.5"
"0.0","14.0","-10.0","0.0","0.0","101","214.0","1001.0","l","1.0","2.0"
"0.0","11.0","-10.0","0.0","1.0","101","214.0","1093.0","l","1.0","0.5"
"0.0","15.0","-3.0","1.0","0.0","101","214.0","1112.0","a","1.0","6.0"
"6.0","16.0","0.0","1.0","1.0","102","211.0","1324.0","a","1.0","2.0"
"0.0","12.0","-10.0","0.0","0.0","101","227.0","945.0","l","1.0","1.0"
"3.0","14.0","0.0","1.0","1.0","102","227.0","989.0","a","1.0","4.0"
"7.0","14.0","0.0","1.0","0.0","102","241.0","1068.0","a","1.0","0.0"
"0.0","13.0","-5.0","1.0","1.0","101","241.0","1236.0","l","0.0","4.0"
"6.0","10.0","0.0","0.0","1.0","102","254.0","1181.0","a","0.0","-1.0"
"0.0","11.0","-3.0","1.0","0.0","101","260.0","899.0","l","0.0","4.0"
"0.0","17.0","-10.0","0.0","0.0","101","257.0","1100.0","a","0.0","3.5"
"0.0","15.0","-10.0","0.0","0.0","101","257.0","1192.0","a","0.0","2.5"
"0.0","14.0","-3.0","1.0","1.0","101","257.0","832.0","l","0.0","5.5"
"0.0","13.0","-3.0","1.0","0.0","101","271.0","853.0","l","0.0","5.0"
"0.0","11.0","-4.0","1.0","0.0","101","268.0","1798.0","a","1.0","3.5"
"7.0","10.0","0.0","0.0","0.0","102","264.0","1158.0","a","0.0","-2.0"
"0.0","12.0","-4.0","1.0","0.0","101","271.0","1055.0","l","0.0","4.0"
"7.0","8.0","0.0","1.0","1.0","102","267.0","1620.0","l","0.0","-3.0"
