"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"6.0","16.0","0.0","0.0","1.0","102","150.0","2169.0","a","0.0","2.0"
"0.0","23.0","-10.0","0.0","1.0","101","156.0","952.0","a","0.0","6.5"
"0.0","19.0","-10.0","0.0","1.0","101","156.0","1028.0","a","0.0","4.5"
"6.0","16.0","0.0","0.0","0.0","102","156.0","792.0","l","1.0","2.0"
"0.0","22.0","-5.0","0.0","1.0","101","162.0","953.0","l","1.0","8.5"
"0.0","25.0","-5.0","0.0","0.0","101","162.0","1775.0","a","0.0","10.0"
"0.0","19.0","-10.0","0.0","0.0","101","162.0","1478.0","a","0.0","4.5"
"0.0","25.0","-2.0","1.0","0.0","101","162.0","1194.0","a","1.0","11.5"
"5.0","22.0","0.0","0.0","0.0","102","160.0","1056.0","a","0.0","6.0"
"0.0","21.0","-4.0","1.0","1.0","101","165.0","1102.0","l","0.0","8.5"
"0.0","23.0","-5.0","0.0","1.0","101","186.0","1104.0","a","0.0","9.0"
"5.0","16.0","0.0","0.0","0.0","102","186.0","1126.0","l","1.0","3.0"
"0.0","19.0","-3.0","1.0","0.0","101","191.0","1286.0","l","0.0","8.0"
"0.0","21.0","-8.0","0.0","0.0","101","188.0","1267.0","l","1.0","6.5"
"4.0","16.0","0.0","1.0","0.0","102","188.0","1816.0","a","1.0","4.0"
"0.0","23.0","-4.0","0.0","1.0","101","188.0","1276.0","l","1.0","9.5"
"0.0","25.0","-4.0","1.0","0.0","101","188.0","1246.0","a","1.0","10.5"
"0.0","23.0","-2.0","1.0","1.0","101","184.0","1805.0","l","0.0","10.5"
"0.0","25.0","-6.0","0.0","1.0","101","207.0","1037.0","l","1.0","9.5"
"7.0","20.0","0.0","0.0","1.0","102","207.0","976.0","l","1.0","3.0"
"3.0","16.0","0.0","0.0","0.0","102","214.0","890.0","a","0.0","5.0"
"0.0","21.0","-10.0","0.0","0.0","101","217.0","1305.0","a","0.0","5.5"
"0.0","23.0","-4.0","0.0","1.0","101","217.0","1348.0","a","0.0","9.5"
"5.0","18.0","0.0","0.0","0.0","102","217.0","859.0","l","1.0","4.0"
"0.0","19.0","-6.0","0.0","0.0","101","222.0","854.0","l","1.0","6.5"
"0.0","27.0","-10.0","0.0","1.0","101","222.0","889.0","l","1.0","8.5"
"3.0","20.0","0.0","1.0","0.0","102","222.0","1740.0","l","0.0","7.0"
"0.0","23.0","-5.0","0.0","0.0","101","222.0","1179.0","l","1.0","9.0"
"5.0","18.0","0.0","0.0","0.0","102","222.0","841.0","l","1.0","4.0"
"0.0","23.0","-6.0","0.0","0.0","101","227.0","912.0","l","1.0","8.5"
"5.0","20.0","0.0","0.0","0.0","102","227.0","701.0","l","1.0","5.0"
"4.0","20.0","0.0","1.0","0.0","102","232.0","936.0","a","1.0","6.0"
"5.0","16.0","0.0","1.0","0.0","102","232.0","1078.0","a","1.0","3.0"
"0.0","20.0","-2.0","0.0","1.0","101","232.0","1212.0","a","0.0","9.0"
"7.0","16.0","0.0","1.0","1.0","102","232.0","1112.0","a","1.0","1.0"
"0.0","27.0","-4.0","0.0","1.0","101","248.0","1434.0","a","0.0","11.5"
"0.0","22.0","-8.0","0.0","0.0","101","248.0","969.0","l","1.0","7.0"
"4.0","22.0","0.0","0.0","0.0","102","248.0","1026.0","a","0.0","7.0"
"7.0","22.0","0.0","0.0","1.0","102","252.0","965.0","l","1.0","4.0"
"0.0","19.0","-5.0","0.0","1.0","101","259.0","872.0","a","0.0","7.0"
"0.0","21.0","-2.0","1.0","1.0","101","259.0","1715.0","a","1.0","9.5"
"0.0","25.0","-2.0","0.0","1.0","101","280.0","1202.0","a","0.0","11.5"
"7.0","16.0","0.0","0.0","1.0","102","280.0","904.0","a","0.0","1.0"
"0.0","25.0","-10.0","0.0","1.0","101","287.0","1083.0","a","0.0","7.5"
"0.0","22.0","-2.0","1.0","0.0","101","287.0","1222.0","a","1.0","10.0"
"6.0","22.0","0.0","1.0","0.0","102","285.0","1325.0","a","1.0","5.0"
"7.0","18.0","0.0","1.0","1.0","102","285.0","931.0","a","1.0","2.0"
"0.0","20.0","-3.0","0.0","1.0","101","303.0","929.0","a","0.0","8.5"
"5.0","24.0","0.0","1.0","0.0","102","303.0","1051.0","a","1.0","7.0"
