"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"3.0","6.0","0.0","1.0","0.0","102","150.0","1449.0","a","1.0","0.0"
"0.0","13.0","-8.0","1.0","0.0","101","150.0","1139.0","l","0.0","2.5"
"6.0","10.0","0.0","1.0","0.0","102","142.0","1693.0","l","0.0","-1.0"
"0.0","13.0","-3.0","1.0","1.0","101","142.0","1500.0","a","1.0","5.0"
"0.0","15.0","-6.0","1.0","0.0","101","155.0","1226.0","l","0.0","4.5"
"0.0","12.0","-3.0","1.0","1.0","101","149.0","1109.0","l","0.0","4.5"
"5.0","12.0","0.0","0.0","0.0","102","161.0","1356.0","l","1.0","1.0"
"6.0","6.0","0.0","0.0","0.0","102","166.0","1245.0","l","1.0","-3.0"
"3.0","10.0","0.0","1.0","0.0","102","172.0","1405.0","l","0.0","2.0"
"0.0","17.0","-3.0","1.0","1.0","101","172.0","1116.0","l","0.0","7.0"
"0.0","9.0","-4.0","1.0","1.0","101","189.0","1537.0","a","1.0","2.5"
"0.0","10.0","-2.0","1.0","1.0","101","198.0","1257.0","l","0.0","4.0"
"4.0","8.0","0.0","1.0","0.0","102","208.0","1407.0","l","0.0","0.0"
"0.0","11.0","-4.0","0.0","1.0","101","208.0","1428.0","l","1.0","3.5"
"0.0","9.0","-8.0","0.0","0.0","101","208.0","1484.0","a","0.0","0.5"
"6.0","12.0","0.0","1.0","1.0","102","208.0","1484.0","a","1.0","0.0"
"7.0","8.0","0.0","0.0","0.0","102","220.0","1145.0","a","0.0","-3.0"
"0.0","9.0","-3.0","1.0","0.0","101","227.0","1273.0","l","0.0","3.0"
"4.0","8.0","0.0","1.0","1.0","102","224.0","1363.0","l","0.0","0.0"
"0.0","13.0","-5.0","0.0","0.0","101","232.0","1571.0","l","1.0","4.0"
"0.0","10.0","-8.0","0.0","1.0","101","232.0","1290.0","a","0.0","1.0"
"0.0","15.0","-4.0","1.0","0.0","101","232.0","1048.0","l","0.0","5.5"
"0.0","9.0","-3.0","1.0","1.0","101","228.0","1359.0","a","1.0","3.0"
"0.0","12.0","-5.0","1.0","1.0","101","237.0","1357.0","a","1.0","3.5"
"0.0","15.0","-10.0","0.0","0.0","101","249.0","1087.0","l","1.0","2.5"
"5.0","10.0","0.0","1.0","1.0","102","249.0","1173.0","l","0.0","0.0"
"0.0","17.0","-4.0","1.0","1.0","101","259.0","1026.0","l","0.0","6.5"
"4.0","10.0","0.0","1.0","0.0","102","276.0","1337.0","l","0.0","1.0"
"0.0","12.0","-10.0","0.0","0.0","101","276.0","1346.0","l","1.0","1.0"
"6.0","8.0","0.0","0.0","0.0","102","276.0","1393.0","a","0.0","-2.0"
"0.0","13.0","-10.0","0.0","1.0","101","282.0","1055.0","a","0.0","1.5"
"7.0","10.0","0.0","0.0","0.0","102","282.0","1220.0","l","1.0","-2.0"
"0.0","13.0","-4.0","1.0","0.0","101","289.0","1214.0","l","0.0","4.5"
"0.0","9.0","-5.0","0.0","1.0","101","285.0","1435.0","l","1.0","2.0"
"0.0","17.0","-5.0","1.0","0.0","101","285.0","1156.0","a","1.0","6.0"
"4.0","6.0","0.0","0.0","1.0","102","280.0","1582.0","l","1.0","-1.0"
"0.0","10.0","-10.0","0.0","1.0","101","284.0","1237.0","a","0.0","0.0"
"3.0","12.0","0.0","1.0","0.0","102","284.0","1542.0","a","1.0","3.0"
"3.0","6.0","0.0","1.0","1.0","102","284.0","1339.0","l","0.0","0.0"
"0.0","17.0","-4.0","1.0","1.0","101","290.0","1208.0","l","0.0","6.5"
"4.0","12.0","0.0","1.0","1.0","102","307.0","1333.0","l","0.0","2.0"
"6.0","8.0","0.0","0.0","0.0","102","319.0","1334.0","a","0.0","-2.0"
"0.0","11.0","-4.0","0.0","0.0","101","325.0","1226.0","l","1.0","3.5"
"7.0","6.0","0.0","0.0","1.0","102","325.0","1247.0","l","1.0","-4.0"
"6.0","10.0","0.0","0.0","0.0","102","332.0","1439.0","a","0.0","-1.0"
"0.0","15.0","-10.0","0.0","1.0","101","338.0","1250.0","a","0.0","2.5"
"0.0","11.0","-2.0","1.0","1.0","101","338.0","1491.0","a","1.0","4.5"
"0.0","11.0","-8.0","0.0","0.0","101","349.0","1282.0","a","0.0","1.5"
"3.0","14.0","0.0","1.0","0.0","102","349.0","895.0","l","0.0","4.0"
"5.0","8.0","0.0","0.0","0.0","102","349.0","1500.0","a","0.0","-1.0"
"5.0","8.0","0.0","0.0","0.0","102","354.0","1263.0","l","1.0","-1.0"
"0.0","15.0","-2.0","1.0","1.0","101","359.0","1230.0","a","1.0","6.5"
"0.0","10.0","-6.0","0.0","0.0","101","374.0","1344.0","l","1.0","2.0"
"0.0","9.0","-10.0","0.0","0.0","101","374.0","1241.0","l","1.0","-0.5"
"0.0","10.0","-6.0","0.0","0.0","101","374.0","984.0","l","1.0","2.0"
"0.0","11.0","-6.0","0.0","0.0","101","374.0","1408.0","l","1.0","2.5"
"0.0","15.0","-2.0","1.0","1.0","101","374.0","1201.0","l","0.0","6.5"
"4.0","14.0","0.0","1.0","1.0","102","389.0","903.0","a","1.0","3.0"
"0.0","9.0","-10.0","0.0","1.0","101","403.0","1024.0","l","1.0","-0.5"
"0.0","15.0","-8.0","0.0","1.0","101","403.0","1380.0","a","0.0","3.5"
"5.0","14.0","0.0","1.0","0.0","102","403.0","1038.0","l","0.0","2.0"
"0.0","15.0","-5.0","1.0","0.0","101","403.0","1229.0","l","0.0","5.0"
"0.0","9.0","-2.0","0.0","0.0","101","398.0","2004.0","l","1.0","3.5"
"0.0","15.0","-3.0","1.0","1.0","101","398.0","1175.0","a","1.0","6.0"
"3.0","12.0","0.0","1.0","0.0","102","413.0","1423.0","l","0.0","3.0"
"5.0","10.0","0.0","1.0","0.0","102","413.0","1038.0","a","1.0","0.0"
"0.0","10.0","-3.0","1.0","1.0","101","413.0","952.0","l","0.0","3.5"
"0.0","11.0","-3.0","1.0","1.0","101","423.0","1065.0","a","1.0","4.0"
"0.0","17.0","-8.0","1.0","0.0","101","434.0","1069.0","a","1.0","4.5"
"0.0","11.0","-5.0","1.0","1.0","101","426.0","1163.0","a","1.0","3.0"
"7.0","12.0","0.0","0.0","0.0","102","437.0","1391.0","a","0.0","-1.0"
"0.0","13.0","-10.0","0.0","0.0","101","444.0","1368.0","l","1.0","1.5"
"0.0","11.0","-6.0","0.0","1.0","101","444.0","1435.0","a","0.0","2.5"
"6.0","14.0","0.0","0.0","0.0","102","444.0","1291.0","a","0.0","1.0"
"0.0","17.0","-5.0","1.0","1.0","101","450.0","995.0","l","0.0","6.0"
"0.0","13.0","-4.0","1.0","0.0","101","467.0","1306.0","l","0.0","4.5"
"3.0","8.0","0.0","1.0","1.0","102","463.0","1198.0","l","0.0","1.0"
"7.0","8.0","0.0","0.0","1.0","102","471.0","1144.0","a","0.0","-3.0"
"0.0","9.0","-5.0","0.0","1.0","101","478.0","1443.0","l","1.0","2.0"
"0.0","12.0","-2.0","1.0","1.0","101","478.0","1130.0","l","0.0","5.0"
"0.0","13.0","-3.0","1.0","0.0","101","490.0","1309.0","a","1.0","5.0"
"5.0","6.0","0.0","0.0","0.0","102","487.0","921.0","a","0.0","-2.0"
"0.0","15.0","-3.0","1.0","0.0","101","492.0","996.0","l","0.0","6.0"
"0.0","12.0","-6.0","0.0","1.0","101","489.0","1395.0","l","1.0","3.0"
"5.0","14.0","0.0","1.0","1.0","102","489.0","977.0","a","1.0","2.0"
"6.0","6.0","0.0","0.0","1.0","102","503.0","1386.0","l","1.0","-3.0"
"0.0","15.0","-8.0","0.0","0.0","101","509.0","1516.0","l","1.0","3.5"
"5.0","12.0","0.0","1.0","0.0","102","509.0","1228.0","l","0.0","1.0"
"0.0","17.0","-2.0","1.0","0.0","101","509.0","1451.0","a","1.0","7.5"
"0.0","10.0","-2.0","1.0","1.0","101","507.0","1394.0","a","1.0","4.0"
"3.0","10.0","0.0","1.0","0.0","102","517.0","1534.0","l","0.0","2.0"
"0.0","9.0","-2.0","1.0","1.0","101","517.0","1050.0","l","0.0","3.5"
"0.0","12.0","-4.0","1.0","0.0","101","526.0","1272.0","a","1.0","4.0"
"6.0","14.0","0.0","1.0","1.0","102","522.0","1845.0","l","0.0","1.0"
"0.0","17.0","-10.0","0.0","0.0","101","536.0","1446.0","l","1.0","3.5"
"4.0","6.0","0.0","0.0","0.0","102","536.0","1202.0","a","0.0","-1.0"
"0.0","10.0","-8.0","0.0","1.0","101","540.0","1055.0","l","1.0","1.0"
"4.0","12.0","0.0","1.0","0.0","102","540.0","1401.0","l","0.0","2.0"
"0.0","9.0","-4.0","0.0","0.0","101","540.0","1216.0","a","0.0","2.5"
"0.0","12.0","-6.0","1.0","0.0","101","540.0","1463.0","a","1.0","3.0"
"0.0","17.0","-10.0","0.0","1.0","101","534.0","1944.0","l","1.0","3.5"
"0.0","17.0","-6.0","0.0","1.0","101","534.0","1579.0","l","1.0","5.5"
"0.0","15.0","-4.0","1.0","0.0","101","534.0","934.0","a","1.0","5.5"
"7.0","6.0","0.0","1.0","0.0","102","530.0","521.0","l","0.0","-4.0"
"0.0","9.0","-6.0","0.0","0.0","101","530.0","1284.0","l","1.0","1.5"
"0.0","17.0","-6.0","1.0","0.0","101","530.0","1336.0","l","0.0","5.5"
"0.0","11.0","-10.0","0.0","1.0","101","524.0","1669.0","a","0.0","0.5"
"0.0","9.0","-6.0","0.0","0.0","101","524.0","931.0","a","0.0","1.5"
"0.0","15.0","-5.0","1.0","1.0","101","524.0","1362.0","a","1.0","5.0"
"0.0","11.0","-8.0","0.0","1.0","101","539.0","1219.0","a","0.0","1.5"
"0.0","12.0","-8.0","0.0","0.0","101","539.0","1497.0","a","0.0","2.0"
"0.0","10.0","-5.0","1.0","1.0","101","539.0","1063.0","l","0.0","2.5"
"0.0","13.0","-2.0","1.0","0.0","101","549.0","984.0","a","1.0","5.5"
"0.0","12.0","-3.0","1.0","1.0","101","547.0","973.0","a","1.0","4.5"
"0.0","13.0","-6.0","1.0","1.0","101","559.0","1868.0","l","0.0","3.5"
"0.0","11.0","-10.0","0.0","0.0","101","572.0","1006.0","a","0.0","0.5"
"0.0","10.0","-3.0","1.0","0.0","101","572.0","982.0","l","0.0","3.5"
"7.0","12.0","0.0","0.0","0.0","102","569.0","1356.0","l","1.0","-1.0"
"5.0","6.0","0.0","0.0","1.0","102","576.0","1173.0","l","1.0","-2.0"
"0.0","17.0","-2.0","1.0","0.0","101","581.0","1371.0","a","1.0","7.5"
"0.0","15.0","-6.0","1.0","0.0","101","579.0","1709.0","l","0.0","4.5"
"7.0","10.0","0.0","0.0","1.0","102","573.0","953.0","a","0.0","-2.0"
"0.0","12.0","-8.0","0.0","0.0","101","580.0","1289.0","a","0.0","2.0"
"0.0","10.0","-10.0","0.0","1.0","101","580.0","1334.0","l","1.0","0.0"
"0.0","12.0","-2.0","1.0","0.0","101","580.0","1195.0","a","1.0","5.0"
"3.0","8.0","0.0","1.0","1.0","102","578.0","1268.0","l","0.0","1.0"
"7.0","14.0","0.0","0.0","0.0","102","586.0","1474.0","l","1.0","0.0"
"0.0","11.0","-5.0","0.0","0.0","101","593.0","1568.0","a","0.0","3.0"
"0.0","13.0","-6.0","0.0","0.0","101","593.0","1156.0","l","1.0","3.5"
"0.0","9.0","-8.0","0.0","0.0","101","593.0","970.0","l","1.0","0.5"
"0.0","13.0","-2.0","1.0","0.0","101","593.0","927.0","a","1.0","5.5"
"0.0","10.0","-5.0","1.0","0.0","101","591.0","1025.0","a","1.0","2.5"
"0.0","17.0","-3.0","1.0","0.0","101","586.0","1009.0","a","1.0","7.0"
"0.0","12.0","-5.0","1.0","0.0","101","583.0","1497.0","l","0.0","3.5"
"0.0","13.0","-8.0","0.0","1.0","101","578.0","1097.0","a","0.0","2.5"
"7.0","14.0","0.0","0.0","1.0","102","578.0","1240.0","l","1.0","0.0"
"0.0","10.0","-4.0","1.0","0.0","101","585.0","1116.0","l","0.0","3.0"
"4.0","14.0","0.0","1.0","0.0","102","581.0","1551.0","l","0.0","3.0"
"4.0","10.0","0.0","1.0","1.0","102","581.0","1128.0","l","0.0","1.0"
"0.0","10.0","-4.0","1.0","0.0","101","591.0","1014.0","l","0.0","3.0"
"6.0","12.0","0.0","0.0","1.0","102","587.0","1361.0","l","1.0","0.0"
"0.0","11.0","-3.0","1.0","1.0","101","593.0","989.0","l","0.0","4.0"
"3.0","14.0","0.0","1.0","0.0","102","604.0","1260.0","l","0.0","4.0"
"0.0","12.0","-4.0","1.0","1.0","101","604.0","1165.0","l","0.0","4.0"
"0.0","11.0","-2.0","1.0","1.0","101","616.0","1251.0","a","1.0","4.5"
"0.0","12.0","-10.0","0.0","0.0","101","627.0","1170.0","l","1.0","1.0"
"0.0","13.0","-5.0","1.0","1.0","101","627.0","1339.0","l","0.0","4.0"
"0.0","17.0","-8.0","0.0","1.0","101","640.0","1065.0","l","1.0","4.5"
