"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","10.0","-5.0","1.0","0.0","101","150.0","1620.0","a","1.0","2.5"
"0.0","16.0","-6.0","1.0","0.0","101","145.0","1147.0","l","0.0","5.0"
"0.0","8.0","-5.0","1.0","0.0","101","139.0","1208.0","a","1.0","1.5"
"6.0","10.0","0.0","0.0","1.0","102","134.0","1270.0","l","1.0","-1.0"
"0.0","10.0","-3.0","1.0","1.0","101","140.0","1131.0","l","0.0","3.5"
"0.0","14.0","-8.0","1.0","1.0","101","150.0","1717.0","a","1.0","3.0"
"0.0","16.0","-4.0","1.0","1.0","101","164.0","1239.0","l","0.0","6.0"
"3.0","12.0","0.0","0.0","1.0","102","180.0","1361.0","a","0.0","3.0"
"0.0","12.0","-2.0","1.0","1.0","101","183.0","1077.0","a","1.0","5.0"
"0.0","8.0","-6.0","1.0","1.0","101","195.0","1319.0","l","0.0","1.0"
"7.0","8.0","0.0","0.0","1.0","102","203.0","1603.0","a","0.0","-3.0"
"0.0","10.0","-10.0","0.0","1.0","101","210.0","2051.0","l","1.0","0.0"
"0.0","11.0","-3.0","1.0","0.0","101","210.0","1015.0","l","0.0","4.0"
"0.0","16.0","-8.0","1.0","0.0","101","207.0","1579.0","l","0.0","4.0"
"0.0","10.0","-6.0","1.0","0.0","101","199.0","1733.0","a","1.0","2.0"
"3.0","14.0","0.0","1.0","1.0","102","193.0","2129.0","l","0.0","4.0"
"0.0","14.0","-2.0","1.0","1.0","101","207.0","943.0","a","1.0","6.0"
"6.0","14.0","0.0","1.0","1.0","102","221.0","1607.0","a","1.0","1.0"
"7.0","14.0","0.0","1.0","1.0","102","235.0","795.0","a","1.0","0.0"
"5.0","12.0","0.0","1.0","0.0","102","249.0","844.0","a","1.0","1.0"
"3.0","6.0","0.0","0.0","0.0","102","249.0","1673.0","l","1.0","0.0"
"7.0","10.0","0.0","1.0","0.0","102","252.0","964.0","l","0.0","-2.0"
"0.0","14.0","-6.0","1.0","1.0","101","252.0","1099.0","l","0.0","4.0"
"5.0","10.0","0.0","0.0","1.0","102","266.0","1504.0","l","1.0","0.0"
"0.0","11.0","-5.0","1.0","1.0","101","271.0","1115.0","l","0.0","3.0"
"5.0","8.0","0.0","0.0","1.0","102","282.0","1596.0","l","1.0","-1.0"
"3.0","8.0","0.0","0.0","0.0","102","287.0","2229.0","a","0.0","1.0"
"0.0","12.0","-5.0","1.0","1.0","101","290.0","1138.0","l","0.0","3.5"
"4.0","6.0","0.0","0.0","0.0","102","302.0","1102.0","l","1.0","-1.0"
"5.0","6.0","0.0","0.0","1.0","102","306.0","1194.0","a","0.0","-2.0"
"0.0","14.0","-5.0","1.0","1.0","101","311.0","1159.0","a","1.0","4.5"
"5.0","14.0","0.0","1.0","0.0","102","325.0","1888.0","l","0.0","2.0"
"0.0","16.0","-3.0","1.0","1.0","101","325.0","951.0","l","0.0","6.5"
"0.0","11.0","-2.0","1.0","0.0","101","341.0","1061.0","l","0.0","4.5"
"7.0","14.0","0.0","1.0","0.0","102","339.0","1155.0","a","1.0","0.0"
"0.0","8.0","-4.0","1.0","1.0","101","339.0","1134.0","a","1.0","2.0"
"0.0","9.0","-2.0","1.0","1.0","101","347.0","964.0","a","1.0","3.5"
"4.0","10.0","0.0","1.0","1.0","102","356.0","1048.0","a","1.0","1.0"
"0.0","12.0","-4.0","1.0","0.0","101","366.0","1025.0","l","0.0","4.0"
"0.0","9.0","-3.0","1.0","0.0","101","362.0","870.0","l","0.0","3.0"
"0.0","9.0","-4.0","1.0","0.0","101","359.0","538.0","l","0.0","2.5"
"0.0","8.0","-5.0","0.0","0.0","101","355.0","941.0","a","0.0","1.5"
"0.0","8.0","-2.0","1.0","0.0","101","355.0","966.0","a","1.0","3.0"
"0.0","14.0","-5.0","1.0","1.0","101","353.0","1336.0","a","1.0","4.5"
"6.0","12.0","0.0","1.0","1.0","102","367.0","829.0","l","0.0","0.0"
"0.0","11.0","-8.0","0.0","0.0","101","379.0","1197.0","l","1.0","1.5"
"0.0","9.0","-2.0","1.0","0.0","101","379.0","1269.0","l","0.0","3.5"
"0.0","16.0","-8.0","0.0","1.0","101","377.0","1039.0","l","1.0","4.0"
"0.0","14.0","-4.0","1.0","0.0","101","377.0","766.0","a","1.0","5.0"
"3.0","14.0","0.0","1.0","0.0","102","373.0","1002.0","a","1.0","4.0"
"3.0","10.0","0.0","1.0","0.0","102","373.0","1777.0","l","0.0","2.0"
"0.0","10.0","-5.0","1.0","1.0","101","373.0","755.0","a","1.0","2.5"
"0.0","12.0","-10.0","0.0","0.0","101","383.0","964.0","a","0.0","1.0"
"0.0","11.0","-8.0","0.0","0.0","101","383.0","765.0","l","1.0","1.5"
"3.0","8.0","0.0","1.0","1.0","102","383.0","1226.0","a","1.0","1.0"
"0.0","14.0","-3.0","1.0","0.0","101","391.0","1123.0","a","1.0","5.5"
"0.0","11.0","-6.0","0.0","0.0","101","388.0","894.0","l","1.0","2.5"
"0.0","16.0","-5.0","1.0","1.0","101","388.0","1625.0","a","1.0","5.5"
"4.0","8.0","0.0","1.0","0.0","102","404.0","1426.0","l","0.0","0.0"
