"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","20.0","-4.0","1.0","0.0","101","150.0","3495.0","l","0.0","8.0"
"0.0","15.0","-10.0","0.0","1.0","101","146.0","1022.0","l","1.0","2.5"
"0.0","14.0","-3.0","1.0","1.0","101","146.0","825.0","a","1.0","5.5"
"0.0","15.0","-8.0","0.0","0.0","101","160.0","878.0","l","1.0","3.5"
"7.0","8.0","0.0","1.0","0.0","102","160.0","1409.0","l","0.0","-3.0"
"0.0","14.0","-4.0","1.0","0.0","101","160.0","1271.0","l","0.0","5.0"
"6.0","12.0","0.0","0.0","0.0","102","156.0","637.0","a","0.0","0.0"
"0.0","15.0","-3.0","1.0","0.0","101","162.0","1441.0","a","1.0","6.0"
"3.0","14.0","0.0","0.0","0.0","102","159.0","1259.0","a","0.0","4.0"
"0.0","14.0","-3.0","1.0","1.0","101","162.0","855.0","l","0.0","5.5"
"0.0","16.0","-10.0","0.0","1.0","101","176.0","1011.0","a","0.0","3.0"
"0.0","17.0","-3.0","1.0","0.0","101","176.0","1259.0","a","1.0","7.0"
"6.0","12.0","0.0","1.0","0.0","102","173.0","1009.0","l","0.0","0.0"
"6.0","14.0","0.0","1.0","0.0","102","173.0","1449.0","a","1.0","1.0"
"0.0","16.0","-10.0","0.0","0.0","101","173.0","867.0","l","1.0","3.0"
"0.0","18.0","-4.0","1.0","0.0","101","173.0","1133.0","l","0.0","7.0"
"0.0","15.0","-2.0","1.0","1.0","101","169.0","874.0","l","0.0","6.5"
"0.0","14.0","-5.0","0.0","0.0","101","184.0","1535.0","a","0.0","4.5"
"5.0","10.0","0.0","1.0","1.0","102","184.0","849.0","l","0.0","0.0"
"0.0","20.0","-2.0","1.0","1.0","101","194.0","978.0","l","0.0","9.0"
"4.0","10.0","0.0","1.0","0.0","102","214.0","915.0","a","1.0","1.0"
"0.0","14.0","-5.0","0.0","1.0","101","214.0","1019.0","a","0.0","4.5"
"0.0","17.0","-5.0","0.0","1.0","101","214.0","1631.0","l","1.0","6.0"
"4.0","10.0","0.0","1.0","0.0","102","214.0","1317.0","a","1.0","1.0"
"3.0","8.0","0.0","1.0","1.0","102","214.0","1028.0","a","1.0","1.0"
"0.0","16.0","-3.0","1.0","0.0","101","222.0","949.0","l","0.0","6.5"
"6.0","10.0","0.0","0.0","0.0","102","219.0","1929.0","a","0.0","-1.0"
"0.0","15.0","-6.0","0.0","0.0","101","225.0","1246.0","l","1.0","4.5"
"0.0","18.0","-5.0","0.0","1.0","101","225.0","1040.0","l","1.0","6.5"
"0.0","16.0","-3.0","1.0","0.0","101","225.0","952.0","a","1.0","6.5"
"7.0","14.0","0.0","1.0","0.0","102","222.0","1099.0","a","1.0","0.0"
"0.0","16.0","-8.0","0.0","1.0","101","222.0","835.0","l","1.0","4.0"
"0.0","18.0","-5.0","0.0","0.0","101","222.0","1125.0","a","0.0","6.5"
"0.0","14.0","-2.0","1.0","0.0","101","222.0","1861.0","l","0.0","6.0"
"6.0","8.0","0.0","0.0","0.0","102","220.0","1710.0","a","0.0","-2.0"
"0.0","17.0","-4.0","0.0","0.0","101","226.0","1532.0","a","0.0","6.5"
"6.0","10.0","0.0","0.0","1.0","102","226.0","2973.0","a","0.0","-1.0"
"0.0","22.0","-10.0","0.0","0.0","101","232.0","1773.0","l","1.0","6.0"
"3.0","10.0","0.0","1.0","0.0","102","232.0","1649.0","a","1.0","2.0"
"0.0","22.0","-5.0","1.0","1.0","101","232.0","1417.0","a","1.0","8.5"
"0.0","16.0","-4.0","1.0","0.0","101","254.0","1484.0","a","1.0","6.0"
"0.0","18.0","-6.0","0.0","0.0","101","250.0","2336.0","l","1.0","6.0"
