"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","20.0","-6.0","0.0","0.0","101","150.0","3622.0","a","0.0","7.0"
"5.0","14.0","0.0","1.0","1.0","102","150.0","1430.0","l","0.0","2.0"
"0.0","24.0","-4.0","0.0","0.0","101","164.0","1012.0","a","0.0","10.0"
"0.0","24.0","-2.0","1.0","1.0","101","164.0","1115.0","a","1.0","11.0"
"0.0","19.0","-10.0","0.0","1.0","101","188.0","1253.0","a","0.0","4.5"
"0.0","16.0","-8.0","0.0","0.0","101","188.0","881.0","a","0.0","4.0"
"6.0","18.0","0.0","1.0","1.0","102","188.0","879.0","l","0.0","3.0"
"6.0","10.0","0.0","1.0","1.0","102","206.0","982.0","a","1.0","-1.0"
"0.0","17.0","-2.0","1.0","1.0","101","216.0","967.0","l","0.0","7.5"
"4.0","14.0","0.0","1.0","1.0","102","233.0","1021.0","l","0.0","3.0"
"0.0","18.0","-5.0","0.0","0.0","101","247.0","1141.0","a","0.0","6.5"
"0.0","24.0","-10.0","0.0","1.0","101","247.0","1189.0","l","1.0","7.0"
"3.0","14.0","0.0","1.0","0.0","102","247.0","698.0","a","1.0","4.0"
"0.0","19.0","-3.0","1.0","0.0","101","247.0","1016.0","l","0.0","8.0"
"0.0","24.0","-6.0","0.0","1.0","101","244.0","1064.0","a","0.0","9.0"
"0.0","24.0","-4.0","1.0","0.0","101","244.0","1190.0","l","0.0","10.0"
"5.0","12.0","0.0","1.0","1.0","102","240.0","1730.0","l","0.0","1.0"
"0.0","22.0","-6.0","0.0","0.0","101","252.0","2103.0","l","1.0","8.0"
"0.0","19.0","-5.0","1.0","0.0","101","252.0","2438.0","l","0.0","7.0"
"0.0","16.0","-3.0","1.0","1.0","101","247.0","1375.0","a","1.0","6.5"
"0.0","24.0","-2.0","1.0","0.0","101","263.0","969.0","l","0.0","11.0"
"0.0","19.0","-8.0","0.0","1.0","101","261.0","1490.0","l","1.0","5.5"
"0.0","22.0","-4.0","1.0","0.0","101","261.0","794.0","a","1.0","9.0"
"0.0","20.0","-6.0","1.0","1.0","101","257.0","845.0","l","0.0","7.0"
"0.0","16.0","-4.0","1.0","1.0","101","277.0","1168.0","l","0.0","6.0"
"0.0","19.0","-3.0","1.0","0.0","101","293.0","849.0","a","1.0","8.0"
"0.0","18.0","-2.0","1.0","1.0","101","290.0","746.0","a","1.0","8.0"
"0.0","24.0","-5.0","1.0","0.0","101","308.0","1357.0","l","0.0","9.5"
"5.0","14.0","0.0","1.0","1.0","102","303.0","872.0","l","0.0","2.0"
"7.0","16.0","0.0","1.0","0.0","102","317.0","861.0","l","0.0","1.0"
"4.0","16.0","0.0","1.0","1.0","102","317.0","653.0","a","1.0","4.0"
"0.0","18.0","-2.0","1.0","1.0","101","333.0","930.0","l","0.0","8.0"
