"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","13.0","-5.0","1.0","0.0","101","150.0","1629.0","a","1.0","4.0"
"0.0","17.0","-4.0","1.0","1.0","101","145.0","1364.0","a","1.0","6.5"
"0.0","19.0","-10.0","0.0","0.0","101","162.0","1908.0","l","1.0","4.5"
"0.0","11.0","-5.0","1.0","0.0","101","162.0","2180.0","l","0.0","3.0"
"0.0","19.0","-10.0","1.0","0.0","101","157.0","2077.0","a","1.0","4.5"
"0.0","13.0","-10.0","0.0","1.0","101","147.0","1306.0","a","0.0","1.5"
"0.0","11.0","-10.0","0.0","1.0","101","147.0","1195.0","a","0.0","0.5"
"4.0","12.0","0.0","1.0","0.0","102","147.0","1128.0","l","0.0","2.0"
"0.0","19.0","-2.0","1.0","1.0","101","147.0","1246.0","l","0.0","8.5"
"4.0","8.0","0.0","0.0","0.0","102","166.0","2096.0","a","0.0","0.0"
"0.0","15.0","-5.0","1.0","1.0","101","170.0","1507.0","l","0.0","5.0"
"0.0","13.0","-4.0","1.0","0.0","101","185.0","2053.0","l","0.0","4.5"
"4.0","16.0","0.0","1.0","1.0","102","181.0","1217.0","a","1.0","4.0"
"0.0","11.0","-3.0","1.0","1.0","101","197.0","1630.0","a","1.0","4.0"
"5.0","14.0","0.0","1.0","1.0","102","208.0","1436.0","a","1.0","2.0"
"0.0","11.0","-2.0","1.0","1.0","101","222.0","1965.0","l","0.0","4.5"
"3.0","14.0","0.0","1.0","1.0","102","233.0","1256.0","l","0.0","4.0"
"7.0","12.0","0.0","0.0","1.0","102","247.0","1887.0","l","1.0","-1.0"
"0.0","14.0","-3.0","1.0","1.0","101","254.0","2117.0","a","1.0","5.5"
"0.0","14.0","-5.0","1.0","0.0","101","268.0","1502.0","l","0.0","4.5"
"6.0","8.0","0.0","1.0","0.0","102","263.0","1813.0","l","0.0","-2.0"
"0.0","17.0","-5.0","1.0","1.0","101","263.0","1710.0","l","0.0","6.0"
"0.0","12.0","-10.0","0.0","0.0","101","280.0","1408.0","l","1.0","1.0"
"0.0","14.0","-8.0","0.0","1.0","101","280.0","1552.0","a","0.0","3.0"
"0.0","11.0","-4.0","0.0","1.0","101","280.0","2448.0","l","1.0","3.5"
"3.0","8.0","0.0","1.0","0.0","102","280.0","2336.0","a","1.0","1.0"
"6.0","8.0","0.0","0.0","1.0","102","280.0","1496.0","l","1.0","-2.0"
"0.0","12.0","-10.0","0.0","1.0","101","286.0","1267.0","l","1.0","1.0"
"0.0","17.0","-3.0","1.0","0.0","101","286.0","1498.0","a","1.0","7.0"
"0.0","15.0","-8.0","0.0","1.0","101","283.0","1409.0","a","0.0","3.5"
"4.0","8.0","0.0","0.0","0.0","102","283.0","1836.0","l","1.0","0.0"
"6.0","12.0","0.0","0.0","0.0","102","287.0","2149.0","l","1.0","0.0"
"6.0","16.0","0.0","1.0","1.0","102","293.0","1825.0","a","1.0","2.0"
"0.0","13.0","-3.0","1.0","0.0","101","309.0","1623.0","l","0.0","5.0"
"0.0","12.0","-2.0","1.0","0.0","101","306.0","1522.0","l","0.0","5.0"
"3.0","14.0","0.0","1.0","0.0","102","304.0","1172.0","l","0.0","4.0"
"0.0","15.0","-5.0","0.0","0.0","101","304.0","2108.0","l","1.0","5.0"
"0.0","17.0","-2.0","1.0","0.0","101","304.0","1140.0","l","0.0","7.5"
"0.0","14.0","-6.0","1.0","1.0","101","302.0","2145.0","l","0.0","4.0"
"0.0","11.0","-2.0","1.0","1.0","101","316.0","1371.0","l","0.0","4.5"
"5.0","10.0","0.0","1.0","1.0","102","327.0","1985.0","a","1.0","0.0"
"0.0","11.0","-4.0","1.0","1.0","101","337.0","2684.0","l","0.0","3.5"
"7.0","12.0","0.0","0.0","1.0","102","348.0","1331.0","l","1.0","-1.0"
"0.0","12.0","-2.0","1.0","0.0","101","355.0","1031.0","a","1.0","5.0"
"0.0","15.0","-4.0","1.0","0.0","101","353.0","1390.0","a","1.0","5.5"
"0.0","13.0","-2.0","1.0","1.0","101","349.0","1245.0","l","0.0","5.5"
"4.0","10.0","0.0","0.0","1.0","102","362.0","2802.0","l","1.0","1.0"
"0.0","13.0","-6.0","0.0","0.0","101","366.0","1375.0","l","1.0","3.5"
"0.0","15.0","-2.0","1.0","0.0","101","366.0","1180.0","l","0.0","6.5"
"0.0","11.0","-6.0","0.0","0.0","101","364.0","1686.0","l","1.0","2.5"
"7.0","16.0","0.0","1.0","0.0","102","364.0","1457.0","l","0.0","1.0"
"0.0","17.0","-6.0","1.0","1.0","101","364.0","2197.0","l","0.0","5.5"
"0.0","11.0","-10.0","0.0","0.0","101","381.0","1184.0","a","0.0","0.5"
"7.0","14.0","0.0","0.0","1.0","102","381.0","1391.0","l","1.0","0.0"
"7.0","16.0","0.0","1.0","1.0","102","388.0","1778.0","l","0.0","1.0"
"0.0","17.0","-5.0","1.0","1.0","101","404.0","1898.0","l","0.0","6.0"
"0.0","12.0","-6.0","0.0","0.0","101","421.0","1634.0","l","1.0","3.0"
"0.0","19.0","-3.0","1.0","1.0","101","421.0","1158.0","a","1.0","8.0"
"0.0","17.0","-2.0","1.0","1.0","101","440.0","1175.0","a","1.0","7.5"
"5.0","14.0","0.0","1.0","1.0","102","457.0","1228.0","a","1.0","2.0"
