"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","10.0","-4.0","1.0","1.0","101","150.0","1273.0","a","1.0","3.0"
"0.0","8.0","-4.0","1.0","0.0","101","160.0","946.0","a","1.0","2.0"
"0.0","11.0","-5.0","1.0","0.0","101","156.0","560.0","a","1.0","3.0"
"3.0","20.0","0.0","1.0","0.0","102","151.0","876.0","l","0.0","7.0"
"7.0","14.0","0.0","0.0","1.0","102","151.0","763.0","a","0.0","0.0"
"0.0","8.0","-6.0","0.0","1.0","101","158.0","1049.0","l","1.0","1.0"
"0.0","16.0","-5.0","1.0","1.0","101","158.0","805.0","a","1.0","5.5"
"0.0","11.0","-3.0","1.0","0.0","101","174.0","651.0","a","1.0","4.0"
"6.0","18.0","0.0","1.0","1.0","102","171.0","850.0","l","0.0","3.0"
"6.0","12.0","0.0","1.0","0.0","102","189.0","711.0","l","0.0","0.0"
"0.0","16.0","-10.0","0.0","0.0","101","189.0","1166.0","a","0.0","3.0"
"0.0","8.0","-2.0","1.0","1.0","101","189.0","878.0","a","1.0","3.0"
"0.0","14.0","-6.0","1.0","1.0","101","197.0","648.0","l","0.0","4.0"
"0.0","11.0","-10.0","1.0","0.0","101","211.0","380.0","a","1.0","0.5"
"0.0","12.0","-10.0","0.0","1.0","101","201.0","1056.0","a","0.0","1.0"
"5.0","20.0","0.0","1.0","0.0","102","201.0","819.0","l","0.0","5.0"
"0.0","12.0","-3.0","0.0","0.0","101","201.0","1095.0","l","1.0","4.5"
"0.0","9.0","-10.0","0.0","0.0","101","201.0","1255.0","l","1.0","-0.5"
"0.0","12.0","-6.0","1.0","0.0","101","201.0","680.0","a","1.0","3.0"
"0.0","12.0","-6.0","1.0","0.0","101","195.0","577.0","a","1.0","3.0"
"3.0","16.0","0.0","0.0","1.0","102","189.0","1292.0","a","0.0","5.0"
"7.0","18.0","0.0","0.0","0.0","102","192.0","671.0","l","1.0","2.0"
"5.0","20.0","0.0","1.0","1.0","102","199.0","587.0","l","0.0","5.0"
"0.0","16.0","-2.0","1.0","1.0","101","219.0","1284.0","a","1.0","7.0"
"0.0","14.0","-4.0","1.0","1.0","101","235.0","1258.0","l","0.0","5.0"
"0.0","12.0","-10.0","0.0","1.0","101","249.0","1110.0","l","1.0","1.0"
"0.0","16.0","-3.0","1.0","1.0","101","249.0","1316.0","l","0.0","6.5"
"0.0","9.0","-2.0","1.0","0.0","101","265.0","840.0","a","1.0","3.5"
"0.0","14.0","-8.0","0.0","1.0","101","263.0","937.0","l","1.0","3.0"
"0.0","9.0","-8.0","0.0","0.0","101","263.0","1022.0","a","0.0","0.5"
"0.0","11.0","-8.0","0.0","0.0","101","263.0","1168.0","l","1.0","1.5"
"4.0","20.0","0.0","1.0","0.0","102","263.0","949.0","a","1.0","6.0"
"4.0","12.0","0.0","1.0","1.0","102","263.0","1126.0","l","0.0","2.0"
"3.0","20.0","0.0","1.0","1.0","102","275.0","745.0","a","1.0","7.0"
"6.0","16.0","0.0","1.0","1.0","102","295.0","773.0","l","0.0","2.0"
"0.0","12.0","-5.0","1.0","1.0","101","311.0","1126.0","l","0.0","3.5"
"0.0","12.0","-2.0","1.0","1.0","101","323.0","796.0","a","1.0","5.0"
"0.0","8.0","-3.0","0.0","0.0","101","335.0","1324.0","l","1.0","2.5"
"0.0","11.0","-6.0","1.0","1.0","101","335.0","1198.0","a","1.0","2.5"
"0.0","12.0","-4.0","1.0","0.0","101","346.0","1013.0","l","0.0","4.0"
"0.0","14.0","-10.0","0.0","1.0","101","342.0","961.0","a","0.0","2.0"
"0.0","9.0","-3.0","0.0","1.0","101","342.0","1057.0","l","1.0","3.0"
"5.0","18.0","0.0","1.0","0.0","102","342.0","1076.0","a","1.0","4.0"
"0.0","11.0","-5.0","0.0","0.0","101","342.0","981.0","a","0.0","3.0"
"6.0","12.0","0.0","1.0","0.0","102","342.0","1067.0","l","0.0","0.0"
"3.0","16.0","0.0","1.0","0.0","102","342.0","756.0","a","1.0","5.0"
"6.0","20.0","0.0","0.0","0.0","102","342.0","672.0","a","0.0","4.0"
"0.0","8.0","-5.0","0.0","1.0","101","348.0","853.0","l","1.0","1.5"
"0.0","16.0","-6.0","1.0","0.0","101","348.0","644.0","l","0.0","5.0"
"0.0","14.0","-2.0","1.0","1.0","101","342.0","838.0","a","1.0","6.0"
"0.0","10.0","-6.0","1.0","0.0","101","356.0","723.0","l","0.0","2.0"
"4.0","12.0","0.0","0.0","1.0","102","350.0","760.0","l","1.0","2.0"
"0.0","10.0","-10.0","0.0","1.0","101","354.0","1010.0","l","1.0","0.0"
"0.0","10.0","-2.0","1.0","0.0","101","354.0","900.0","a","1.0","4.0"
"0.0","16.0","-6.0","1.0","1.0","101","352.0","688.0","l","0.0","5.0"
"0.0","14.0","-3.0","1.0","1.0","101","368.0","612.0","l","0.0","5.5"
"0.0","11.0","-8.0","1.0","1.0","101","382.0","640.0","l","0.0","1.5"
"0.0","9.0","-4.0","0.0","0.0","101","393.0","916.0","a","0.0","2.5"
"0.0","14.0","-5.0","1.0","1.0","101","393.0","710.0","a","1.0","4.5"
"0.0","16.0","-3.0","1.0","1.0","101","407.0","674.0","a","1.0","6.5"
"4.0","18.0","0.0","1.0","1.0","102","423.0","959.0","l","0.0","5.0"
"7.0","16.0","0.0","0.0","1.0","102","441.0","766.0","a","0.0","1.0"
"0.0","10.0","-2.0","1.0","0.0","101","448.0","1009.0","l","0.0","4.0"
"0.0","9.0","-3.0","1.0","0.0","101","446.0","757.0","l","0.0","3.0"
"5.0","12.0","0.0","0.0","1.0","102","443.0","525.0","a","0.0","1.0"
"4.0","16.0","0.0","0.0","0.0","102","448.0","794.0","a","0.0","4.0"
"0.0","11.0","-4.0","1.0","1.0","101","452.0","1010.0","a","1.0","3.5"
"0.0","10.0","-5.0","0.0","0.0","101","463.0","1016.0","a","0.0","2.5"
"6.0","18.0","0.0","1.0","1.0","102","463.0","765.0","a","1.0","3.0"
"7.0","20.0","0.0","0.0","0.0","102","481.0","1125.0","a","0.0","3.0"
"0.0","9.0","-6.0","0.0","1.0","101","488.0","1148.0","a","0.0","1.5"
"0.0","14.0","-4.0","1.0","1.0","101","488.0","787.0","l","0.0","5.0"
"0.0","14.0","-5.0","1.0","0.0","101","502.0","980.0","a","1.0","4.5"
"0.0","10.0","-3.0","1.0","0.0","101","497.0","1224.0","l","0.0","3.5"
"0.0","8.0","-3.0","1.0","0.0","101","494.0","693.0","l","0.0","2.5"
"6.0","16.0","0.0","0.0","1.0","102","491.0","812.0","l","1.0","2.0"
"0.0","8.0","-8.0","0.0","0.0","101","497.0","927.0","a","0.0","0.0"
"0.0","9.0","-8.0","0.0","0.0","101","497.0","1008.0","l","1.0","0.5"
"4.0","16.0","0.0","1.0","0.0","102","497.0","899.0","l","0.0","4.0"
"4.0","14.0","0.0","1.0","0.0","102","497.0","535.0","l","0.0","3.0"
"4.0","14.0","0.0","0.0","0.0","102","497.0","701.0","a","0.0","3.0"
"0.0","11.0","-4.0","0.0","1.0","101","501.0","1022.0","l","1.0","3.5"
"0.0","9.0","-6.0","0.0","1.0","101","501.0","786.0","a","0.0","1.5"
"0.0","16.0","-10.0","0.0","1.0","101","501.0","885.0","a","0.0","3.0"
"6.0","14.0","0.0","1.0","0.0","102","501.0","667.0","l","0.0","1.0"
"0.0","11.0","-2.0","0.0","0.0","101","501.0","881.0","a","0.0","4.5"
"0.0","8.0","-6.0","0.0","0.0","101","501.0","840.0","l","1.0","1.0"
"0.0","14.0","-3.0","0.0","1.0","101","501.0","835.0","l","1.0","5.5"
"5.0","18.0","0.0","0.0","0.0","102","501.0","818.0","l","1.0","4.0"
"0.0","9.0","-5.0","0.0","1.0","101","506.0","845.0","a","0.0","2.0"
"0.0","11.0","-10.0","0.0","1.0","101","506.0","978.0","a","0.0","0.5"
"7.0","14.0","0.0","1.0","0.0","102","506.0","922.0","a","1.0","0.0"
"7.0","18.0","0.0","0.0","0.0","102","506.0","1094.0","l","1.0","2.0"
"0.0","16.0","-2.0","1.0","0.0","101","513.0","1145.0","a","1.0","7.0"
"0.0","16.0","-8.0","0.0","1.0","101","511.0","1176.0","a","0.0","4.0"
"0.0","8.0","-10.0","0.0","1.0","101","511.0","1084.0","a","0.0","-1.0"
"0.0","16.0","-8.0","1.0","0.0","101","511.0","840.0","a","1.0","4.0"
"5.0","14.0","0.0","1.0","0.0","102","503.0","919.0","l","0.0","2.0"
"0.0","9.0","-10.0","0.0","0.0","101","503.0","725.0","a","0.0","-0.5"
"0.0","14.0","-2.0","1.0","0.0","101","503.0","806.0","l","0.0","6.0"
"3.0","14.0","0.0","1.0","1.0","102","501.0","1385.0","l","0.0","4.0"
"0.0","12.0","-8.0","0.0","0.0","101","515.0","970.0","a","0.0","2.0"
"0.0","10.0","-4.0","1.0","1.0","101","515.0","1267.0","a","1.0","3.0"
"0.0","12.0","-3.0","1.0","0.0","101","525.0","897.0","a","1.0","4.5"
"0.0","9.0","-4.0","1.0","0.0","101","522.0","666.0","a","1.0","2.5"
"0.0","16.0","-4.0","1.0","0.0","101","518.0","496.0","a","1.0","6.0"
"0.0","8.0","-2.0","1.0","0.0","101","514.0","1452.0","a","1.0","3.0"
"0.0","12.0","-5.0","1.0","1.0","101","512.0","729.0","l","0.0","3.5"
"0.0","9.0","-5.0","0.0","1.0","101","524.0","873.0","l","1.0","2.0"
"7.0","20.0","0.0","0.0","0.0","102","524.0","683.0","l","1.0","3.0"
"0.0","10.0","-10.0","0.0","0.0","101","531.0","990.0","a","0.0","0.0"
"0.0","10.0","-3.0","1.0","0.0","101","531.0","680.0","a","1.0","3.5"
"0.0","8.0","-10.0","1.0","0.0","101","528.0","643.0","a","1.0","-1.0"
"0.0","12.0","-8.0","1.0","1.0","101","518.0","715.0","l","0.0","2.0"
"0.0","11.0","-2.0","1.0","1.0","101","530.0","878.0","l","0.0","4.5"
"0.0","14.0","-6.0","1.0","0.0","101","541.0","544.0","l","0.0","4.0"
"0.0","8.0","-5.0","0.0","0.0","101","535.0","1105.0","l","1.0","1.5"
"0.0","16.0","-5.0","1.0","1.0","101","535.0","1183.0","l","0.0","5.5"
"0.0","12.0","-4.0","1.0","1.0","101","551.0","1011.0","a","1.0","4.0"
"3.0","18.0","0.0","1.0","0.0","102","563.0","1164.0","l","0.0","6.0"
"5.0","12.0","0.0","0.0","1.0","102","563.0","819.0","l","1.0","1.0"
"0.0","14.0","-10.0","0.0","1.0","101","568.0","1046.0","l","1.0","2.0"
"0.0","11.0","-3.0","1.0","1.0","101","568.0","805.0","a","1.0","4.0"
"0.0","10.0","-8.0","0.0","1.0","101","579.0","984.0","a","0.0","1.0"
"6.0","14.0","0.0","1.0","1.0","102","579.0","1034.0","a","1.0","1.0"
