"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"7.0","16.0","0.0","0.0","0.0","102","150.0","1377.0","l","1.0","1.0"
"0.0","11.0","-5.0","1.0","0.0","101","157.0","1530.0","l","0.0","3.0"
"0.0","14.0","-6.0","1.0","0.0","101","152.0","1206.0","l","0.0","4.0"
"3.0","10.0","0.0","1.0","1.0","102","146.0","1312.0","l","0.0","2.0"
"4.0","10.0","0.0","1.0","0.0","102","156.0","1296.0","l","0.0","1.0"
"0.0","13.0","-10.0","0.0","0.0","101","156.0","840.0","a","0.0","1.5"
"5.0","16.0","0.0","1.0","1.0","102","156.0","1345.0","l","0.0","3.0"
"6.0","18.0","0.0","1.0","0.0","102","172.0","1146.0","a","1.0","3.0"
"4.0","10.0","0.0","1.0","1.0","102","172.0","1204.0","l","0.0","1.0"
"3.0","18.0","0.0","1.0","1.0","102","182.0","1053.0","l","0.0","6.0"
"0.0","13.0","-5.0","0.0","0.0","101","200.0","1157.0","l","1.0","4.0"
"0.0","11.0","-6.0","0.0","1.0","101","200.0","1134.0","l","1.0","2.5"
"0.0","15.0","-2.0","1.0","0.0","101","200.0","1032.0","a","1.0","6.5"
"0.0","19.0","-4.0","1.0","0.0","101","198.0","1006.0","l","0.0","7.5"
"6.0","14.0","0.0","1.0","1.0","102","194.0","843.0","a","1.0","1.0"
"3.0","12.0","0.0","1.0","0.0","102","208.0","1234.0","a","1.0","3.0"
"0.0","12.0","-8.0","0.0","0.0","101","208.0","1129.0","a","0.0","2.0"
"0.0","14.0","-10.0","0.0","1.0","101","208.0","1236.0","l","1.0","2.0"
"0.0","15.0","-3.0","1.0","0.0","101","208.0","1042.0","a","1.0","6.0"
"0.0","17.0","-5.0","1.0","0.0","101","205.0","1008.0","a","1.0","6.0"
"0.0","17.0","-6.0","1.0","1.0","101","200.0","948.0","l","0.0","5.5"
"0.0","12.0","-2.0","1.0","1.0","101","217.0","902.0","l","0.0","5.0"
"0.0","13.0","-2.0","1.0","0.0","101","229.0","846.0","a","1.0","5.5"
"0.0","13.0","-5.0","1.0","0.0","101","227.0","735.0","a","1.0","4.0"
"0.0","19.0","-5.0","1.0","0.0","101","222.0","922.0","l","0.0","7.0"
"0.0","19.0","-2.0","1.0","0.0","101","217.0","686.0","l","0.0","8.5"
"0.0","13.0","-6.0","1.0","0.0","101","215.0","1006.0","a","1.0","3.5"
"0.0","17.0","-3.0","1.0","0.0","101","209.0","739.0","l","0.0","7.0"
"0.0","17.0","-10.0","0.0","0.0","101","206.0","972.0","a","0.0","3.5"
"3.0","12.0","0.0","1.0","1.0","102","206.0","1176.0","a","1.0","3.0"
"0.0","15.0","-2.0","1.0","0.0","101","218.0","948.0","l","0.0","6.5"
"4.0","14.0","0.0","1.0","1.0","102","216.0","838.0","a","1.0","3.0"
"3.0","16.0","0.0","1.0","0.0","102","230.0","829.0","l","0.0","5.0"
"0.0","14.0","-5.0","1.0","1.0","101","230.0","899.0","l","0.0","4.5"
"0.0","15.0","-3.0","1.0","0.0","101","244.0","722.0","l","0.0","6.0"
"0.0","17.0","-3.0","1.0","0.0","101","241.0","1005.0","a","1.0","7.0"
"0.0","12.0","-10.0","0.0","0.0","101","238.0","914.0","l","1.0","1.0"
"6.0","12.0","0.0","1.0","0.0","102","238.0","930.0","a","1.0","0.0"
"0.0","11.0","-2.0","1.0","0.0","101","238.0","909.0","l","0.0","4.5"
"0.0","17.0","-8.0","0.0","1.0","101","236.0","1232.0","l","1.0","4.5"
