"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"6.0","10.0","0.0","0.0","1.0","102","150.0","2948.0","a","0.0","-1.0"
"0.0","17.0","-4.0","1.0","1.0","101","156.0","994.0","l","0.0","6.5"
"0.0","11.0","-2.0","1.0","1.0","101","173.0","1327.0","a","1.0","4.5"
"0.0","10.0","-8.0","0.0","0.0","101","184.0","2728.0","l","1.0","1.0"
"4.0","12.0","0.0","1.0","1.0","102","184.0","1299.0","a","1.0","2.0"
"0.0","11.0","-8.0","0.0","1.0","101","196.0","2571.0","a","0.0","1.5"
"0.0","12.0","-8.0","-999.0","1.0","101","196.0","","-999","1.0","2.0"
"0.0","13.0","-6.0","1.0","0.0","101","196.0","1402.0","a","1.0","3.5"
"0.0","13.0","-10.0","0.0","1.0","101","190.0","2612.0","a","0.0","1.5"
"0.0","9.0","-6.0","0.0","1.0","101","190.0","1811.0","l","1.0","1.5"
"0.0","12.0","-2.0","1.0","0.0","101","190.0","1140.0","a","1.0","5.0"
"4.0","16.0","0.0","1.0","0.0","102","188.0","1666.0","l","0.0","4.0"
"5.0","12.0","0.0","1.0","0.0","102","188.0","1429.0","l","0.0","1.0"
"0.0","10.0","-6.0","0.0","1.0","101","188.0","2300.0","l","1.0","2.0"
"0.0","10.0","-5.0","0.0","0.0","101","188.0","1696.0","a","0.0","2.5"
"0.0","11.0","-4.0","1.0","0.0","101","188.0","1113.0","a","1.0","3.5"
"0.0","15.0","-5.0","1.0","1.0","101","184.0","1143.0","a","1.0","5.0"
"0.0","9.0","-8.0","0.0","1.0","101","199.0","1340.0","l","1.0","0.5"
"7.0","16.0","0.0","1.0","1.0","102","199.0","1183.0","a","1.0","1.0"
"3.0","8.0","0.0","1.0","0.0","102","215.0","1581.0","a","1.0","1.0"
"0.0","11.0","-5.0","1.0","1.0","101","215.0","1673.0","l","0.0","3.0"
"7.0","14.0","0.0","0.0","1.0","102","226.0","3449.0","a","0.0","0.0"
"0.0","9.0","-4.0","0.0","0.0","101","233.0","2098.0","l","1.0","2.5"
"0.0","12.0","-4.0","1.0","0.0","101","233.0","1326.0","l","0.0","4.0"
"4.0","10.0","0.0","1.0","0.0","102","229.0","1992.0","a","1.0","1.0"
"0.0","9.0","-3.0","1.0","1.0","101","229.0","2473.0","a","1.0","3.0"
"5.0","14.0","0.0","1.0","0.0","102","238.0","1417.0","l","0.0","2.0"
"0.0","9.0","-6.0","0.0","1.0","101","238.0","2254.0","a","0.0","1.5"
"0.0","9.0","-3.0","1.0","1.0","101","238.0","2036.0","a","1.0","3.0"
"4.0","8.0","0.0","0.0","1.0","102","247.0","2484.0","l","1.0","0.0"
"0.0","13.0","-3.0","1.0","0.0","101","251.0","1171.0","a","1.0","5.0"
"0.0","17.0","-10.0","0.0","1.0","101","248.0","2231.0","l","1.0","3.5"
"0.0","15.0","-4.0","1.0","0.0","101","248.0","1208.0","a","1.0","5.5"
"4.0","12.0","0.0","1.0","0.0","102","244.0","1238.0","a","1.0","2.0"
"0.0","12.0","-3.0","1.0","1.0","101","244.0","2303.0","l","0.0","4.5"
"0.0","11.0","-5.0","1.0","0.0","101","256.0","1483.0","l","0.0","3.0"
"0.0","9.0","-5.0","1.0","1.0","101","251.0","2144.0","l","0.0","2.0"
"7.0","12.0","0.0","1.0","1.0","102","260.0","1362.0","a","1.0","-1.0"
"0.0","11.0","-10.0","0.0","1.0","101","272.0","2322.0","l","1.0","0.5"
"0.0","17.0","-4.0","1.0","1.0","101","272.0","1267.0","l","0.0","6.5"
"0.0","15.0","-8.0","0.0","0.0","101","289.0","2607.0","l","1.0","3.5"
"0.0","11.0","-8.0","0.0","0.0","101","289.0","1606.0","a","0.0","1.5"
"0.0","13.0","-2.0","1.0","0.0","101","289.0","1229.0","l","0.0","5.5"
"0.0","12.0","-5.0","1.0","0.0","101","287.0","2074.0","l","0.0","3.5"
"0.0","11.0","-6.0","0.0","0.0","101","282.0","1413.0","l","1.0","2.5"
"7.0","12.0","0.0","1.0","1.0","102","282.0","2529.0","l","0.0","-1.0"
"0.0","15.0","-3.0","1.0","0.0","101","294.0","1254.0","a","1.0","6.0"
"0.0","9.0","-5.0","0.0","0.0","101","291.0","1420.0","l","1.0","2.0"
"6.0","10.0","0.0","1.0","0.0","102","291.0","3448.0","l","0.0","-1.0"
"0.0","10.0","-4.0","1.0","1.0","101","291.0","1434.0","l","0.0","3.0"
"0.0","10.0","-3.0","1.0","0.0","101","301.0","1468.0","a","1.0","3.5"
"0.0","10.0","-10.0","0.0","1.0","101","298.0","2269.0","l","1.0","0.0"
"7.0","8.0","0.0","-999.0","1.0","102","298.0","","-999","0.0","-3.0"
"0.0","12.0","-2.0","1.0","1.0","101","298.0","1142.0","a","1.0","5.0"
"0.0","12.0","-10.0","0.0","0.0","101","310.0","1257.0","l","1.0","1.0"
"5.0","14.0","0.0","1.0","1.0","102","310.0","1270.0","a","1.0","2.0"
"5.0","16.0","0.0","1.0","1.0","102","324.0","1474.0","l","0.0","3.0"
"0.0","11.0","-2.0","1.0","1.0","101","340.0","1454.0","a","1.0","4.5"
"0.0","10.0","-8.0","0.0","0.0","101","351.0","1455.0","l","1.0","1.0"
"3.0","12.0","0.0","1.0","0.0","102","351.0","1204.0","l","0.0","3.0"
"5.0","10.0","0.0","1.0","1.0","102","351.0","1459.0","l","0.0","0.0"
"0.0","15.0","-10.0","0.0","1.0","101","361.0","1116.0","a","0.0","2.5"
"0.0","15.0","-6.0","1.0","0.0","101","361.0","1801.0","a","1.0","4.5"
"0.0","10.0","-10.0","0.0","1.0","101","355.0","1424.0","a","0.0","0.0"
"7.0","16.0","0.0","1.0","0.0","102","355.0","1646.0","a","1.0","1.0"
"4.0","14.0","0.0","1.0","1.0","102","355.0","1343.0","l","0.0","3.0"
"0.0","17.0","-5.0","1.0","1.0","101","369.0","1580.0","a","1.0","6.0"
"5.0","8.0","0.0","0.0","1.0","102","386.0","3368.0","l","1.0","-1.0"
"0.0","12.0","-4.0","1.0","0.0","101","391.0","1073.0","a","1.0","4.0"
"0.0","10.0","-3.0","1.0","0.0","101","387.0","1246.0","a","1.0","3.5"
"0.0","13.0","-3.0","1.0","1.0","101","384.0","991.0","l","0.0","5.0"
"0.0","13.0","-8.0","-999.0","1.0","101","397.0","","-999","0.0","2.5"
"0.0","12.0","-6.0","1.0","0.0","101","397.0","1604.0","a","1.0","3.0"
"0.0","15.0","-8.0","0.0","0.0","101","391.0","3413.0","l","1.0","3.5"
"0.0","13.0","-2.0","1.0","1.0","101","391.0","855.0","l","0.0","5.5"
"0.0","11.0","-4.0","1.0","0.0","101","404.0","930.0","l","0.0","3.5"
"6.0","12.0","0.0","0.0","1.0","102","400.0","2166.0","l","1.0","0.0"
"6.0","12.0","0.0","0.0","1.0","102","406.0","1827.0","l","1.0","0.0"
"0.0","17.0","-3.0","1.0","0.0","101","412.0","1322.0","a","1.0","7.0"
"6.0","14.0","0.0","0.0","1.0","102","409.0","2329.0","a","0.0","1.0"
"0.0","10.0","-2.0","1.0","0.0","101","415.0","1450.0","a","1.0","4.0"
"6.0","8.0","0.0","0.0","1.0","102","413.0","1701.0","l","1.0","-2.0"
"5.0","16.0","0.0","1.0","0.0","102","419.0","1287.0","l","0.0","3.0"
"4.0","8.0","0.0","0.0","1.0","102","419.0","1308.0","a","0.0","0.0"
"0.0","9.0","-2.0","0.0","1.0","101","423.0","1591.0","a","0.0","3.5"
"6.0","8.0","0.0","0.0","0.0","102","423.0","2230.0","l","1.0","-2.0"
"0.0","13.0","-5.0","1.0","0.0","101","429.0","2353.0","l","0.0","4.0"
"0.0","17.0","-6.0","1.0","1.0","101","424.0","1297.0","l","0.0","5.5"
"0.0","15.0","-10.0","0.0","0.0","101","441.0","1965.0","l","1.0","2.5"
"3.0","8.0","0.0","1.0","1.0","102","441.0","2747.0","l","0.0","1.0"
"6.0","14.0","0.0","1.0","0.0","102","449.0","1040.0","a","1.0","1.0"
"0.0","17.0","-6.0","1.0","1.0","101","449.0","2582.0","a","1.0","5.5"
"0.0","11.0","-3.0","1.0","1.0","101","466.0","993.0","l","0.0","4.0"
"7.0","14.0","0.0","1.0","1.0","102","477.0","1510.0","a","1.0","0.0"
"5.0","8.0","0.0","0.0","1.0","102","491.0","1220.0","a","0.0","-1.0"
"3.0","10.0","0.0","1.0","1.0","102","496.0","1932.0","l","0.0","2.0"
"0.0","17.0","-10.0","0.0","1.0","101","506.0","2407.0","l","1.0","3.5"
"5.0","10.0","0.0","0.0","0.0","102","506.0","2265.0","a","0.0","0.0"
"4.0","14.0","0.0","1.0","0.0","102","511.0","1311.0","l","0.0","3.0"
"0.0","13.0","-6.0","1.0","1.0","101","511.0","1360.0","l","0.0","3.5"
"3.0","16.0","0.0","1.0","0.0","102","524.0","2027.0","a","1.0","5.0"
"0.0","15.0","-4.0","1.0","0.0","101","524.0","1414.0","l","0.0","5.5"
"0.0","9.0","-10.0","0.0","1.0","101","520.0","1551.0","l","1.0","-0.5"
"0.0","17.0","-2.0","1.0","1.0","101","520.0","1007.0","l","0.0","7.5"
"3.0","14.0","0.0","1.0","1.0","102","537.0","1418.0","a","1.0","4.0"
"3.0","12.0","0.0","1.0","0.0","102","551.0","1345.0","l","0.0","3.0"
"0.0","15.0","-2.0","1.0","1.0","101","551.0","1176.0","l","0.0","6.5"
"0.0","12.0","-3.0","1.0","0.0","101","566.0","1427.0","a","1.0","4.5"
"0.0","15.0","-5.0","1.0","1.0","101","563.0","1514.0","a","1.0","5.0"
"7.0","10.0","0.0","0.0","1.0","102","578.0","1538.0","l","1.0","-2.0"
"3.0","14.0","0.0","1.0","1.0","102","585.0","1573.0","l","0.0","4.0"
"0.0","13.0","-8.0","1.0","0.0","101","599.0","1736.0","l","0.0","2.5"
"0.0","12.0","-8.0","0.0","0.0","101","591.0","2314.0","a","0.0","2.0"
"7.0","8.0","0.0","0.0","1.0","102","591.0","2072.0","a","0.0","-3.0"
"0.0","12.0","-6.0","1.0","1.0","101","598.0","2250.0","l","0.0","3.0"
"0.0","10.0","-5.0","1.0","1.0","101","610.0","1485.0","l","0.0","2.5"
"0.0","11.0","-6.0","1.0","0.0","101","620.0","1481.0","l","0.0","2.5"
"0.0","11.0","-3.0","1.0","0.0","101","614.0","1211.0","l","0.0","4.0"
"0.0","12.0","-5.0","1.0","1.0","101","611.0","2193.0","a","1.0","3.5"
"0.0","11.0","-10.0","0.0","0.0","101","623.0","2378.0","l","1.0","0.5"
"0.0","17.0","-3.0","1.0","1.0","101","623.0","1390.0","a","1.0","7.0"
"0.0","13.0","-5.0","1.0","0.0","101","640.0","1524.0","l","0.0","4.0"
"0.0","17.0","-8.0","1.0","0.0","101","635.0","2173.0","a","1.0","4.5"
"0.0","17.0","-5.0","1.0","0.0","101","627.0","1153.0","l","0.0","6.0"
"0.0","15.0","-3.0","1.0","0.0","101","622.0","1197.0","a","1.0","6.0"
"0.0","15.0","-2.0","1.0","0.0","101","619.0","1059.0","a","1.0","6.5"
"0.0","13.0","-4.0","1.0","0.0","101","617.0","833.0","l","0.0","4.5"
"6.0","16.0","0.0","1.0","1.0","102","613.0","1847.0","l","0.0","2.0"
"0.0","12.0","-10.0","0.0","1.0","101","629.0","1095.0","a","0.0","1.0"
"3.0","10.0","0.0","1.0","1.0","102","629.0","2555.0","a","1.0","2.0"
"6.0","16.0","0.0","1.0","1.0","102","639.0","1466.0","a","1.0","2.0"
"0.0","9.0","-8.0","0.0","1.0","101","655.0","1389.0","a","0.0","0.5"
"3.0","16.0","0.0","1.0","1.0","102","655.0","1298.0","a","1.0","5.0"
"0.0","9.0","-4.0","0.0","0.0","101","671.0","1681.0","l","1.0","2.5"
"0.0","17.0","-2.0","1.0","1.0","101","671.0","1278.0","a","1.0","7.5"
"0.0","9.0","-10.0","0.0","0.0","101","688.0","1181.0","l","1.0","-0.5"
"7.0","10.0","0.0","0.0","1.0","102","688.0","1393.0","l","1.0","-2.0"
"0.0","13.0","-4.0","1.0","0.0","101","695.0","1326.0","a","1.0","4.5"
"4.0","10.0","0.0","0.0","1.0","102","691.0","1952.0","a","0.0","1.0"
"5.0","12.0","0.0","0.0","0.0","102","695.0","1926.0","l","1.0","1.0"
"0.0","13.0","-10.0","0.0","1.0","101","700.0","1330.0","a","0.0","1.5"
"0.0","17.0","-8.0","1.0","0.0","101","700.0","2282.0","a","1.0","4.5"
"4.0","16.0","0.0","1.0","1.0","102","692.0","1318.0","a","1.0","4.0"
"0.0","10.0","-6.0","0.0","0.0","101","708.0","2229.0","l","1.0","2.0"
"0.0","10.0","-2.0","1.0","0.0","101","708.0","1301.0","l","0.0","4.0"
"0.0","10.0","-4.0","1.0","0.0","101","706.0","1571.0","l","0.0","3.0"
"0.0","9.0","-2.0","1.0","0.0","101","702.0","3418.0","a","1.0","3.5"
"0.0","15.0","-6.0","1.0","0.0","101","700.0","1662.0","a","1.0","4.5"
