"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","16.0","-5.0","0.0","1.0","101","150.0","2050.0","a","0.0","5.5"
"6.0","12.0","0.0","1.0","1.0","102","150.0","1335.0","l","0.0","0.0"
"7.0","14.0","0.0","1.0","0.0","102","162.0","1856.0","l","0.0","0.0"
"0.0","21.0","-10.0","0.0","1.0","101","162.0","860.0","a","0.0","5.5"
"0.0","19.0","-3.0","1.0","0.0","101","162.0","1405.0","a","1.0","8.0"
"5.0","10.0","0.0","1.0","1.0","102","159.0","1746.0","a","1.0","0.0"
"0.0","21.0","-2.0","1.0","0.0","101","169.0","1068.0","l","0.0","9.5"
"5.0","12.0","0.0","1.0","1.0","102","167.0","1013.0","l","0.0","1.0"
"0.0","15.0","-4.0","1.0","0.0","101","179.0","2026.0","l","0.0","5.5"
"0.0","23.0","-2.0","1.0","1.0","101","175.0","1052.0","l","0.0","10.5"
"4.0","12.0","0.0","1.0","0.0","102","198.0","1013.0","l","0.0","2.0"
"4.0","8.0","0.0","1.0","1.0","102","198.0","1479.0","a","1.0","0.0"
"0.0","17.0","-2.0","1.0","0.0","101","206.0","1425.0","a","1.0","7.5"
"0.0","15.0","-6.0","0.0","1.0","101","204.0","1135.0","l","1.0","4.5"
"3.0","6.0","0.0","0.0","0.0","102","204.0","1523.0","l","1.0","0.0"
"0.0","18.0","-2.0","1.0","1.0","101","207.0","940.0","a","1.0","8.0"
"6.0","14.0","0.0","1.0","0.0","102","225.0","1253.0","a","1.0","1.0"
"5.0","14.0","0.0","1.0","1.0","102","225.0","785.0","a","1.0","2.0"
"0.0","21.0","-6.0","0.0","1.0","101","239.0","1356.0","a","0.0","7.5"
"0.0","23.0","-5.0","0.0","0.0","101","239.0","1204.0","l","1.0","9.0"
"0.0","17.0","-10.0","0.0","0.0","101","239.0","1156.0","a","0.0","3.5"
"0.0","18.0","-3.0","1.0","0.0","101","239.0","1216.0","l","0.0","7.5"
"0.0","17.0","-3.0","1.0","0.0","101","236.0","921.0","l","0.0","7.0"
"6.0","10.0","0.0","1.0","1.0","102","233.0","1137.0","a","1.0","-1.0"
"0.0","19.0","-8.0","0.0","0.0","101","243.0","1086.0","a","0.0","5.5"
"0.0","16.0","-2.0","1.0","1.0","101","243.0","960.0","a","1.0","7.0"
"4.0","6.0","0.0","1.0","1.0","102","259.0","1772.0","l","0.0","-1.0"
"0.0","18.0","-5.0","0.0","1.0","101","265.0","939.0","a","0.0","6.5"
