"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","14.0","-10.0","0.0","0.0","101","150.0","2524.0","l","1.0","2.0"
"0.0","15.0","-4.0","1.0","0.0","101","150.0","1362.0","l","0.0","5.5"
"4.0","22.0","0.0","0.0","1.0","102","146.0","1153.0","l","1.0","7.0"
"0.0","17.0","-3.0","1.0","0.0","101","150.0","1048.0","a","1.0","7.0"
"4.0","18.0","0.0","0.0","0.0","102","147.0","433.0","l","1.0","5.0"
"0.0","19.0","-2.0","1.0","0.0","101","151.0","1295.0","l","0.0","8.5"
"0.0","13.0","-10.0","0.0","1.0","101","149.0","1160.0","a","0.0","1.5"
"0.0","15.0","-10.0","0.0","1.0","101","149.0","873.0","a","0.0","2.5"
"5.0","20.0","0.0","0.0","1.0","102","149.0","645.0","l","1.0","5.0"
"7.0","16.0","0.0","0.0","1.0","102","154.0","1255.0","a","0.0","1.0"
"3.0","22.0","0.0","1.0","0.0","102","161.0","1299.0","l","0.0","8.0"
"5.0","16.0","0.0","1.0","1.0","102","161.0","761.0","l","0.0","3.0"
"0.0","14.0","-2.0","1.0","1.0","101","177.0","1209.0","a","1.0","6.0"
"0.0","15.0","-2.0","1.0","1.0","101","191.0","1349.0","a","1.0","6.5"
"6.0","18.0","0.0","1.0","1.0","102","206.0","1374.0","l","0.0","3.0"
"0.0","19.0","-8.0","0.0","1.0","101","224.0","1505.0","l","1.0","5.5"
"0.0","15.0","-3.0","1.0","1.0","101","224.0","1045.0","a","1.0","6.0"
"3.0","18.0","0.0","1.0","1.0","102","239.0","1067.0","a","1.0","6.0"
"0.0","16.0","-3.0","1.0","1.0","101","257.0","1037.0","l","0.0","6.5"
"0.0","15.0","-3.0","1.0","1.0","101","273.0","1251.0","a","1.0","6.0"
"0.0","17.0","-2.0","1.0","1.0","101","288.0","744.0","l","0.0","7.5"
"4.0","16.0","0.0","0.0","0.0","102","305.0","837.0","a","0.0","4.0"
"0.0","16.0","-3.0","1.0","1.0","101","309.0","893.0","l","0.0","6.5"
"3.0","16.0","0.0","0.0","1.0","102","325.0","1075.0","a","0.0","5.0"
"4.0","16.0","0.0","0.0","1.0","102","328.0","873.0","l","1.0","4.0"
"0.0","16.0","-10.0","0.0","1.0","101","332.0","1089.0","l","1.0","3.0"
"0.0","14.0","-8.0","0.0","0.0","101","332.0","1070.0","a","0.0","3.0"
"7.0","18.0","0.0","0.0","1.0","102","332.0","618.0","l","1.0","2.0"
"0.0","13.0","-2.0","1.0","1.0","101","339.0","1074.0","l","0.0","5.5"
"4.0","24.0","0.0","0.0","1.0","102","352.0","679.0","a","0.0","8.0"
"4.0","18.0","0.0","1.0","0.0","102","356.0","709.0","l","0.0","5.0"
"0.0","13.0","-2.0","1.0","0.0","101","356.0","1002.0","a","1.0","5.5"
"7.0","24.0","0.0","0.0","1.0","102","354.0","727.0","l","1.0","5.0"
"0.0","16.0","-8.0","0.0","1.0","101","361.0","1285.0","a","0.0","4.0"
"0.0","19.0","-4.0","1.0","1.0","101","361.0","1051.0","l","0.0","7.5"
"3.0","20.0","0.0","1.0","0.0","102","380.0","1454.0","a","1.0","7.0"
"0.0","13.0","-3.0","1.0","1.0","101","380.0","830.0","l","0.0","5.0"
"0.0","21.0","-4.0","1.0","0.0","101","393.0","1480.0","l","0.0","8.5"
"0.0","15.0","-10.0","0.0","0.0","101","389.0","1095.0","l","1.0","2.5"
"0.0","19.0","-2.0","1.0","0.0","101","389.0","911.0","l","0.0","8.5"
"0.0","21.0","-6.0","0.0","1.0","101","387.0","1179.0","l","1.0","7.5"
"6.0","16.0","0.0","0.0","1.0","102","387.0","681.0","l","1.0","2.0"
"0.0","17.0","-10.0","0.0","1.0","101","393.0","1115.0","l","1.0","3.5"
"0.0","14.0","-8.0","0.0","0.0","101","393.0","972.0","l","1.0","3.0"
"0.0","17.0","-2.0","1.0","1.0","101","393.0","944.0","l","0.0","7.5"
"0.0","13.0","-4.0","0.0","0.0","101","410.0","1273.0","l","1.0","4.5"
"0.0","21.0","-6.0","0.0","1.0","101","410.0","958.0","l","1.0","7.5"
"5.0","22.0","0.0","0.0","1.0","102","410.0","671.0","l","1.0","6.0"
"0.0","17.0","-8.0","0.0","1.0","101","415.0","1377.0","l","1.0","4.5"
"6.0","20.0","0.0","1.0","0.0","102","415.0","806.0","l","0.0","4.0"
"0.0","17.0","-4.0","0.0","0.0","101","415.0","2399.0","l","1.0","6.5"
"0.0","16.0","-8.0","0.0","0.0","101","415.0","1093.0","a","0.0","4.0"
"0.0","14.0","-5.0","1.0","0.0","101","415.0","1857.0","l","0.0","4.5"
"5.0","24.0","0.0","0.0","0.0","102","410.0","525.0","l","1.0","7.0"
"0.0","16.0","-6.0","0.0","1.0","101","415.0","940.0","l","1.0","5.0"
"0.0","14.0","-6.0","0.0","1.0","101","415.0","1078.0","l","1.0","4.0"
"3.0","24.0","0.0","1.0","1.0","102","415.0","964.0","l","0.0","9.0"
"0.0","13.0","-5.0","0.0","1.0","101","439.0","1166.0","a","0.0","4.0"
"0.0","15.0","-6.0","0.0","1.0","101","439.0","881.0","a","0.0","4.5"
"0.0","14.0","-3.0","1.0","1.0","101","439.0","933.0","l","0.0","5.5"
"0.0","14.0","-4.0","0.0","0.0","101","453.0","1013.0","l","1.0","5.0"
"0.0","16.0","-2.0","1.0","0.0","101","453.0","1046.0","a","1.0","7.0"
"7.0","18.0","0.0","1.0","0.0","102","451.0","733.0","l","0.0","2.0"
"0.0","13.0","-10.0","0.0","1.0","101","451.0","815.0","a","0.0","1.5"
"0.0","19.0","-5.0","0.0","1.0","101","451.0","901.0","l","1.0","7.0"
"0.0","19.0","-8.0","0.0","1.0","101","451.0","783.0","a","0.0","5.5"
"0.0","15.0","-8.0","0.0","0.0","101","451.0","881.0","l","1.0","3.5"
"0.0","19.0","-5.0","0.0","0.0","101","451.0","849.0","l","1.0","7.0"
"0.0","14.0","-6.0","0.0","1.0","101","451.0","840.0","l","1.0","4.0"
"0.0","17.0","-5.0","0.0","1.0","101","451.0","954.0","l","1.0","6.0"
"0.0","14.0","-2.0","1.0","1.0","101","451.0","1061.0","a","1.0","6.0"
"0.0","15.0","-2.0","1.0","0.0","101","465.0","1065.0","a","1.0","6.5"
"6.0","16.0","0.0","0.0","1.0","102","463.0","507.0","l","1.0","2.0"
"5.0","24.0","0.0","1.0","0.0","102","469.0","1054.0","l","0.0","7.0"
"6.0","20.0","0.0","0.0","0.0","102","469.0","623.0","l","1.0","4.0"
"4.0","20.0","0.0","0.0","0.0","102","475.0","1588.0","a","0.0","6.0"
"3.0","24.0","0.0","1.0","0.0","102","479.0","1156.0","a","1.0","9.0"
"0.0","19.0","-3.0","1.0","1.0","101","479.0","1088.0","a","1.0","8.0"
"0.0","21.0","-10.0","0.0","0.0","101","498.0","971.0","a","0.0","5.5"
"0.0","21.0","-2.0","1.0","1.0","101","498.0","964.0","l","0.0","9.5"
"0.0","15.0","-5.0","0.0","1.0","101","519.0","1680.0","l","1.0","5.0"
"0.0","21.0","-8.0","0.0","0.0","101","519.0","853.0","l","1.0","6.5"
"0.0","13.0","-8.0","0.0","1.0","101","519.0","1227.0","l","1.0","2.5"
"0.0","14.0","-4.0","0.0","0.0","101","519.0","1682.0","a","0.0","5.0"
"5.0","18.0","0.0","1.0","1.0","102","519.0","884.0","l","0.0","4.0"
"0.0","17.0","-6.0","0.0","1.0","101","537.0","1074.0","l","1.0","5.5"
"6.0","24.0","0.0","1.0","1.0","102","537.0","864.0","l","0.0","6.0"
"7.0","24.0","0.0","1.0","1.0","102","561.0","731.0","l","0.0","5.0"
