"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","11.0","-4.0","1.0","1.0","101","150.0","1749.0","a","1.0","3.5"
"5.0","8.0","0.0","1.0","1.0","102","161.0","1404.0","l","0.0","-1.0"
"3.0","10.0","0.0","1.0","0.0","102","169.0","932.0","a","1.0","2.0"
"0.0","11.0","-6.0","0.0","1.0","101","169.0","1170.0","l","1.0","2.5"
"3.0","6.0","0.0","1.0","0.0","102","169.0","922.0","l","0.0","0.0"
"7.0","14.0","0.0","1.0","1.0","102","169.0","932.0","a","1.0","0.0"
"0.0","16.0","-3.0","1.0","1.0","101","183.0","881.0","l","0.0","6.5"
"4.0","10.0","0.0","1.0","1.0","102","199.0","952.0","a","1.0","1.0"
"0.0","14.0","-8.0","1.0","0.0","101","209.0","1012.0","a","1.0","3.0"
"0.0","12.0","-3.0","1.0","0.0","101","201.0","874.0","l","0.0","4.5"
"0.0","14.0","-6.0","1.0","1.0","101","198.0","1379.0","a","1.0","4.0"
"6.0","12.0","0.0","1.0","1.0","102","212.0","1224.0","l","0.0","0.0"
"0.0","16.0","-4.0","1.0","0.0","101","224.0","921.0","a","1.0","6.0"
"4.0","6.0","0.0","0.0","0.0","102","220.0","1031.0","a","0.0","-1.0"
"0.0","18.0","-4.0","1.0","0.0","101","224.0","920.0","a","1.0","7.0"
"0.0","12.0","-8.0","0.0","1.0","101","220.0","1051.0","a","0.0","2.0"
"0.0","13.0","-3.0","1.0","0.0","101","220.0","785.0","l","0.0","5.0"
"0.0","14.0","-10.0","0.0","0.0","101","217.0","1044.0","a","0.0","2.0"
"0.0","12.0","-8.0","0.0","0.0","101","217.0","1073.0","l","1.0","2.0"
"0.0","11.0","-6.0","1.0","0.0","101","217.0","798.0","a","1.0","2.5"
"0.0","12.0","-2.0","1.0","1.0","101","211.0","830.0","l","0.0","5.0"
"0.0","14.0","-10.0","1.0","1.0","101","223.0","967.0","l","0.0","2.0"
"0.0","10.0","-8.0","0.0","1.0","101","237.0","1084.0","l","1.0","1.0"
"5.0","6.0","0.0","0.0","0.0","102","237.0","1182.0","a","0.0","-2.0"
"0.0","11.0","-10.0","0.0","0.0","101","242.0","1034.0","a","0.0","0.5"
"7.0","6.0","0.0","0.0","0.0","102","242.0","981.0","a","0.0","-4.0"
"0.0","13.0","-10.0","0.0","1.0","101","249.0","1242.0","a","0.0","1.5"
"0.0","16.0","-10.0","1.0","0.0","101","249.0","908.0","l","0.0","3.0"
"0.0","18.0","-8.0","1.0","1.0","101","239.0","1415.0","l","0.0","5.0"
"0.0","13.0","-6.0","1.0","1.0","101","257.0","1200.0","l","0.0","3.5"
"4.0","14.0","0.0","1.0","1.0","102","270.0","1377.0","l","0.0","3.0"
"0.0","10.0","-3.0","1.0","1.0","101","284.0","1131.0","a","1.0","3.5"
"0.0","11.0","-2.0","1.0","1.0","101","294.0","886.0","a","1.0","4.5"
"5.0","12.0","0.0","0.0","0.0","102","305.0","1129.0","l","1.0","1.0"
"0.0","10.0","-6.0","0.0","1.0","101","310.0","1205.0","l","1.0","2.0"
