"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","15.0","-2.0","-999.0","0.0","101","150.0","","-999","1.0","6.5"
"3.0","10.0","0.0","1.0","0.0","102","150.0","3248.0","l","0.0","2.0"
"0.0","18.0","-8.0","0.0","1.0","101","150.0","1778.0","a","0.0","5.0"
"0.0","14.0","-8.0","0.0","0.0","101","150.0","1951.0","a","0.0","3.0"
"0.0","18.0","-3.0","1.0","0.0","101","150.0","1168.0","a","1.0","7.5"
"0.0","20.0","-8.0","0.0","1.0","101","147.0","1317.0","a","0.0","6.0"
"0.0","16.0","-5.0","0.0","0.0","101","147.0","2180.0","a","0.0","5.5"
"5.0","12.0","0.0","1.0","1.0","102","147.0","1475.0","a","1.0","1.0"
"7.0","16.0","0.0","0.0","0.0","102","159.0","1281.0","a","0.0","1.0"
"7.0","16.0","0.0","0.0","1.0","102","166.0","1133.0","a","0.0","1.0"
"0.0","16.0","-10.0","0.0","0.0","101","173.0","2083.0","l","1.0","3.0"
"7.0","10.0","0.0","0.0","0.0","102","173.0","1130.0","a","0.0","-2.0"
"0.0","16.0","-8.0","0.0","1.0","101","180.0","1215.0","a","0.0","4.0"
"0.0","18.0","-10.0","0.0","0.0","101","180.0","2220.0","a","0.0","4.0"
"0.0","14.0","-10.0","0.0","0.0","101","180.0","1303.0","a","0.0","2.0"
"0.0","15.0","-6.0","0.0","0.0","101","180.0","1052.0","a","0.0","4.5"
"0.0","14.0","-8.0","0.0","0.0","101","180.0","1335.0","a","0.0","3.0"
"0.0","16.0","-5.0","0.0","0.0","101","180.0","1713.0","a","0.0","5.5"
"0.0","14.0","-4.0","0.0","0.0","101","180.0","1911.0","l","1.0","5.0"
"4.0","16.0","0.0","1.0","0.0","102","180.0","1694.0","l","0.0","4.0"
"5.0","8.0","0.0","0.0","0.0","102","180.0","2209.0","a","0.0","-1.0"
"6.0","8.0","0.0","0.0","1.0","102","185.0","1248.0","l","1.0","-2.0"
"5.0","12.0","0.0","0.0","0.0","102","191.0","1361.0","a","0.0","1.0"
"0.0","16.0","-4.0","0.0","1.0","101","196.0","1182.0","a","0.0","6.0"
"3.0","14.0","0.0","0.0","0.0","102","196.0","1071.0","a","0.0","4.0"
"0.0","13.0","-10.0","0.0","0.0","101","199.0","1151.0","a","0.0","1.5"
"0.0","15.0","-5.0","0.0","0.0","101","199.0","1115.0","l","1.0","5.0"
"0.0","16.0","-6.0","1.0","0.0","101","199.0","1372.0","l","0.0","5.0"
"0.0","18.0","-4.0","0.0","0.0","101","193.0","1843.0","a","0.0","7.0"
"0.0","20.0","-8.0","0.0","0.0","101","193.0","1919.0","l","1.0","6.0"
"0.0","20.0","-4.0","0.0","1.0","101","193.0","2167.0","a","0.0","8.0"
"4.0","16.0","0.0","1.0","0.0","102","193.0","1734.0","l","0.0","4.0"
"7.0","14.0","0.0","0.0","0.0","102","193.0","999.0","a","0.0","0.0"
"0.0","20.0","-10.0","0.0","1.0","101","200.0","874.0","l","1.0","5.0"
"0.0","13.0","-3.0","1.0","1.0","101","200.0","1332.0","l","0.0","5.0"
