"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","17.0","-6.0","1.0","1.0","101","150.0","1598.0","l","0.0","5.5"
"7.0","14.0","0.0","1.0","0.0","102","167.0","941.0","l","0.0","0.0"
"0.0","12.0","-6.0","1.0","1.0","101","167.0","1084.0","l","0.0","3.0"
"0.0","12.0","-5.0","1.0","1.0","101","179.0","957.0","a","1.0","3.5"
"0.0","15.0","-10.0","0.0","1.0","101","191.0","1757.0","l","1.0","2.5"
"0.0","13.0","-5.0","0.0","0.0","101","191.0","1724.0","a","0.0","4.0"
"0.0","12.0","-2.0","1.0","1.0","101","191.0","1133.0","a","1.0","5.0"
"4.0","6.0","0.0","1.0","1.0","102","203.0","1310.0","a","1.0","-1.0"
"3.0","12.0","0.0","1.0","1.0","102","209.0","1084.0","l","0.0","3.0"
"5.0","8.0","0.0","1.0","0.0","102","221.0","1372.0","a","1.0","-1.0"
"0.0","11.0","-6.0","1.0","0.0","101","221.0","2157.0","a","1.0","2.5"
"0.0","13.0","-5.0","1.0","1.0","101","215.0","924.0","a","1.0","4.0"
"0.0","9.0","-5.0","0.0","1.0","101","228.0","1420.0","l","1.0","2.0"
"0.0","11.0","-2.0","1.0","0.0","101","228.0","1580.0","l","0.0","4.5"
"5.0","12.0","0.0","1.0","0.0","102","226.0","862.0","l","0.0","1.0"
"0.0","12.0","-10.0","0.0","0.0","101","226.0","1164.0","a","0.0","1.0"
"0.0","15.0","-6.0","1.0","1.0","101","226.0","1325.0","a","1.0","4.5"
"0.0","13.0","-8.0","0.0","0.0","101","241.0","1725.0","l","1.0","2.5"
"0.0","17.0","-6.0","1.0","0.0","101","241.0","1500.0","l","0.0","5.5"
"0.0","10.0","-6.0","1.0","0.0","101","235.0","1213.0","l","0.0","2.0"
"5.0","12.0","0.0","1.0","0.0","102","229.0","621.0","l","0.0","1.0"
"6.0","6.0","0.0","0.0","1.0","102","229.0","1149.0","l","1.0","-3.0"
"0.0","17.0","-8.0","0.0","0.0","101","235.0","1292.0","a","0.0","4.5"
"0.0","13.0","-3.0","1.0","1.0","101","235.0","1148.0","a","1.0","5.0"
"0.0","12.0","-4.0","1.0","0.0","101","248.0","1309.0","l","0.0","4.0"
"0.0","11.0","-10.0","0.0","1.0","101","244.0","1357.0","a","0.0","0.5"
"4.0","8.0","0.0","1.0","1.0","102","244.0","1260.0","a","1.0","0.0"
"0.0","9.0","-10.0","0.0","0.0","101","252.0","1309.0","a","0.0","-0.5"
