"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","14.0","-3.0","1.0","0.0","101","150.0","1162.0","l","0.0","5.5"
"6.0","24.0","0.0","1.0","0.0","102","147.0","1271.0","l","0.0","6.0"
"5.0","22.0","0.0","1.0","1.0","102","147.0","985.0","a","1.0","6.0"
"0.0","12.0","-4.0","1.0","1.0","101","169.0","1142.0","l","0.0","4.0"
"7.0","20.0","0.0","1.0","1.0","102","181.0","1308.0","a","1.0","3.0"
"0.0","11.0","-2.0","1.0","0.0","101","201.0","689.0","a","1.0","4.5"
"6.0","22.0","0.0","1.0","0.0","102","199.0","785.0","l","0.0","5.0"
"0.0","13.0","-8.0","0.0","1.0","101","199.0","1051.0","l","1.0","2.5"
"0.0","17.0","-3.0","1.0","1.0","101","199.0","965.0","l","0.0","7.0"
"0.0","11.0","-3.0","1.0","0.0","101","216.0","1240.0","a","1.0","4.0"
"6.0","24.0","0.0","1.0","0.0","102","213.0","1018.0","l","0.0","6.0"
"0.0","17.0","-4.0","1.0","0.0","101","213.0","1111.0","a","1.0","6.5"
"0.0","19.0","-6.0","0.0","1.0","101","209.0","1282.0","l","1.0","6.5"
"0.0","19.0","-10.0","0.0","1.0","101","209.0","943.0","l","1.0","4.5"
"4.0","20.0","0.0","1.0","0.0","102","209.0","912.0","l","0.0","6.0"
"3.0","16.0","0.0","1.0","0.0","102","209.0","856.0","l","0.0","5.0"
"6.0","16.0","0.0","1.0","0.0","102","209.0","985.0","a","1.0","2.0"
"0.0","15.0","-5.0","1.0","0.0","101","209.0","1076.0","a","1.0","5.0"
"6.0","20.0","0.0","0.0","1.0","102","204.0","1147.0","a","0.0","4.0"
"3.0","18.0","0.0","1.0","1.0","102","210.0","970.0","a","1.0","6.0"
"0.0","19.0","-8.0","0.0","1.0","101","228.0","1015.0","l","1.0","5.5"
"0.0","13.0","-2.0","1.0","0.0","101","228.0","824.0","a","1.0","5.5"
"7.0","16.0","0.0","0.0","1.0","102","226.0","1222.0","l","1.0","1.0"
"5.0","16.0","0.0","1.0","1.0","102","233.0","1512.0","a","1.0","3.0"
"0.0","15.0","-6.0","0.0","1.0","101","249.0","1691.0","l","1.0","4.5"
"0.0","19.0","-4.0","1.0","1.0","101","249.0","1063.0","l","0.0","7.5"
"0.0","11.0","-5.0","0.0","0.0","101","268.0","2032.0","a","0.0","3.0"
"3.0","20.0","0.0","1.0","1.0","102","268.0","1273.0","a","1.0","7.0"
"5.0","22.0","0.0","1.0","0.0","102","288.0","1087.0","l","0.0","6.0"
"3.0","24.0","0.0","1.0","1.0","102","288.0","1007.0","a","1.0","9.0"
"0.0","13.0","-2.0","1.0","1.0","101","312.0","1489.0","a","1.0","5.5"
"6.0","18.0","0.0","1.0","1.0","102","325.0","955.0","l","0.0","3.0"
"4.0","18.0","0.0","1.0","1.0","102","343.0","1148.0","a","1.0","5.0"
"0.0","15.0","-2.0","1.0","0.0","101","361.0","1052.0","a","1.0","6.5"
"0.0","14.0","-5.0","0.0","1.0","101","359.0","1412.0","a","0.0","4.5"
"6.0","22.0","0.0","0.0","1.0","102","359.0","1137.0","l","1.0","5.0"
"0.0","12.0","-3.0","1.0","1.0","101","365.0","1425.0","l","0.0","4.5"
"0.0","14.0","-8.0","0.0","0.0","101","377.0","1066.0","l","1.0","3.0"
"4.0","16.0","0.0","1.0","1.0","102","377.0","1248.0","a","1.0","4.0"
"0.0","12.0","-6.0","0.0","1.0","101","393.0","1036.0","l","1.0","3.0"
"0.0","11.0","-10.0","0.0","0.0","101","393.0","1009.0","l","1.0","0.5"
"0.0","17.0","-5.0","0.0","0.0","101","393.0","1464.0","a","0.0","6.0"
"0.0","15.0","-2.0","1.0","1.0","101","393.0","1053.0","l","0.0","6.5"
"7.0","20.0","0.0","0.0","0.0","102","408.0","1231.0","a","0.0","3.0"
"0.0","14.0","-6.0","0.0","0.0","101","415.0","1025.0","a","0.0","4.0"
"6.0","18.0","0.0","1.0","1.0","102","415.0","806.0","a","1.0","3.0"
"0.0","13.0","-6.0","0.0","0.0","101","433.0","1295.0","a","0.0","3.5"
"0.0","11.0","-4.0","1.0","0.0","101","433.0","1279.0","l","0.0","3.5"
"3.0","16.0","0.0","1.0","0.0","102","429.0","1168.0","l","0.0","5.0"
"7.0","24.0","0.0","0.0","0.0","102","429.0","1350.0","a","0.0","5.0"
"0.0","12.0","-8.0","0.0","1.0","101","436.0","958.0","a","0.0","2.0"
"0.0","17.0","-3.0","1.0","0.0","101","436.0","873.0","l","0.0","7.0"
"0.0","14.0","-2.0","1.0","1.0","101","433.0","927.0","l","0.0","6.0"
"5.0","16.0","0.0","1.0","0.0","102","447.0","1313.0","l","0.0","3.0"
"0.0","15.0","-4.0","1.0","0.0","101","447.0","1484.0","a","1.0","5.5"
"4.0","24.0","0.0","1.0","1.0","102","443.0","991.0","a","1.0","8.0"
