"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","17.0","-8.0","1.0","0.0","101","150.0","1681.0","a","1.0","4.5"
"0.0","15.0","-5.0","1.0","0.0","101","142.0","709.0","a","1.0","5.0"
"0.0","10.0","-4.0","1.0","1.0","101","137.0","657.0","a","1.0","3.0"
"6.0","20.0","0.0","0.0","1.0","102","147.0","1333.0","l","1.0","4.0"
"5.0","24.0","0.0","0.0","0.0","102","153.0","1288.0","a","0.0","7.0"
"6.0","24.0","0.0","0.0","1.0","102","158.0","590.0","a","0.0","6.0"
"0.0","17.0","-5.0","1.0","0.0","101","164.0","1000.0","a","1.0","6.0"
"5.0","20.0","0.0","1.0","0.0","102","159.0","1742.0","l","0.0","5.0"
"0.0","13.0","-8.0","1.0","0.0","101","159.0","1193.0","a","1.0","2.5"
"3.0","20.0","0.0","1.0","1.0","102","151.0","895.0","a","1.0","7.0"
"5.0","22.0","0.0","1.0","1.0","102","171.0","868.0","l","0.0","6.0"
"6.0","24.0","0.0","0.0","1.0","102","193.0","1012.0","l","1.0","6.0"
"0.0","13.0","-10.0","1.0","0.0","101","199.0","1034.0","a","1.0","1.5"
"4.0","24.0","0.0","1.0","1.0","102","189.0","959.0","a","1.0","8.0"
"0.0","12.0","-8.0","1.0","0.0","101","213.0","787.0","l","0.0","2.0"
"0.0","13.0","-2.0","1.0","1.0","101","205.0","879.0","a","1.0","5.5"
"0.0","9.0","-3.0","1.0","0.0","101","218.0","1401.0","l","0.0","3.0"
"0.0","9.0","-2.0","1.0","0.0","101","215.0","672.0","l","0.0","3.5"
"7.0","20.0","0.0","0.0","0.0","102","213.0","1250.0","a","0.0","3.0"
"0.0","15.0","-8.0","1.0","1.0","101","220.0","1025.0","a","1.0","3.5"
"0.0","17.0","-8.0","1.0","0.0","101","235.0","727.0","l","0.0","4.5"
"0.0","12.0","-10.0","1.0","1.0","101","227.0","578.0","l","0.0","1.0"
"0.0","15.0","-10.0","1.0","1.0","101","239.0","537.0","l","0.0","2.5"
"4.0","22.0","0.0","1.0","0.0","102","254.0","746.0","l","0.0","7.0"
