"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","11.0","-3.0","1.0","0.0","101","150.0","1501.0","a","1.0","4.0"
"0.0","16.0","-8.0","1.0","0.0","101","147.0","1573.0","a","1.0","4.0"
"7.0","6.0","0.0","0.0","0.0","102","139.0","1270.0","a","0.0","-4.0"
"0.0","14.0","-10.0","0.0","1.0","101","146.0","1142.0","a","0.0","2.0"
"0.0","10.0","-6.0","0.0","0.0","101","146.0","1370.0","a","0.0","2.0"
"0.0","14.0","-8.0","1.0","0.0","101","146.0","1403.0","l","0.0","3.0"
"0.0","16.0","-10.0","0.0","0.0","101","138.0","1219.0","l","1.0","3.0"
"0.0","13.0","-5.0","1.0","0.0","101","138.0","852.0","a","1.0","4.0"
"0.0","12.0","-8.0","1.0","1.0","101","133.0","1406.0","a","1.0","2.0"
"0.0","13.0","-4.0","1.0","1.0","101","145.0","1266.0","a","1.0","4.5"
"0.0","11.0","-8.0","0.0","1.0","101","158.0","2044.0","l","1.0","1.5"
"0.0","14.0","-10.0","0.0","0.0","101","158.0","1529.0","l","1.0","2.0"
"6.0","10.0","0.0","0.0","1.0","102","158.0","1460.0","l","1.0","-1.0"
"3.0","8.0","0.0","1.0","1.0","102","164.0","1257.0","l","0.0","1.0"
"4.0","12.0","0.0","0.0","1.0","102","172.0","808.0","a","0.0","2.0"
"0.0","18.0","-10.0","0.0","0.0","101","176.0","1332.0","l","1.0","4.0"
"3.0","10.0","0.0","1.0","0.0","102","176.0","1444.0","a","1.0","2.0"
"5.0","6.0","0.0","0.0","0.0","102","176.0","560.0","l","1.0","-2.0"
"5.0","14.0","0.0","1.0","1.0","102","181.0","886.0","l","0.0","2.0"
"6.0","14.0","0.0","1.0","0.0","102","195.0","1296.0","a","1.0","1.0"
"0.0","14.0","-2.0","0.0","1.0","101","195.0","766.0","l","1.0","6.0"
"0.0","13.0","-2.0","1.0","0.0","101","195.0","997.0","l","0.0","5.5"
"3.0","6.0","0.0","1.0","1.0","102","193.0","1329.0","l","0.0","0.0"
"0.0","14.0","-3.0","1.0","0.0","101","199.0","823.0","l","0.0","5.5"
"0.0","11.0","-2.0","1.0","1.0","101","196.0","1033.0","a","1.0","4.5"
"6.0","6.0","0.0","1.0","0.0","102","207.0","730.0","l","0.0","-3.0"
"6.0","10.0","0.0","0.0","1.0","102","207.0","730.0","l","1.0","-1.0"
"0.0","18.0","-10.0","1.0","0.0","101","213.0","1970.0","l","0.0","4.0"
"0.0","14.0","-6.0","0.0","1.0","101","203.0","1264.0","a","0.0","4.0"
"5.0","12.0","0.0","1.0","0.0","102","203.0","856.0","l","0.0","1.0"
"5.0","8.0","0.0","0.0","0.0","102","203.0","751.0","l","1.0","-1.0"
"0.0","18.0","-4.0","1.0","0.0","101","208.0","999.0","l","0.0","7.0"
"7.0","14.0","0.0","0.0","0.0","102","204.0","523.0","l","1.0","0.0"
"0.0","10.0","-6.0","0.0","0.0","101","211.0","1096.0","a","0.0","2.0"
"0.0","18.0","-2.0","1.0","0.0","101","211.0","954.0","a","1.0","8.0"
"0.0","10.0","-10.0","0.0","1.0","101","209.0","1649.0","a","0.0","0.0"
"0.0","13.0","-10.0","1.0","0.0","101","209.0","1298.0","l","0.0","1.5"
"0.0","18.0","-8.0","1.0","1.0","101","199.0","766.0","l","0.0","5.0"
"0.0","18.0","-5.0","1.0","1.0","101","217.0","1525.0","l","0.0","6.5"
"0.0","14.0","-5.0","1.0","0.0","101","235.0","845.0","l","0.0","4.5"
"7.0","6.0","0.0","0.0","0.0","102","230.0","931.0","l","1.0","-4.0"
"0.0","14.0","-3.0","1.0","0.0","101","237.0","1161.0","a","1.0","5.5"
"0.0","11.0","-3.0","1.0","1.0","101","234.0","1419.0","l","0.0","4.0"
"0.0","14.0","-4.0","1.0","1.0","101","245.0","778.0","a","1.0","5.0"
"0.0","14.0","-4.0","1.0","0.0","101","259.0","1453.0","l","0.0","5.0"
"0.0","16.0","-5.0","1.0","0.0","101","255.0","1210.0","l","0.0","5.5"
"6.0","8.0","0.0","0.0","0.0","102","250.0","1504.0","l","1.0","-2.0"
"0.0","13.0","-4.0","1.0","0.0","101","256.0","906.0","l","0.0","4.5"
"0.0","16.0","-4.0","1.0","0.0","101","252.0","1366.0","l","0.0","6.0"
"0.0","16.0","-6.0","1.0","1.0","101","248.0","2138.0","a","1.0","5.0"
"0.0","10.0","-3.0","1.0","1.0","101","264.0","1506.0","l","0.0","3.5"
"0.0","18.0","-4.0","1.0","1.0","101","274.0","1160.0","l","0.0","7.0"
"0.0","13.0","-2.0","1.0","0.0","101","292.0","759.0","l","0.0","5.5"
"7.0","8.0","0.0","0.0","1.0","102","290.0","1070.0","a","0.0","-3.0"
