"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"6.0","6.0","0.0","0.0","0.0","102","150.0","1220.0","l","1.0","-3.0"
"4.0","10.0","0.0","1.0","1.0","102","156.0","1636.0","l","0.0","1.0"
"0.0","15.0","-2.0","1.0","1.0","101","166.0","1018.0","a","1.0","6.5"
"0.0","9.0","-3.0","1.0","1.0","101","181.0","1291.0","a","1.0","3.0"
"3.0","8.0","0.0","1.0","0.0","102","190.0","1237.0","l","0.0","1.0"
"0.0","13.0","-6.0","1.0","0.0","101","190.0","1235.0","l","0.0","3.5"
"4.0","12.0","0.0","1.0","0.0","102","184.0","1319.0","l","0.0","2.0"
"0.0","17.0","-2.0","1.0","1.0","101","184.0","938.0","a","1.0","7.5"
"0.0","10.0","-6.0","1.0","1.0","101","201.0","1254.0","a","1.0","2.0"
"0.0","17.0","-3.0","1.0","1.0","101","211.0","865.0","a","1.0","7.0"
"4.0","12.0","0.0","1.0","0.0","102","228.0","1205.0","a","1.0","2.0"
"0.0","10.0","-3.0","1.0","1.0","101","228.0","945.0","l","0.0","3.5"
"0.0","12.0","-5.0","1.0","1.0","101","238.0","743.0","a","1.0","3.5"
"0.0","9.0","-6.0","1.0","1.0","101","250.0","1914.0","a","1.0","1.5"
"7.0","12.0","0.0","0.0","1.0","102","259.0","1677.0","l","1.0","-1.0"
"7.0","10.0","0.0","1.0","1.0","102","266.0","1804.0","a","1.0","-2.0"
"0.0","10.0","-10.0","0.0","0.0","101","276.0","2078.0","l","1.0","0.0"
"0.0","9.0","-10.0","0.0","0.0","101","276.0","1260.0","l","1.0","-0.5"
"0.0","13.0","-2.0","1.0","0.0","101","276.0","1005.0","l","0.0","5.5"
"0.0","11.0","-8.0","1.0","0.0","101","274.0","1334.0","a","1.0","1.5"
"5.0","12.0","0.0","1.0","0.0","102","266.0","2253.0","a","1.0","1.0"
"4.0","14.0","0.0","1.0","1.0","102","266.0","1080.0","a","1.0","3.0"
"0.0","9.0","-8.0","0.0","1.0","101","280.0","2094.0","a","0.0","0.5"
"0.0","17.0","-8.0","1.0","0.0","101","280.0","1686.0","a","1.0","4.5"
"0.0","11.0","-2.0","1.0","0.0","101","272.0","787.0","a","1.0","4.5"
"0.0","11.0","-4.0","1.0","1.0","101","270.0","1200.0","l","0.0","3.5"
"0.0","11.0","-5.0","1.0","1.0","101","281.0","886.0","l","0.0","3.0"
"0.0","17.0","-4.0","1.0","1.0","101","292.0","1172.0","l","0.0","6.5"
"0.0","12.0","-6.0","1.0","0.0","101","309.0","937.0","a","1.0","3.0"
