"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","17.0","-10.0","0.0","0.0","101","150.0","1800.0","a","0.0","3.5"
"3.0","12.0","0.0","1.0","1.0","102","150.0","1470.0","a","1.0","3.0"
"0.0","21.0","-3.0","1.0","1.0","101","162.0","1694.0","l","0.0","9.0"
"4.0","12.0","0.0","0.0","0.0","102","183.0","1382.0","l","1.0","2.0"
"0.0","19.0","-10.0","0.0","1.0","101","187.0","1438.0","a","0.0","4.5"
"0.0","23.0","-8.0","0.0","1.0","101","187.0","1638.0","l","1.0","7.5"
"0.0","18.0","-10.0","0.0","1.0","101","187.0","1278.0","a","0.0","4.0"
"0.0","16.0","-6.0","1.0","0.0","101","187.0","1766.0","l","0.0","5.0"
"0.0","17.0","-6.0","0.0","0.0","101","181.0","1774.0","l","1.0","5.5"
"0.0","18.0","-3.0","1.0","0.0","101","181.0","1486.0","l","0.0","7.5"
"0.0","19.0","-4.0","0.0","1.0","101","178.0","1678.0","a","0.0","7.5"
"0.0","15.0","-5.0","1.0","0.0","101","178.0","1710.0","l","0.0","5.0"
"0.0","15.0","-6.0","0.0","1.0","101","173.0","1222.0","a","0.0","4.5"
"0.0","19.0","-2.0","1.0","1.0","101","173.0","1133.0","l","0.0","8.5"
"0.0","18.0","-2.0","1.0","1.0","101","192.0","2406.0","l","0.0","8.0"
"7.0","10.0","0.0","0.0","0.0","102","210.0","1982.0","a","0.0","-2.0"
"0.0","18.0","-6.0","0.0","1.0","101","217.0","1998.0","l","1.0","6.0"
"0.0","21.0","-6.0","1.0","0.0","101","217.0","2932.0","l","0.0","7.5"
"4.0","18.0","0.0","1.0","1.0","102","211.0","2246.0","l","0.0","5.0"
"0.0","16.0","-3.0","0.0","0.0","101","229.0","2142.0","l","1.0","6.5"
"0.0","15.0","-2.0","1.0","1.0","101","229.0","2022.0","l","0.0","6.5"
"0.0","17.0","-5.0","0.0","1.0","101","244.0","1926.0","a","0.0","6.0"
"0.0","21.0","-3.0","1.0","1.0","101","244.0","2038.0","a","1.0","9.0"
"5.0","10.0","0.0","0.0","1.0","102","265.0","1894.0","l","1.0","0.0"
"0.0","17.0","-6.0","0.0","0.0","101","270.0","1998.0","a","0.0","5.5"
"0.0","19.0","-5.0","1.0","1.0","101","270.0","2422.0","l","0.0","7.0"
"7.0","14.0","0.0","0.0","1.0","102","289.0","1438.0","a","0.0","0.0"
"0.0","19.0","-3.0","1.0","0.0","101","296.0","1693.0","l","0.0","8.0"
"0.0","16.0","-5.0","0.0","1.0","101","293.0","1542.0","l","1.0","5.5"
