"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"3.0","10.0","0.0","1.0","1.0","102","150.0","1577.0","l","0.0","2.0"
"7.0","12.0","0.0","1.0","1.0","102","160.0","1027.0","a","1.0","-1.0"
"0.0","17.0","-10.0","0.0","1.0","101","172.0","1464.0","a","0.0","3.5"
"0.0","11.0","-4.0","1.0","0.0","101","172.0","938.0","l","0.0","3.5"
"0.0","9.0","-4.0","1.0","1.0","101","168.0","1199.0","l","0.0","2.5"
"4.0","18.0","0.0","1.0","1.0","102","177.0","879.0","a","1.0","5.0"
"3.0","12.0","0.0","1.0","0.0","102","195.0","1155.0","a","1.0","3.0"
"0.0","10.0","-3.0","1.0","0.0","101","195.0","1409.0","a","1.0","3.5"
"0.0","9.0","-5.0","1.0","1.0","101","192.0","1013.0","a","1.0","2.0"
"0.0","13.0","-2.0","1.0","1.0","101","201.0","1402.0","l","0.0","5.5"
"0.0","12.0","-4.0","1.0","0.0","101","214.0","1624.0","l","0.0","4.0"
"7.0","16.0","0.0","1.0","1.0","102","210.0","1426.0","a","1.0","1.0"
"0.0","15.0","-8.0","1.0","0.0","101","226.0","2440.0","l","0.0","3.5"
"0.0","12.0","-5.0","1.0","0.0","101","218.0","2053.0","a","1.0","3.5"
"0.0","10.0","-2.0","1.0","0.0","101","213.0","2147.0","l","0.0","4.0"
"0.0","13.0","-4.0","1.0","1.0","101","211.0","1537.0","l","0.0","4.5"
"4.0","12.0","0.0","1.0","0.0","102","224.0","1084.0","a","1.0","2.0"
"0.0","13.0","-3.0","1.0","1.0","101","224.0","1753.0","l","0.0","5.0"
"6.0","18.0","0.0","1.0","1.0","102","237.0","888.0","l","0.0","3.0"
"0.0","15.0","-2.0","1.0","0.0","101","255.0","1163.0","l","0.0","6.5"
"5.0","18.0","0.0","0.0","1.0","102","253.0","1106.0","a","0.0","4.0"
"0.0","9.0","-5.0","1.0","1.0","101","258.0","1867.0","a","1.0","2.0"
"0.0","13.0","-6.0","1.0","0.0","101","267.0","1581.0","a","1.0","3.5"
"0.0","11.0","-2.0","1.0","1.0","101","261.0","1535.0","l","0.0","4.5"
"0.0","12.0","-4.0","1.0","0.0","101","272.0","1273.0","a","1.0","4.0"
"4.0","12.0","0.0","1.0","1.0","102","268.0","1683.0","a","1.0","2.0"
"0.0","12.0","-10.0","0.0","1.0","101","280.0","1597.0","a","0.0","1.0"
"7.0","10.0","0.0","1.0","1.0","102","280.0","1439.0","l","0.0","-2.0"
