"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","16.0","-10.0","0.0","0.0","101","150.0","1455.0","l","1.0","3.0"
"5.0","12.0","0.0","1.0","0.0","102","150.0","815.0","a","1.0","1.0"
"0.0","13.0","-6.0","1.0","1.0","101","150.0","1201.0","a","1.0","3.5"
"0.0","13.0","-3.0","1.0","1.0","101","163.0","864.0","a","1.0","5.0"
"4.0","8.0","0.0","1.0","0.0","102","176.0","1045.0","l","0.0","0.0"
"0.0","18.0","-4.0","1.0","0.0","101","176.0","1169.0","a","1.0","7.0"
"0.0","20.0","-10.0","0.0","0.0","101","172.0","1407.0","a","0.0","5.0"
"6.0","8.0","0.0","1.0","0.0","102","172.0","912.0","l","0.0","-2.0"
"0.0","14.0","-6.0","1.0","0.0","101","172.0","1354.0","l","0.0","4.0"
"0.0","13.0","-5.0","0.0","1.0","101","166.0","1971.0","l","1.0","4.0"
"0.0","13.0","-2.0","1.0","0.0","101","166.0","895.0","a","1.0","5.5"
"0.0","12.0","-4.0","1.0","0.0","101","164.0","1037.0","a","1.0","4.0"
"0.0","20.0","-4.0","1.0","1.0","101","160.0","1198.0","l","0.0","8.0"
"0.0","18.0","-6.0","0.0","1.0","101","180.0","1820.0","l","1.0","6.0"
"0.0","18.0","-5.0","1.0","0.0","101","180.0","868.0","a","1.0","6.5"
"0.0","14.0","-3.0","1.0","1.0","101","175.0","1052.0","l","0.0","5.5"
"6.0","8.0","0.0","1.0","1.0","102","189.0","1278.0","l","0.0","-2.0"
"0.0","18.0","-10.0","0.0","1.0","101","197.0","1517.0","a","0.0","4.0"
"0.0","20.0","-8.0","1.0","0.0","101","197.0","1435.0","a","1.0","6.0"
"0.0","14.0","-8.0","0.0","0.0","101","189.0","1118.0","l","1.0","3.0"
"5.0","14.0","0.0","1.0","0.0","102","189.0","1215.0","l","0.0","2.0"
"0.0","15.0","-4.0","1.0","0.0","101","189.0","1099.0","a","1.0","5.5"
"0.0","12.0","-4.0","0.0","1.0","101","185.0","1403.0","l","1.0","4.0"
"0.0","13.0","-4.0","0.0","0.0","101","185.0","1234.0","l","1.0","4.5"
"0.0","16.0","-5.0","1.0","1.0","101","185.0","1148.0","a","1.0","5.5"
"3.0","10.0","0.0","1.0","0.0","102","201.0","1002.0","a","1.0","2.0"
"7.0","10.0","0.0","1.0","1.0","102","201.0","1287.0","a","1.0","-2.0"
"0.0","20.0","-3.0","1.0","0.0","101","211.0","1282.0","a","1.0","8.5"
"5.0","8.0","0.0","1.0","1.0","102","208.0","1333.0","a","1.0","-1.0"
"0.0","13.0","-2.0","1.0","0.0","101","216.0","1211.0","l","0.0","5.5"
"0.0","14.0","-3.0","1.0","1.0","101","214.0","1131.0","l","0.0","5.5"
"4.0","8.0","0.0","1.0","1.0","102","228.0","1259.0","a","1.0","0.0"
"0.0","18.0","-6.0","0.0","1.0","101","236.0","1852.0","l","1.0","6.0"
"0.0","15.0","-6.0","1.0","0.0","101","236.0","1433.0","a","1.0","4.5"
"7.0","10.0","0.0","1.0","0.0","102","230.0","707.0","a","1.0","-2.0"
"3.0","14.0","0.0","1.0","0.0","102","230.0","913.0","l","0.0","4.0"
"6.0","10.0","0.0","0.0","0.0","102","230.0","1132.0","a","0.0","-1.0"
"0.0","13.0","-4.0","1.0","1.0","101","236.0","1646.0","l","0.0","4.5"
"0.0","15.0","-4.0","1.0","0.0","101","249.0","1558.0","a","1.0","5.5"
"6.0","12.0","0.0","1.0","0.0","102","245.0","1438.0","l","0.0","0.0"
"4.0","12.0","0.0","1.0","1.0","102","245.0","1415.0","a","1.0","2.0"
"0.0","18.0","-2.0","1.0","0.0","101","257.0","1007.0","a","1.0","8.0"
"0.0","18.0","-4.0","1.0","0.0","101","255.0","1479.0","l","0.0","7.0"
"6.0","6.0","0.0","0.0","1.0","102","251.0","2009.0","l","1.0","-3.0"
