"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","12.0","-8.0","0.0","0.0","101","150.0","2843.0","l","1.0","2.0"
"0.0","12.0","-3.0","0.0","0.0","101","150.0","1223.0","l","1.0","4.5"
"7.0","14.0","0.0","1.0","0.0","102","150.0","802.0","a","1.0","0.0"
"0.0","19.0","-4.0","1.0","1.0","101","150.0","1275.0","l","0.0","7.5"
"7.0","16.0","0.0","0.0","0.0","102","169.0","1057.0","a","0.0","1.0"
"0.0","11.0","-4.0","0.0","1.0","101","176.0","867.0","l","1.0","3.5"
"6.0","14.0","0.0","0.0","1.0","102","176.0","778.0","l","1.0","1.0"
"0.0","14.0","-10.0","0.0","1.0","101","182.0","896.0","l","1.0","2.0"
"5.0","22.0","0.0","0.0","1.0","102","182.0","840.0","a","0.0","6.0"
"0.0","17.0","-10.0","1.0","1.0","101","187.0","825.0","a","1.0","3.5"
"4.0","14.0","0.0","0.0","0.0","102","204.0","830.0","l","1.0","3.0"
"7.0","18.0","0.0","0.0","1.0","102","208.0","821.0","l","1.0","2.0"
"0.0","14.0","-2.0","1.0","1.0","101","215.0","1518.0","l","0.0","6.0"
"0.0","11.0","-5.0","1.0","0.0","101","229.0","945.0","l","0.0","3.0"
"0.0","17.0","-5.0","1.0","0.0","101","224.0","933.0","l","0.0","6.0"
"0.0","15.0","-2.0","1.0","1.0","101","219.0","880.0","l","0.0","6.5"
"0.0","14.0","-5.0","1.0","1.0","101","234.0","1068.0","l","0.0","4.5"
"0.0","14.0","-3.0","1.0","1.0","101","248.0","932.0","l","0.0","5.5"
"0.0","12.0","-4.0","1.0","0.0","101","262.0","1353.0","a","1.0","4.0"
"0.0","17.0","-10.0","1.0","1.0","101","258.0","869.0","a","1.0","3.5"
"0.0","14.0","-3.0","1.0","1.0","101","275.0","708.0","l","0.0","5.5"
"0.0","14.0","-2.0","1.0","1.0","101","289.0","1750.0","a","1.0","6.0"
"0.0","13.0","-8.0","1.0","0.0","101","303.0","953.0","l","0.0","2.5"
"0.0","19.0","-5.0","1.0","1.0","101","295.0","1119.0","a","1.0","7.0"
"0.0","17.0","-4.0","1.0","1.0","101","314.0","1399.0","a","1.0","6.5"
"0.0","11.0","-10.0","0.0","0.0","101","331.0","1179.0","l","1.0","0.5"
"4.0","22.0","0.0","0.0","1.0","102","331.0","1059.0","l","1.0","7.0"
"0.0","19.0","-3.0","1.0","1.0","101","335.0","1280.0","l","0.0","8.0"
"0.0","14.0","-6.0","1.0","1.0","101","354.0","941.0","a","1.0","4.0"
"7.0","22.0","0.0","0.0","0.0","102","368.0","964.0","l","1.0","4.0"
"7.0","20.0","0.0","1.0","0.0","102","375.0","1203.0","a","1.0","3.0"
"3.0","20.0","0.0","0.0","0.0","102","375.0","1484.0","l","1.0","7.0"
"0.0","15.0","-8.0","1.0","0.0","101","378.0","1446.0","l","0.0","3.5"
"5.0","18.0","0.0","0.0","0.0","102","370.0","1572.0","l","1.0","4.0"
"0.0","17.0","-2.0","1.0","0.0","101","375.0","1176.0","a","1.0","7.5"
"0.0","11.0","-3.0","0.0","0.0","101","373.0","1323.0","l","1.0","4.0"
"0.0","13.0","-2.0","1.0","0.0","101","373.0","1383.0","a","1.0","5.5"
"0.0","15.0","-5.0","0.0","0.0","101","371.0","1581.0","l","1.0","5.0"
"4.0","16.0","0.0","0.0","1.0","102","371.0","1031.0","a","0.0","4.0"
"0.0","11.0","-2.0","1.0","0.0","101","375.0","1440.0","a","1.0","4.5"
"0.0","12.0","-6.0","0.0","1.0","101","373.0","1580.0","l","1.0","3.0"
"3.0","14.0","0.0","1.0","1.0","102","373.0","1686.0","l","0.0","4.0"
"6.0","16.0","0.0","1.0","1.0","102","387.0","834.0","l","0.0","2.0"
"0.0","13.0","-10.0","0.0","0.0","101","403.0","1022.0","a","0.0","1.5"
"4.0","18.0","0.0","1.0","1.0","102","403.0","933.0","l","0.0","5.0"
"0.0","15.0","-10.0","0.0","0.0","101","421.0","1189.0","a","0.0","2.5"
"0.0","19.0","-5.0","0.0","1.0","101","421.0","1105.0","a","0.0","7.0"
"0.0","11.0","-8.0","0.0","1.0","101","421.0","886.0","l","1.0","1.5"
"0.0","11.0","-8.0","0.0","1.0","101","421.0","1895.0","l","1.0","1.5"
"6.0","14.0","0.0","0.0","0.0","102","421.0","741.0","a","0.0","1.0"
"0.0","17.0","-3.0","1.0","0.0","101","427.0","993.0","l","0.0","7.0"
"0.0","19.0","-8.0","0.0","0.0","101","424.0","796.0","a","0.0","5.5"
"0.0","12.0","-5.0","1.0","0.0","101","424.0","927.0","a","1.0","3.5"
"0.0","13.0","-8.0","0.0","1.0","101","419.0","744.0","l","1.0","2.5"
"0.0","11.0","-10.0","1.0","0.0","101","419.0","1203.0","a","1.0","0.5"
"0.0","15.0","-3.0","0.0","0.0","101","409.0","1047.0","a","0.0","6.0"
"0.0","15.0","-3.0","1.0","1.0","101","409.0","804.0","l","0.0","6.0"
"0.0","11.0","-2.0","1.0","0.0","101","424.0","1554.0","a","1.0","4.5"
"0.0","19.0","-2.0","1.0","0.0","101","422.0","1132.0","l","0.0","8.5"
"0.0","12.0","-3.0","1.0","0.0","101","420.0","1382.0","l","0.0","4.5"
"6.0","18.0","0.0","0.0","1.0","102","417.0","762.0","a","0.0","3.0"
"0.0","12.0","-8.0","0.0","0.0","101","423.0","1373.0","a","0.0","2.0"
"5.0","18.0","0.0","1.0","1.0","102","423.0","1287.0","a","1.0","4.0"
"0.0","17.0","-2.0","0.0","1.0","101","441.0","1201.0","a","0.0","7.5"
"0.0","11.0","-5.0","0.0","0.0","101","441.0","1083.0","a","0.0","3.0"
"0.0","14.0","-10.0","0.0","1.0","101","441.0","1167.0","a","0.0","2.0"
"0.0","14.0","-4.0","0.0","1.0","101","441.0","938.0","a","0.0","5.0"
"0.0","15.0","-5.0","0.0","1.0","101","441.0","1539.0","l","1.0","5.0"
"0.0","13.0","-4.0","0.0","0.0","101","441.0","1483.0","l","1.0","4.5"
"0.0","15.0","-6.0","0.0","0.0","101","441.0","1097.0","l","1.0","4.5"
"4.0","20.0","0.0","0.0","0.0","102","441.0","768.0","a","0.0","6.0"
"6.0","22.0","0.0","1.0","0.0","102","445.0","824.0","l","0.0","5.0"
"0.0","13.0","-3.0","0.0","1.0","101","445.0","1018.0","a","0.0","5.0"
"5.0","14.0","0.0","1.0","0.0","102","445.0","644.0","l","0.0","2.0"
"7.0","14.0","0.0","1.0","0.0","102","445.0","1080.0","a","1.0","0.0"
"0.0","17.0","-3.0","0.0","1.0","101","445.0","1057.0","a","0.0","7.0"
"0.0","11.0","-4.0","0.0","0.0","101","445.0","1064.0","a","0.0","3.5"
"0.0","13.0","-6.0","0.0","0.0","101","445.0","1431.0","l","1.0","3.5"
"0.0","13.0","-2.0","1.0","1.0","101","445.0","1185.0","l","0.0","5.5"
"0.0","17.0","-4.0","0.0","0.0","101","458.0","1566.0","a","0.0","6.5"
"3.0","22.0","0.0","1.0","1.0","102","458.0","1695.0","l","0.0","8.0"
"0.0","13.0","-3.0","0.0","1.0","101","480.0","878.0","a","0.0","5.0"
"6.0","20.0","0.0","1.0","1.0","102","480.0","1039.0","l","0.0","4.0"
"5.0","16.0","0.0","1.0","1.0","102","500.0","676.0","l","0.0","3.0"
"0.0","12.0","-2.0","1.0","0.0","101","516.0","1161.0","l","0.0","5.0"
"0.0","12.0","-2.0","1.0","1.0","101","514.0","1051.0","l","0.0","5.0"
"3.0","18.0","0.0","1.0","0.0","102","526.0","755.0","l","0.0","6.0"
"0.0","19.0","-6.0","0.0","1.0","101","526.0","1079.0","l","1.0","6.5"
"5.0","20.0","0.0","1.0","0.0","102","526.0","638.0","l","0.0","5.0"
"0.0","12.0","-5.0","0.0","0.0","101","526.0","907.0","a","0.0","3.5"
"3.0","16.0","0.0","1.0","1.0","102","526.0","986.0","a","1.0","5.0"
"0.0","14.0","-6.0","0.0","0.0","101","542.0","1107.0","a","0.0","4.0"
"0.0","11.0","-3.0","0.0","0.0","101","542.0","859.0","l","1.0","4.0"
"0.0","19.0","-2.0","1.0","1.0","101","542.0","1025.0","l","0.0","8.5"
"7.0","22.0","0.0","1.0","1.0","102","561.0","969.0","l","0.0","4.0"
"5.0","22.0","0.0","1.0","1.0","102","583.0","1268.0","a","1.0","6.0"
"0.0","17.0","-8.0","0.0","0.0","101","605.0","839.0","l","1.0","4.5"
"0.0","13.0","-4.0","0.0","1.0","101","605.0","830.0","l","1.0","4.5"
"0.0","15.0","-8.0","0.0","0.0","101","605.0","1628.0","a","0.0","3.5"
"6.0","22.0","0.0","1.0","0.0","102","605.0","933.0","a","1.0","5.0"
"0.0","19.0","-6.0","0.0","0.0","101","605.0","795.0","l","1.0","6.5"
"5.0","16.0","0.0","1.0","1.0","102","605.0","959.0","a","1.0","3.0"
"0.0","19.0","-10.0","0.0","0.0","101","621.0","864.0","a","0.0","4.5"
"0.0","13.0","-6.0","1.0","0.0","101","621.0","916.0","a","1.0","3.5"
"0.0","14.0","-5.0","0.0","1.0","101","615.0","1043.0","l","1.0","4.5"
"0.0","19.0","-8.0","0.0","0.0","101","615.0","817.0","a","0.0","5.5"
"4.0","18.0","0.0","1.0","0.0","102","615.0","813.0","l","0.0","5.0"
"0.0","11.0","-6.0","0.0","1.0","101","615.0","774.0","l","1.0","2.5"
"3.0","18.0","0.0","1.0","0.0","102","615.0","721.0","l","0.0","6.0"
"6.0","18.0","0.0","1.0","1.0","102","615.0","937.0","a","1.0","3.0"
"3.0","14.0","0.0","1.0","1.0","102","633.0","724.0","a","1.0","4.0"
"0.0","13.0","-10.0","0.0","0.0","101","647.0","708.0","l","1.0","1.5"
"7.0","20.0","0.0","1.0","1.0","102","647.0","892.0","a","1.0","3.0"
"0.0","11.0","-6.0","1.0","1.0","101","667.0","874.0","l","0.0","2.5"
"0.0","17.0","-6.0","1.0","0.0","101","678.0","918.0","a","1.0","5.5"
"0.0","15.0","-4.0","0.0","1.0","101","672.0","655.0","l","1.0","5.5"
"0.0","12.0","-4.0","1.0","0.0","101","672.0","1485.0","l","0.0","4.0"
"0.0","12.0","-6.0","0.0","1.0","101","668.0","1236.0","a","0.0","3.0"
"0.0","15.0","-4.0","0.0","0.0","101","668.0","1264.0","l","1.0","5.5"
"4.0","22.0","0.0","1.0","0.0","102","668.0","862.0","a","1.0","7.0"
"0.0","13.0","-5.0","0.0","0.0","101","668.0","800.0","l","1.0","4.0"
"4.0","14.0","0.0","1.0","1.0","102","668.0","626.0","a","1.0","3.0"
"7.0","18.0","0.0","1.0","0.0","102","682.0","932.0","l","0.0","2.0"
"0.0","14.0","-8.0","0.0","0.0","101","682.0","715.0","l","1.0","3.0"
"0.0","17.0","-6.0","1.0","1.0","101","682.0","1304.0","a","1.0","5.5"
"0.0","15.0","-10.0","0.0","0.0","101","699.0","1282.0","a","0.0","2.5"
"3.0","16.0","0.0","1.0","0.0","102","699.0","854.0","a","1.0","5.0"
"0.0","15.0","-2.0","0.0","1.0","101","699.0","618.0","l","1.0","6.5"
"5.0","20.0","0.0","1.0","1.0","102","699.0","784.0","a","1.0","5.0"
"5.0","14.0","0.0","0.0","1.0","102","719.0","1283.0","l","1.0","2.0"
"0.0","19.0","-10.0","0.0","0.0","101","724.0","1542.0","a","0.0","4.5"
"6.0","16.0","0.0","1.0","1.0","102","724.0","1030.0","a","1.0","2.0"
"7.0","16.0","0.0","0.0","0.0","102","740.0","1311.0","a","0.0","1.0"
"3.0","22.0","0.0","1.0","1.0","102","747.0","1088.0","l","0.0","8.0"
"0.0","12.0","-10.0","0.0","1.0","101","769.0","823.0","l","1.0","1.0"
"0.0","14.0","-4.0","0.0","0.0","101","769.0","873.0","l","1.0","5.0"
"0.0","17.0","-8.0","0.0","0.0","101","769.0","898.0","l","1.0","4.5"
"0.0","17.0","-5.0","0.0","0.0","101","769.0","796.0","l","1.0","6.0"
"4.0","16.0","0.0","1.0","1.0","102","769.0","756.0","a","1.0","4.0"
"3.0","20.0","0.0","1.0","0.0","102","785.0","790.0","l","0.0","7.0"
"0.0","15.0","-6.0","0.0","0.0","101","785.0","875.0","l","1.0","4.5"
"4.0","20.0","0.0","1.0","0.0","102","785.0","1228.0","a","1.0","6.0"
"0.0","12.0","-10.0","1.0","0.0","101","785.0","744.0","l","0.0","1.0"
"0.0","19.0","-4.0","0.0","1.0","101","775.0","1288.0","a","0.0","7.5"
"0.0","14.0","-8.0","0.0","1.0","101","775.0","1001.0","a","0.0","3.0"
"0.0","13.0","-5.0","0.0","1.0","101","775.0","764.0","l","1.0","4.0"
"0.0","19.0","-3.0","0.0","0.0","101","775.0","1050.0","a","0.0","8.0"
"6.0","20.0","0.0","1.0","1.0","102","775.0","1169.0","l","0.0","4.0"
