"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","20.0","-3.0","1.0","0.0","101","150.0","1220.0","l","0.0","8.5"
"0.0","17.0","-3.0","1.0","1.0","101","147.0","867.0","l","0.0","7.0"
"3.0","16.0","0.0","1.0","0.0","102","164.0","1371.0","l","0.0","5.0"
"4.0","14.0","0.0","1.0","0.0","102","164.0","1446.0","l","0.0","3.0"
"0.0","20.0","-2.0","1.0","1.0","101","164.0","897.0","l","0.0","9.0"
"0.0","25.0","-4.0","1.0","0.0","101","184.0","1200.0","a","1.0","10.5"
"0.0","21.0","-2.0","1.0","1.0","101","180.0","1020.0","a","1.0","9.5"
"5.0","16.0","0.0","1.0","0.0","102","201.0","1461.0","a","1.0","3.0"
"0.0","23.0","-10.0","0.0","1.0","101","201.0","1113.0","a","0.0","6.5"
"4.0","12.0","0.0","1.0","1.0","102","201.0","1103.0","a","1.0","2.0"
"0.0","23.0","-8.0","0.0","1.0","101","213.0","957.0","l","1.0","7.5"
"0.0","17.0","-2.0","1.0","1.0","101","213.0","987.0","l","0.0","7.5"
"5.0","12.0","0.0","0.0","0.0","102","230.0","1592.0","a","0.0","1.0"
"7.0","18.0","0.0","0.0","0.0","102","235.0","766.0","l","1.0","2.0"
"4.0","16.0","0.0","0.0","1.0","102","242.0","1127.0","a","0.0","4.0"
"0.0","19.0","-4.0","1.0","1.0","101","246.0","1232.0","a","1.0","7.5"
"3.0","20.0","0.0","1.0","1.0","102","265.0","1333.0","l","0.0","7.0"
"7.0","20.0","0.0","1.0","1.0","102","285.0","1150.0","a","1.0","3.0"
"4.0","20.0","0.0","1.0","0.0","102","305.0","1081.0","l","0.0","6.0"
"5.0","12.0","0.0","0.0","1.0","102","305.0","1273.0","l","1.0","1.0"
"0.0","19.0","-2.0","1.0","1.0","101","310.0","1029.0","a","1.0","8.5"
"7.0","14.0","0.0","0.0","1.0","102","329.0","952.0","l","1.0","0.0"
"0.0","19.0","-5.0","0.0","1.0","101","336.0","1055.0","l","1.0","7.0"
"0.0","17.0","-4.0","1.0","0.0","101","336.0","1325.0","l","0.0","6.5"
"3.0","18.0","0.0","1.0","1.0","102","332.0","804.0","a","1.0","6.0"
"0.0","18.0","-10.0","0.0","0.0","101","350.0","1429.0","a","0.0","4.0"
"0.0","20.0","-8.0","0.0","1.0","101","350.0","793.0","l","1.0","6.0"
"7.0","20.0","0.0","0.0","1.0","102","350.0","815.0","l","1.0","3.0"
"0.0","19.0","-6.0","0.0","0.0","101","357.0","957.0","a","0.0","6.5"
"0.0","23.0","-8.0","0.0","1.0","101","357.0","1142.0","a","0.0","7.5"
"3.0","16.0","0.0","1.0","0.0","102","357.0","915.0","a","1.0","5.0"
"0.0","20.0","-4.0","1.0","0.0","101","357.0","874.0","a","1.0","8.0"
"0.0","17.0","-6.0","0.0","1.0","101","353.0","925.0","a","0.0","5.5"
"0.0","23.0","-4.0","1.0","0.0","101","353.0","1171.0","l","0.0","9.5"
"5.0","16.0","0.0","1.0","0.0","102","349.0","1049.0","a","1.0","3.0"
"0.0","23.0","-10.0","0.0","1.0","101","349.0","884.0","a","0.0","6.5"
"0.0","23.0","-6.0","0.0","1.0","101","349.0","961.0","a","0.0","8.5"
"0.0","17.0","-4.0","1.0","1.0","101","349.0","1065.0","a","1.0","6.5"
"6.0","14.0","0.0","0.0","1.0","102","366.0","1484.0","a","0.0","1.0"
"5.0","14.0","0.0","1.0","1.0","102","372.0","1260.0","l","0.0","2.0"
"0.0","17.0","-10.0","0.0","0.0","101","386.0","850.0","a","0.0","3.5"
"0.0","19.0","-10.0","0.0","1.0","101","386.0","855.0","a","0.0","4.5"
"4.0","18.0","0.0","1.0","0.0","102","386.0","977.0","l","0.0","5.0"
"7.0","18.0","0.0","0.0","0.0","102","386.0","821.0","l","1.0","2.0"
"0.0","19.0","-8.0","0.0","0.0","101","393.0","782.0","l","1.0","5.5"
"0.0","23.0","-5.0","0.0","1.0","101","393.0","744.0","l","1.0","9.0"
"0.0","21.0","-8.0","0.0","0.0","101","393.0","717.0","a","0.0","6.5"
"0.0","18.0","-8.0","0.0","0.0","101","393.0","1000.0","l","1.0","5.0"
"0.0","20.0","-10.0","0.0","1.0","101","393.0","759.0","a","0.0","5.0"
"0.0","18.0","-6.0","0.0","1.0","101","393.0","974.0","a","0.0","6.0"
"6.0","18.0","0.0","0.0","0.0","102","393.0","908.0","l","1.0","3.0"
"0.0","19.0","-3.0","1.0","1.0","101","399.0","873.0","a","1.0","8.0"
"0.0","25.0","-5.0","0.0","1.0","101","418.0","956.0","a","0.0","10.0"
"7.0","12.0","0.0","0.0","1.0","102","418.0","686.0","a","0.0","-1.0"
"0.0","19.0","-4.0","1.0","0.0","101","425.0","842.0","a","1.0","7.5"
"0.0","17.0","-5.0","1.0","1.0","101","421.0","678.0","a","1.0","6.0"
"0.0","18.0","-2.0","1.0","1.0","101","438.0","623.0","a","1.0","8.0"
"3.0","12.0","0.0","1.0","1.0","102","456.0","1179.0","a","1.0","3.0"
"0.0","17.0","-5.0","1.0","0.0","101","468.0","1186.0","l","0.0","6.0"
"0.0","18.0","-8.0","0.0","1.0","101","463.0","981.0","l","1.0","5.0"
"4.0","12.0","0.0","1.0","0.0","102","463.0","1137.0","l","0.0","2.0"
"6.0","14.0","0.0","0.0","0.0","102","463.0","1246.0","l","1.0","1.0"
"0.0","25.0","-8.0","0.0","1.0","101","469.0","935.0","a","0.0","8.5"
"5.0","20.0","0.0","1.0","1.0","102","469.0","983.0","a","1.0","5.0"
"0.0","19.0","-5.0","0.0","0.0","101","489.0","1207.0","l","1.0","7.0"
"0.0","21.0","-5.0","0.0","1.0","101","489.0","705.0","a","0.0","8.0"
"0.0","18.0","-10.0","0.0","0.0","101","489.0","754.0","l","1.0","4.0"
"5.0","18.0","0.0","1.0","0.0","102","489.0","989.0","a","1.0","4.0"
"0.0","21.0","-3.0","0.0","0.0","101","489.0","610.0","a","0.0","9.0"
"0.0","18.0","-3.0","0.0","0.0","101","489.0","685.0","l","1.0","7.5"
"0.0","20.0","-6.0","0.0","0.0","101","489.0","807.0","l","1.0","7.0"
"0.0","25.0","-4.0","1.0","0.0","101","489.0","804.0","a","1.0","10.5"
"0.0","18.0","-2.0","1.0","1.0","101","485.0","671.0","a","1.0","8.0"
"0.0","23.0","-6.0","1.0","1.0","101","503.0","1120.0","a","1.0","8.5"
"4.0","20.0","0.0","1.0","0.0","102","526.0","1027.0","l","0.0","6.0"
"0.0","21.0","-6.0","1.0","1.0","101","526.0","850.0","a","1.0","7.5"
"7.0","12.0","0.0","1.0","0.0","102","547.0","894.0","a","1.0","-1.0"
"0.0","23.0","-3.0","1.0","0.0","101","547.0","888.0","a","1.0","10.0"
"6.0","16.0","0.0","0.0","0.0","102","544.0","1269.0","a","0.0","2.0"
"0.0","19.0","-3.0","1.0","1.0","101","550.0","978.0","l","0.0","8.0"
"0.0","18.0","-5.0","1.0","1.0","101","569.0","745.0","l","0.0","6.5"
"0.0","20.0","-2.0","1.0","1.0","101","587.0","635.0","l","0.0","9.0"
"0.0","17.0","-2.0","1.0","1.0","101","607.0","634.0","l","0.0","7.5"
"0.0","20.0","-8.0","0.0","0.0","101","624.0","1143.0","l","1.0","6.0"
"0.0","17.0","-3.0","1.0","0.0","101","624.0","610.0","l","0.0","7.0"
"6.0","16.0","0.0","1.0","0.0","102","621.0","1197.0","a","1.0","2.0"
"5.0","18.0","0.0","0.0","0.0","102","621.0","816.0","l","1.0","4.0"
"0.0","20.0","-10.0","0.0","0.0","101","626.0","826.0","l","1.0","5.0"
"3.0","20.0","0.0","1.0","1.0","102","626.0","813.0","l","0.0","7.0"
"3.0","12.0","0.0","1.0","1.0","102","646.0","883.0","l","0.0","3.0"
"0.0","25.0","-10.0","0.0","1.0","101","658.0","858.0","l","1.0","7.5"
"4.0","16.0","0.0","1.0","0.0","102","658.0","993.0","a","1.0","4.0"
"4.0","14.0","0.0","1.0","1.0","102","658.0","914.0","a","1.0","3.0"
"0.0","23.0","-2.0","1.0","1.0","101","672.0","1033.0","l","0.0","10.5"
"0.0","17.0","-10.0","0.0","0.0","101","695.0","783.0","a","0.0","3.5"
"0.0","25.0","-8.0","1.0","1.0","101","695.0","729.0","a","1.0","8.5"
"0.0","21.0","-6.0","1.0","0.0","101","720.0","884.0","l","0.0","7.5"
"0.0","19.0","-6.0","1.0","1.0","101","714.0","1017.0","a","1.0","6.5"
"0.0","23.0","-4.0","1.0","1.0","101","733.0","737.0","l","0.0","9.5"
"0.0","18.0","-6.0","1.0","0.0","101","756.0","1288.0","a","1.0","6.0"
"7.0","16.0","0.0","1.0","1.0","102","750.0","927.0","a","1.0","1.0"
"3.0","18.0","0.0","1.0","1.0","102","766.0","652.0","a","1.0","6.0"
"0.0","25.0","-5.0","1.0","0.0","101","784.0","825.0","a","1.0","10.0"
"0.0","18.0","-3.0","1.0","0.0","101","779.0","546.0","a","1.0","7.5"
"0.0","20.0","-3.0","1.0","1.0","101","776.0","723.0","l","0.0","8.5"
"0.0","25.0","-3.0","1.0","0.0","101","796.0","653.0","a","1.0","11.0"
"0.0","21.0","-8.0","1.0","0.0","101","793.0","761.0","l","0.0","6.5"
"6.0","20.0","0.0","0.0","0.0","102","785.0","972.0","a","0.0","4.0"
"0.0","25.0","-6.0","1.0","1.0","101","791.0","614.0","a","1.0","9.5"
"0.0","21.0","-10.0","0.0","0.0","101","816.0","1024.0","l","1.0","5.5"
"0.0","17.0","-8.0","0.0","0.0","101","816.0","823.0","a","0.0","4.5"
"0.0","21.0","-4.0","1.0","0.0","101","816.0","717.0","a","1.0","8.5"
"0.0","25.0","-10.0","0.0","0.0","101","812.0","767.0","a","0.0","7.5"
"0.0","20.0","-5.0","1.0","1.0","101","812.0","567.0","a","1.0","7.5"
"0.0","18.0","-5.0","0.0","0.0","101","832.0","1296.0","a","0.0","6.5"
"0.0","17.0","-6.0","0.0","1.0","101","832.0","723.0","a","0.0","5.5"
"6.0","12.0","0.0","1.0","1.0","102","832.0","1030.0","a","1.0","0.0"
"0.0","21.0","-2.0","1.0","1.0","101","844.0","644.0","a","1.0","9.5"
"0.0","25.0","-3.0","1.0","1.0","101","865.0","710.0","l","0.0","11.0"
"0.0","19.0","-10.0","0.0","0.0","101","890.0","823.0","l","1.0","4.5"
"0.0","23.0","-2.0","1.0","0.0","101","890.0","794.0","a","1.0","10.5"
"3.0","14.0","0.0","1.0","1.0","102","888.0","922.0","a","1.0","4.0"
"0.0","25.0","-2.0","1.0","0.0","101","902.0","1065.0","l","0.0","11.5"
"5.0","14.0","0.0","1.0","1.0","102","900.0","959.0","l","0.0","2.0"
"6.0","12.0","0.0","1.0","1.0","102","914.0","1529.0","a","1.0","0.0"
"0.0","25.0","-6.0","1.0","1.0","101","926.0","967.0","l","0.0","9.5"
"5.0","20.0","0.0","1.0","1.0","102","951.0","941.0","a","1.0","5.0"
"0.0","21.0","-10.0","0.0","1.0","101","971.0","887.0","l","1.0","5.5"
"0.0","20.0","-4.0","1.0","0.0","101","971.0","742.0","a","1.0","8.0"
"0.0","17.0","-8.0","0.0","0.0","101","967.0","951.0","a","0.0","4.5"
"4.0","18.0","0.0","1.0","0.0","102","967.0","653.0","l","0.0","5.0"
"0.0","18.0","-4.0","1.0","0.0","101","967.0","783.0","l","0.0","7.0"
"0.0","23.0","-3.0","1.0","0.0","101","963.0","536.0","l","0.0","10.0"
"0.0","21.0","-3.0","1.0","0.0","101","960.0","575.0","l","0.0","9.0"
"3.0","14.0","0.0","1.0","1.0","102","957.0","733.0","l","0.0","4.0"
"0.0","23.0","-5.0","1.0","0.0","101","971.0","797.0","a","1.0","9.0"
"0.0","20.0","-6.0","1.0","0.0","101","966.0","508.0","a","1.0","7.0"
"0.0","21.0","-4.0","1.0","0.0","101","960.0","563.0","a","1.0","8.5"
"0.0","19.0","-2.0","1.0","0.0","101","956.0","804.0","l","0.0","8.5"
"6.0","18.0","0.0","1.0","0.0","102","954.0","857.0","l","0.0","3.0"
"0.0","19.0","-8.0","1.0","0.0","101","954.0","533.0","l","0.0","5.5"
"0.0","21.0","-5.0","1.0","0.0","101","946.0","525.0","l","0.0","8.0"
"7.0","14.0","0.0","1.0","1.0","102","941.0","849.0","a","1.0","0.0"
"0.0","20.0","-5.0","1.0","1.0","101","955.0","751.0","a","1.0","7.5"
"0.0","18.0","-4.0","1.0","0.0","101","975.0","780.0","l","0.0","7.0"
"6.0","20.0","0.0","1.0","0.0","102","971.0","679.0","a","1.0","4.0"
"0.0","25.0","-2.0","1.0","1.0","101","971.0","755.0","l","0.0","11.5"
"7.0","16.0","0.0","0.0","1.0","102","996.0","1064.0","l","1.0","1.0"
