"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","9.0","-4.0","1.0","1.0","101","150.0","4067.0","a","1.0","2.5"
"0.0","16.0","-8.0","1.0","1.0","101","159.0","1294.0","l","0.0","4.0"
"0.0","9.0","-3.0","1.0","1.0","101","175.0","1302.0","a","1.0","3.0"
"5.0","6.0","0.0","0.0","1.0","102","184.0","1052.0","a","0.0","-2.0"
"0.0","12.0","-8.0","1.0","0.0","101","189.0","1110.0","l","0.0","2.0"
"5.0","14.0","0.0","1.0","1.0","102","181.0","1822.0","a","1.0","2.0"
"7.0","14.0","0.0","1.0","1.0","102","195.0","2180.0","l","0.0","0.0"
"0.0","12.0","-4.0","1.0","1.0","101","209.0","2550.0","a","1.0","4.0"
"4.0","8.0","0.0","1.0","0.0","102","221.0","1950.0","l","0.0","0.0"
"0.0","16.0","-3.0","1.0","0.0","101","221.0","1053.0","l","0.0","6.5"
"0.0","11.0","-8.0","1.0","1.0","101","218.0","1206.0","a","1.0","1.5"
"0.0","14.0","-6.0","1.0","0.0","101","229.0","1267.0","l","0.0","4.0"
"0.0","8.0","-5.0","1.0","0.0","101","223.0","2283.0","a","1.0","1.5"
"0.0","9.0","-8.0","0.0","1.0","101","218.0","2031.0","a","0.0","0.5"
"0.0","16.0","-8.0","1.0","1.0","101","218.0","1354.0","a","1.0","4.0"
"0.0","14.0","-2.0","1.0","1.0","101","234.0","907.0","a","1.0","6.0"
"0.0","12.0","-2.0","1.0","1.0","101","248.0","1009.0","l","0.0","5.0"
"0.0","14.0","-3.0","1.0","1.0","101","260.0","902.0","l","0.0","5.5"
"0.0","11.0","-2.0","1.0","1.0","101","274.0","1167.0","a","1.0","4.5"
"5.0","12.0","0.0","0.0","0.0","102","285.0","1846.0","l","1.0","1.0"
"0.0","16.0","-6.0","1.0","1.0","101","290.0","1387.0","l","0.0","5.0"
"0.0","8.0","-4.0","1.0","0.0","101","306.0","1415.0","l","0.0","2.0"
"0.0","8.0","-6.0","0.0","1.0","101","302.0","2013.0","l","1.0","1.0"
"0.0","8.0","-10.0","0.0","0.0","101","302.0","1741.0","l","1.0","-1.0"
"0.0","8.0","-3.0","1.0","0.0","101","302.0","1524.0","l","0.0","2.5"
"0.0","8.0","-2.0","1.0","1.0","101","299.0","1363.0","a","1.0","3.0"
"0.0","16.0","-2.0","1.0","0.0","101","307.0","1031.0","l","0.0","7.0"
"0.0","10.0","-8.0","0.0","0.0","101","305.0","1511.0","l","1.0","1.0"
"0.0","11.0","-3.0","1.0","0.0","101","305.0","908.0","a","1.0","4.0"
"0.0","16.0","-6.0","1.0","0.0","101","302.0","934.0","l","0.0","5.0"
"0.0","8.0","-4.0","1.0","1.0","101","296.0","991.0","l","0.0","2.0"
"0.0","16.0","-2.0","1.0","1.0","101","304.0","2395.0","a","1.0","7.0"
"7.0","8.0","0.0","0.0","1.0","102","320.0","1678.0","l","1.0","-3.0"
"0.0","9.0","-6.0","0.0","0.0","101","327.0","1648.0","a","0.0","1.5"
"0.0","9.0","-10.0","0.0","1.0","101","327.0","1415.0","a","0.0","-0.5"
"7.0","6.0","0.0","0.0","0.0","102","327.0","1279.0","l","1.0","-4.0"
"0.0","14.0","-6.0","1.0","1.0","101","334.0","2183.0","l","0.0","4.0"
"0.0","12.0","-5.0","1.0","0.0","101","348.0","2775.0","l","0.0","3.5"
"0.0","10.0","-2.0","1.0","1.0","101","343.0","1774.0","a","1.0","4.0"
"6.0","12.0","0.0","1.0","0.0","102","353.0","1059.0","l","0.0","0.0"
