"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"5.0","14.0","0.0","1.0","0.0","102","150.0","2196.0","l","0.0","2.0"
"0.0","13.0","-4.0","1.0","0.0","101","150.0","1144.0","l","0.0","4.5"
"0.0","9.0","-10.0","1.0","0.0","101","146.0","2013.0","l","0.0","-0.5"
"0.0","9.0","-4.0","1.0","1.0","101","136.0","2925.0","a","1.0","2.5"
"0.0","17.0","-5.0","1.0","1.0","101","145.0","1245.0","l","0.0","6.0"
"5.0","12.0","0.0","0.0","1.0","102","162.0","881.0","a","0.0","1.0"
"0.0","11.0","-3.0","1.0","1.0","101","167.0","1063.0","l","0.0","4.0"
"0.0","13.0","-8.0","0.0","1.0","101","178.0","1194.0","a","0.0","2.5"
"0.0","10.0","-6.0","1.0","0.0","101","178.0","1100.0","l","0.0","2.0"
"0.0","17.0","-8.0","1.0","1.0","101","172.0","1354.0","a","1.0","4.5"
"6.0","14.0","0.0","0.0","1.0","102","189.0","638.0","l","1.0","1.0"
"0.0","17.0","-10.0","0.0","0.0","101","195.0","1358.0","a","0.0","3.5"
"6.0","18.0","0.0","1.0","1.0","102","195.0","1345.0","l","0.0","3.0"
"0.0","17.0","-8.0","0.0","1.0","101","213.0","1412.0","a","0.0","4.5"
"0.0","12.0","-3.0","1.0","0.0","101","213.0","850.0","l","0.0","4.5"
"0.0","10.0","-4.0","1.0","0.0","101","210.0","1240.0","l","0.0","3.0"
"0.0","15.0","-8.0","1.0","1.0","101","206.0","1948.0","a","1.0","3.5"
"7.0","18.0","0.0","0.0","0.0","102","221.0","1048.0","a","0.0","2.0"
"0.0","12.0","-8.0","0.0","1.0","101","228.0","1137.0","a","0.0","2.0"
"0.0","11.0","-10.0","0.0","0.0","101","228.0","1392.0","a","0.0","0.5"
"0.0","15.0","-5.0","1.0","0.0","101","228.0","1119.0","l","0.0","5.0"
"7.0","12.0","0.0","1.0","1.0","102","223.0","1155.0","a","1.0","-1.0"
"0.0","17.0","-10.0","0.0","0.0","101","235.0","1053.0","l","1.0","3.5"
"3.0","14.0","0.0","1.0","1.0","102","235.0","898.0","l","0.0","4.0"
"4.0","14.0","0.0","1.0","1.0","102","249.0","1339.0","a","1.0","3.0"
"6.0","16.0","0.0","1.0","0.0","102","263.0","1328.0","a","1.0","2.0"
"0.0","17.0","-4.0","1.0","0.0","101","263.0","1722.0","l","0.0","6.5"
"0.0","10.0","-10.0","0.0","0.0","101","259.0","1139.0","a","0.0","0.0"
"6.0","18.0","0.0","1.0","0.0","102","259.0","947.0","l","0.0","3.0"
"4.0","18.0","0.0","1.0","1.0","102","259.0","1009.0","a","1.0","5.0"
"0.0","15.0","-4.0","1.0","1.0","101","277.0","1821.0","a","1.0","5.5"
"5.0","12.0","0.0","1.0","0.0","102","292.0","879.0","l","0.0","1.0"
"4.0","16.0","0.0","1.0","1.0","102","292.0","914.0","a","1.0","4.0"
