"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","18.0","-4.0","-999.0","1.0","101","150.0","","-999","0.0","7.0"
"0.0","15.0","-10.0","0.0","1.0","101","150.0","1158.0","l","1.0","2.5"
"0.0","22.0","-5.0","1.0","0.0","101","150.0","1248.0","l","0.0","8.5"
"5.0","6.0","0.0","0.0","1.0","102","145.0","1958.0","a","0.0","-2.0"
"7.0","10.0","0.0","1.0","1.0","102","150.0","1079.0","a","1.0","-2.0"
"0.0","22.0","-4.0","1.0","1.0","101","160.0","1351.0","l","0.0","9.0"
"0.0","17.0","-6.0","1.0","1.0","101","182.0","1680.0","a","1.0","5.5"
"0.0","22.0","-3.0","1.0","1.0","101","199.0","1019.0","a","1.0","9.5"
"5.0","12.0","0.0","1.0","1.0","102","221.0","2060.0","a","1.0","1.0"
"0.0","20.0","-6.0","1.0","1.0","101","233.0","1141.0","l","0.0","7.0"
"4.0","12.0","0.0","1.0","0.0","102","253.0","1537.0","l","0.0","2.0"
"0.0","15.0","-8.0","0.0","1.0","101","253.0","892.0","a","0.0","3.5"
"0.0","14.0","-6.0","0.0","0.0","101","253.0","1415.0","l","1.0","4.0"
"5.0","8.0","0.0","1.0","0.0","102","253.0","1372.0","l","0.0","-1.0"
"0.0","15.0","-6.0","0.0","1.0","101","253.0","1219.0","a","0.0","4.5"
"5.0","6.0","0.0","1.0","1.0","102","253.0","1007.0","a","1.0","-2.0"
"5.0","8.0","0.0","1.0","1.0","102","259.0","1097.0","l","0.0","-1.0"
"5.0","12.0","0.0","1.0","0.0","102","267.0","1445.0","l","0.0","1.0"
"3.0","12.0","0.0","1.0","1.0","102","267.0","1484.0","a","1.0","3.0"
"6.0","6.0","0.0","0.0","0.0","102","279.0","2017.0","a","0.0","-3.0"
"0.0","17.0","-6.0","1.0","1.0","101","285.0","1011.0","a","1.0","5.5"
"0.0","20.0","-4.0","1.0","1.0","101","302.0","1054.0","a","1.0","8.0"
"0.0","14.0","-2.0","1.0","0.0","101","322.0","1006.0","l","0.0","6.0"
"0.0","14.0","-5.0","1.0","1.0","101","320.0","1094.0","l","0.0","4.5"
"3.0","10.0","0.0","1.0","0.0","102","334.0","1237.0","a","1.0","2.0"
"0.0","20.0","-2.0","1.0","1.0","101","334.0","817.0","a","1.0","9.0"
"0.0","18.0","-3.0","1.0","1.0","101","354.0","903.0","l","0.0","7.5"
"3.0","6.0","0.0","1.0","0.0","102","372.0","1419.0","a","1.0","0.0"
"4.0","6.0","0.0","0.0","1.0","102","372.0","1359.0","l","1.0","-1.0"
"0.0","16.0","-8.0","0.0","0.0","101","376.0","1219.0","a","0.0","4.0"
"0.0","16.0","-3.0","1.0","1.0","101","376.0","937.0","a","1.0","6.5"
"6.0","14.0","0.0","1.0","0.0","102","392.0","1530.0","a","1.0","1.0"
"7.0","14.0","0.0","1.0","1.0","102","392.0","1514.0","l","0.0","0.0"
"5.0","10.0","0.0","1.0","0.0","102","406.0","1158.0","a","1.0","0.0"
"0.0","15.0","-4.0","1.0","1.0","101","406.0","972.0","l","0.0","5.5"
"0.0","16.0","-6.0","1.0","0.0","101","421.0","1171.0","a","1.0","5.0"
"0.0","15.0","-2.0","1.0","0.0","101","415.0","866.0","l","0.0","6.5"
"0.0","20.0","-3.0","1.0","0.0","101","413.0","1447.0","l","0.0","8.5"
"6.0","14.0","0.0","1.0","0.0","102","410.0","1381.0","l","0.0","1.0"
"4.0","10.0","0.0","0.0","0.0","102","410.0","1374.0","l","1.0","1.0"
"0.0","22.0","-6.0","0.0","0.0","101","414.0","1068.0","a","0.0","8.0"
"0.0","16.0","-8.0","0.0","0.0","101","414.0","1135.0","a","0.0","4.0"
"0.0","17.0","-2.0","1.0","1.0","101","414.0","868.0","a","1.0","7.5"
"0.0","15.0","-5.0","1.0","0.0","101","431.0","987.0","l","0.0","5.0"
"6.0","8.0","0.0","0.0","0.0","102","426.0","1333.0","l","1.0","-2.0"
"0.0","17.0","-5.0","1.0","0.0","101","432.0","1427.0","l","0.0","6.0"
"0.0","18.0","-8.0","0.0","1.0","101","427.0","752.0","a","0.0","5.0"
"0.0","14.0","-10.0","0.0","1.0","101","427.0","972.0","a","0.0","2.0"
"0.0","20.0","-2.0","1.0","0.0","101","427.0","854.0","l","0.0","9.0"
"4.0","6.0","0.0","0.0","0.0","102","425.0","2200.0","l","1.0","-1.0"
"0.0","22.0","-4.0","1.0","0.0","101","429.0","1048.0","l","0.0","9.0"
"0.0","17.0","-10.0","0.0","0.0","101","425.0","1179.0","l","1.0","3.5"
"0.0","20.0","-8.0","0.0","0.0","101","425.0","1068.0","l","1.0","6.0"
"5.0","14.0","0.0","1.0","1.0","102","425.0","1262.0","l","0.0","2.0"
"0.0","14.0","-8.0","0.0","0.0","101","439.0","1088.0","l","1.0","3.0"
"3.0","14.0","0.0","1.0","1.0","102","439.0","1333.0","a","1.0","4.0"
"0.0","18.0","-6.0","0.0","1.0","101","453.0","874.0","a","0.0","6.0"
"0.0","22.0","-10.0","0.0","0.0","101","453.0","1116.0","a","0.0","6.0"
"0.0","22.0","-5.0","0.0","0.0","101","453.0","1319.0","l","1.0","8.5"
