"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"6.0","12.0","0.0","0.0","1.0","102","150.0","2009.0","a","0.0","0.0"
"6.0","18.0","0.0","1.0","0.0","102","156.0","1296.0","a","1.0","3.0"
"0.0","11.0","-8.0","0.0","0.0","101","156.0","994.0","l","1.0","1.5"
"0.0","10.0","-5.0","0.0","0.0","101","156.0","2827.0","a","0.0","2.5"
"5.0","20.0","0.0","0.0","1.0","102","156.0","1369.0","a","0.0","5.0"
"0.0","18.0","-6.0","1.0","0.0","101","161.0","1407.0","l","0.0","6.0"
"0.0","13.0","-10.0","0.0","1.0","101","155.0","947.0","a","0.0","1.5"
"0.0","12.0","-10.0","0.0","0.0","101","155.0","1549.0","a","0.0","1.0"
"0.0","13.0","-6.0","1.0","1.0","101","155.0","1103.0","l","0.0","3.5"
"0.0","13.0","-8.0","0.0","1.0","101","168.0","1566.0","a","0.0","2.5"
"0.0","11.0","-5.0","1.0","1.0","101","168.0","1107.0","a","1.0","3.0"
"7.0","12.0","0.0","0.0","1.0","102","179.0","1375.0","l","1.0","-1.0"
"0.0","18.0","-6.0","1.0","0.0","101","186.0","1573.0","a","1.0","6.0"
"0.0","14.0","-3.0","1.0","0.0","101","180.0","1160.0","l","0.0","5.5"
"6.0","14.0","0.0","0.0","0.0","102","177.0","1212.0","l","1.0","1.0"
"0.0","13.0","-4.0","1.0","1.0","101","183.0","918.0","a","1.0","4.5"
"0.0","13.0","-4.0","1.0","1.0","101","196.0","834.0","l","0.0","4.5"
"0.0","14.0","-5.0","1.0","1.0","101","209.0","681.0","l","0.0","4.5"
"0.0","11.0","-10.0","0.0","1.0","101","223.0","769.0","a","0.0","0.5"
"6.0","20.0","0.0","1.0","1.0","102","223.0","1370.0","a","1.0","4.0"
"3.0","12.0","0.0","1.0","1.0","102","243.0","1507.0","l","0.0","3.0"
"6.0","14.0","0.0","0.0","0.0","102","255.0","1156.0","l","1.0","1.0"
"7.0","20.0","0.0","0.0","0.0","102","261.0","1244.0","a","0.0","3.0"
"0.0","18.0","-10.0","0.0","1.0","101","268.0","824.0","l","1.0","4.0"
"0.0","16.0","-3.0","1.0","0.0","101","268.0","806.0","l","0.0","6.5"
"0.0","16.0","-2.0","1.0","1.0","101","265.0","752.0","l","0.0","7.0"
"0.0","14.0","-5.0","0.0","1.0","101","281.0","1272.0","l","1.0","4.5"
"7.0","18.0","0.0","0.0","0.0","102","281.0","1076.0","a","0.0","2.0"
"0.0","18.0","-5.0","1.0","0.0","101","288.0","921.0","l","0.0","6.5"
"0.0","16.0","-4.0","1.0","0.0","101","283.0","759.0","l","0.0","6.0"
"0.0","12.0","-6.0","1.0","0.0","101","279.0","796.0","a","1.0","3.0"
"0.0","18.0","-8.0","1.0","0.0","101","273.0","1570.0","l","0.0","5.0"
"0.0","12.0","-2.0","1.0","0.0","101","265.0","921.0","a","1.0","5.0"
"0.0","11.0","-8.0","0.0","1.0","101","263.0","1060.0","l","1.0","1.5"
"4.0","16.0","0.0","1.0","0.0","102","263.0","1318.0","l","0.0","4.0"
"0.0","10.0","-4.0","1.0","0.0","101","263.0","813.0","l","0.0","3.0"
"5.0","16.0","0.0","0.0","0.0","102","259.0","743.0","a","0.0","3.0"
"0.0","14.0","-2.0","1.0","1.0","101","264.0","805.0","a","1.0","6.0"
"0.0","13.0","-6.0","0.0","1.0","101","278.0","995.0","a","0.0","3.5"
"0.0","11.0","-4.0","1.0","1.0","101","278.0","764.0","l","0.0","3.5"
"0.0","13.0","-2.0","1.0","0.0","101","289.0","667.0","l","0.0","5.5"
