"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"5.0","14.0","0.0","0.0","0.0","102","150.0","1713.0","l","1.0","2.0"
"0.0","12.0","-6.0","1.0","0.0","101","155.0","2295.0","l","0.0","3.0"
"0.0","11.0","-3.0","1.0","0.0","101","149.0","949.0","l","0.0","4.0"
"0.0","11.0","-6.0","1.0","0.0","101","146.0","1867.0","l","0.0","2.5"
"0.0","9.0","-4.0","1.0","1.0","101","140.0","1221.0","l","0.0","2.5"
"0.0","9.0","-10.0","0.0","1.0","101","149.0","1287.0","a","0.0","-0.5"
"0.0","9.0","-8.0","0.0","1.0","101","149.0","1267.0","a","0.0","0.5"
"0.0","13.0","-3.0","1.0","0.0","101","149.0","1313.0","a","1.0","5.0"
"0.0","17.0","-4.0","1.0","1.0","101","146.0","933.0","l","0.0","6.5"
"0.0","15.0","-10.0","0.0","1.0","101","163.0","1386.0","l","1.0","2.5"
"0.0","10.0","-4.0","1.0","1.0","101","163.0","1812.0","a","1.0","3.0"
"6.0","8.0","0.0","0.0","0.0","102","173.0","1663.0","a","0.0","-2.0"
"0.0","12.0","-4.0","1.0","1.0","101","179.0","1702.0","a","1.0","4.0"
"3.0","8.0","0.0","1.0","1.0","102","191.0","2292.0","a","1.0","1.0"
"0.0","10.0","-10.0","0.0","0.0","101","199.0","1270.0","a","0.0","0.0"
"5.0","10.0","0.0","1.0","1.0","102","199.0","1834.0","a","1.0","0.0"
"0.0","17.0","-6.0","1.0","0.0","101","209.0","1627.0","a","1.0","5.5"
"0.0","12.0","-3.0","1.0","0.0","101","203.0","1738.0","l","0.0","4.5"
"5.0","14.0","0.0","1.0","0.0","102","200.0","1463.0","l","0.0","2.0"
"6.0","14.0","0.0","1.0","1.0","102","200.0","1335.0","a","1.0","1.0"
"0.0","15.0","-5.0","1.0","1.0","101","214.0","1305.0","a","1.0","5.0"
"7.0","8.0","0.0","0.0","0.0","102","229.0","1526.0","a","0.0","-3.0"
"0.0","13.0","-6.0","0.0","0.0","101","236.0","1456.0","a","0.0","3.5"
"0.0","9.0","-4.0","1.0","1.0","101","236.0","2447.0","l","0.0","2.5"
