"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","10.0","-2.0","1.0","1.0","101","150.0","1107.0","l","0.0","4.0"
"3.0","6.0","0.0","1.0","1.0","102","160.0","1389.0","l","0.0","0.0"
"0.0","11.0","-3.0","1.0","0.0","101","166.0","851.0","a","1.0","4.0"
"6.0","10.0","0.0","1.0","1.0","102","163.0","960.0","l","0.0","-1.0"
"0.0","12.0","-4.0","1.0","1.0","101","173.0","557.0","a","1.0","4.0"
"0.0","8.0","-3.0","1.0","0.0","101","185.0","562.0","a","1.0","2.5"
"0.0","8.0","-3.0","1.0","0.0","101","182.0","517.0","l","0.0","2.5"
"0.0","10.0","-6.0","1.0","0.0","101","179.0","566.0","l","0.0","2.0"
"0.0","10.0","-8.0","1.0","1.0","101","173.0","440.0","l","0.0","1.0"
"0.0","16.0","-4.0","1.0","0.0","101","183.0","560.0","a","1.0","6.0"
"0.0","16.0","-5.0","1.0","1.0","101","179.0","537.0","a","1.0","5.5"
"5.0","12.0","0.0","1.0","0.0","102","195.0","1213.0","a","1.0","1.0"
"3.0","10.0","0.0","1.0","1.0","102","195.0","939.0","a","1.0","2.0"
"0.0","10.0","-2.0","1.0","1.0","101","205.0","661.0","l","0.0","4.0"
"0.0","16.0","-10.0","1.0","1.0","101","215.0","546.0","l","0.0","3.0"
"0.0","14.0","-3.0","1.0","1.0","101","231.0","537.0","a","1.0","5.5"
"0.0","8.0","-5.0","1.0","1.0","101","245.0","500.0","l","0.0","1.5"
"0.0","11.0","-5.0","1.0","0.0","101","253.0","585.0","a","1.0","3.0"
"6.0","10.0","0.0","1.0","0.0","102","248.0","774.0","l","0.0","-1.0"
"0.0","16.0","-6.0","1.0","0.0","101","248.0","453.0","a","1.0","5.0"
"7.0","6.0","0.0","1.0","0.0","102","242.0","801.0","a","1.0","-4.0"
"0.0","8.0","-5.0","1.0","0.0","101","242.0","1109.0","a","1.0","1.5"
"3.0","14.0","0.0","1.0","1.0","102","237.0","1049.0","a","1.0","4.0"
"5.0","6.0","0.0","1.0","0.0","102","251.0","1221.0","l","0.0","-2.0"
"4.0","12.0","0.0","1.0","0.0","102","251.0","1250.0","l","0.0","2.0"
"0.0","14.0","-6.0","1.0","1.0","101","251.0","900.0","l","0.0","4.0"
"0.0","14.0","-2.0","1.0","1.0","101","265.0","819.0","a","1.0","6.0"
"0.0","12.0","-10.0","0.0","0.0","101","279.0","1555.0","a","0.0","1.0"
"0.0","8.0","-4.0","1.0","0.0","101","279.0","1601.0","a","1.0","2.0"
"5.0","14.0","0.0","0.0","1.0","102","275.0","1699.0","l","1.0","2.0"
"0.0","9.0","-6.0","1.0","0.0","101","280.0","1104.0","a","1.0","1.5"
"0.0","11.0","-2.0","1.0","0.0","101","274.0","728.0","a","1.0","4.5"
"7.0","12.0","0.0","0.0","0.0","102","272.0","1350.0","a","0.0","-1.0"
"0.0","9.0","-10.0","0.0","1.0","101","279.0","1329.0","l","1.0","-0.5"
"5.0","6.0","0.0","0.0","0.0","102","279.0","1925.0","a","0.0","-2.0"
"0.0","9.0","-2.0","1.0","0.0","101","284.0","1531.0","l","0.0","3.5"
"0.0","8.0","-10.0","0.0","1.0","101","282.0","1122.0","a","0.0","-1.0"
"4.0","14.0","0.0","1.0","0.0","102","282.0","1444.0","a","1.0","3.0"
"4.0","6.0","0.0","0.0","0.0","102","282.0","1753.0","l","1.0","-1.0"
"0.0","14.0","-5.0","0.0","0.0","101","286.0","1297.0","l","1.0","4.5"
"0.0","8.0","-2.0","1.0","0.0","101","286.0","1350.0","l","0.0","3.0"
"7.0","12.0","0.0","0.0","0.0","102","284.0","1888.0","a","0.0","-1.0"
"0.0","16.0","-4.0","1.0","0.0","101","291.0","1203.0","a","1.0","6.0"
"4.0","10.0","0.0","1.0","1.0","102","287.0","1403.0","l","0.0","1.0"
"0.0","14.0","-4.0","1.0","0.0","101","297.0","2025.0","a","1.0","5.0"
"6.0","12.0","0.0","0.0","1.0","102","293.0","1335.0","l","1.0","0.0"
"5.0","10.0","0.0","0.0","0.0","102","299.0","1317.0","a","0.0","0.0"
"0.0","8.0","-8.0","1.0","1.0","101","304.0","2254.0","a","1.0","0.0"
"4.0","12.0","0.0","1.0","0.0","102","312.0","1858.0","l","0.0","2.0"
"7.0","8.0","0.0","0.0","0.0","102","312.0","1522.0","a","0.0","-3.0"
"0.0","10.0","-4.0","1.0","1.0","101","319.0","1899.0","l","0.0","3.0"
"7.0","14.0","0.0","0.0","0.0","102","329.0","1370.0","a","0.0","0.0"
"0.0","12.0","-5.0","1.0","1.0","101","336.0","1013.0","l","0.0","3.5"
"0.0","9.0","-6.0","0.0","0.0","101","348.0","1475.0","l","1.0","1.5"
"6.0","14.0","0.0","1.0","0.0","102","348.0","1528.0","l","0.0","1.0"
"0.0","11.0","-10.0","1.0","1.0","101","348.0","981.0","a","1.0","0.5"
"6.0","14.0","0.0","1.0","1.0","102","359.0","1637.0","l","0.0","1.0"
"4.0","6.0","0.0","0.0","0.0","102","373.0","1646.0","l","1.0","-1.0"
"0.0","10.0","-5.0","1.0","1.0","101","377.0","1766.0","a","1.0","2.5"
"6.0","8.0","0.0","0.0","1.0","102","387.0","1275.0","a","0.0","-2.0"
"5.0","8.0","0.0","0.0","0.0","102","393.0","1904.0","a","0.0","-1.0"
"0.0","10.0","-5.0","0.0","0.0","101","398.0","2103.0","l","1.0","2.5"
"0.0","11.0","-8.0","0.0","1.0","101","398.0","1754.0","a","0.0","1.5"
"0.0","11.0","-4.0","1.0","0.0","101","398.0","1366.0","l","0.0","3.5"
"6.0","8.0","0.0","0.0","0.0","102","394.0","1566.0","l","1.0","-2.0"
"0.0","10.0","-10.0","0.0","1.0","101","400.0","1172.0","l","1.0","0.0"
"0.0","16.0","-2.0","1.0","0.0","101","400.0","1648.0","l","0.0","7.0"
"0.0","11.0","-6.0","1.0","0.0","101","398.0","1291.0","l","0.0","2.5"
