"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","16.0","-2.0","1.0","1.0","101","150.0","1773.0","a","1.0","7.0"
"0.0","15.0","-8.0","0.0","0.0","101","166.0","1511.0","l","1.0","3.5"
"0.0","20.0","-6.0","0.0","0.0","101","166.0","1597.0","a","0.0","7.0"
"5.0","8.0","0.0","1.0","0.0","102","166.0","1466.0","a","1.0","-1.0"
"0.0","16.0","-4.0","0.0","1.0","101","166.0","1333.0","a","0.0","6.0"
"0.0","14.0","-4.0","0.0","0.0","101","166.0","1136.0","l","1.0","5.0"
"5.0","10.0","0.0","1.0","1.0","102","166.0","1118.0","l","0.0","0.0"
"6.0","6.0","0.0","1.0","0.0","102","176.0","1413.0","a","1.0","-3.0"
"0.0","12.0","-10.0","0.0","1.0","101","176.0","1044.0","l","1.0","1.0"
"0.0","15.0","-4.0","0.0","1.0","101","176.0","1038.0","l","1.0","5.5"
"7.0","10.0","0.0","0.0","1.0","102","176.0","1003.0","l","1.0","-2.0"
"0.0","13.0","-2.0","0.0","0.0","101","183.0","1207.0","a","0.0","5.5"
"5.0","12.0","0.0","0.0","1.0","102","183.0","1127.0","l","1.0","1.0"
"4.0","8.0","0.0","0.0","1.0","102","188.0","1671.0","a","0.0","0.0"
"3.0","14.0","0.0","1.0","1.0","102","192.0","1371.0","a","1.0","4.0"
"0.0","20.0","-5.0","1.0","1.0","101","206.0","1726.0","a","1.0","7.5"
"0.0","18.0","-10.0","0.0","0.0","101","226.0","1307.0","a","0.0","4.0"
"0.0","12.0","-5.0","0.0","1.0","101","226.0","1358.0","a","0.0","3.5"
"0.0","18.0","-10.0","0.0","0.0","101","226.0","1896.0","l","1.0","4.0"
"0.0","16.0","-6.0","0.0","0.0","101","226.0","1084.0","l","1.0","5.0"
"0.0","20.0","-4.0","1.0","1.0","101","226.0","1476.0","a","1.0","8.0"
"7.0","10.0","0.0","0.0","1.0","102","246.0","1725.0","l","1.0","-2.0"
"0.0","15.0","-6.0","0.0","0.0","101","253.0","1213.0","l","1.0","4.5"
"0.0","20.0","-5.0","0.0","0.0","101","253.0","1218.0","l","1.0","7.5"
"0.0","16.0","-10.0","0.0","0.0","101","253.0","1119.0","l","1.0","3.0"
"4.0","12.0","0.0","1.0","0.0","102","253.0","1462.0","l","0.0","2.0"
"0.0","20.0","-8.0","1.0","1.0","101","253.0","1341.0","l","0.0","6.0"
"0.0","13.0","-8.0","0.0","0.0","101","273.0","1418.0","l","1.0","2.5"
"0.0","12.0","-4.0","1.0","1.0","101","273.0","1402.0","l","0.0","4.0"
"0.0","13.0","-8.0","0.0","0.0","101","285.0","1553.0","a","0.0","2.5"
"0.0","16.0","-6.0","0.0","1.0","101","285.0","1322.0","l","1.0","5.0"
"0.0","18.0","-6.0","0.0","0.0","101","285.0","1538.0","a","0.0","6.0"
"3.0","10.0","0.0","1.0","1.0","102","285.0","1212.0","l","0.0","2.0"
"0.0","13.0","-6.0","0.0","1.0","101","295.0","1127.0","a","0.0","3.5"
"0.0","15.0","-10.0","0.0","1.0","101","295.0","1221.0","l","1.0","2.5"
"6.0","10.0","0.0","1.0","1.0","102","295.0","1921.0","a","1.0","-1.0"
"0.0","14.0","-3.0","0.0","0.0","101","305.0","1413.0","a","0.0","5.5"
"0.0","14.0","-6.0","0.0","1.0","101","305.0","1007.0","l","1.0","4.0"
"0.0","12.0","-8.0","0.0","1.0","101","305.0","1101.0","l","1.0","2.0"
"0.0","14.0","-8.0","0.0","0.0","101","305.0","1252.0","a","0.0","3.0"
"0.0","15.0","-2.0","1.0","0.0","101","305.0","1515.0","l","0.0","6.5"
"3.0","6.0","0.0","0.0","0.0","102","303.0","1685.0","l","1.0","0.0"
"7.0","8.0","0.0","0.0","0.0","102","306.0","1371.0","l","1.0","-3.0"
"6.0","14.0","0.0","1.0","1.0","102","313.0","1305.0","l","0.0","1.0"
"0.0","20.0","-10.0","0.0","0.0","101","327.0","1189.0","l","1.0","5.0"
"4.0","10.0","0.0","1.0","0.0","102","327.0","1324.0","a","1.0","1.0"
"0.0","13.0","-10.0","0.0","0.0","101","327.0","1312.0","a","0.0","1.5"
"6.0","12.0","0.0","0.0","1.0","102","327.0","1341.0","l","1.0","0.0"
"0.0","12.0","-5.0","0.0","0.0","101","333.0","1304.0","a","0.0","3.5"
"5.0","8.0","0.0","0.0","1.0","102","333.0","1162.0","l","1.0","-1.0"
"6.0","8.0","0.0","0.0","1.0","102","338.0","1139.0","l","1.0","-2.0"
"0.0","12.0","-10.0","0.0","0.0","101","344.0","1216.0","a","0.0","1.0"
"6.0","12.0","0.0","1.0","0.0","102","344.0","1156.0","l","0.0","0.0"
"0.0","13.0","-2.0","0.0","0.0","101","344.0","1182.0","l","1.0","5.5"
"0.0","14.0","-4.0","0.0","1.0","101","344.0","1448.0","a","0.0","5.0"
"0.0","12.0","-6.0","0.0","1.0","101","344.0","1063.0","l","1.0","3.0"
"0.0","14.0","-5.0","0.0","1.0","101","344.0","1299.0","l","1.0","4.5"
"0.0","15.0","-3.0","1.0","1.0","101","344.0","1347.0","a","1.0","6.0"
"0.0","14.0","-2.0","0.0","1.0","101","359.0","1768.0","l","1.0","6.0"
"0.0","18.0","-2.0","1.0","1.0","101","359.0","1264.0","l","0.0","8.0"
"0.0","16.0","-5.0","0.0","0.0","101","377.0","1328.0","l","1.0","5.5"
"5.0","6.0","0.0","0.0","1.0","102","377.0","1255.0","a","0.0","-2.0"
"0.0","20.0","-2.0","1.0","0.0","101","382.0","1231.0","l","0.0","9.0"
"5.0","6.0","0.0","0.0","0.0","102","380.0","1525.0","a","0.0","-2.0"
"0.0","15.0","-10.0","0.0","0.0","101","385.0","1096.0","l","1.0","2.5"
"4.0","6.0","0.0","0.0","1.0","102","385.0","1395.0","l","1.0","-1.0"
"5.0","10.0","0.0","1.0","0.0","102","389.0","1813.0","a","1.0","0.0"
"0.0","12.0","-3.0","0.0","0.0","101","389.0","1548.0","a","0.0","4.5"
"0.0","20.0","-6.0","0.0","1.0","101","389.0","1415.0","a","0.0","7.0"
"0.0","12.0","-6.0","0.0","1.0","101","389.0","1271.0","a","0.0","3.0"
"3.0","14.0","0.0","1.0","0.0","102","389.0","1183.0","l","0.0","4.0"
"0.0","16.0","-8.0","0.0","1.0","101","389.0","1200.0","a","0.0","4.0"
"0.0","14.0","-5.0","0.0","0.0","101","389.0","1071.0","l","1.0","4.5"
"0.0","20.0","-10.0","0.0","0.0","101","389.0","1155.0","l","1.0","5.0"
"6.0","6.0","0.0","0.0","0.0","102","389.0","1164.0","l","1.0","-3.0"
"4.0","6.0","0.0","1.0","1.0","102","395.0","1436.0","l","0.0","-1.0"
"0.0","12.0","-2.0","1.0","1.0","101","401.0","1228.0","l","0.0","5.0"
"0.0","13.0","-3.0","0.0","1.0","101","413.0","1184.0","a","0.0","5.0"
"5.0","12.0","0.0","0.0","0.0","102","413.0","1402.0","a","0.0","1.0"
"0.0","18.0","-6.0","0.0","1.0","101","418.0","1208.0","a","0.0","6.0"
"0.0","20.0","-3.0","1.0","1.0","101","418.0","1307.0","l","0.0","8.5"
"6.0","8.0","0.0","0.0","1.0","102","438.0","1375.0","a","0.0","-2.0"
"0.0","16.0","-4.0","0.0","0.0","101","444.0","1247.0","a","0.0","6.0"
"0.0","14.0","-8.0","0.0","0.0","101","444.0","1190.0","l","1.0","3.0"
"7.0","14.0","0.0","0.0","0.0","102","444.0","1285.0","l","1.0","0.0"
"0.0","20.0","-2.0","1.0","0.0","101","451.0","1580.0","a","1.0","9.0"
"0.0","14.0","-3.0","0.0","0.0","101","449.0","1210.0","a","0.0","5.5"
"7.0","12.0","0.0","0.0","0.0","102","449.0","1196.0","l","1.0","-1.0"
"0.0","14.0","-2.0","0.0","0.0","101","456.0","1319.0","l","1.0","6.0"
"0.0","16.0","-3.0","0.0","1.0","101","456.0","999.0","l","1.0","6.5"
"6.0","14.0","0.0","0.0","0.0","102","456.0","1021.0","l","1.0","1.0"
"3.0","6.0","0.0","0.0","0.0","102","462.0","1269.0","a","0.0","0.0"
"0.0","20.0","-4.0","0.0","0.0","101","465.0","1288.0","a","0.0","8.0"
"0.0","16.0","-5.0","0.0","1.0","101","465.0","1286.0","l","1.0","5.5"
"0.0","18.0","-4.0","0.0","1.0","101","465.0","988.0","l","1.0","7.0"
"0.0","12.0","-3.0","0.0","0.0","101","465.0","1147.0","a","0.0","4.5"
"3.0","10.0","0.0","0.0","1.0","102","465.0","1200.0","l","1.0","2.0"
"0.0","18.0","-5.0","0.0","0.0","101","468.0","1262.0","l","1.0","6.5"
"0.0","14.0","-6.0","0.0","1.0","101","468.0","1205.0","l","1.0","4.0"
"7.0","14.0","0.0","0.0","1.0","102","468.0","1200.0","l","1.0","0.0"
"4.0","8.0","0.0","0.0","0.0","102","475.0","1032.0","a","0.0","0.0"
"4.0","14.0","0.0","0.0","0.0","102","479.0","1143.0","l","1.0","3.0"
"3.0","12.0","0.0","1.0","1.0","102","483.0","1054.0","l","0.0","3.0"
"0.0","13.0","-10.0","0.0","0.0","101","495.0","987.0","l","1.0","1.5"
"0.0","12.0","-4.0","0.0","0.0","101","495.0","1068.0","a","0.0","4.0"
"0.0","16.0","-2.0","0.0","1.0","101","495.0","893.0","l","1.0","7.0"
"0.0","15.0","-4.0","0.0","0.0","101","495.0","1337.0","a","0.0","5.5"
"0.0","18.0","-3.0","0.0","0.0","101","495.0","901.0","l","1.0","7.5"
"0.0","13.0","-3.0","0.0","1.0","101","495.0","1325.0","l","1.0","5.0"
"0.0","13.0","-4.0","0.0","1.0","101","495.0","980.0","l","1.0","4.5"
"0.0","12.0","-2.0","1.0","0.0","101","495.0","1144.0","a","1.0","5.0"
"0.0","14.0","-10.0","0.0","1.0","101","493.0","1347.0","l","1.0","2.0"
"0.0","15.0","-8.0","0.0","1.0","101","493.0","1095.0","a","0.0","3.5"
"0.0","13.0","-5.0","0.0","0.0","101","493.0","1053.0","a","0.0","4.0"
"0.0","14.0","-10.0","0.0","0.0","101","493.0","1056.0","a","0.0","2.0"
"0.0","12.0","-8.0","0.0","1.0","101","493.0","1363.0","a","0.0","2.0"
"5.0","14.0","0.0","0.0","1.0","102","493.0","1337.0","a","0.0","2.0"
"4.0","14.0","0.0","0.0","0.0","102","498.0","1126.0","a","0.0","3.0"
"0.0","16.0","-10.0","0.0","1.0","101","502.0","971.0","l","1.0","3.0"
"0.0","15.0","-3.0","0.0","0.0","101","502.0","1041.0","l","1.0","6.0"
"0.0","20.0","-8.0","0.0","0.0","101","502.0","1203.0","l","1.0","6.0"
"3.0","8.0","0.0","0.0","0.0","102","502.0","1343.0","a","0.0","1.0"
"7.0","8.0","0.0","0.0","1.0","102","505.0","1288.0","a","0.0","-3.0"
"0.0","18.0","-5.0","0.0","0.0","101","512.0","982.0","a","0.0","6.5"
"0.0","13.0","-5.0","0.0","0.0","101","512.0","1223.0","a","0.0","4.0"
"4.0","10.0","0.0","1.0","1.0","102","512.0","1345.0","l","0.0","1.0"
"5.0","14.0","0.0","1.0","1.0","102","522.0","1525.0","a","1.0","2.0"
"0.0","18.0","-8.0","0.0","0.0","101","536.0","896.0","l","1.0","5.0"
"7.0","6.0","0.0","0.0","1.0","102","536.0","1094.0","a","0.0","-4.0"
"7.0","6.0","0.0","0.0","0.0","102","543.0","1035.0","l","1.0","-4.0"
"0.0","16.0","-8.0","0.0","0.0","101","550.0","980.0","l","1.0","4.0"
"3.0","8.0","0.0","1.0","0.0","102","550.0","1183.0","l","0.0","1.0"
"4.0","12.0","0.0","0.0","0.0","102","550.0","1323.0","a","0.0","2.0"
"7.0","12.0","0.0","0.0","0.0","102","554.0","1070.0","l","1.0","-1.0"
"0.0","13.0","-6.0","0.0","1.0","101","561.0","922.0","l","1.0","3.5"
"0.0","18.0","-4.0","0.0","0.0","101","561.0","1010.0","a","0.0","7.0"
"0.0","20.0","-3.0","0.0","1.0","101","561.0","1064.0","a","0.0","8.5"
