"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"4.0","14.0","0.0","1.0","0.0","102","150.0","2773.0","a","1.0","3.0"
"0.0","18.0","-5.0","0.0","0.0","101","150.0","1654.0","a","0.0","6.5"
"0.0","22.0","-8.0","0.0","1.0","101","150.0","1490.0","a","0.0","7.0"
"0.0","20.0","-5.0","1.0","0.0","101","150.0","1487.0","a","1.0","7.5"
"0.0","22.0","-10.0","0.0","0.0","101","145.0","1283.0","l","1.0","6.0"
"0.0","16.0","-2.0","1.0","0.0","101","145.0","1600.0","l","0.0","7.0"
"5.0","18.0","0.0","1.0","0.0","102","143.0","1550.0","l","0.0","4.0"
"0.0","17.0","-10.0","0.0","1.0","101","143.0","1710.0","a","0.0","3.5"
"0.0","16.0","-4.0","1.0","0.0","101","143.0","1933.0","l","0.0","6.0"
"4.0","20.0","0.0","1.0","0.0","102","139.0","1507.0","a","1.0","6.0"
"0.0","17.0","-8.0","0.0","1.0","101","139.0","1306.0","a","0.0","4.5"
"3.0","20.0","0.0","0.0","1.0","102","139.0","1970.0","l","1.0","7.0"
"4.0","18.0","0.0","0.0","1.0","102","142.0","1278.0","l","1.0","5.0"
"0.0","20.0","-4.0","0.0","1.0","101","146.0","1925.0","l","1.0","8.0"
"0.0","20.0","-6.0","0.0","0.0","101","146.0","1363.0","a","0.0","7.0"
"0.0","17.0","-5.0","1.0","1.0","101","146.0","1361.0","a","1.0","6.0"
"6.0","16.0","0.0","0.0","1.0","102","163.0","1759.0","l","1.0","2.0"
"0.0","17.0","-6.0","0.0","0.0","101","169.0","1524.0","l","1.0","5.5"
"5.0","14.0","0.0","0.0","1.0","102","169.0","1419.0","l","1.0","2.0"
"0.0","15.0","-8.0","0.0","0.0","101","174.0","1196.0","l","1.0","3.5"
"4.0","14.0","0.0","1.0","0.0","102","174.0","1355.0","l","0.0","3.0"
"0.0","15.0","-2.0","1.0","1.0","101","174.0","1306.0","a","1.0","6.5"
"0.0","14.0","-2.0","1.0","0.0","101","189.0","1499.0","l","0.0","6.0"
"5.0","18.0","0.0","0.0","0.0","102","187.0","1788.0","a","0.0","4.0"
"6.0","12.0","0.0","0.0","0.0","102","192.0","1708.0","a","0.0","0.0"
"0.0","22.0","-6.0","0.0","0.0","101","198.0","1655.0","a","0.0","8.0"
"0.0","15.0","-10.0","0.0","1.0","101","198.0","1009.0","l","1.0","2.5"
"0.0","18.0","-2.0","1.0","0.0","101","198.0","2134.0","a","1.0","8.0"
"3.0","16.0","0.0","1.0","0.0","102","196.0","1651.0","l","0.0","5.0"
"7.0","18.0","0.0","0.0","1.0","102","196.0","1526.0","l","1.0","2.0"
"0.0","20.0","-2.0","1.0","1.0","101","203.0","1795.0","l","0.0","9.0"
"4.0","16.0","0.0","1.0","1.0","102","223.0","2522.0","a","1.0","4.0"
"0.0","17.0","-3.0","1.0","1.0","101","239.0","2252.0","l","0.0","7.0"
"0.0","14.0","-4.0","0.0","0.0","101","256.0","1181.0","a","0.0","5.0"
"0.0","17.0","-10.0","0.0","0.0","101","256.0","1396.0","a","0.0","3.5"
"6.0","18.0","0.0","0.0","0.0","102","256.0","2123.0","a","0.0","3.0"
"0.0","16.0","-6.0","0.0","0.0","101","262.0","1080.0","l","1.0","5.0"
"6.0","14.0","0.0","0.0","0.0","102","262.0","1662.0","l","1.0","1.0"
"0.0","14.0","-3.0","0.0","0.0","101","268.0","1248.0","l","1.0","5.5"
"0.0","17.0","-6.0","0.0","1.0","101","268.0","882.0","l","1.0","5.5"
"0.0","16.0","-10.0","0.0","0.0","101","268.0","974.0","l","1.0","3.0"
"6.0","14.0","0.0","1.0","1.0","102","268.0","1130.0","a","1.0","1.0"
"0.0","18.0","-2.0","1.0","1.0","101","282.0","1638.0","l","0.0","8.0"
"0.0","20.0","-10.0","0.0","0.0","101","300.0","916.0","l","1.0","5.0"
"4.0","16.0","0.0","1.0","0.0","102","300.0","1930.0","a","1.0","4.0"
"0.0","15.0","-8.0","0.0","0.0","101","300.0","870.0","l","1.0","3.5"
"0.0","18.0","-8.0","0.0","0.0","101","300.0","1390.0","a","0.0","5.0"
"4.0","12.0","0.0","1.0","0.0","102","300.0","1550.0","l","0.0","2.0"
"0.0","22.0","-2.0","1.0","1.0","101","300.0","1590.0","a","1.0","10.0"
"7.0","20.0","0.0","0.0","1.0","102","322.0","1941.0","l","1.0","3.0"
"0.0","15.0","-5.0","0.0","1.0","101","329.0","1534.0","l","1.0","5.0"
