"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"7.0","14.0","0.0","0.0","1.0","102","150.0","1483.0","a","0.0","0.0"
"0.0","14.0","-5.0","0.0","1.0","101","157.0","3672.0","l","1.0","4.5"
"4.0","14.0","0.0","1.0","1.0","102","157.0","1873.0","l","0.0","3.0"
"0.0","21.0","-4.0","1.0","0.0","101","171.0","1976.0","l","0.0","8.5"
"0.0","16.0","-8.0","0.0","1.0","101","167.0","2304.0","a","0.0","4.0"
"0.0","16.0","-4.0","0.0","0.0","101","167.0","1889.0","l","1.0","6.0"
"0.0","17.0","-8.0","0.0","1.0","101","167.0","1781.0","l","1.0","4.5"
"0.0","19.0","-8.0","0.0","0.0","101","167.0","1252.0","l","1.0","5.5"
"0.0","19.0","-3.0","1.0","0.0","101","167.0","1308.0","a","1.0","8.0"
"6.0","10.0","0.0","0.0","0.0","102","164.0","1229.0","l","1.0","-1.0"
"7.0","8.0","0.0","0.0","1.0","102","170.0","1025.0","l","1.0","-3.0"
"6.0","8.0","0.0","0.0","0.0","102","177.0","943.0","a","0.0","-2.0"
"3.0","6.0","0.0","1.0","0.0","102","183.0","1941.0","l","0.0","0.0"
"0.0","14.0","-5.0","0.0","0.0","101","183.0","1883.0","l","1.0","4.5"
"0.0","16.0","-8.0","0.0","0.0","101","183.0","1453.0","a","0.0","4.0"
"7.0","12.0","0.0","1.0","0.0","102","183.0","1086.0","a","1.0","-1.0"
"0.0","19.0","-6.0","0.0","0.0","101","183.0","1514.0","a","0.0","6.5"
"0.0","13.0","-5.0","0.0","0.0","101","183.0","1337.0","a","0.0","4.0"
"0.0","13.0","-4.0","0.0","1.0","101","183.0","1549.0","l","1.0","4.5"
"0.0","14.0","-4.0","0.0","1.0","101","183.0","1631.0","a","0.0","5.0"
"0.0","19.0","-3.0","0.0","0.0","101","183.0","1011.0","l","1.0","8.0"
"0.0","13.0","-2.0","0.0","1.0","101","183.0","1233.0","l","1.0","5.5"
"5.0","14.0","0.0","1.0","0.0","102","183.0","1072.0","a","1.0","2.0"
"0.0","17.0","-4.0","0.0","0.0","101","183.0","1267.0","l","1.0","6.5"
"0.0","17.0","-5.0","0.0","0.0","101","183.0","1300.0","l","1.0","6.0"
"3.0","10.0","0.0","0.0","0.0","102","183.0","1040.0","a","0.0","2.0"
"0.0","14.0","-10.0","0.0","1.0","101","186.0","1783.0","a","0.0","2.0"
"6.0","10.0","0.0","0.0","1.0","102","186.0","1129.0","a","0.0","-1.0"
"0.0","21.0","-10.0","0.0","0.0","101","192.0","1693.0","l","1.0","5.5"
"0.0","16.0","-5.0","0.0","1.0","101","192.0","1684.0","a","0.0","5.5"
"0.0","16.0","-4.0","0.0","1.0","101","192.0","1752.0","a","0.0","6.0"
"0.0","14.0","-6.0","0.0","1.0","101","192.0","1674.0","a","0.0","4.0"
"0.0","17.0","-8.0","0.0","0.0","101","192.0","1764.0","l","1.0","4.5"
"0.0","16.0","-6.0","0.0","0.0","101","192.0","1416.0","a","0.0","5.0"
"7.0","14.0","0.0","0.0","0.0","102","192.0","1061.0","l","1.0","0.0"
"0.0","19.0","-5.0","0.0","1.0","101","199.0","1824.0","a","0.0","7.0"
"7.0","8.0","0.0","0.0","0.0","102","199.0","845.0","l","1.0","-3.0"
"5.0","12.0","0.0","0.0","1.0","102","206.0","986.0","l","1.0","1.0"
"0.0","19.0","-8.0","0.0","0.0","101","211.0","1729.0","l","1.0","5.5"
"0.0","17.0","-5.0","0.0","0.0","101","211.0","1943.0","a","0.0","6.0"
"0.0","15.0","-10.0","0.0","0.0","101","211.0","2242.0","a","0.0","2.5"
"0.0","16.0","-5.0","0.0","0.0","101","211.0","1437.0","a","0.0","5.5"
"4.0","10.0","0.0","1.0","0.0","102","211.0","1497.0","l","0.0","1.0"
"4.0","8.0","0.0","1.0","1.0","102","211.0","1671.0","l","0.0","0.0"
"0.0","13.0","-10.0","0.0","0.0","101","219.0","1710.0","l","1.0","1.5"
"0.0","17.0","-3.0","1.0","0.0","101","219.0","1715.0","a","1.0","7.0"
"0.0","21.0","-8.0","0.0","1.0","101","216.0","1656.0","l","1.0","6.5"
"0.0","13.0","-3.0","1.0","1.0","101","216.0","2507.0","a","1.0","5.0"
"0.0","21.0","-5.0","0.0","1.0","101","229.0","1693.0","a","0.0","8.0"
"4.0","14.0","0.0","1.0","0.0","102","229.0","1525.0","l","0.0","3.0"
"7.0","10.0","0.0","1.0","0.0","102","229.0","1988.0","l","0.0","-2.0"
"4.0","6.0","0.0","1.0","0.0","102","229.0","1608.0","a","1.0","-1.0"
"4.0","12.0","0.0","1.0","0.0","102","229.0","1595.0","l","0.0","2.0"
"3.0","14.0","0.0","1.0","0.0","102","229.0","1394.0","l","0.0","4.0"
"0.0","15.0","-5.0","0.0","0.0","101","229.0","1195.0","l","1.0","5.0"
"0.0","14.0","-2.0","1.0","1.0","101","229.0","1967.0","a","1.0","6.0"
"5.0","14.0","0.0","0.0","1.0","102","243.0","1146.0","a","0.0","2.0"
"0.0","21.0","-4.0","1.0","1.0","101","248.0","2428.0","l","0.0","8.5"
"0.0","15.0","-8.0","0.0","1.0","101","269.0","1482.0","a","0.0","3.5"
"6.0","12.0","0.0","0.0","0.0","102","269.0","940.0","a","0.0","0.0"
"4.0","12.0","0.0","0.0","1.0","102","275.0","1103.0","a","0.0","2.0"
"5.0","12.0","0.0","0.0","1.0","102","279.0","807.0","a","0.0","1.0"
"0.0","13.0","-3.0","1.0","0.0","101","284.0","1892.0","l","0.0","5.0"
"0.0","16.0","-10.0","0.0","0.0","101","281.0","1419.0","a","0.0","3.0"
"0.0","21.0","-10.0","0.0","1.0","101","281.0","1908.0","l","1.0","5.5"
"4.0","10.0","0.0","0.0","0.0","102","281.0","849.0","a","0.0","1.0"
"0.0","13.0","-6.0","0.0","1.0","101","285.0","1703.0","a","0.0","3.5"
"5.0","10.0","0.0","0.0","1.0","102","285.0","889.0","a","0.0","0.0"
"6.0","6.0","0.0","0.0","0.0","102","290.0","1113.0","a","0.0","-3.0"
"5.0","6.0","0.0","0.0","0.0","102","296.0","1008.0","a","0.0","-2.0"
"6.0","6.0","0.0","0.0","1.0","102","301.0","1557.0","a","0.0","-3.0"
"0.0","14.0","-3.0","1.0","0.0","101","307.0","2630.0","a","1.0","5.5"
"0.0","15.0","-10.0","0.0","1.0","101","304.0","1188.0","l","1.0","2.5"
"3.0","10.0","0.0","1.0","1.0","102","304.0","1426.0","a","1.0","2.0"
"7.0","6.0","0.0","0.0","0.0","102","314.0","1042.0","a","0.0","-4.0"
"5.0","6.0","0.0","0.0","1.0","102","321.0","1662.0","a","0.0","-2.0"
"0.0","19.0","-6.0","0.0","0.0","101","326.0","1721.0","a","0.0","6.5"
"0.0","15.0","-2.0","1.0","0.0","101","326.0","2067.0","l","0.0","6.5"
"7.0","12.0","0.0","0.0","0.0","102","324.0","963.0","a","0.0","-1.0"
"0.0","13.0","-4.0","0.0","1.0","101","331.0","1865.0","a","0.0","4.5"
"0.0","17.0","-6.0","0.0","1.0","101","331.0","1828.0","l","1.0","5.5"
"0.0","17.0","-6.0","0.0","0.0","101","331.0","1547.0","a","0.0","5.5"
"0.0","14.0","-6.0","0.0","1.0","101","331.0","1673.0","l","1.0","4.0"
"0.0","21.0","-5.0","0.0","1.0","101","331.0","1622.0","a","0.0","8.0"
"6.0","14.0","0.0","0.0","1.0","102","331.0","1076.0","l","1.0","1.0"
"0.0","17.0","-4.0","1.0","0.0","101","337.0","2242.0","a","1.0","6.5"
"0.0","15.0","-5.0","0.0","0.0","101","333.0","2021.0","a","0.0","5.0"
"6.0","8.0","0.0","0.0","0.0","102","333.0","1054.0","a","0.0","-2.0"
"0.0","15.0","-4.0","1.0","0.0","101","339.0","2269.0","l","0.0","5.5"
"0.0","19.0","-10.0","0.0","1.0","101","335.0","1675.0","a","0.0","4.5"
"0.0","21.0","-3.0","0.0","0.0","101","335.0","1190.0","l","1.0","9.0"
"0.0","19.0","-5.0","0.0","0.0","101","335.0","1318.0","l","1.0","7.0"
"0.0","17.0","-3.0","0.0","1.0","101","335.0","2273.0","a","0.0","7.0"
"0.0","13.0","-5.0","0.0","1.0","101","335.0","1089.0","a","0.0","4.0"
"0.0","15.0","-3.0","1.0","0.0","101","335.0","2645.0","a","1.0","6.0"
"0.0","13.0","-10.0","0.0","0.0","101","332.0","2199.0","l","1.0","1.5"
"0.0","14.0","-8.0","0.0","0.0","101","332.0","942.0","a","0.0","3.0"
"0.0","15.0","-6.0","0.0","1.0","101","332.0","1129.0","a","0.0","4.5"
"5.0","8.0","0.0","0.0","0.0","102","332.0","763.0","a","0.0","-1.0"
"0.0","17.0","-10.0","0.0","0.0","101","337.0","3175.0","a","0.0","3.5"
"0.0","17.0","-2.0","1.0","0.0","101","337.0","1696.0","a","1.0","7.5"
"3.0","8.0","0.0","1.0","1.0","102","335.0","1398.0","a","1.0","1.0"
"0.0","19.0","-10.0","0.0","0.0","101","343.0","1061.0","l","1.0","4.5"
"0.0","13.0","-8.0","0.0","1.0","101","343.0","1323.0","l","1.0","2.5"
"0.0","17.0","-10.0","0.0","1.0","101","343.0","1214.0","a","0.0","3.5"
"5.0","10.0","0.0","1.0","0.0","102","343.0","2176.0","l","0.0","0.0"
"0.0","19.0","-4.0","0.0","0.0","101","343.0","1996.0","l","1.0","7.5"
"3.0","8.0","0.0","1.0","1.0","102","343.0","2045.0","a","1.0","1.0"
"0.0","15.0","-6.0","0.0","1.0","101","351.0","1943.0","a","0.0","4.5"
"0.0","15.0","-3.0","0.0","0.0","101","351.0","952.0","a","0.0","6.0"
"0.0","19.0","-2.0","1.0","1.0","101","351.0","1497.0","a","1.0","8.5"
"3.0","6.0","0.0","1.0","0.0","102","370.0","2065.0","a","1.0","0.0"
"3.0","12.0","0.0","0.0","1.0","102","370.0","1189.0","a","0.0","3.0"
"0.0","16.0","-2.0","0.0","0.0","101","373.0","1577.0","a","0.0","7.0"
"0.0","14.0","-4.0","0.0","0.0","101","373.0","1500.0","l","1.0","5.0"
"0.0","13.0","-6.0","0.0","1.0","101","373.0","1045.0","l","1.0","3.5"
"0.0","13.0","-8.0","0.0","0.0","101","373.0","2797.0","l","1.0","2.5"
"0.0","21.0","-8.0","0.0","0.0","101","373.0","1246.0","a","0.0","6.5"
"3.0","14.0","0.0","1.0","1.0","102","373.0","1578.0","a","1.0","4.0"
"5.0","8.0","0.0","0.0","0.0","102","387.0","2559.0","l","1.0","-1.0"
"0.0","16.0","-2.0","0.0","0.0","101","392.0","1258.0","l","1.0","7.0"
"0.0","14.0","-8.0","0.0","1.0","101","392.0","1308.0","a","0.0","3.0"
"6.0","14.0","0.0","1.0","0.0","102","392.0","2005.0","l","0.0","1.0"
"0.0","19.0","-4.0","0.0","1.0","101","392.0","1256.0","a","0.0","7.5"
"0.0","16.0","-6.0","0.0","0.0","101","392.0","1643.0","a","0.0","5.0"
"0.0","21.0","-6.0","1.0","0.0","101","392.0","2028.0","l","0.0","7.5"
"0.0","21.0","-3.0","1.0","1.0","101","386.0","1937.0","l","0.0","9.0"
