"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"7.0","14.0","0.0","1.0","0.0","102","150.0","1659.0","a","1.0","0.0"
"3.0","14.0","0.0","1.0","0.0","102","150.0","782.0","a","1.0","4.0"
"0.0","17.0","-2.0","1.0","0.0","101","150.0","1098.0","a","1.0","7.5"
"0.0","11.0","-2.0","1.0","1.0","101","148.0","1480.0","a","1.0","4.5"
"0.0","13.0","-8.0","0.0","1.0","101","159.0","1389.0","a","0.0","2.5"
"3.0","8.0","0.0","1.0","1.0","102","159.0","1701.0","l","0.0","1.0"
"0.0","15.0","-5.0","1.0","1.0","101","167.0","1953.0","l","0.0","5.0"
"0.0","17.0","-3.0","1.0","0.0","101","182.0","1299.0","l","0.0","7.0"
"0.0","19.0","-8.0","0.0","1.0","101","179.0","2040.0","l","1.0","5.5"
"0.0","19.0","-2.0","1.0","1.0","101","179.0","1701.0","l","0.0","8.5"
"0.0","17.0","-4.0","1.0","0.0","101","198.0","1121.0","l","0.0","6.5"
"0.0","19.0","-5.0","1.0","1.0","101","194.0","958.0","l","0.0","7.0"
"0.0","19.0","-6.0","1.0","0.0","101","213.0","1071.0","l","0.0","6.5"
"0.0","17.0","-8.0","0.0","0.0","101","207.0","1343.0","l","1.0","4.5"
"4.0","12.0","0.0","1.0","0.0","102","207.0","1458.0","a","1.0","2.0"
"0.0","11.0","-5.0","1.0","0.0","101","207.0","1209.0","a","1.0","3.0"
"4.0","14.0","0.0","1.0","1.0","102","202.0","1683.0","l","0.0","3.0"
"6.0","8.0","0.0","1.0","1.0","102","216.0","2062.0","a","1.0","-2.0"
"0.0","13.0","-6.0","0.0","0.0","101","224.0","1456.0","a","0.0","3.5"
"0.0","11.0","-4.0","1.0","1.0","101","224.0","1277.0","a","1.0","3.5"
"0.0","13.0","-8.0","0.0","1.0","101","235.0","1816.0","l","1.0","2.5"
"0.0","19.0","-5.0","1.0","0.0","101","235.0","1776.0","a","1.0","7.0"
"0.0","15.0","-5.0","1.0","1.0","101","230.0","1724.0","a","1.0","5.0"
"0.0","14.0","-10.0","0.0","0.0","101","245.0","1614.0","a","0.0","2.0"
"0.0","19.0","-3.0","1.0","0.0","101","245.0","1413.0","a","1.0","8.0"
"0.0","17.0","-8.0","1.0","1.0","101","242.0","2016.0","a","1.0","4.5"
"3.0","10.0","0.0","1.0","0.0","102","259.0","2650.0","l","0.0","2.0"
"0.0","17.0","-5.0","1.0","0.0","101","259.0","1973.0","l","0.0","6.0"
"4.0","16.0","0.0","1.0","0.0","102","254.0","1594.0","l","0.0","4.0"
"0.0","11.0","-5.0","1.0","0.0","101","254.0","1681.0","a","1.0","3.0"
"0.0","19.0","-4.0","1.0","1.0","101","249.0","1186.0","a","1.0","7.5"
"6.0","8.0","0.0","0.0","1.0","102","268.0","2919.0","l","1.0","-2.0"
"5.0","8.0","0.0","0.0","1.0","102","274.0","1839.0","l","1.0","-1.0"
"7.0","12.0","0.0","0.0","0.0","102","279.0","2336.0","l","1.0","-1.0"
"0.0","12.0","-4.0","1.0","0.0","101","286.0","2447.0","a","1.0","4.0"
"0.0","17.0","-10.0","1.0","1.0","101","282.0","1546.0","a","1.0","3.5"
"0.0","15.0","-2.0","1.0","0.0","101","299.0","1527.0","a","1.0","6.5"
"5.0","10.0","0.0","0.0","0.0","102","297.0","1998.0","l","1.0","0.0"
"4.0","14.0","0.0","1.0","1.0","102","302.0","2556.0","l","0.0","3.0"
"6.0","14.0","0.0","0.0","0.0","102","316.0","1994.0","a","0.0","1.0"
"4.0","8.0","0.0","0.0","1.0","102","322.0","2220.0","a","0.0","0.0"
"0.0","13.0","-3.0","1.0","1.0","101","326.0","2287.0","l","0.0","5.0"
"0.0","11.0","-10.0","0.0","1.0","101","339.0","2301.0","l","1.0","0.5"
"0.0","19.0","-6.0","1.0","0.0","101","339.0","2788.0","a","1.0","6.5"
"0.0","13.0","-3.0","1.0","0.0","101","333.0","1728.0","l","0.0","5.0"
"0.0","13.0","-2.0","1.0","0.0","101","330.0","1612.0","l","0.0","5.5"
"3.0","12.0","0.0","1.0","0.0","102","328.0","1436.0","l","0.0","3.0"
"3.0","10.0","0.0","1.0","1.0","102","328.0","1319.0","l","0.0","2.0"
"0.0","14.0","-5.0","1.0","1.0","101","338.0","2046.0","a","1.0","4.5"
"0.0","15.0","-6.0","1.0","1.0","101","352.0","1187.0","a","1.0","4.5"
"0.0","15.0","-10.0","0.0","0.0","101","367.0","1729.0","l","1.0","2.5"
"0.0","19.0","-10.0","0.0","0.0","101","367.0","2850.0","l","1.0","4.5"
"4.0","10.0","0.0","1.0","0.0","102","367.0","2239.0","a","1.0","1.0"
"0.0","11.0","-10.0","0.0","1.0","101","367.0","1871.0","l","1.0","0.5"
"0.0","14.0","-3.0","1.0","0.0","101","367.0","1882.0","l","0.0","5.5"
"0.0","17.0","-2.0","1.0","1.0","101","364.0","1726.0","l","0.0","7.5"
"0.0","11.0","-8.0","0.0","0.0","101","381.0","1816.0","a","0.0","1.5"
"0.0","14.0","-5.0","0.0","1.0","101","381.0","1996.0","a","0.0","4.5"
"5.0","12.0","0.0","1.0","1.0","102","381.0","2331.0","l","0.0","1.0"
"0.0","12.0","-5.0","0.0","0.0","101","393.0","1994.0","l","1.0","3.5"
"0.0","17.0","-3.0","1.0","0.0","101","393.0","1664.0","a","1.0","7.0"
"0.0","12.0","-6.0","0.0","1.0","101","390.0","1745.0","l","1.0","3.0"
"0.0","11.0","-2.0","1.0","1.0","101","390.0","1502.0","a","1.0","4.5"
"5.0","16.0","0.0","1.0","1.0","102","401.0","2040.0","l","0.0","3.0"
"0.0","11.0","-4.0","1.0","1.0","101","417.0","1995.0","l","0.0","3.5"
"5.0","10.0","0.0","0.0","0.0","102","428.0","2256.0","a","0.0","0.0"
"7.0","16.0","0.0","1.0","1.0","102","433.0","2412.0","a","1.0","1.0"
"0.0","11.0","-3.0","1.0","1.0","101","449.0","1613.0","l","0.0","4.0"
"0.0","11.0","-6.0","0.0","0.0","101","460.0","2110.0","a","0.0","2.5"
"4.0","16.0","0.0","1.0","0.0","102","460.0","1864.0","l","0.0","4.0"
"0.0","15.0","-8.0","0.0","0.0","101","460.0","1972.0","l","1.0","3.5"
"0.0","13.0","-10.0","0.0","0.0","101","460.0","2128.0","a","0.0","1.5"
"3.0","8.0","0.0","1.0","1.0","102","460.0","1930.0","a","1.0","1.0"
"0.0","17.0","-6.0","1.0","1.0","101","468.0","3615.0","l","0.0","5.5"
"7.0","12.0","0.0","1.0","1.0","102","485.0","1905.0","l","0.0","-1.0"
"0.0","12.0","-10.0","0.0","1.0","101","497.0","1819.0","l","1.0","1.0"
"0.0","12.0","-3.0","1.0","0.0","101","497.0","2524.0","a","1.0","4.5"
"5.0","12.0","0.0","1.0","0.0","102","494.0","1884.0","a","1.0","1.0"
"0.0","14.0","-4.0","1.0","0.0","101","494.0","1837.0","a","1.0","5.0"
"0.0","14.0","-10.0","0.0","1.0","101","490.0","1861.0","a","0.0","2.0"
"0.0","15.0","-2.0","1.0","0.0","101","490.0","1568.0","a","1.0","6.5"
"0.0","19.0","-2.0","1.0","0.0","101","488.0","1615.0","l","0.0","8.5"
"5.0","8.0","0.0","0.0","0.0","102","486.0","1796.0","a","0.0","-1.0"
"0.0","12.0","-5.0","0.0","0.0","101","491.0","1796.0","a","0.0","3.5"
"6.0","16.0","0.0","1.0","1.0","102","491.0","2173.0","l","0.0","2.0"
"6.0","12.0","0.0","0.0","1.0","102","507.0","2210.0","a","0.0","0.0"
"0.0","15.0","-4.0","1.0","1.0","101","513.0","1647.0","a","1.0","5.5"
"7.0","14.0","0.0","0.0","0.0","102","528.0","2039.0","a","0.0","0.0"
"3.0","14.0","0.0","1.0","0.0","102","535.0","2153.0","a","1.0","4.0"
"0.0","12.0","-3.0","1.0","1.0","101","535.0","1976.0","l","0.0","4.5"
"5.0","14.0","0.0","1.0","1.0","102","547.0","2514.0","l","0.0","2.0"
"0.0","13.0","-10.0","0.0","0.0","101","561.0","1791.0","a","0.0","1.5"
"0.0","13.0","-5.0","1.0","1.0","101","561.0","2856.0","a","1.0","4.0"
"7.0","10.0","0.0","0.0","0.0","102","574.0","2038.0","l","1.0","-2.0"
