participantsID,a(101),Ter(101),eta(101),z(101),sz(101),st(101),v(101),a(102),Ter(102),eta(102),z(102),sz(102),st(102),v(102),AICc(1),BIC(1),Chi(1),df
00aa64fdcb675341,1.194919e-01,9.432644e-01,2.000000e-01,7.139155e-03,5.380295e-02,9.059999e-01,6.058310e-02,1.196323e-01,1.070069e+00,2.000000e-01,7.155947e-03,5.380295e-02,9.059999e-01,1.267506e-01,8.477697e+02,8.734402e+02,2.978643e+03,9
02535fcf7e16bb56,1.499248e-01,3.489467e-01,2.000000e-01,1.123872e-02,5.690137e-02,4.291171e-01,9.949357e-02,1.029702e-01,6.046467e-01,2.000000e-01,5.301432e-03,5.690137e-02,4.291171e-01,7.773385e-03,1.409159e+03,1.434830e+03,6.809957e+05,9
06c46b112368babf,1.212452e-01,7.314297e-01,2.000000e-01,7.350201e-03,5.990380e-02,5.815026e-01,3.414368e-02,1.449939e-01,5.607983e-01,2.000000e-01,1.051162e-02,5.990380e-02,5.815026e-01,9.561053e-02,1.047706e+03,1.073376e+03,5.603316e+04,9
09ba82a2ca814481,1.193734e-01,1.676718e+00,2.000000e-01,7.124999e-03,5.231802e-02,1.448889e+00,2.027561e-01,1.131512e-01,1.543035e+00,2.000000e-01,6.401594e-03,5.231802e-02,1.448889e+00,-3.583393e-02,2.238555e+03,2.264225e+03,8.737660e+06,9
0abfc32a4d12c731,1.580215e-01,1.049571e+00,2.000000e-01,1.248540e-02,6.550944e-02,9.966744e-01,4.877218e-02,1.331315e-01,1.165261e+00,2.000000e-01,8.862004e-03,6.550944e-02,9.966744e-01,-6.012302e-03,5.752261e+02,6.008967e+02,8.198545e+02,9
0b0a94c202d0b233,1.667805e-01,6.423875e-01,2.000000e-01,1.390787e-02,6.628033e-02,6.538242e-01,2.325005e-02,1.277988e-01,8.105552e-01,2.000000e-01,8.166263e-03,6.628033e-02,6.538242e-01,7.390225e-02,1.353149e+03,1.378534e+03,2.196367e+06,9
0beac20378edac7b,1.248549e-01,6.466166e-01,2.000000e-01,7.794373e-03,6.159484e-02,5.330637e-01,-9.819584e-03,1.488999e-01,5.379695e-01,2.000000e-01,1.108560e-02,6.159484e-02,5.330637e-01,1.847909e-01,9.992657e+02,1.024936e+03,2.221191e+03,9
0d894551bc966608,1.687421e-01,3.259772e-01,2.000000e-01,1.423695e-02,6.766392e-02,3.865174e-01,1.288802e-01,1.319865e-01,5.329504e-01,2.000000e-01,8.710212e-03,6.766392e-02,3.865174e-01,2.068416e-01,1.619925e+03,1.645525e+03,2.279587e+06,9
10d15198ac61a404,1.576028e-01,8.044541e-01,2.000000e-01,1.241933e-02,6.985374e-02,9.179603e-01,4.593311e-02,1.528582e-01,1.235458e+00,2.000000e-01,1.168282e-02,6.985374e-02,9.179603e-01,-9.069152e-02,5.137950e+02,5.394655e+02,6.172244e+02,9
12a096342c4d052f,1.260023e-01,8.541792e-01,2.000000e-01,7.938290e-03,5.197160e-02,7.822926e-01,4.664888e-02,1.049826e-01,8.842487e-01,2.000000e-01,5.510671e-03,5.197160e-02,7.822926e-01,-2.297163e-02,7.459284e+02,7.715989e+02,1.044594e+03,9
13e347e32a454872,9.694627e-02,5.261216e-01,2.000000e-01,4.699290e-03,4.340255e-02,5.071723e-01,-2.538861e-02,9.595394e-02,6.009280e-01,2.000000e-01,4.603580e-03,4.340255e-02,5.071723e-01,7.855558e-02,1.049775e+03,1.075445e+03,2.319827e+03,9
15e0c065b2c11595,1.349422e-01,8.129261e-01,2.000000e-01,9.104700e-03,6.201203e-02,7.445653e-01,-3.067801e-02,1.406668e-01,8.416634e-01,2.000000e-01,9.893578e-03,6.201203e-02,7.445653e-01,4.715356e-02,6.478593e+02,6.735299e+02,7.029743e+02,9
163b12703c8e5c3c,1.529581e-01,9.719181e-01,2.000000e-01,1.169809e-02,6.659248e-02,1.022764e+00,5.038671e-02,1.430085e-01,1.300891e+00,2.000000e-01,1.022572e-02,6.659248e-02,1.022764e+00,-7.314030e-02,5.497236e+02,5.753942e+02,6.459166e+02,9
1bf86ff948486447,1.272290e-01,9.733166e-01,2.000000e-01,8.093611e-03,7.008785e-02,6.512860e-01,-3.590049e-02,1.842725e-01,4.739857e-01,2.000000e-01,1.697818e-02,7.008785e-02,6.512860e-01,1.724649e-01,7.573983e+02,7.830689e+02,3.342023e+03,9
