participantsID,a(101),Ter(101),eta(101),z(101),sz(101),st(101),v(101),a(102),Ter(102),eta(102),z(102),sz(102),st(102),v(102)
00aa64fdcb675341,1.214440e-01,1.473770e+00,4.455536e-05,6.499171e-02,7.555457e-03,1.704191e+00,4.854671e-02,1.214440e-01,1.473770e+00,4.455536e-05,1.204440e-01,1.115965e-06,6.927531e-13,4.854671e-02
02535fcf7e16bb56,1.351864e-01,7.082744e-01,2.525411e-01,1.295970e-01,3.612619e-06,4.376112e-01,-1.503416e-01,1.351864e-01,7.082744e-01,2.525411e-01,1.107013e-01,1.031162e-10,4.145018e-01,-1.503416e-01
06c46b112368babf,1.636699e-01,8.646173e-01,2.077155e-12,8.165178e-02,1.623036e-01,5.760208e-01,4.503409e-02,1.636699e-01,8.646173e-01,2.077155e-12,1.578951e-01,1.054787e-02,7.538865e-01,4.503409e-02
09ba82a2ca814481,2.750825e-01,1.526962e+00,3.968197e-03,2.739196e-01,1.317274e-03,4.177669e-02,5.601756e-01,2.750825e-01,1.526962e+00,3.968197e-03,4.560596e-03,4.684983e-04,3.551590e-01,5.601756e-01
0abfc32a4d12c731,1.669992e-01,1.776504e+00,1.290988e-01,1.173211e-01,5.669244e-02,5.790893e-01,1.761166e-02,1.669992e-01,1.776504e+00,1.290988e-01,6.892217e-02,6.095655e-02,1.016718e+00,1.761166e-02
0b0a94c202d0b233,1.410344e-01,9.611338e-01,5.000000e-01,1.078973e-01,2.631941e-02,4.826601e-01,4.503083e-02,1.410344e-01,9.611338e-01,5.000000e-01,1.243602e-01,3.196670e-02,4.572970e-01,4.503083e-02
0beac20378edac7b,1.120401e-01,8.130580e-01,3.039354e-03,6.073093e-02,1.016183e-01,3.112725e-01,-3.029613e-02,1.120401e-01,8.130580e-01,3.039354e-03,1.110401e-01,6.659384e-11,1.445525e-01,-3.029613e-02
0d894551bc966608,1.629800e-01,7.439700e-01,6.278713e-11,1.394308e-01,9.108288e-03,6.317676e-01,1.169612e+00,1.629800e-01,7.439700e-01,6.278713e-11,1.239838e-01,6.932209e-02,5.218452e-01,1.169612e+00
10d15198ac61a404,8.013751e-02,1.002482e+00,5.198163e-03,7.245159e-02,1.473094e-04,4.978085e-01,-2.518527e-01,8.013751e-02,1.002482e+00,5.198163e-03,8.503877e-04,7.007754e-04,7.100768e-03,-2.518527e-01
12a096342c4d052f,2.296778e-01,8.051940e-01,4.999996e-01,1.925228e-01,4.582441e-03,1.264108e-01,1.289612e-01,2.296778e-01,8.051940e-01,4.999996e-01,1.994370e-02,6.904464e-03,6.480744e-01,1.289612e-01
13e347e32a454872,1.025064e-01,6.580512e-01,1.401660e-01,5.125319e-02,1.015064e-01,4.516995e-01,4.042159e-03,1.025064e-01,6.580512e-01,1.401660e-01,7.411445e-02,1.562110e-03,3.151944e-01,4.042159e-03
15e0c065b2c11595,1.085647e-01,9.684824e-01,4.969090e-01,3.548245e-02,6.922634e-02,5.389648e-01,-1.087014e-02,1.085647e-01,9.684824e-01,4.969090e-01,9.195105e-02,1.003351e-02,2.366603e-09,-1.087014e-02
163b12703c8e5c3c,1.800919e-01,1.218807e+00,4.048747e-01,1.560886e-01,4.624476e-02,1.507888e-04,1.166239e-02,1.800919e-01,1.218807e+00,4.048747e-01,1.409589e-02,2.608519e-02,9.278106e-01,1.166239e-02
1bf86ff948486447,2.258044e-01,8.524330e-01,4.640516e-04,4.777369e-02,1.202628e-03,5.359332e-01,4.198068e-02,2.258044e-01,8.524330e-01,4.640516e-04,2.248044e-01,9.883421e-04,6.668655e-01,4.198068e-02
1cb976bac3a2016b,4.433530e-01,9.149156e-01,2.756779e-01,1.246694e-01,9.151469e-03,3.397065e-01,-2.030957e-02,4.433530e-01,9.149156e-01,2.756779e-01,5.563318e-02,8.283002e-02,6.552436e-01,-2.030957e-02
1ffdcfc59b83c43a,3.639604e-01,9.988452e-01,2.586029e-01,9.879758e-02,8.477340e-02,6.117399e-01,6.555653e-03,3.639604e-01,9.988452e-01,2.586029e-01,1.076929e-01,3.268301e-02,2.144145e-03,6.555653e-03
