participantsID,a,Ter,eta,z,sz,st,v
00aa64fdcb675341,1.303093e-01,1.093446e+00,1.746753e-01,8.580788e-02,4.893643e-02,7.547436e-01,3.891842e-02
02535fcf7e16bb56,1.123816e-01,6.869360e-01,1.861244e-01,1.012575e-01,2.124807e-02,4.079946e-01,-4.147822e-02
06c46b112368babf,1.406261e-01,8.095958e-01,8.188953e-02,6.942062e-02,1.084339e-01,5.011205e-01,4.751955e-02
09ba82a2ca814481,8.456850e-02,1.305338e+00,1.670318e-02,7.803670e-02,1.199612e-04,9.965640e-01,2.366069e+00
0abfc32a4d12c731,1.718349e-01,1.500781e+00,1.831448e-01,1.168011e-01,5.836360e-02,6.712761e-01,4.707223e-02
0b0a94c202d0b233,1.745183e-01,8.399719e-01,2.676527e-01,1.145265e-01,7.579818e-02,3.085187e-01,2.443427e-02
0beac20378edac7b,1.372791e-01,7.560597e-01,2.706568e-01,1.050149e-01,1.418779e-02,1.560994e-01,-1.457800e-01
0d894551bc966608,1.473486e-01,7.617003e-01,7.576945e-02,1.446682e-01,4.121695e-06,6.317915e-01,1.120889e+00
10d15198ac61a404,1.295682e-01,9.010465e-01,1.904836e-01,8.150502e-02,8.140066e-02,4.119629e-01,5.308539e-02
12a096342c4d052f,1.804391e-01,9.159686e-01,2.376405e-01,1.370243e-01,7.681575e-02,4.794637e-01,-4.713675e-03
13e347e32a454872,1.168270e-01,7.180702e-01,2.181778e-09,1.130431e-01,6.567777e-03,5.178694e-01,-1.229961e+00
15e0c065b2c11595,1.016018e-01,9.253810e-01,2.832949e-01,3.983352e-02,6.310037e-02,4.484033e-01,-2.637913e-02
163b12703c8e5c3c,1.593400e-01,1.335860e+00,1.649215e-01,9.860633e-02,6.562351e-02,6.243529e-01,5.888754e-02
1bf86ff948486447,3.550437e-01,1.130854e+00,4.271372e-01,2.954812e-02,3.717860e-02,9.819516e-01,1.230460e-02
1cb976bac3a2016b,1.720587e-01,1.098593e+00,2.062601e-01,8.172406e-02,6.911201e-02,6.129132e-01,-5.036696e-03
1ffdcfc59b83c43a,2.267998e-01,8.842592e-01,2.104168e-01,9.328714e-02,5.258672e-02,2.196614e-01,3.299145e-04
221e9f16c114b2c0,1.133337e-01,1.012451e+00,2.530914e-01,8.319347e-02,5.427673e-02,6.423707e-01,4.693095e-02
22d84796012679e8,1.815986e-01,1.360151e+00,1.549206e-04,1.805765e-01,6.448064e-05,3.816700e-01,9.742525e-01
247384e4eccc4f80,1.670065e-01,6.631933e-01,2.722204e-01,4.316936e-02,4.863985e-02,1.665142e-01,-1.808550e-02
2737c4b829b3018f,1.286297e-01,6.178986e-01,3.089712e-01,6.550193e-02,5.205482e-02,1.242281e-01,-1.344916e-01
27902f23b60a7b76,1.457324e-01,1.447147e+00,1.722652e-01,6.753855e-02,5.538325e-02,6.155345e-01,-9.649113e-03
279cd1540fc8f71f,1.861697e-01,4.738506e-01,1.533908e-07,1.237084e-01,1.239226e-01,2.332737e-01,5.378612e-02
296a71628065dfa8,1.256076e-01,1.743966e+00,2.030332e-01,6.087239e-02,5.432978e-02,1.428509e+00,-6.832473e-03
2a531595d6ab08c8,1.663400e-01,8.115102e-01,1.170975e-01,1.007211e-01,1.006338e-01,2.354217e-01,-9.987006e-03
2adc46a1bfc70679,4.029780e-01,1.145603e+00,2.572643e-01,4.104582e-02,6.915007e-02,1.042617e+00,1.526224e-02
322d6276c00056e7,1.201827e-01,7.612024e-01,1.472934e-01,8.903918e-02,6.105886e-02,1.399243e-01,2.214304e-02
371fb6652968f25f,3.196156e-01,7.709190e-01,1.332099e-02,2.656646e-01,7.813054e-02,3.331903e-02,6.059746e-01
3ddf191ed8c33c57,2.320164e-01,8.120152e-01,3.348675e-01,1.906427e-01,3.790637e-02,1.885042e-01,4.853604e-02
414f1040212a659b,1.249786e-01,7.637017e-01,2.376714e-01,8.623831e-02,5.308296e-02,1.447090e-01,9.204217e-03
46099f8b742520b0,9.159738e-02,7.398853e-01,2.772004e-01,6.259887e-02,3.503437e-02,2.921931e-01,7.871714e-02
46fd6e0b3b5c1df3,4.437091e-01,5.645716e-01,2.876529e-02,3.394615e-01,1.739809e-01,1.841837e-01,5.671547e-01
4866612e834a9f5a,2.522172e-01,6.148925e-01,3.974367e-01,1.582497e-01,1.609103e-01,3.991908e-01,-1.737114e-01
49c4e664cf02d362,4.103353e-01,7.914977e-01,2.080057e-01,4.618018e-02,4.990601e-02,3.526995e-01,-3.227328e-02
4a43f99c56b2a634,8.310795e-02,8.897920e-01,2.191292e-01,4.090786e-02,2.691941e-02,3.838038e-01,-8.325058e-02
4a6bf10e80304920,4.224436e-01,4.497406e-01,4.756795e-01,2.655711e-01,3.085748e-01,5.005188e-01,-1.113343e-01
4dee88b397c3bbf4,3.414572e-01,1.581775e+00,3.725063e-02,3.094203e-01,3.535317e-02,1.780867e+00,-5.460885e-02
4e3de1ed1c0d6103,3.442946e-01,3.869307e-01,3.655874e-01,2.265134e-01,1.483881e-01,2.495016e-01,-4.758358e-01
52abc657a668b04e,1.594180e-01,8.098728e-01,2.280417e-01,1.193367e-01,1.801383e-02,2.725516e-01,2.349471e-02
5497867d4afb5993,2.000000e+00,5.730215e-01,1.060000e-01,2.081585e-02,4.063171e-02,3.880431e-01,-2.692687e-01
5696a26f6b865ccb,1.390134e-01,8.449202e-01,2.344564e-01,1.287797e-01,1.946746e-02,6.896965e-01,-6.065272e-02
582ab220066afebc,1.467520e-01,1.513556e+00,1.843412e-01,8.940098e-02,5.988559e-02,9.569828e-01,3.214701e-02
5b92bfe31aef1ef9,1.553780e-01,7.200479e-01,2.089958e-01,7.107857e-02,7.041397e-02,2.470836e-01,-2.590268e-01
61dce9b56e969395,3.203029e-01,8.270382e-01,4.897280e-01,2.650165e-01,5.266361e-02,4.649486e-01,4.974711e-02
6246f3d78ae6b481,1.666340e-01,9.472504e-01,2.473168e-01,1.136289e-01,5.601132e-02,5.292153e-01,4.239932e-03
6ac61d4f76c3add5,1.452324e-01,7.269636e-01,1.342862e-01,5.023537e-02,9.947073e-02,5.105715e-01,-7.396341e-02
6b1327cc38c17c20,1.436288e-01,9.860597e-01,2.696976e-01,4.193650e-02,4.722338e-02,4.041632e-01,-1.079816e-01
6d04498f5bb2aefc,1.004271e-01,1.187935e+00,1.878828e-01,5.380005e-02,4.499870e-02,7.595058e-01,2.312410e-02
6dcbb2d2c8c4d46a,1.305576e-01,7.816242e-01,1.123852e-01,6.101578e-02,1.106235e-01,2.547623e-01,5.500615e-02
6df05dd94d8d774d,3.587679e-01,9.152354e-01,2.125261e-01,2.885606e-02,4.426243e-02,5.498759e-01,-3.720094e-02
6e0c43d93a4a361e,3.906952e-01,5.307064e-01,4.200554e-01,1.629916e-01,2.047062e-01,3.977388e-01,2.254659e-01
6ece121c0867568c,3.295250e-01,7.951848e-01,3.277119e-03,3.212488e-01,1.191440e-02,1.003739e-02,-9.420062e-02
739442e141b9639a,1.266450e-01,6.568919e-01,5.298792e-02,7.351031e-02,4.887320e-02,6.852167e-02,-1.308315e-01
74dc2bc1712979fe,4.647103e-01,7.222271e-01,2.093239e-01,7.158370e-02,2.004144e-02,2.799955e-01,-4.355428e-02
75da8965ce4f9b28,1.019220e-01,9.692986e-01,1.518469e-01,5.291008e-02,4.733177e-02,5.437016e-01,-8.740821e-02
77d9b25715656b19,2.312682e-01,5.573380e-01,1.947632e-01,1.234402e-01,5.384769e-02,3.228510e-03,-1.190693e-02
7e158eee0bbe3c33,1.436720e-01,1.404637e+00,1.802737e-01,9.319195e-02,6.032191e-02,6.344551e-01,4.607391e-02
819c4ba6a036130b,3.393495e-01,5.668862e-01,5.000000e-01,2.586671e-01,1.603647e-01,3.443013e-01,-1.866269e-01
820fed1432e2cffc,3.543268e-01,8.428690e-01,6.548943e-02,2.661646e-01,1.249686e-01,1.764939e-01,7.498011e-01
8364d0796dcecadf,1.817708e-01,1.400092e+00,1.295392e-03,1.797591e-01,4.754175e-05,2.295751e-01,9.865999e-01
84397dc336c286b4,2.381939e-01,1.336371e+00,3.531298e-01,2.216984e-01,3.950236e-04,1.443047e+00,-1.712485e-01
865f30c3abd2af67,1.332580e-01,7.560891e-01,3.499980e-01,9.380710e-02,7.264014e-02,1.285188e-01,5.130817e-02
88316d88dd9fdbf7,1.738344e-01,1.328083e+00,1.537743e-01,1.030224e-01,6.425416e-02,5.021391e-01,4.908625e-02
88586c741f59e4d3,1.991670e-01,9.952400e-01,6.499048e-02,1.162393e-01,1.648554e-01,9.738797e-01,3.415904e-02
8b79e9cd1e3a58e9,2.987049e-01,1.110629e+00,6.728852e-03,2.814977e-01,3.341431e-02,6.809272e-01,-1.229878e-01
8e3374a0d50454e0,1.021979e-01,8.007537e-01,2.884101e-01,6.760856e-02,6.667992e-02,9.902368e-02,4.223338e-03
8e531917bed03e00,1.766999e-01,1.636554e+00,9.571600e-02,8.618882e-02,5.857070e-02,6.789209e-01,8.232972e-02
946fca84b1d53bed,9.618984e-02,1.172709e+00,1.731801e-01,4.606183e-02,6.935334e-02,9.462343e-01,-8.867179e-03
96b09fe2762bafab,3.198344e-01,6.342536e-01,2.036774e-01,1.001000e-01,7.722259e-02,3.523883e-01,-1.269561e-01
99bca86575635ced,8.250116e-02,9.099762e-01,1.262558e-01,3.705992e-02,7.194956e-02,4.939639e-01,-5.786109e-02
9d781c40d36055b2,1.344552e-01,7.921817e-01,3.908221e-01,1.103135e-01,2.751641e-02,2.244463e-01,1.608389e-01
9e5ca4f7d45dda1b,3.986339e-01,1.001870e+00,2.252051e-01,4.330810e-02,7.877274e-02,7.739563e-01,-9.886139e-02
9ead7cfe118211af,1.397940e-01,1.017103e+00,2.403084e-01,1.171361e-01,6.252645e-04,6.876074e-01,-2.214535e-03
a0891b37b5b5d79d,1.444582e-01,7.619883e-01,2.532599e-01,9.874452e-02,7.298245e-02,1.471790e-01,-1.208561e-01
a0b880b91c2982dc,4.068109e-01,9.836464e-01,1.239531e-01,3.719893e-01,3.926105e-08,5.748661e-01,-4.787841e-02
a751959dd7084c7b,5.032898e-01,2.467059e+00,1.307625e-01,4.691243e-01,3.790568e-09,3.673767e+00,-9.490578e-03
a7ef69324e55dcf3,2.224533e-01,7.877802e-01,2.578915e-11,1.538845e-01,1.361376e-01,6.655014e-01,5.179028e-02
ab06a32c33b7c594,2.207411e-01,8.016796e-01,2.594262e-01,1.871196e-01,1.099122e-03,3.082806e-01,2.396591e-02
ab652d1792ba579f,1.015546e-01,1.394349e+00,1.582348e-01,7.161331e-02,4.865349e-02,6.258840e-01,7.921985e-02
ab7c01f6e1ec753a,1.648531e-01,9.575162e-01,2.256730e-01,4.987663e-02,8.770813e-02,3.408655e-01,-7.148201e-02
adb5486de57c1af0,1.127469e-01,1.126343e+00,1.479932e-01,7.739771e-02,6.705126e-02,8.514574e-01,9.143602e-02
ae4cf4947761ad3f,1.461873e-01,9.537965e-01,1.714981e-01,9.218971e-02,1.054139e-01,4.902948e-01,8.643041e-02
af8390dd2a780433,1.058363e-01,1.113422e+00,2.327636e-01,4.738776e-02,6.917975e-02,6.206529e-01,-1.808527e-02
b8d6cea15a548aa9,1.837130e-01,7.624366e-01,1.229023e-01,1.381963e-01,7.042087e-02,1.853560e-01,6.835190e-02
bc688588712e0329,1.704099e-01,1.706513e+00,1.880753e-01,6.670535e-02,5.865674e-02,1.180239e+00,-3.106551e-02
bd2adbff911d558e,2.903958e-01,8.303463e-01,1.616251e-07,2.745861e-01,2.583028e-02,1.063909e-01,-1.154774e-01
c00c5c68db223d0f,2.747003e-01,8.604412e-01,2.523488e-01,2.025625e-01,7.179166e-02,4.476377e-01,-5.482342e-02
c012de0ccb49819f,1.679486e-01,5.693763e-01,2.221544e-01,8.335157e-02,8.364882e-02,5.146570e-01,-1.761487e-01
c4ea8a11570e9599,1.343408e-01,8.395079e-01,2.391192e-01,5.172192e-02,5.107596e-02,4.981301e-01,-3.623936e-02
c79644ab153c0a48,1.091136e-01,6.992471e-01,3.145860e-01,8.497043e-02,4.728627e-02,3.958619e-01,-1.054629e-01
c7ddb07dc740f9c1,3.488018e-01,1.894163e+00,3.666307e-02,3.188161e-01,2.870769e-02,2.438735e+00,-5.374052e-02
c893ddb5f65f1a1c,1.561375e-01,1.418543e+00,1.615723e-01,9.388707e-02,6.724531e-02,4.156545e-01,2.427913e-02
ce134a9a9b3122a0,1.921428e-01,4.889575e-01,3.332429e-01,1.009717e-01,1.813422e-01,5.273883e-01,3.572249e-01
d2bdb6ae89eb8aca,9.650182e-02,1.172625e+00,2.050902e-01,4.895211e-02,8.947951e-02,7.347526e-01,2.925849e-03
d335e83ad7f741bf,1.150232e-01,8.745296e-01,3.142568e-01,6.256028e-02,8.128170e-02,9.602069e-02,8.180114e-03
d33cbb234efa4296,1.789772e-01,1.084768e+00,1.010038e-01,1.765838e-01,3.515006e-03,6.484599e-01,1.087338e+00
d53b11bcaa0a2095,3.207690e-01,7.650561e-01,3.415796e-02,1.970277e-01,1.717870e-01,6.356784e-01,1.143683e+00
d794e2c3b9ab247f,1.267417e-01,6.613273e-01,2.455535e-01,7.816301e-02,5.051498e-02,2.022338e-01,1.119160e-02
d9a79bcfee67b028,1.049659e-01,7.340864e-01,3.067452e-01,7.688053e-02,2.426810e-02,6.738069e-02,4.924656e-02
dfbeb23c419b6979,1.447943e-01,8.850858e-01,3.126531e-01,9.737750e-02,6.605172e-02,3.906375e-01,2.139753e-02
e03130e76a547e00,2.133639e-01,1.031586e+00,8.779959e-02,2.103318e-01,5.039196e-03,7.173773e-01,8.956997e-01
e0da73d8b215a4e9,9.895227e-02,9.357588e-01,2.098312e-01,4.432629e-02,8.750465e-02,4.728182e-01,-4.714791e-02
e35e2512791cd931,1.894787e-01,1.355595e+00,6.795496e-09,1.856632e-01,6.525835e-03,1.873190e+00,-3.618608e-01
e46f1f873f43128b,1.151418e-01,8.450804e-01,1.432712e-01,5.737674e-02,5.184959e-02,5.501934e-01,-7.238708e-02
e7d525b0fc295332,1.118707e-01,9.400862e-01,3.454838e-02,1.094070e-01,2.313901e-06,5.045066e-01,1.364870e+00
e9ca70bcef834214,1.418240e-01,1.175539e+00,2.095546e-01,2.918608e-02,5.737210e-02,7.939764e-01,-1.487774e-01
ec9403432374ee06,1.659708e-01,1.055585e+00,2.589912e-01,6.377369e-02,7.458519e-02,5.318418e-01,-4.094381e-02
ed3ee15cd6ecee51,1.543574e-01,9.353774e-01,2.682354e-01,4.834018e-02,5.415465e-02,3.006787e-01,-5.397056e-02
efbc4b723940e000,1.360885e-01,1.238366e+00,2.265314e-01,4.045305e-02,5.830907e-02,9.000036e-01,-5.082593e-02
efe8a903afdceede,2.159776e-01,1.461987e+00,1.532241e-01,6.260572e-02,8.325126e-02,1.282391e+00,-8.442997e-02
f1de714332531aa5,3.842713e-01,7.508754e-01,2.786607e-02,3.581701e-01,7.677540e-03,9.094082e-02,-2.834687e-02
f205d1277e6ea6b4,1.461240e-01,1.726006e+00,1.950250e-01,9.445554e-02,5.664994e-02,6.686132e-01,2.687161e-02
f39ae9088896b47f,5.602636e-01,5.229994e-01,2.870111e-01,1.999733e-01,3.296490e-01,8.896584e-01,1.580228e-01
f98444c434d40f8b,1.299398e-01,7.504613e-01,4.153541e-02,1.086694e-01,4.772188e-04,2.650515e-01,1.392329e+00
fc7ef2c5b91399c2,3.210181e-01,6.849026e-01,3.824074e-01,1.362868e-01,2.317115e-01,4.591330e-01,-1.568705e-01
ff1d7a9a28686c2b,1.554238e-01,1.167319e+00,2.037533e-01,7.697737e-02,7.986517e-02,7.420680e-01,-1.528673e-03
