participantsID,a,Ter,eta,z,sz,st,v
00aa64fdcb675341,1.084036e-01,1.169091e+00,1.865047e-01,7.143172e-02,5.244934e-02,8.427237e-01,7.450907e-02
02535fcf7e16bb56,1.463245e-01,6.447036e-01,2.338867e-01,1.128548e-01,6.593935e-02,3.434026e-01,2.755146e-02
06c46b112368babf,1.525481e-01,6.382610e-01,1.153354e-07,8.766770e-02,7.905421e-05,4.690034e-01,2.612305e-02
09ba82a2ca814481,8.786459e-02,1.804276e+00,2.011785e-01,5.685970e-02,4.777817e-02,1.474767e+00,1.067810e-01
0abfc32a4d12c731,1.561666e-01,1.772380e+00,1.506974e-01,9.581156e-02,5.147992e-02,8.916394e-01,1.988084e-02
0b0a94c202d0b233,1.437651e-01,9.336527e-01,2.858177e-01,9.929983e-02,7.353932e-02,4.894247e-01,3.167748e-02
0beac20378edac7b,1.673185e-01,6.878725e-01,3.069704e-01,1.056849e-01,6.051430e-02,8.530831e-05,7.882640e-02
0d894551bc966608,4.430137e-01,5.022642e-01,7.860861e-04,4.055964e-01,4.865511e-02,1.165908e-01,-1.152472e-03
10d15198ac61a404,1.956531e-01,9.239551e-01,5.000000e-01,1.295148e-01,4.083187e-03,5.364073e-01,8.756724e-04
12a096342c4d052f,1.045526e-01,1.220516e+00,1.296469e-02,1.014473e-02,1.928946e-02,1.389579e+00,4.951676e-01
