participantsID,a,Ter,eta,z,sz,st,v,AICc(5),BIC(5),Chi(5),df
00aa64fdcb675341,6.137506e-01,9.034901e-01,4.190055e-01,1.883538e-01,1.176937e-09,7.964331e-01,2.312034e-01,2.224222e+02,2.426027e+02,1.185173e-01,7
02535fcf7e16bb56,7.465617e-01,1.875057e-01,4.991152e-01,2.786772e-01,2.461980e-06,1.693955e-01,2.556336e-01,5.220056e+02,5.421861e+02,1.057438e+02,7
06c46b112368babf,1.525473e-01,6.382678e-01,2.333051e-05,8.766698e-02,8.417888e-08,4.690242e-01,2.612315e-02,3.867429e+02,4.069234e+02,6.476535e-01,7
09ba82a2ca814481,3.226073e-01,1.061047e+00,2.718049e-01,5.203775e-02,4.037216e-05,6.945635e-03,2.553713e-01,1.834126e+02,2.035931e+02,1.480000e-02,7
0abfc32a4d12c731,1.943643e+00,1.129456e+00,2.054576e-01,1.888875e+00,4.637819e-07,6.107033e-01,-4.591368e-03,2.120906e+02,2.322710e+02,1.480000e-02,7
0b0a94c202d0b233,7.562838e-01,3.913245e-01,2.544233e-01,2.919956e-01,1.760865e-03,6.508873e-01,-2.886744e-02,3.034468e+02,3.234120e+02,1.263796e+01,7
0beac20378edac7b,1.612652e-01,7.339147e-01,4.594776e-01,1.134192e-01,4.218848e-02,1.054547e-01,1.221447e-01,4.032631e+02,4.234436e+02,1.184000e-02,7
0d894551bc966608,6.969527e-01,1.341352e-01,4.151088e-01,2.440956e-01,1.630221e-02,7.142427e-09,6.048229e-01,3.558420e+02,3.759692e+02,8.907694e+05,7
10d15198ac61a404,9.710276e-02,1.181612e+00,2.729260e-01,7.437768e-02,2.144228e-02,9.834608e-01,-1.571008e-01,3.092282e+02,3.294087e+02,1.184000e-02,7
12a096342c4d052f,4.580721e-01,8.589558e-01,4.472176e-01,5.206043e-02,2.755158e-03,8.001211e-01,2.307543e-01,3.874671e+02,4.076476e+02,7.323335e+00,7
13e347e32a454872,1.985526e-01,7.528957e-01,2.637575e-08,1.971966e-01,5.614640e-13,5.602400e-01,-2.409157e+00,5.101977e+02,5.303782e+02,1.142542e+00,7
15e0c065b2c11595,4.142561e-01,7.970267e-01,3.103051e-01,8.723576e-02,2.559537e-03,3.596694e-02,3.308670e-03,3.252591e+02,3.454396e+02,7.259045e-02,7
163b12703c8e5c3c,4.839051e-01,8.855275e-01,4.992327e-01,1.171919e-01,3.666317e-02,2.132591e-01,3.454939e-02,2.692623e+02,2.894428e+02,1.016394e+00,7
1bf86ff948486447,9.332638e-01,5.024450e-01,4.996569e-01,4.184547e-01,3.975492e-01,9.951043e-01,-9.174409e-03,1.480000e+01,3.498049e+01,1.860622e+46,7
1cb976bac3a2016b,3.337155e-01,1.132000e+00,1.397711e-01,5.584847e-02,8.936718e-02,1.047890e+00,6.777423e-02,2.933974e+02,3.135779e+02,1.184002e-02,7
1ffdcfc59b83c43a,4.062091e-01,9.592107e-01,3.150929e-01,8.250293e-02,7.185034e-03,2.443223e-01,1.707036e-03,2.510935e+02,2.712740e+02,1.332000e-02,7
221e9f16c114b2c0,1.030697e+00,5.123122e-01,4.999808e-01,5.058966e-01,1.262136e-02,9.753756e-01,2.562484e-03,1.990270e+02,2.192075e+02,2.682771e+38,7
22d84796012679e8,5.337192e-01,1.329172e+00,4.259007e-01,1.424281e-01,3.151545e-03,1.597277e-02,3.390556e-01,1.456490e+02,1.657763e+02,1.470000e-02,7
247384e4eccc4f80,1.047481e-01,8.589399e-01,4.657460e-01,5.486078e-03,1.213927e-06,4.786507e-01,6.902401e-01,4.209736e+02,4.411541e+02,1.036000e-02,7
2737c4b829b3018f,1.563090e-03,8.304724e-01,6.526085e-05,5.630899e-04,8.909248e-13,4.893638e-01,1.781404e+00,4.614720e+02,4.816525e+02,1.021392e+00,7
27902f23b60a7b76,1.950026e+00,1.287868e+01,3.536087e-01,1.901301e+00,9.476515e-03,7.149443e-01,-7.936363e-02,2.410598e+02,2.612402e+02,6.736972e+02,7
279cd1540fc8f71f,6.421700e-01,2.092430e-01,4.634106e-01,3.643196e-01,9.606533e-08,7.795853e-02,2.389664e-01,4.808111e+02,5.009916e+02,6.451530e+00,7
296a71628065dfa8,3.599377e-01,1.870669e+00,4.620226e-01,6.477758e-02,2.355322e-03,2.641339e-02,-5.234623e-03,2.197283e+02,2.399087e+02,1.480000e-02,7
2a531595d6ab08c8,1.353295e+00,5.101686e-01,4.925770e-01,7.906768e-01,4.341540e-01,9.645116e-01,-2.694664e-03,1.482228e+01,3.500276e+01,2.465735e+79,7
2adc46a1bfc70679,1.462263e-01,1.322593e+00,4.861780e-01,1.069106e-02,9.288278e-03,1.394602e+00,3.182687e-01,3.366819e+02,3.568624e+02,1.036000e-02,7
322d6276c00056e7,3.781223e-03,9.660947e-01,4.796087e-01,2.781223e-03,3.587224e-08,6.004168e-01,2.163270e-01,3.759292e+02,3.961097e+02,7.223312e+00,7
371fb6652968f25f,1.230005e+00,1.369241e-01,4.153335e-02,6.616142e-01,4.665522e-01,2.504213e-03,5.735882e-01,1.296383e+02,1.497656e+02,5.600007e-03,7
3ddf191ed8c33c57,2.649946e-01,8.053649e-01,4.998578e-01,2.171975e-01,2.805472e-05,3.892712e-01,1.554236e-01,3.357561e+02,3.559365e+02,1.184003e-02,7
414f1040212a659b,8.671095e-03,1.070515e+00,9.075553e-11,9.939381e-04,1.559432e-07,7.430309e-01,4.877511e+00,3.745655e+02,3.947459e+02,2.572941e+00,7
46099f8b742520b0,2.044469e-03,8.882683e-01,2.764072e-03,1.044469e-03,1.196399e-13,4.244706e-01,2.637143e+00,4.176405e+02,4.378210e+02,7.703645e+00,7
46fd6e0b3b5c1df3,5.658113e-01,2.554760e-01,4.407538e-01,1.815715e-01,1.667981e-01,1.334290e-01,5.831900e-01,3.751462e+02,3.953267e+02,1.381154e+21,7
4866612e834a9f5a,2.355500e-03,1.016905e+00,6.003937e-10,5.502391e-04,7.426502e-14,1.011267e+00,5.000000e+00,4.398868e+02,4.595732e+02,8.940841e+00,7
49c4e664cf02d362,4.285494e-01,5.152020e-01,4.397091e-01,2.091097e-01,9.521110e-02,5.634853e-01,-1.202595e-01,4.250977e+02,4.452782e+02,3.147626e+01,7
4a43f99c56b2a634,1.063338e+00,2.174031e-01,4.896101e-01,5.740408e-01,4.878590e-01,1.841561e-01,-4.334772e-02,3.724205e+02,3.926010e+02,4.155831e+52,7
4a6bf10e80304920,4.160370e-02,9.020925e-01,5.000000e-01,8.675361e-04,9.494599e-05,1.236833e+00,5.000000e+00,5.717078e+02,5.918351e+02,2.177983e+01,7
4dee88b397c3bbf4,4.374529e-01,1.155202e+00,8.845717e-02,2.072122e-01,4.134244e-01,1.199873e+00,6.036042e-02,2.446257e+02,2.648062e+02,9.581072e-02,7
4e3de1ed1c0d6103,1.330306e-01,8.173853e-01,5.000000e-01,6.241843e-03,5.168887e-03,6.036222e-01,2.289256e-02,5.067024e+02,5.268296e+02,6.923344e+02,7
52abc657a668b04e,2.407316e-02,1.574084e+00,8.381733e-02,1.276894e-03,2.333799e-11,1.750168e+00,4.169610e+00,3.006322e+02,3.208127e+02,6.591577e-01,7
5497867d4afb5993,1.037086e-01,5.665644e-01,3.922121e-01,2.866876e-02,5.633753e-02,3.495207e-01,-2.262431e-01,5.390917e+02,5.592721e+02,1.808065e-01,7
5696a26f6b865ccb,6.126253e-01,3.074771e-01,4.299501e-01,3.432823e-01,5.160597e-03,1.327177e-04,2.530406e-01,3.596352e+02,3.798157e+02,3.265262e+02,7
582ab220066afebc,1.951727e+00,1.893098e+01,3.722073e-01,1.903107e+00,4.419712e-02,1.702378e+01,6.055659e-02,2.120906e+02,2.322710e+02,1.480000e-02,7
5b92bfe31aef1ef9,3.411140e-01,7.130788e-01,4.917120e-01,7.630030e-02,1.023880e-03,4.300997e-01,4.326566e-02,4.172809e+02,4.374614e+02,3.539744e+01,7
61dce9b56e969395,7.357179e-01,4.072453e-01,4.644859e-01,2.706404e-01,7.040445e-04,7.855005e-01,1.217118e-01,1.481124e+01,3.499173e+01,5.952608e+28,7
6246f3d78ae6b481,5.717718e-01,1.090800e+00,4.200620e-01,1.709699e-01,3.215533e-03,1.065966e+00,-2.636819e-02,2.679606e+02,2.881411e+02,1.211688e+01,7
6ac61d4f76c3add5,5.788395e-02,8.559521e-01,4.950869e-02,2.127597e-02,4.155195e-02,7.132111e-01,6.515365e-02,4.922281e+02,5.124085e+02,6.891146e-01,7
6b1327cc38c17c20,2.275141e-01,9.653361e-01,3.443525e-01,2.588134e-02,1.907710e-03,2.066757e-01,-5.217892e-02,3.263843e+02,3.465648e+02,1.332000e-02,7
6d04498f5bb2aefc,5.583285e-01,7.601042e-01,2.485895e-01,1.567389e-01,1.429944e-01,1.297552e-01,4.942404e-02,2.663668e+02,2.865473e+02,1.921663e+00,7
6dcbb2d2c8c4d46a,1.032203e-01,8.269048e-01,5.238047e-03,5.160997e-02,4.765877e-02,4.198166e-01,4.001005e-02,3.633157e+02,3.834962e+02,1.036000e-02,7
6df05dd94d8d774d,2.855459e-01,7.390740e-01,1.325584e-02,4.068637e-02,3.831913e-02,2.943055e-01,6.412267e-03,3.589586e+02,3.791391e+02,1.184001e-02,7
6e0c43d93a4a361e,4.251251e-01,4.862714e-01,4.982907e-01,9.036569e-02,2.557016e-05,6.183090e-01,2.679049e-01,1.504078e+01,3.522127e+01,1458090210686414080,7
6ece121c0867568c,9.590256e-01,4.121815e-01,4.694811e-01,5.227530e-01,7.571719e-05,7.723164e-01,2.306183e-01,2.940895e+01,4.958944e+01,7.437314e+27,7
739442e141b9639a,2.606173e-02,9.545634e-01,4.929609e-01,5.000000e-04,1.020402e-28,5.341522e-01,4.375822e+00,4.323988e+02,4.525793e+02,1.497779e+01,7
74dc2bc1712979fe,3.970923e-01,7.524883e-01,1.085544e-01,6.271006e-02,1.066568e-01,2.620554e-01,3.982543e-02,3.567500e+02,3.769305e+02,1.184000e-02,7
75da8965ce4f9b28,1.045636e-01,1.297082e+00,4.640054e-01,5.466771e-03,1.298454e-06,1.237161e+00,5.011284e-01,3.297863e+02,3.499136e+02,1.029000e-02,7
77d9b25715656b19,1.026304e-02,1.050515e+00,4.610871e-10,8.304755e-04,1.488899e-24,7.724858e-01,5.000000e+00,4.042231e+02,4.243504e+02,1.753177e+00,7
7e158eee0bbe3c33,1.007982e+00,9.103040e-01,1.725178e-01,8.708740e-01,2.688684e-01,2.749996e-02,5.171308e-02,1.984109e+02,2.185914e+02,1.789629e-01,7
819c4ba6a036130b,1.581610e-03,8.937362e-01,2.542123e-18,5.816096e-04,1.301773e-16,7.592624e-01,4.886559e+00,5.011163e+02,5.212968e+02,6.840685e+02,7
820fed1432e2cffc,1.986520e+00,3.185065e+00,3.606217e-01,1.973131e+00,1.000343e-05,1.181620e-04,-1.354934e-02,2.058426e+02,2.260231e+02,6.736972e+02,7
8364d0796dcecadf,3.781496e-01,1.599935e+00,3.638714e-02,7.149857e-02,3.461445e-03,8.320482e-01,1.529296e-01,1.282546e+02,1.484350e+02,1.480000e-02,7
84397dc336c286b4,2.479620e-01,1.612352e+00,4.856591e-01,2.317232e-01,1.402733e-02,1.995358e+00,-7.347720e-03,2.617547e+02,2.819352e+02,1.184000e-02,7
865f30c3abd2af67,5.057664e-01,4.485617e-01,4.759522e-01,1.278998e-01,1.632034e-06,6.998870e-01,4.536289e-02,1.487070e+01,3.505118e+01,8.488414e+19,7
