participantsID,a(101),Ter(101),eta(101),z(101),sz(101),st(101),v(101),a(102),Ter(102),eta(102),z(102),sz(102),st(102),v(102),AICc(1),BIC(1),Chi(1),df
00aa64fdcb675341,1.146850e+00,8.256693e-01,2.230728e-03,7.777632e-01,4.017711e-02,3.274768e-03,2.620427e-01,1.109251e+00,1.262672e+00,2.253045e-03,1.089844e+00,6.352022e-03,1.285506e-01,1.660263e-01,3.115789e+01,6.996097e+01,6.610920e-02,14
02535fcf7e16bb56,1.935947e+00,2.621912e-03,3.917101e-03,8.951333e-01,1.331914e-01,4.049660e-03,1.599411e-01,9.458186e-01,6.665756e-01,3.448642e-03,4.360342e-01,1.469015e-03,3.234235e-01,3.111027e-01,3.115789e+01,6.996097e+01,1.016984e-02,14
06c46b112368babf,6.694947e-01,1.032201e+00,6.227232e-04,5.809391e-01,8.295628e-03,3.081865e-01,3.544726e-01,1.405514e+00,9.166516e-01,1.835739e-03,1.272449e+00,5.201411e-02,6.873544e-03,1.611146e-01,3.115789e+01,6.996097e+01,1.183541e-02,14
09ba82a2ca814481,1.569709e+00,1.373995e-01,2.954538e-03,8.477352e-01,2.445752e-02,1.573016e-01,2.196711e-01,5.972404e-01,1.328868e+00,4.872101e-03,5.687550e-01,2.428894e-02,6.042861e-01,3.253411e-01,3.115789e+01,6.996097e+01,9.957143e-02,14
0abfc32a4d12c731,1.927264e+00,3.857231e-01,5.409788e-03,9.969311e-01,5.039076e-01,4.478595e-02,1.723246e-01,1.537021e+00,4.500308e-01,1.072091e-03,7.978351e-01,4.747927e-01,2.367768e-01,2.203847e-01,3.115789e+01,6.996097e+01,6.610920e-02,14
0b0a94c202d0b233,4.046597e-01,9.228557e-01,3.830903e-03,3.565406e-01,7.288381e-02,1.380276e-01,5.001802e-01,1.495706e+00,6.104464e-01,4.444522e-03,9.975699e-01,2.567453e-01,2.003435e-02,1.815466e-01,3.115789e+01,6.996097e+01,1.016984e-02,14
0beac20378edac7b,1.383923e+00,1.439700e-01,2.290324e-03,5.970316e-01,1.283407e-01,5.417510e-03,2.984826e-01,1.757497e+00,6.387384e-02,2.680019e-04,6.852138e-01,7.652740e-02,1.243981e-01,2.399345e-01,3.115789e+01,6.996097e+01,2.199801e-02,14
0d894551bc966608,1.102933e+00,1.159661e+00,1.097410e-02,1.083844e+00,2.790739e-02,7.532431e-03,1.873556e-01,2.675728e-01,9.897524e-01,1.098356e-02,2.646729e-01,5.935598e-04,2.221521e-01,6.720016e-01,3.115789e+01,6.996097e+01,9.822157e-03,14
10d15198ac61a404,6.078821e-01,1.216281e+00,4.074681e-03,5.605175e-01,6.101399e-02,3.774290e-01,3.477577e-01,5.856095e-01,8.689891e-01,1.275791e-04,5.062165e-01,4.226347e-02,4.546946e-04,3.627964e-01,3.115789e+01,6.996097e+01,9.181480e-02,14
12a096342c4d052f,1.889780e+00,9.000036e-02,3.557000e-03,9.376825e-01,8.417271e-02,1.606804e-01,1.546068e-01,1.286987e+00,2.920226e-01,1.499179e-03,5.838013e-01,5.745928e-02,3.386431e-01,2.406749e-01,3.115789e+01,6.996097e+01,9.822157e-03,14
