,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.5541852287560793,0.030423455979627922,1.4954172264305927,1.533895041317631,1.5541899996487318,1.5749837977038352,1.6136706183600182,0.0008517976930043968
a_std,0.21188645422865215,0.02358398721539525,0.17062640745994206,0.19497287266038515,0.2097676046082789,0.22744507247720402,0.26238244637931263,0.0006803733276632108
a_subj.00aa64fdcb675341,1.468383207349529,0.059647493692161956,1.3580384651622952,1.4265845415349538,1.4664347632144774,1.5083398820383211,1.5946226959055094,0.0018314081519233139
a_subj.06c46b112368babf,1.5353656208383808,0.07343344486090028,1.3907570024488183,1.4886436479578362,1.5351375811462091,1.583545802951382,1.6776626557745278,0.0029102169335314945
a_subj.0beac20378edac7b,1.510327044633751,0.06332498798224441,1.3879986235427033,1.4681781662034656,1.5118332092647446,1.5531116670748069,1.6373296472053036,0.0017863024385125267
a_subj.10d15198ac61a404,1.7037109664405348,0.06444328077344245,1.5815319136055226,1.6583957510355374,1.7017791478689341,1.7480390189391855,1.8299192740868382,0.0019076915544404913
a_subj.12a096342c4d052f,1.7200864426782896,0.06459065546121162,1.598804784720882,1.6747811089953724,1.7182588084223533,1.7644652773822953,1.8534365265700306,0.0016307131215931917
a_subj.13e347e32a454872,1.2890631570204596,0.04849494505579923,1.1989993478761236,1.2547191824471433,1.2883556377234715,1.321066846261077,1.3835680575953,0.0012570879630938686
a_subj.1ffdcfc59b83c43a,1.6051122880259447,0.06441357613808504,1.4874911045703545,1.560297581432986,1.6026195174573148,1.6467856761646495,1.7415068274994008,0.001832926570631917
a_subj.221e9f16c114b2c0,1.4914316296377328,0.0626139166353263,1.3779757220914035,1.4454775398317987,1.4887172095890817,1.5321067523398701,1.6171542813755333,0.0018540999800632525
a_subj.2737c4b829b3018f,1.2202728070806157,0.049424448189211316,1.1253434905079305,1.1871051378908706,1.2186288212768228,1.2533468809271293,1.3188627679902007,0.00151229899320944
