,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.5538793775656428,0.032025311271248795,1.491316882144909,1.5327308998474305,1.5535157935699901,1.575915544634048,1.618474777280665,0.000775488059262435
a_std,0.21344760866352355,0.023779772627006663,0.1716401044372139,0.1968628362669227,0.21173565102851635,0.2282707070205564,0.2677568073493689,0.0006803264550110745
a_subj.00aa64fdcb675341,1.4684120923418038,0.06004609968537681,1.3584667977874418,1.4275146008815542,1.4658271265677265,1.5075553194702145,1.5972038952479186,0.0017346179104632056
a_subj.06c46b112368babf,1.537692098622281,0.06774574872990474,1.4091941252944635,1.4925415040224321,1.5373795479437535,1.5828294051897758,1.6753530549467899,0.0022536905681702166
a_subj.0beac20378edac7b,1.5108473196517407,0.06307328134334879,1.3903410068499151,1.4686229615061013,1.5089322017405207,1.5516707447634976,1.6407363467210607,0.001951315025794921
a_subj.10d15198ac61a404,1.7074929264541816,0.06539867676944185,1.5875235157564462,1.664237055196934,1.7075580568188944,1.7480457537653713,1.8405532433416716,0.001972232985765711
a_subj.12a096342c4d052f,1.7208109932687685,0.06571694625589712,1.598006299183735,1.6755395368820065,1.7181911391449483,1.7628200875481297,1.8606318233111907,0.0017457311899912356
a_subj.13e347e32a454872,1.2861313323602863,0.05034538128764325,1.1935172595055756,1.2516377833219519,1.2841173419073202,1.3199697125590477,1.387006090559882,0.0012780908176296972
a_subj.1ffdcfc59b83c43a,1.6061472730113768,0.06435579196143051,1.4846388462854447,1.5624057918531347,1.6042303491823051,1.6474414082391815,1.7367044405096597,0.0020132913406945537
a_subj.221e9f16c114b2c0,1.4917237581247833,0.0653082681823372,1.3732738865505851,1.4464680366784648,1.489922977342299,1.5325218664785463,1.6256540815578924,0.002580486370861337
a_subj.2737c4b829b3018f,1.215831346213709,0.04958540287152164,1.124989793031349,1.1822870403330321,1.2142369920432234,1.2504910920907126,1.3109874422637662,0.001518377251175289
a_subj.279cd1540fc8f71f,1.6332928176960477,0.07146116596350575,1.5021378372991032,1.5854439952479296,1.631266392449159,1.678018894234952,1.7829984265000072,0.002130184442388223
a_subj.2a531595d6ab08c8,1.4180473068241086,0.05477135437787913,1.320646588305975,1.3811367367629968,1.416133036015625,1.455355945996307,1.527477654305835,0.001508485673759596
a_subj.2adc46a1bfc70679,1.7086843123026874,0.08316257014839167,1.5532474673742414,1.6536436966684482,1.7037473371416838,1.764232878136215,1.8792019696733595,0.003008432454280852
a_subj.322d6276c00056e7,1.36348021422389,0.06309193872737764,1.2468415230826753,1.3200181170605003,1.360990589279313,1.4048592164484963,1.49688650160125,0.002190761909081572
a_subj.46099f8b742520b0,1.2533908553870692,0.051253176834746055,1.1568724847497087,1.2195253444588225,1.2509220461617379,1.2873352996162513,1.3604784178870235,0.0015071606053228231
a_subj.49c4e664cf02d362,1.3651649257574867,0.053149641238472704,1.2645455596792057,1.328741921719593,1.3616211684862176,1.400873755163969,1.470695465909069,0.001520236372782832
a_subj.4a6bf10e80304920,1.6914515831353616,0.06698272910486505,1.5628578618771178,1.6436572169679142,1.6909336391646481,1.7353316517589399,1.823856015517169,0.002050528165369
a_subj.4dee88b397c3bbf4,1.6956740517289672,0.07042504257833657,1.560537378369741,1.6486813738053456,1.6907329935408986,1.7422052962999452,1.8469308016566153,0.0019123400164462335
a_subj.52abc657a668b04e,1.3434076261430796,0.05481009984404477,1.2413575343098184,1.3060259332150976,1.3394140983257925,1.3806218417577463,1.4543330204567357,0.0016506156446812032
a_subj.5696a26f6b865ccb,1.6758995356623023,0.07697400546592952,1.528811235358384,1.62582326059051,1.672800955423468,1.7248084181410201,1.8306179871405213,0.002555725072220765
a_subj.61dce9b56e969395,1.7637874769897848,0.06540695503397652,1.6387768635034776,1.7185644936429427,1.7640375927142853,1.8069637007983474,1.8962366070324141,0.001763371270551667
a_subj.6246f3d78ae6b481,1.516006805232398,0.06102160074464168,1.401907620242501,1.4736595094696137,1.5149657914274606,1.5600697572972795,1.6359780570871394,0.0018187319903281342
a_subj.6ac61d4f76c3add5,1.373730770966936,0.0559980496640609,1.2691871767217857,1.3358774873329173,1.3721908837485823,1.4112259461274541,1.4875970322203738,0.001633997824947048
a_subj.6b1327cc38c17c20,1.3851244427389828,0.06544930021620285,1.2566353055137427,1.3399024562253348,1.3865523328948788,1.432057486346207,1.5052087120214075,0.0027176642813475003
a_subj.6dcbb2d2c8c4d46a,1.4561105676406787,0.05856188123011477,1.3502005987818033,1.413461348722054,1.4545118769926584,1.492140892928479,1.577583287863872,0.0019730034712085974
a_subj.739442e141b9639a,1.380909943431986,0.05800003624140081,1.2769126814770102,1.3424289336237623,1.3792854921719866,1.4145753451113634,1.5021713853498597,0.0019180122701021151
