,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.581891892456905,0.030247845714562963,1.5242814761865404,1.5614026449201366,1.5817258268575067,1.6027724389441589,1.6417423001641147,0.0008433371048921671
a_std,0.22478553114032523,0.0240264348360187,0.18108789363144373,0.20833215367471614,0.22267275258030123,0.23964367669367176,0.2740825144374758,0.0009231586840786215
a_subj.02535fcf7e16bb56,1.3422503554220524,0.0758500311514327,1.215715776916713,1.290506880954498,1.3333216022550567,1.3857364117609248,1.5194731494067282,0.004845319066795738
a_subj.09ba82a2ca814481,1.4783493034275907,0.0602881680075474,1.367884107085479,1.4366909825423442,1.476657039535822,1.5174348918407943,1.5973475693116197,0.0016450493241883645
a_subj.0abfc32a4d12c731,1.6788698734388554,0.06737192917334472,1.551904086967979,1.6307312377294574,1.6790367833788709,1.726338186423722,1.8153205153198497,0.0020693802546385273
a_subj.0b0a94c202d0b233,1.6394526399943934,0.06615861298014382,1.5196260508976616,1.593241799583455,1.6365265086507395,1.6834792495495379,1.7792834208719466,0.0016789103703161762
a_subj.0d894551bc966608,1.6887358916359034,0.09945368118619764,1.5066652503149578,1.6188915050295973,1.6823081542296452,1.7557570862440834,1.892425164437419,0.003550076146388753
a_subj.15e0c065b2c11595,1.4816176581157705,0.05976164307893842,1.369391127372317,1.4427375709521435,1.480712198452422,1.5216269293295437,1.6048563925490957,0.0017519016487075128
a_subj.163b12703c8e5c3c,1.8167246569165432,0.07123941080886678,1.6819194098509478,1.7674876351955842,1.8160418917561496,1.862819721070485,1.9588985174268898,0.002285180221179063
a_subj.1bf86ff948486447,1.643282807178705,0.06334128437703997,1.516586812910575,1.6002076666358347,1.6442467301483221,1.6839778042797051,1.7683894498283377,0.0017903209991949707
a_subj.1cb976bac3a2016b,1.6727391207203968,0.07051366137697597,1.5369640685142725,1.62406366863534,1.6731904656754808,1.7208915769003201,1.8115850243233496,0.0022674158196230644
a_subj.22d84796012679e8,1.8882268394770332,0.08642309260405627,1.7352933928816,1.8275950943198656,1.8843722829015142,1.9459195270528236,2.067934441710836,0.003033176574783073
a_subj.247384e4eccc4f80,1.2486234483717251,0.047425935395413316,1.1584548239077954,1.2184938079470728,1.2479177881116323,1.2792864355253937,1.3454986218450005,0.0014133172353122726
a_subj.27902f23b60a7b76,1.5601755878163228,0.06058594393080761,1.4429797230901444,1.5184503567281966,1.5609520461403437,1.6004420477585666,1.687519044188201,0.0016549510698502814
a_subj.296a71628065dfa8,1.453466467731314,0.11781380641182786,1.2932467655857136,1.3735653158999248,1.4210587622817,1.4959283770567002,1.7451020036267217,0.010105027064279268
a_subj.371fb6652968f25f,2.250174542077117,0.13206713693546257,2.0182246133830453,2.159800565777163,2.2374796408785693,2.329251155881844,2.5300107674561896,0.0049744024160876315
a_subj.3ddf191ed8c33c57,1.7403659288671334,0.07080672439316736,1.6072655742465594,1.6904182785667041,1.7405523707379764,1.787916287233454,1.8865347262309715,0.001825428802861651
a_subj.414f1040212a659b,1.492710072135701,0.0587412966140464,1.3794655563380078,1.4537674479797278,1.4914036366095509,1.530652355518494,1.6150362752013523,0.0017425672979928864
a_subj.46fd6e0b3b5c1df3,1.4116246314325531,0.06541908736248063,1.2916474118622143,1.3642339321291028,1.4087759406674547,1.4580300225701415,1.5447528450825347,0.001953280983338081
a_subj.4866612e834a9f5a,1.4238456605682044,0.07099935823821762,1.2977472847596883,1.3736386678016366,1.4187049852863574,1.4696540452810467,1.5749388973444973,0.0030767926863757298
a_subj.4a43f99c56b2a634,1.2202523884117793,0.05102063052812506,1.1235517004890758,1.186522118131887,1.2205067320221625,1.2533164671061465,1.3215551318705854,0.0017303902668072443
a_subj.4e3de1ed1c0d6103,1.426957715679944,0.06676732260100955,1.298034400432245,1.3804380783968817,1.425274934924232,1.4712057420093672,1.5633703406522965,0.0023709626578784764
a_subj.5497867d4afb5993,1.2473290535082047,0.053394622617825176,1.148969558968932,1.210519770172958,1.2464353897312788,1.2827951764825594,1.3578990333613712,0.0016521768226471483
a_subj.582ab220066afebc,1.7167466585792177,0.06549083098061506,1.5950439780208858,1.6724300618857508,1.715028026720498,1.7562927503822774,1.8578782017745885,0.001862311721098318
a_subj.5b92bfe31aef1ef9,1.2590323278850348,0.0526867673419553,1.1599490784890807,1.2242223487288928,1.2595216818118886,1.2927163674590045,1.3671811722233076,0.001599899903579215
a_subj.6d04498f5bb2aefc,1.3349952156479448,0.05163942547080717,1.242152346080942,1.2984624493031882,1.3329731332183339,1.3682631487537706,1.439713500051341,0.001648956490484487
a_subj.6df05dd94d8d774d,1.7044154042535757,0.07552497098210681,1.5595144631160824,1.6544903139843055,1.7039741162787574,1.7522099687856332,1.855235442468948,0.0026286256308812356
a_subj.6e0c43d93a4a361e,1.530655457889028,0.061239509356177786,1.4173620423793911,1.4864301814579173,1.5310507826367796,1.5722602502025826,1.6547383227785633,0.0018840743070953226
a_subj.6ece121c0867568c,1.6130483860886347,0.0727096750562592,1.479840723614666,1.5627674538715657,1.6123436295840077,1.659929952778224,1.7566137340745538,0.0025802763518225163
a_subj.75da8965ce4f9b28,1.5088914009871168,0.08248229731707725,1.3614933049607423,1.448822881481801,1.5049503613705955,1.5682983993576314,1.6685923156986304,0.005042634469036242
a_subj.77d9b25715656b19,1.5322606465344897,0.06925165405154977,1.406463347404824,1.4849908565105094,1.5287133157319592,1.577875775200818,1.6768632586852732,0.0022566226385800853
a_subj.7e158eee0bbe3c33,1.5996565155323033,0.06573588119587871,1.4772899776558448,1.5548722365688605,1.5965162989120192,1.6399820263909952,1.7371551148749091,0.002025380805000191
a_subj.819c4ba6a036130b,1.3529927912040554,0.05494806391997924,1.2523568262221314,1.3147536261230954,1.3519959848086502,1.3886502741426552,1.4646972896163606,0.001709438569419288
a_subj.820fed1432e2cffc,2.0984450363748994,0.09036164389483343,1.9282766023143025,2.038905398547457,2.0929924028718467,2.158004426207265,2.2851195302035006,0.0027071438262160708
a_subj.8364d0796dcecadf,2.1104216081553635,0.16930675050922217,1.7949324444499306,1.9741581310559881,2.1321475254151157,2.2341797688084393,2.4116256278902704,0.01309581253037915
a_subj.84397dc336c286b4,1.7413008109947965,0.08560573534022922,1.5839995655857528,1.6835271824487983,1.7388199331527696,1.7960840992689988,1.9190287168865114,0.003910978715383186
a_subj.88586c741f59e4d3,1.7982612685990698,0.08180342049944675,1.6420988958454417,1.7432772719588718,1.7955734345501697,1.850927697559991,1.9671119556098136,0.002603691503358571
a_subj.8b79e9cd1e3a58e9,1.853383756373677,0.06994944427528046,1.7200221020423316,1.8053501903358466,1.8517573972692296,1.9010112035519833,1.9980998090246411,0.001955431587356849
a_subj.8e3374a0d50454e0,1.4003877946463794,0.05924705167732847,1.2923661140141993,1.359012000538222,1.3983457984969963,1.4409801193010856,1.5178417587675914,0.0019160968978078972
a_subj.8e531917bed03e00,1.581796840776599,0.06577120171453671,1.4543178712326716,1.5379472294516305,1.5787457771364297,1.62602091025322,1.7154560302661732,0.002012990855922746
a_subj.96b09fe2762bafab,1.6083645795468386,0.06680428472626254,1.4854053029889898,1.5605224370939603,1.6051867843618548,1.6524287713688919,1.7424405738002888,0.0020461526601523593
a_subj.99bca86575635ced,1.426668361174799,0.056742415207123545,1.318704072121441,1.388554382778966,1.425565628396328,1.464334828978668,1.5400458588314334,0.0017232235464189724
a_subj.9ead7cfe118211af,1.5393252210589539,0.06254523542067353,1.4250199421246283,1.4967910421145807,1.5371901610992038,1.5789661212309536,1.6724726169091038,0.001845911538317166
a_subj.a0891b37b5b5d79d,1.3853836071012118,0.05457532465064201,1.2846058406916439,1.3493838634323714,1.382319578042333,1.4209227411866452,1.4970131257466794,0.0016477838654948003
a_subj.a0b880b91c2982dc,1.6946977176507345,0.0675882327236622,1.5703450785099355,1.6475923780044246,1.6931990932334806,1.7405149061517426,1.8279992514280792,0.002166336870812942
a_subj.a751959dd7084c7b,1.600866675469105,0.06395960795229738,1.483812341334347,1.5565249828604046,1.5984316917665609,1.6448412841166955,1.7315971286390357,0.0018698020076375371
a_subj.ab06a32c33b7c594,1.6904228589915764,0.07450457154500098,1.5454560569352456,1.6408135419882197,1.688024041397121,1.739944014489538,1.8437100247510376,0.0022137826688246776
a_subj.b8d6cea15a548aa9,1.6069118978439634,0.0675123623754218,1.479553216681202,1.5598949240977924,1.6038816044467985,1.650561294058237,1.7492745930764741,0.0019382058129236803
a_subj.c012de0ccb49819f,1.502104930518561,0.060925328090337856,1.3871582248105694,1.459824654384152,1.5015532237207707,1.5423826322292298,1.625675854742273,0.0019947865149625562
a_subj.c4ea8a11570e9599,1.4268507456526986,0.05557178459816935,1.3234901381297717,1.3898035872466812,1.4257724801378906,1.4634377058187145,1.5381384335456032,0.0013704422268229783
a_subj.c7ddb07dc740f9c1,1.733222583582116,0.07807908488330291,1.5845649597740032,1.6766899633778067,1.7315529535526748,1.7876496182472885,1.8903433366795976,0.0028154615743615583
a_subj.c893ddb5f65f1a1c,1.6565808710775993,0.06402546277834374,1.5319681628710913,1.6146659619455028,1.6563345592532086,1.6959251303690737,1.7885964567037054,0.001930081002886217
