,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.2552479389230313,0.04026294698130053,1.1795346401350262,1.2285719196507725,1.253076396700358,1.281514303859236,1.3393020523804984,0.0012426992982011577
a_std,0.27780797360004067,0.030846942918283115,0.22544427389450913,0.2560051161221929,0.27423048659514415,0.2966395399880959,0.34476282938312536,0.0010280716399167019
a_subj.00aa64fdcb675341,1.1682959691597257,0.07990400510413219,1.0213402918899424,1.1105503841803803,1.1698208413689097,1.2235724964358727,1.3261332809217654,0.003739039816769485
a_subj.06c46b112368babf,1.1450058135703094,0.05964548733865385,1.036048258926836,1.103517146632596,1.143186891182789,1.1856580584217693,1.269270542496465,0.0022813047266318225
a_subj.0beac20378edac7b,1.1634565000147863,0.06127227446737005,1.0457016401469656,1.1234325277552224,1.1636941203398463,1.2038260057431134,1.2876854060372835,0.0020638654788536813
a_subj.10d15198ac61a404,1.4810311132983658,0.07148818103780198,1.3476591838010874,1.4335485805802075,1.4768524784198636,1.5245723927730694,1.631648979872121,0.0024232252800542873
a_subj.12a096342c4d052f,1.3975214482716478,0.06617591180013987,1.2769051929172237,1.3521520608134454,1.3932736735889317,1.4387387001596672,1.5431684352603603,0.0020337831029934032
a_subj.13e347e32a454872,0.767920818853519,0.05732764275832956,0.6537244346493678,0.7304295792649267,0.769132106578253,0.8061068568511846,0.8767213752621561,0.00212417334718385
a_subj.1ffdcfc59b83c43a,1.4271360966446387,0.07403959591490702,1.2829992670310224,1.379012405393334,1.4253337442992466,1.4767083182758456,1.5815536955414857,0.002454502875725342
a_subj.221e9f16c114b2c0,1.331655583375679,0.06623099634266619,1.2117898595167413,1.2843203944156802,1.3273935198076752,1.375508900071514,1.4704647833233344,0.002222903756906553
a_subj.2737c4b829b3018f,0.7690160402313905,0.05512482511765321,0.6715578294376541,0.7322593321405927,0.7655790213855782,0.8024277966612412,0.8841842874409701,0.002278372787695715
a_subj.279cd1540fc8f71f,1.2139776780902034,0.06727055288368837,1.0816697415444456,1.169776208756644,1.2108840267884122,1.2572145074664378,1.3486997506077891,0.002220957072703452
a_subj.2a531595d6ab08c8,1.227951536720318,0.05825312540602711,1.1187682513997643,1.1878981733468743,1.2249487338847878,1.2666027071475958,1.3488809859593116,0.0016186184492997624
a_subj.2adc46a1bfc70679,1.54365963939681,0.0818514264317781,1.3939063762146624,1.4866538977334818,1.5402107638204934,1.5990919128851149,1.7126794990410132,0.002776318990678386
a_subj.322d6276c00056e7,0.968536737576783,0.058456845720052095,0.8565307877960217,0.9292748505953207,0.9680230172367656,1.0070252701119378,1.090593911269135,0.0018091035282697455
a_subj.46099f8b742520b0,0.7784161516168171,0.0509640807855566,0.6833309504880145,0.7430921029920233,0.778527050882415,0.809753099030606,0.8873920743390954,0.0015829937873606096
a_subj.49c4e664cf02d362,1.1551766308165838,0.051766679986213635,1.077342524420813,1.1263546798611548,1.1463809075029396,1.1680901625632063,1.2992227629625273,0.0014191738132093424
a_subj.4a6bf10e80304920,1.4006250138486358,0.0677127894001834,1.2727613292423592,1.3546842496585925,1.4006909107160679,1.446693548971375,1.5331824598270472,0.0020739310081924187
a_subj.4dee88b397c3bbf4,1.384930573610729,0.0720565259800279,1.2550533153833308,1.3355243487464672,1.3826598722645684,1.4344316368869139,1.5368411085696558,0.0021923775994498887
a_subj.52abc657a668b04e,0.938233027777044,0.05861568190100605,0.8332434524073961,0.8975223496271063,0.9357158307646318,0.9746908414185972,1.0637930798361048,0.002482228820766292
a_subj.5696a26f6b865ccb,1.2551418059519779,0.07536747625086107,1.1147701541855046,1.2025777255713836,1.2521449859243934,1.3045059450436387,1.4159752962152732,0.002636182608781015
a_subj.61dce9b56e969395,1.4908989773241168,0.06771497014510919,1.3622379995814957,1.4458524220906133,1.4888822953279672,1.5355106833160561,1.6265151442576737,0.0021491815837511685
a_subj.6246f3d78ae6b481,1.2338322614424237,0.07123849854010672,1.1049607516842557,1.1858488848621063,1.229981066282994,1.2791337559722014,1.3810724397708714,0.0023510896797237224
a_subj.6ac61d4f76c3add5,0.9817860695337254,0.05873087050232318,0.8713224792471804,0.939695101985246,0.982569360062872,1.0236178511491532,1.1005234025754367,0.0017532377006411522
a_subj.6b1327cc38c17c20,1.089495276612995,0.07380802520155538,0.9496525412025457,1.0384685924109005,1.0890670775285547,1.1401836168247763,1.233715160966329,0.0029847193611855726
a_subj.6dcbb2d2c8c4d46a,1.2072615034650744,0.06817086533804141,1.0791375935509233,1.1597713061680364,1.206723846851123,1.2520047094685354,1.3490568764585675,0.002455934581381828
a_subj.739442e141b9639a,1.1331080428387788,0.06790340235034525,1.004121119175069,1.0876671456907816,1.1316132298269141,1.177947161441064,1.2680910114780124,0.002411532937488693
a_subj.74dc2bc1712979fe,1.2066267450006936,0.07209331989390977,1.0700765843367772,1.1552512933824195,1.2066604966829793,1.2547285481682016,1.3501116524269614,0.0025169770524278855
a_subj.865f30c3abd2af67,0.8341914957263188,0.0759968731956141,0.7045325186002769,0.7812542442881447,0.824848757568336,0.8787368747075515,0.9995503587655775,0.004377091434054271
a_subj.88316d88dd9fdbf7,1.7346560719319715,0.08724835310767656,1.5681312847770994,1.6763971579792198,1.7323370272461747,1.7911216340061342,1.9140748229160995,0.0025714548918785917
a_subj.946fca84b1d53bed,1.1955203059894273,0.0633482071128158,1.077516474763073,1.150774899210139,1.1929379239132256,1.2364849465363523,1.325274191010996,0.0019666122524106535
a_subj.9d781c40d36055b2,0.8442621939310307,0.06497895243816525,0.7313249478835954,0.7986332446317785,0.8390158974214327,0.8847790857156267,0.9845348333661248,0.003682827827674498
a_subj.9e5ca4f7d45dda1b,1.5632798707528486,0.07600486323155686,1.4193426065816217,1.5113632228146536,1.5627737936700965,1.6106556203264755,1.7179160222583116,0.0022401068124406603
a_subj.a7ef69324e55dcf3,1.4544986565470222,0.07551710189700189,1.309978232462845,1.4024883978625795,1.4535606440145004,1.5019680584834663,1.6047592562776174,0.001977033895807833
