,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.3521685708192839,0.03867469613277442,1.2760610917061288,1.326169090054618,1.3515937560906126,1.3776059893882027,1.4300813340792855,0.0007963837766259502
a_std,0.2772817516132314,0.02913425154543449,0.22507567409146995,0.2566914683130054,0.27505021548367503,0.29556775598725815,0.3394973040932495,0.0006569546507935369
a_subj.02535fcf7e16bb56,1.1364813792496804,0.0626712448893457,1.0219262363012969,1.0930757086829241,1.1334845117780403,1.1766728337374956,1.2670604716975982,0.001083747071302994
a_subj.09ba82a2ca814481,1.0540986135505013,0.060230985757432,0.9401406953152996,1.0125765101223854,1.0527402576072207,1.0927161655378022,1.1768893722585287,0.0015733984671708924
a_subj.0abfc32a4d12c731,1.5261202112802958,0.07679321632019927,1.3781948414562128,1.4741476861441563,1.524301926871436,1.5778246461259477,1.6798585609314782,0.0019033421442592076
a_subj.0b0a94c202d0b233,1.4094713069509843,0.07130198588203422,1.2778516445628518,1.3605043341957712,1.4066569915163059,1.4555294194101207,1.555440521286976,0.0017184476856972083
a_subj.0d894551bc966608,1.3816028468456734,0.09644366756193706,1.2053198588049687,1.3157614704860996,1.3770271938520833,1.4428196738459347,1.5865612067877715,0.0019719454366622672
a_subj.15e0c065b2c11595,1.2457906607303793,0.06657335797924563,1.1215928160123239,1.1997223635235041,1.243373162080541,1.2897368405362155,1.3804269264235232,0.0013864551122579449
a_subj.163b12703c8e5c3c,1.7546292448825682,0.09685463156896014,1.5709204409701085,1.6869990491225906,1.754198001373152,1.8203491392408306,1.9412173666821722,0.0032045560395496386
a_subj.1bf86ff948486447,1.4550182967644023,0.06883784191255592,1.3262281608078492,1.407027568629723,1.452668972533573,1.5007645583825897,1.5981234511159,0.0013275897366857375
a_subj.1cb976bac3a2016b,1.5353238790628423,0.08118952346014083,1.382906604726311,1.4792728304831093,1.5339719989657694,1.5881787263952019,1.7008771639779676,0.002199237600143789
a_subj.22d84796012679e8,1.825961997610303,0.0964397345893208,1.6471662499537763,1.7581580069480887,1.822917517625446,1.8865765040647942,2.0295308346423573,0.0019154569904702937
a_subj.247384e4eccc4f80,0.9096263290786887,0.05744540715361511,0.8111743704292667,0.8681977619170052,0.90571865337473,0.9454041568342606,1.0329642966235306,0.0016266298059006174
a_subj.27902f23b60a7b76,1.1794288594049613,0.06017555156371026,1.066348154660378,1.1385700466557136,1.17733351957201,1.219088386858004,1.3029681158396358,0.001425505183989872
a_subj.296a71628065dfa8,1.5429543195384432,0.08661203055371366,1.3826142354125384,1.4833147234821986,1.540007471080464,1.5999423767023624,1.7167510609654153,0.0028157757082985535
a_subj.371fb6652968f25f,1.975608335320448,0.13241213377059768,1.726774571778666,1.8841653056941174,1.9687796417412304,2.0580380102657476,2.2588988000139545,0.0035198472901688317
a_subj.3ddf191ed8c33c57,1.4568910513555358,0.06669437155044339,1.3337764193379955,1.4113708202252886,1.4535018887378144,1.4997535841475957,1.5964828366304495,0.0014260984962434775
a_subj.414f1040212a659b,1.2157297913885434,0.06871256947581962,1.0856592831369427,1.16874036647866,1.2154457913650845,1.2623321726010504,1.3501781102365054,0.002016132953557661
a_subj.46fd6e0b3b5c1df3,1.1622192784254683,0.08182739850366598,1.0174042739300215,1.105052674171204,1.157502587481663,1.2127745027944803,1.338832674909891,0.004367605816810033
a_subj.4866612e834a9f5a,1.2972865733149226,0.07338507399921873,1.157003421160321,1.2463388428362228,1.2956047929338341,1.3463042845564326,1.4461069468424939,0.0017929508035077354
a_subj.4a43f99c56b2a634,0.9070538007414569,0.06577348219403877,0.7837547013576702,0.8599198979705962,0.9055510922981922,0.9533877996629886,1.0367717382533803,0.0025719778669034393
a_subj.4e3de1ed1c0d6103,1.1763750250916798,0.07125997683020595,1.0405466338334954,1.1274596915341557,1.1750263899484554,1.2236585792194603,1.320107254717852,0.0017515014667414965
a_subj.5497867d4afb5993,0.8661723739419471,0.06800042318990308,0.7441130195405659,0.8183230182424566,0.8622904942935131,0.9115914758657456,1.0063766457357695,0.0032700062973891595
a_subj.582ab220066afebc,1.5417159027861482,0.07425520250400747,1.403642346182321,1.4907053205531773,1.5381428336733318,1.5910796085131238,1.6936677055567042,0.0017409611957912372
a_subj.5b92bfe31aef1ef9,1.0960671430841664,0.07690320010995977,0.9554536168578132,1.0422050234117555,1.093887648826178,1.147529115099553,1.251415522075451,0.0022289629970983675
a_subj.6d04498f5bb2aefc,0.9516690336691589,0.05618483294307359,0.845177380895703,0.9144837296111699,0.9496497388598588,0.9875598377413208,1.0691357283936849,0.001663475516349016
a_subj.6df05dd94d8d774d,1.4295625788732853,0.07681503247374491,1.287985984544547,1.376129343893001,1.4261680019425236,1.4784377775034234,1.5863748210416238,0.0016490004221882918
